,Thal_Re_R,Thal_PuL_R,Postcentral_L,Cingulate_Post_R,Precuneus_R,Cerebellum_6_R,Putamen_R,Rolandic_Oper_R,SN_pc_R,Cerebellum_4_5_L,Thal_AV_R,Vermis_9,ParaHippocampal_L,Cerebellum_Crus2_R,Putamen_L
Thal_Re_R,1.0,0.008209923144308266,-0.010574139248590048,-0.019056259550109957,0.03540492227197325,0.07558119248193186,0.3374878032056511,-0.005092319641363189,-0.02970965116911674,0.03916251121763029,0.48615205438851744,0.06260616801367669,0.04831607628345073,-0.12130895900046987,0.16322764058491368
Thal_PuL_R,0.008209923144308266,1.0,0.5618373357945722,0.5177962561638404,0.45603127778808783,0.3309245990058373,0.629986868340777,0.5011211045678781,0.4674239334366617,0.7193561200350512,0.1481450358056851,0.7408885048869972,0.6160027678348777,0.3047243223334606,0.5638584999012554
Postcentral_L,-0.010574139248590048,0.5618373357945722,1.0,0.5579261992204909,0.7768378924128174,0.5003992448063406,0.43518958855539674,0.7105326952202111,0.218070083220221,0.6788744346837143,0.17199784302904128,0.6398795179042276,0.517081540351674,0.35751648111319206,0.5230165281170962
Cingulate_Post_R,-0.019056259550109957,0.5177962561638404,0.5579261992204909,1.0,0.5536032544871391,0.3097174205270472,0.44273818526492864,0.5565548530313027,0.30023510006105864,0.6137110574454266,0.03743499220910813,0.5284174612740646,0.5252538476881424,0.2497261492619856,0.4375115141135469
Precuneus_R,0.03540492227197325,0.45603127778808783,0.7768378924128174,0.5536032544871391,1.0,0.587629775263222,0.32263004477461366,0.592305088843347,0.19764004686875783,0.6897440145036405,0.1748253337400139,0.5294077782279702,0.47383854840105366,0.22211012547843806,0.41925431440532945
Cerebellum_6_R,0.07558119248193186,0.3309245990058373,0.5003992448063406,0.3097174205270472,0.587629775263222,1.0,0.2186174009032629,0.45768566494750423,-0.18226821087881687,0.5692463995621949,0.36234494945133894,0.49303892130712856,0.4445170708837323,0.49892173166486986,0.09702884579755079
Putamen_R,0.3374878032056511,0.629986868340777,0.43518958855539674,0.44273818526492864,0.32263004477461366,0.2186174009032629,1.0,0.399182713696153,0.4946751411311655,0.6352243288287944,0.37567950180831783,0.7278930891089682,0.5415155587073911,0.1680950270082178,0.6276653661103517
Rolandic_Oper_R,-0.005092319641363189,0.5011211045678781,0.7105326952202111,0.5565548530313027,0.592305088843347,0.45768566494750423,0.399182713696153,1.0,0.16781359054907835,0.6450413621988328,0.18747183974590304,0.4621832592106783,0.530484286212088,0.42147990729196155,0.44084999137230846
SN_pc_R,-0.02970965116911674,0.4674239334366617,0.218070083220221,0.30023510006105864,0.19764004686875783,-0.18226821087881687,0.4946751411311655,0.16781359054907835,1.0,0.42274373007888594,-0.09432669763374997,0.38168756496223905,0.3332028556964441,0.1822864601349412,0.6758795112480841
Cerebellum_4_5_L,0.03916251121763029,0.7193561200350512,0.6788744346837143,0.6137110574454266,0.6897440145036405,0.5692463995621949,0.6352243288287944,0.6450413621988328,0.42274373007888594,1.0,0.22414494966268123,0.8223879252589676,0.666013201586844,0.30137658675728757,0.5841281043981797
Thal_AV_R,0.48615205438851744,0.1481450358056851,0.17199784302904128,0.03743499220910813,0.1748253337400139,0.36234494945133894,0.37567950180831783,0.18747183974590304,-0.09432669763374997,0.22414494966268123,1.0,0.1742699451534452,0.35068654223081885,-0.10370034477457735,0.16199556915525515
Vermis_9,0.06260616801367669,0.7408885048869972,0.6398795179042276,0.5284174612740646,0.5294077782279702,0.49303892130712856,0.7278930891089682,0.4621832592106783,0.38168756496223905,0.8223879252589676,0.1742699451534452,1.0,0.6281940982208034,0.29050353354465996,0.5413121891958939
ParaHippocampal_L,0.04831607628345073,0.6160027678348777,0.517081540351674,0.5252538476881424,0.47383854840105366,0.4445170708837323,0.5415155587073911,0.530484286212088,0.3332028556964441,0.666013201586844,0.35068654223081885,0.6281940982208034,1.0,0.19906497273551896,0.3548014758338436
Cerebellum_Crus2_R,-0.12130895900046987,0.3047243223334606,0.35751648111319206,0.2497261492619856,0.22211012547843806,0.49892173166486986,0.1680950270082178,0.42147990729196155,0.1822864601349412,0.30137658675728757,-0.10370034477457735,0.29050353354465996,0.19906497273551896,1.0,0.24691155852863622
Putamen_L,0.16322764058491368,0.5638584999012554,0.5230165281170962,0.4375115141135469,0.41925431440532945,0.09702884579755079,0.6276653661103517,0.44084999137230846,0.6758795112480841,0.5841281043981797,0.16199556915525515,0.5413121891958939,0.3548014758338436,0.24691155852863622,1.0
