,Frontal_Inf_Oper_R,SN_pc_L,Cerebellum_9_R,Insula_L,Thal_IL_R,Parietal_Sup_L,Thal_PuA_R,Supp_Motor_Area_L,Cerebellum_9_L,SupraMarginal_L,Thal_PuM_L,Frontal_Sup_Medial_R,Vermis_9,Thal_VA_R,Cerebellum_4_5_L,Thal_PuA_L,Occipital_Inf_L,Vermis_4_5,Thal_AV_R,Thal_PuI_L,Vermis_3,Cerebellum_7b_R,Amygdala_R,Frontal_Med_Orb_R,Parietal_Inf_R,Temporal_Pole_Mid_R,Rectus_L,Caudate_R,Cerebellum_8_R,Amygdala_L,Thal_LP_L,Insula_R,Thal_AV_L,Precentral_L,Temporal_Sup_L,Cingulate_Post_R,Cerebellum_Crus1_R,Occipital_Inf_R,Parietal_Sup_R,LC_R,Red_N_R,Temporal_Pole_Mid_L,Cerebellum_3_L,ACC_sup_L,Occipital_Mid_R,Paracentral_Lobule_L,Cingulate_Mid_R,Thal_LGN_R,ACC_sub_R,Temporal_Mid_R,Hippocampus_L,Cerebellum_6_L,Thal_VL_L,Thal_PuM_R,Frontal_Sup_2_L,Postcentral_L,SN_pr_L,Cerebellum_7b_L,Occipital_Sup_R,Precentral_R,Vermis_10,Thal_MDm_L,Thal_MGN_L,Thal_VA_L,Pallidum_L,OFCmed_R,Thal_LP_R,Cerebellum_10_L,Temporal_Sup_R,Cerebellum_Crus2_R,Cerebellum_6_R,Rectus_R,Thal_VPL_L,OFCant_R,Hippocampus_R,Raphe_M,Olfactory_L,OFCmed_L,OFCant_L,Vermis_8
Frontal_Inf_Oper_R,1.0,0.43880630772256607,0.737648503082863,0.7125232830608863,0.5121497907852609,0.5774016190154984,0.4971335754307459,0.7764370973411228,0.7878316129555755,0.7574140426577969,0.7816545198273354,0.776749689746603,0.7518370884468034,0.35516304061805637,0.8240310224208225,0.7018474493316998,0.18743991142326533,0.7796914442725636,0.10571518581227715,0.39308130125883933,0.6697744930280505,0.039859926183833154,0.3387574118952544,0.11252317155509883,0.6708764076102813,0.16671649900849095,0.31201689224480744,0.713081118619553,0.19980842034595292,0.21989996710586635,0.7280301652997587,0.8399477415007128,0.22179008417523202,0.7898282224507905,0.7812750263776561,0.5377379127161644,0.29425855811267976,0.08054469783960863,0.5489091214504371,0.23813574810932794,0.5133223410464465,0.3603815859081831,0.6834745316240353,0.8118489025680207,0.37146594757024304,0.7090329873332287,0.7879465931910264,0.41095539839881584,0.36811344178699906,0.5777208251940249,0.6326989071707415,0.7075161390699728,0.5139853437631536,0.5240347236420726,0.7172283751628071,0.8029555156153441,0.25293600368145897,0.4599213509140981,0.5735763781116191,0.8607088111537309,0.6521272928045699,0.5712327985263826,0.2699377112337424,0.4322681958168943,0.2534107732356123,0.2577161996722786,0.6191525751232695,0.6246425814173234,0.8065956133129308,0.2596833928922079,0.4573617219710581,0.4193235039024106,0.802319159324561,0.37698303523456705,0.6966732971829616,0.2093314592222289,0.32579728335752206,0.24817010383824528,0.005633408729531511,0.33517141339654316
SN_pc_L,0.43880630772256607,1.0,0.32760053167576714,0.6320425385160736,0.18062931423120562,0.29080223191641424,0.19398282684409007,0.24827433043645145,0.3109047057113528,0.45568255189149925,0.2833401375918766,0.40743687453413135,0.3089125083669344,0.2635490955189045,0.3617001702575697,0.2987652881039556,-0.09755872574747057,0.2740827213707956,0.10652950465206798,0.11423737286791887,0.42830147967924626,-0.028992718792294907,0.5197198414820922,0.040101291777417294,0.35042873290195586,0.07972711848185157,0.3618577605340487,0.39501460063435034,0.08758993627317407,0.23250550057994676,0.3046594392783666,0.4518093220952879,0.0938564774290216,0.3862806229157136,0.3079385191766939,0.3048146970011108,0.04862017087606518,-0.09436288039569053,0.2988355749756351,0.03954749485515006,0.48283440119292,0.24163428074171012,0.5540272539536367,0.4710023540619182,0.1019773403094496,0.37050436781770346,0.3726533594429264,0.06077278480599955,0.4710879709667231,0.3034488497352709,0.4869908112053459,0.21970958592919962,0.20423221102392905,-0.0010053043112654234,0.30638120586851203,0.41705891947337126,0.6832469059489337,0.0665532095285972,0.21778862883391648,0.3210181066851039,0.3238613460551835,0.24372761739645518,0.1473990872932651,0.13471818948422304,0.2364873692395759,0.46257718098353523,0.3814819684012489,0.2532474733554956,0.4659164274459228,0.23552389064853643,0.06914888243095506,0.4297653298785599,0.3922654307150488,0.40568444165116485,0.5285761189084242,-0.013978934382671657,0.6330501028915139,0.5300869272291427,0.026684404913283066,0.0007835155324843631
Cerebellum_9_R,0.737648503082863,0.32760053167576714,1.0,0.6713791733737596,0.4738898347594769,0.44319310453523686,0.4032584227765615,0.7697701059511906,0.81059011686445,0.7201374239085315,0.844065733552328,0.7182131197261825,0.8208102020196405,0.3921157303994847,0.8222730290968289,0.6744586131937034,0.27315101745420045,0.7970866089104337,0.1820568079879626,0.4988902678753529,0.7197503470609019,0.45322307233565223,0.42838220859539183,0.09786389314943336,0.4313150970498423,0.38217850085022487,0.4562534370125016,0.7290430070822187,0.5922030347939348,0.4440837689097591,0.7547096626542419,0.7042183239052398,0.4014442667935535,0.7503275756691388,0.813482075247495,0.5719360803448998,0.5615068994747797,0.31691207272874905,0.29763617564386347,0.19054202716274618,0.4466019130004646,0.49049780102083784,0.582155683278537,0.7870535547085148,0.3198460478484007,0.6157440487070437,0.6896281649953626,0.465801752863156,0.38372658794295295,0.6593797613597231,0.7553579816200446,0.8653291088351194,0.6342697928406149,0.4996640990417051,0.7275803502859248,0.7097272632363584,0.1151690808047317,0.564340764536359,0.4609743352643682,0.6841068574101904,0.6297018839797466,0.6563042949243479,0.4508902909735767,0.4751884295317605,0.38051667035871417,0.28457065457715963,0.5866470458998433,0.7330914094628913,0.74030903243226,0.5581025166630555,0.6993882267305382,0.45275225492516674,0.827610558826026,0.38606703483430665,0.7745539805127956,0.4461253441621795,0.28274249961570985,0.19192032969671435,0.12386520934880453,0.5654154689650294
Insula_L,0.7125232830608863,0.6320425385160736,0.6713791733737596,1.0,0.45870945258097473,0.5494265343493989,0.44789818618769334,0.5914689428548418,0.5934797554166905,0.709882669467643,0.6377601763018321,0.6563462106706812,0.4915053839014956,0.20054047620588022,0.6190832518190663,0.6175835715453161,0.19307678330261502,0.649952119293824,0.10672291987483018,0.34481024934211146,0.5368333308351086,0.2374564406633089,0.39623867809619584,0.09549431084205322,0.544013518089091,0.256858832318768,0.3354998887881664,0.5324799187371442,0.3520021357217388,0.2901818625363362,0.5886188096181788,0.7702335778905754,0.05310337156676618,0.6950473647281282,0.6065825932713461,0.5596175519847226,0.38379756204953736,0.23126463846013415,0.4202427528873116,0.40801991460233117,0.4754528703460377,0.2541286852959453,0.5234840913596711,0.7256659377512991,0.40814286332595107,0.618686863570355,0.6234308374619064,0.24038618175121598,0.379889021185511,0.6055820752203148,0.5806508744756453,0.5815547663462064,0.3348302492693806,0.4206531731599335,0.651909089755005,0.6986481055435552,0.368396180428749,0.3975003763546094,0.4647142589736667,0.6241765730479268,0.5476279731068164,0.4234562474614664,0.18014261531944267,0.2847885696525242,0.1896111814283163,0.24241363547624128,0.4460092204873034,0.6263810694684637,0.7646056178142088,0.4660300561370705,0.45374993688691445,0.3981082826903195,0.6743561691041959,0.3616570697346694,0.6890891675843958,0.1453675490304096,0.5263799618915094,0.28123766288505053,0.053757345622212405,0.336676706112913
Thal_IL_R,0.5121497907852609,0.18062931423120562,0.4738898347594769,0.45870945258097473,1.0,0.4650025741634426,0.6786840388440926,0.4028600676267853,0.3677613817245797,0.41584502697586995,0.4885077615270984,0.35476269550548734,0.2961106755941615,0.1554697261218557,0.47038678288289903,0.3953676151310477,0.3857819919874279,0.3911157451948026,-0.22132438225002304,-0.06190339545795124,0.21991198354977545,0.25436764686294505,0.09075896423935172,-0.1193676542293168,0.4901585320075846,-0.05482038473375919,0.24601802775064024,0.20493445824728126,0.26405263381698635,0.01760321339777355,0.3903333306875862,0.5392713095963657,-0.18411291989499587,0.42445022087250356,0.3504557818591526,0.27338282370136074,0.3559849835761253,0.15769754635801608,0.4389632047669438,0.3201899769534694,-0.058274445138254256,-0.10824429545695793,0.21220280438046402,0.4214283808458367,0.4427034727957555,0.42655462104205893,0.40087991702590203,0.2238264951366441,0.0002645295765498239,0.46517413546634806,0.1467899893138554,0.3601235853074283,-0.03367057257122581,0.5745831165713169,0.34117687991033013,0.4293727169182284,0.2301593840405133,0.316671079119343,0.496444001431344,0.5449882079192131,0.37551197754555343,0.3773682038518023,-0.053327558699360914,0.05185049123621942,-0.23775158515030712,-0.022593640544547232,0.33804236658925463,0.35463907480582957,0.4449711026382163,0.28875915832772,0.25401095783455546,0.20077043361325844,0.42382387111068065,0.07694213530795761,0.3382989728499227,0.3933724066977058,-0.02128618355077518,-0.20415421824021357,-0.355405215330894,0.3369772828472772
Parietal_Sup_L,0.5774016190154984,0.29080223191641424,0.44319310453523686,0.5494265343493989,0.4650025741634426,1.0,0.5732499125072825,0.5614960055214133,0.36634421466781797,0.6745233205862171,0.4838776689739569,0.53994458512919,0.31246003583303317,-0.04220515655248664,0.43671447438664196,0.5564577066699942,0.3873188106225827,0.580883513439075,0.06370524138837967,0.270153938230037,0.1800942938015189,0.1846090061629871,0.14327180825202043,-0.05389500895527792,0.8636913661167878,0.15495811952951005,0.03898152348995261,0.38709970920367726,0.22497192513642092,0.03692703533651521,0.4322986377967447,0.46539609325370535,-0.20116381713378545,0.7382128173121522,0.45311472430540456,0.4335448567449185,0.33409772441922914,0.11627906444584811,0.9035435998400668,0.4178670411017631,0.2961265248804936,0.12429835036250649,0.15857607891189054,0.608262484679204,0.7333841172862884,0.7924120331312302,0.656076473369295,0.1440378195161028,0.005175791414390039,0.5409238109686771,0.3165009540297727,0.4490545992193414,0.16177656181589825,0.6281556129744867,0.670072903619116,0.8358829433396908,0.04872798089863132,0.38150963843215635,0.8399044228598456,0.6974801109179488,0.31062779628075904,0.22791394179755134,-0.15033091026598577,0.10041319370481774,0.03220391987619076,0.09767985863547689,0.3151104395008673,0.33455466480910223,0.4959740333933175,0.21566227119065864,0.4448497395239282,0.08308133948627879,0.49882515777742115,0.07631199456006904,0.45839073602867914,0.048675593813063724,0.32270715729406274,0.08907224426520598,-0.01932653259899483,0.450013035512852
Thal_PuA_R,0.4971335754307459,0.19398282684409007,0.4032584227765615,0.44789818618769334,0.6786840388440926,0.5732499125072825,1.0,0.3907509935822994,0.2522813797741484,0.5525303336506745,0.47105564074346884,0.42308580244032234,0.2516158978869036,0.14622698075452936,0.40151577823379925,0.36028688653892693,0.5380267466490968,0.39444798849671536,-0.3866352973304208,-0.10172061493308313,0.22050650766778332,0.23736747719710455,0.08070590029531656,-0.1191207993729179,0.5016982186728017,-0.06455054818329138,0.031949038512044114,0.15332866797993247,0.2949966420267431,0.03518928410880712,0.3624498279449545,0.3892236121664191,-0.2560771984723709,0.44041260403507376,0.45152760908974876,0.39409583890082256,0.3807811781017628,0.22069874707433645,0.5291319320228685,0.3742266270464672,0.1502553229181319,-0.015625201620250696,0.26276857302607076,0.39714623507624774,0.5009639625037958,0.46599384914942826,0.44083211918736875,0.06435374369334465,-0.11488138009322083,0.49917365328114827,0.2039506287080676,0.3619462008062018,-0.03956797337564834,0.6553247510806121,0.36834668638261836,0.47265811547543085,0.09097686415381745,0.10273293704280193,0.6015231483066633,0.5345694237495572,0.2890836927129527,0.10411884913945639,-0.32250949493380576,0.0463210506759613,-0.27003607809242175,0.1139467350481383,0.26366017280520043,0.22943564898815952,0.5071023702361875,0.31296080718674196,0.24250308598249148,0.04812993455466541,0.40459717676556967,-0.017049668746849777,0.4091690560328656,0.18357926692928717,0.045140411973033784,0.00361755183673707,-0.4667629532067162,0.4376090353324852
Supp_Motor_Area_L,0.7764370973411228,0.24827433043645145,0.7697701059511906,0.5914689428548418,0.4028600676267853,0.5614960055214133,0.3907509935822994,1.0,0.7922298439819719,0.8008959428967543,0.8043165033254086,0.831531039526881,0.7197336130451354,0.44505636069911253,0.7742256971873703,0.7285112743750128,0.12481144521453229,0.7859854707861297,0.23555693714467657,0.5098302172440838,0.6622850866128661,0.22344931578934712,0.38929613360748516,0.2833247299271724,0.634575638762622,0.35821531870653517,0.3434385500781345,0.7972788797752444,0.3049687454865695,0.35073240123731697,0.7425171495155216,0.6750145901924535,0.3732777826330163,0.8301295563039949,0.7529290748832719,0.5302093715067003,0.3784518900614315,0.07530452716367148,0.4917388737400742,0.19226973953544071,0.4694358928510016,0.5457344193896717,0.5907412794344217,0.7706856046965737,0.3097834368357076,0.7424915846635144,0.8018682820170218,0.4339916793614559,0.37765634414396504,0.594528569578185,0.6771989166344481,0.7737586703727253,0.6354257991306386,0.48650181500415834,0.855147269315745,0.7871906963378872,0.037007354553155465,0.5883890628992278,0.5265907232522007,0.8496273041210067,0.6401626149743742,0.6209367785764539,0.40186752097935646,0.5629271809395555,0.4718172383771944,0.3305758393867027,0.6554189853609999,0.7220253372821753,0.7569189338412936,0.3510806556191376,0.5897621798765464,0.3131095474214663,0.7858645140668931,0.44778775777351204,0.6795019920301647,0.34076331805871546,0.3004035375506817,0.13760025480177296,0.23515514779249377,0.40219230848774506
Cerebellum_9_L,0.7878316129555755,0.3109047057113528,0.81059011686445,0.5934797554166905,0.3677613817245797,0.36634421466781797,0.2522813797741484,0.7922298439819719,1.0,0.6836103547513899,0.8044980784110866,0.7355726580009112,0.8697482721985249,0.508741068758208,0.8535120347332834,0.673153538712742,-0.1070115289998513,0.766841374143378,0.23255495540682009,0.4673030839973137,0.7716777482683577,0.06110168840204751,0.3359593642779079,0.16629319077331586,0.4942597988133947,0.2715840243960377,0.4486224185859764,0.7481865400042326,0.11794258034336916,0.222547485399324,0.7550485767395211,0.7258000150005954,0.48272108511482914,0.6928837489904955,0.7304287543196549,0.5859938295292366,0.21628569551117433,-0.04150614358062803,0.35347554718289276,0.04416661523842957,0.4667455579941701,0.5321933565176696,0.6350026301389688,0.7501792307558677,0.10529248750522457,0.622234359437625,0.721587893287427,0.4266663273605375,0.44928246055708254,0.42325082313311657,0.6566154409672218,0.7412680248626002,0.7005763640574619,0.33168637969871384,0.6949134079833936,0.6890314744449347,0.1457903430014325,0.6240490781892758,0.3018998423470177,0.7399115222118623,0.7908306556954039,0.6576119192242513,0.4764545454000992,0.5478665513325084,0.4917290184362573,0.3193846908350452,0.678148356401796,0.7885403113528779,0.7077205137497928,0.19215411384383846,0.4333582419420116,0.4513423579872129,0.8323881171855675,0.5261689124570673,0.6690801365248935,0.4183555798487872,0.2892835484270103,0.14993111908073836,0.21734773194635773,0.1860219358062998
SupraMarginal_L,0.7574140426577969,0.45568255189149925,0.7201374239085315,0.709882669467643,0.41584502697586995,0.6745233205862171,0.5525303336506745,0.8008959428967543,0.6836103547513899,1.0,0.7864900307890741,0.7937996562149142,0.6120728960782684,0.3584067675037033,0.7063661582480684,0.7139540504994366,0.2197666132253036,0.7278656894225943,0.11989233616818876,0.4602923832811232,0.6267340403994656,0.30210377374519704,0.40233594678494916,0.15320607526843152,0.695330330780776,0.24340652619900915,0.25900863950359376,0.6524569040507846,0.3705650165981654,0.31222417014522175,0.709281392046942,0.6661146973465923,0.2224354697314813,0.833270544065345,0.7604025511910417,0.6314940642801307,0.37276128157772737,0.11272947750935408,0.5644281681119172,0.33643696583048804,0.5495858523915526,0.4744378689954784,0.5727266198036894,0.8209114511507862,0.3697340477112561,0.750638363628655,0.847011264273599,0.29415621744327336,0.32498738387313264,0.6111402152628397,0.6914019988058628,0.6859731418084128,0.5278599411351292,0.5531335353512485,0.7843006155997952,0.8650806427959452,0.14972501358881143,0.49400979332647227,0.5790175204887025,0.8031999437182027,0.5840497071494938,0.5208709998877751,0.19903949768412427,0.4496795194230478,0.363267513937574,0.3930314121726601,0.5635274524642413,0.7114502175383779,0.7624230251186149,0.43328633752714957,0.4956908058991597,0.32556630338228526,0.7900429085336409,0.3767647808712372,0.7335510084045268,0.16441344380622527,0.36664648345399026,0.24674589343020184,0.09733259995129645,0.41232191928490336
