,Temporal_Pole_Mid_L,Temporal_Sup_L,Pallidum_L,Postcentral_R,Frontal_Sup_2_R,Vermis_1_2,OFCmed_L,Vermis_6,Precuneus_L,ACC_sub_R,Cerebellum_7b_R,SN_pc_R,Raphe_D,Red_N_R,Cerebellum_10_L,Cingulate_Mid_R,Supp_Motor_Area_R,Frontal_Sup_Medial_L,Insula_L,OFCmed_R,OFCpost_L,Cerebellum_9_L,Thal_MGN_L,Amygdala_L,OFCpost_R,Cerebellum_7b_L,LC_L,SupraMarginal_L,Parietal_Sup_R,Olfactory_R,ACC_sup_R,Occipital_Mid_L,Thal_LP_R,Hippocampus_R,VTA_R,Thal_PuL_R,Temporal_Mid_R,Calcarine_R,Frontal_Mid_2_L,Cerebellum_Crus2_L,Thal_PuA_L,Temporal_Pole_Mid_R,Thal_PuA_R,Temporal_Inf_R,Frontal_Inf_Tri_L,Occipital_Inf_R,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,Vermis_10,Thal_AV_R
Temporal_Pole_Mid_L,1.0,0.5770765946434132,0.7767497987358174,0.3738329065561425,0.6716508811369097,0.2546131545806959,0.43482568596792354,0.18253828166612768,0.24033504431224872,0.7027795084773806,0.09654518787618152,0.4466113931011328,-0.0700543261397047,0.5616498245008925,0.46645681628649266,0.3855997222119917,0.4159589527304073,0.5428859093323082,0.2541286852959453,0.6680594884590704,0.714770771410534,0.5321933565176696,0.5124083615328096,0.46193773411167416,0.4505373593270381,0.413979753308806,-0.24382831386341886,0.4744378689954784,0.11587516716561334,0.49489374545619713,0.6254461589857355,-0.05380108766378242,0.5283811810952722,0.5260821817155631,0.23262488519918634,0.5466539544303738,0.13667722685417932,0.14881891948599774,0.7140396682849073,-0.03409473219250537,0.3738252735761599,0.30521865236150936,-0.015625201620250696,0.16593974513308685,0.6350504077273834,-0.1844404247632646,0.5102729422705151,0.08345543934144271,0.5301711238770522,0.34594498844462684
Temporal_Sup_L,0.5770765946434132,1.0,0.3390382764386427,0.6736116064948438,0.746026758166738,0.4895634795076209,0.2637153326404409,0.5373025089866511,0.5759399337469748,0.4548677128313911,0.24183492825327788,0.3174404479637796,0.25911127273899354,0.5674634520281073,0.6385008704619177,0.7182600748504374,0.7520645789212654,0.7847110252729622,0.6065825932713461,0.3512187480077431,0.4951549791164067,0.7304287543196549,0.3973011926645019,0.5036166493635157,0.5372389170569932,0.47168330566417255,0.20589686306256258,0.7604025511910417,0.3353533035672643,0.4216953237022207,0.7954149302236635,0.38585556848089375,0.5965240764179485,0.7753552227951686,0.23109195911302283,0.6866748978760508,0.503086535742392,0.5017756271158581,0.8245408786006584,0.37445020238310606,0.693287901467796,0.30914986850862614,0.45152760908974876,0.35506671961214764,0.8584391115010682,0.23708334993535268,0.716866742308596,0.39122500470229954,0.5914982743748552,0.16197808605776604
Pallidum_L,0.7767497987358174,0.3390382764386427,1.0,0.2990524018459035,0.5747013510354623,0.2412153768947389,0.35979630205119284,0.15081640645738134,0.14978452425067965,0.5702682870423693,0.0989626141055579,0.2581002816822153,0.05107829200586747,0.5044104200015537,0.44844969467401324,0.3497601464637381,0.3719136794623371,0.38236854900717804,0.1896111814283163,0.5401180115537865,0.5726974681195883,0.4917290184362573,0.46061725881015797,0.3232998781012349,0.27393413013334983,0.3718772250983142,-0.3856763218255787,0.363267513937574,0.045941224772773556,0.47538529154344483,0.5056789411250704,-0.17943978558201776,0.4394458176876914,0.36726100440949355,0.1689803452688111,0.4306734013582284,0.1019769896049535,0.05343541109216027,0.5465346278757758,-0.13095648625987835,0.3002120917119567,0.29448574049532966,-0.27003607809242175,0.15795351346362674,0.524463896748403,-0.22842619417016005,0.4127201263162684,0.011967445137831993,0.4644800905643247,0.46078432221642995
Postcentral_R,0.3738329065561425,0.6736116064948438,0.2990524018459035,1.0,0.8333541519681505,0.3177309762445141,0.19128337751526478,0.32946024104591476,0.809021507442579,0.22925741662517757,0.08934783578852559,0.30599955152213926,0.3931495751259059,0.4723495896037284,0.6193913253338555,0.8661847099094229,0.9026480726521726,0.744038668693308,0.6145293068794718,0.3452485342483395,0.4581456300982612,0.7226616107751707,0.13483341923118605,0.1431906615750425,0.4684910016932128,0.47875267430439905,0.3588483044527556,0.8381885783162834,0.7697099917695743,0.3921622075041317,0.8149948242070045,0.4686319353850495,0.6128550062118794,0.644741811794927,0.15072226718937956,0.631001884996525,0.5321881673730243,0.5010985072634527,0.7350783014431255,0.12980652900538733,0.7116932442008563,0.11376958166880455,0.5242486031804742,0.15298467416902828,0.783240546943407,-0.029949235016415204,0.7758860354522575,0.24517260516307257,0.5950063152574238,0.10176144054881509
Frontal_Sup_2_R,0.6716508811369097,0.746026758166738,0.5747013510354623,0.8333541519681505,1.0,0.33767467436333504,0.25980463391408926,0.36766092733401606,0.6417232773334605,0.4887971313465085,0.07326143599253608,0.31090637919131764,0.3311412664280972,0.5585134860201043,0.6967104410986688,0.7929574214138092,0.8525694602567417,0.8072150795826807,0.5501310716565173,0.45789206218167056,0.5357892383084304,0.7796556103770103,0.4528165821070688,0.4251126828605904,0.5285772206031445,0.5473458181837568,0.0613433658896394,0.747558863169022,0.515164226540195,0.5596165207169349,0.8657088249955566,0.290432522617002,0.735154117621334,0.7020256123891022,0.2562531884747826,0.7193626224572465,0.4882111946502102,0.4094420190883055,0.8785887308510391,0.11926504973797246,0.7443341471392864,0.39728005697006846,0.27915282184158013,0.25325781082840926,0.8838833529603477,-0.03483777476512979,0.8583741919601279,0.22557368221687268,0.6657011328384927,0.3370618221229459
Vermis_1_2,0.2546131545806959,0.4895634795076209,0.2412153768947389,0.3177309762445141,0.33767467436333504,1.0,0.12294176150099265,0.4274529421318083,0.2604990454973961,0.23339605927362556,0.14418385381727888,0.09433516878048974,0.14811479665458588,0.32058923691098,0.47056819309240966,0.40176696728374567,0.4528208701362994,0.3659557558678442,0.5130262110695945,0.18089229514989863,0.24577468779230804,0.5386818704451836,0.2180072174830818,0.1338090973585276,0.2346648398125288,0.25352555624623807,0.10492666513441001,0.4165739481512787,0.0988305364561144,0.2382564737524266,0.34242146731399065,0.08880784296529823,0.28756332768233017,0.4144145263938528,0.12313597558919973,0.373525813744753,0.2825687923564441,0.23668394126912073,0.36212509451360775,0.1358173098002158,0.3434608973159149,0.22047310051966135,0.24821810514889084,0.27981318544438744,0.43224957778556067,0.2029536897412232,0.4408645513678937,0.22907895732714195,0.48656373675994485,0.1129468766582416
OFCmed_L,0.43482568596792354,0.2637153326404409,0.35979630205119284,0.19128337751526478,0.25980463391408926,0.12294176150099265,1.0,0.09602326741839462,0.11889422164882141,0.4098725846258608,-0.1030433394929924,0.34401419713785614,0.17721121928995495,0.4999658374262582,0.08404709097019816,0.1472722637351477,0.17423823351645842,0.2527464013644731,0.28123766288505053,0.4910380897625898,0.4820291281287196,0.14993111908073836,0.10934274630095364,0.27919470615956654,0.25441964977950765,0.03197825425277823,-0.09973376254434524,0.24674589343020184,0.09820535658888285,0.46733542891567026,0.3382857650689588,-0.013022441979743251,0.1924576318365591,0.4341232935187594,0.10390239738594446,0.22348098444111889,0.14262826995939296,0.08271057056901442,0.31311342068182646,-0.08792544079074581,0.09939605911295042,-0.049662396966969204,0.00361755183673707,0.15426293694289234,0.37026720045980643,-0.09722485131580734,0.35733619744568784,0.02336797307230653,0.13234406321767966,0.2041454684494822
Vermis_6,0.18253828166612768,0.5373025089866511,0.15081640645738134,0.32946024104591476,0.36766092733401606,0.4274529421318083,0.09602326741839462,1.0,0.44336013104249916,0.0653590591937002,0.3822355461202976,-0.12114583837159171,0.3440314309944322,0.1845723158001645,0.42228145271685785,0.41600123670278094,0.487131622387981,0.44307275786013345,0.40913475718880793,-0.06834529819162022,0.14137410847353113,0.39586126271341926,0.27279921660711226,0.4408250613009721,0.29175415203359256,0.37584496254350375,0.02102520691172264,0.44330812727683655,0.17271293067230312,0.15460429214336904,0.29778132589588385,0.5138630030133287,0.18393677103441108,0.4923405745247574,0.1885300083878067,0.26740752792590733,0.7265412160685492,0.6742580778589305,0.41323864757774087,0.6921094471289688,0.3989466950811031,0.4151484057744848,0.2964116045586629,0.6892733822234869,0.499031083970713,0.623272004202785,0.398490461373386,0.811550446633287,0.18534380355706273,0.28194876688896153
Precuneus_L,0.24033504431224872,0.5759399337469748,0.14978452425067965,0.809021507442579,0.6417232773334605,0.2604990454973961,0.11889422164882141,0.44336013104249916,1.0,0.14579613219940732,0.16885193554846722,0.1393555308999129,0.4143997175241721,0.4022623636399408,0.4813503262851043,0.7626499626421862,0.7503828649979212,0.7295445435118105,0.6121880190460044,0.18433561095907736,0.3122794747631681,0.5169612425534564,-0.02561165733951809,0.12737889813935305,0.39053070261770734,0.47032743226936174,0.3857916687432203,0.7382235893990206,0.8230187637309612,0.28412412619063243,0.6211206593169513,0.7389381009589133,0.3885684067993158,0.5743850434091055,0.10205702811486028,0.36697760334212326,0.5964356035620421,0.6854214951691675,0.7107044020407424,0.23343211969910346,0.5918496310583092,0.18211587317109637,0.5205921741445096,0.19716094063195555,0.6517243794427935,0.08296564595391422,0.5291917532802424,0.3804079955912855,0.47606836657151386,0.08935584538747758
ACC_sub_R,0.7027795084773806,0.4548677128313911,0.5702682870423693,0.22925741662517757,0.4887971313465085,0.23339605927362556,0.4098725846258608,0.0653590591937002,0.14579613219940732,1.0,0.03297901450865571,0.617103980538251,-0.11064949056582178,0.5352695009328376,0.3685376791300201,0.2425248088894653,0.26869555529468614,0.4548458292482798,0.379889021185511,0.5898568831872232,0.7243817415247388,0.44928246055708254,0.5888170526761675,0.447310725988314,0.5724657209292798,0.2958321886602086,-0.19739642481446967,0.32498738387313264,-0.012508480025938278,0.6890201882973155,0.5446054611241267,-0.23332475529576618,0.42896217451759544,0.4940798537944765,0.339985999253489,0.4726644905156068,0.029856538499000745,-0.08827089916260239,0.5854356085247362,-0.09714464359391847,0.22934606427497825,0.2501212785177096,-0.11488138009322083,0.1726100330074799,0.532365443172346,-0.2575479939383598,0.4726334377782501,-0.0005925563562595222,0.4976241105574361,0.2799992199613059
