,SN_pc_R,Precuneus_L,Frontal_Inf_Oper_R,Cingulate_Post_R,Thal_PuL_R,Thal_MDm_R,Cerebellum_Crus1_R,Vermis_6,Cerebellum_10_R,Frontal_Sup_Medial_L,Precuneus_R,Cerebellum_3_L,Thal_LP_L,Frontal_Inf_Oper_L,Cingulate_Mid_L,Thal_AV_R,Postcentral_L,Occipital_Sup_R,Thal_VA_R,LC_L,Temporal_Sup_L,Temporal_Inf_R,Supp_Motor_Area_R,Pallidum_R,Frontal_Sup_2_R,Frontal_Inf_Tri_R,OFCant_R,N_Acc_L,Parietal_Sup_R,Temporal_Pole_Mid_L,Rolandic_Oper_L,Insula_L,Amygdala_L,OFClat_L,Frontal_Sup_2_L,Vermis_3,Frontal_Med_Orb_L,Hippocampus_R,Thal_MDm_L,Cerebellum_Crus1_L,Postcentral_R,Raphe_D,Cerebellum_10_L,Insula_R,OFCmed_L,Thal_LGN_L,Thal_MDl_L,OFCmed_R,Cerebellum_Crus2_R,ACC_sup_R,Cingulate_Mid_R,Cuneus_R,Precentral_R,Thal_PuA_R,Thal_PuA_L,OFCpost_R,Thal_MGN_R,Pallidum_L,Occipital_Inf_R,Temporal_Sup_R,Frontal_Sup_Medial_R,Cerebellum_9_R,OFCant_L,Cingulate_Post_L,Temporal_Pole_Mid_R
SN_pc_R,1.0,0.1393555308999129,0.3233600270959875,0.30023510006105864,0.4674239334366617,-0.038908229873267926,-0.04002105759833763,-0.12114583837159171,0.21840420603469313,0.20744476171715062,0.19764004686875783,0.42726054223205384,0.40882057148970524,0.2795437919970155,0.10148023628870272,-0.09432669763374997,0.218070083220221,-0.05830958285976821,0.6290627243579054,0.12603211435531447,0.3174404479637796,0.029033395577459258,0.23056472291040217,0.37495096121711186,0.31090637919131764,0.3709129030576836,0.7231729030110003,0.2991979659009392,0.1096254986974065,0.4466113931011328,0.23466728747754614,0.25486278288578007,0.1329733081240905,0.6865034114793589,0.2608595766171791,0.559448339133012,0.055744795261177114,0.4670827852024453,0.5603696953147355,-0.12385168602993257,0.30599955152213926,-0.3632589982660026,0.24670545539656327,0.4700302007282698,0.34401419713785614,0.17686834083291517,0.42287641818565136,0.5046792129372221,0.1822864601349412,0.4246269428284502,0.2322661630455826,-0.2774958736230988,0.2919015389040958,0.2037524189498938,0.10307745306672614,0.5566630925026207,0.14389823030300256,0.2581002816822153,-0.4161334224136619,0.3424709086504333,0.3352524904544707,0.3286123699743658,-0.13475986690032132,0.11623482833269413,-0.2066519538057056
Precuneus_L,0.1393555308999129,1.0,0.6695121000011022,0.5686535727240059,0.36697760334212326,0.18599974883000134,0.3804079955912855,0.44336013104249916,0.5943237609805758,0.7295445435118105,0.905995270690393,0.2983614173886575,0.5241697372735716,0.5970762214236834,0.8153181560246748,0.08935584538747758,0.858661752493351,0.7944400909889213,0.09956947965657618,0.3857916687432203,0.5759399337469748,0.19716094063195555,0.7503828649979212,0.3276080640456945,0.6417232773334605,0.5291917532802424,0.21984874989054945,0.40851838808507884,0.8230187637309612,0.24033504431224872,0.5403457975419992,0.6121880190460044,0.12737889813935305,0.13487403855203578,0.787963972090985,0.3231709145167027,0.10837945427004642,0.5743850434091055,0.35561000669629445,0.5283134690057809,0.809021507442579,0.4143997175241721,0.4813503262851043,0.5828311375290471,0.11889422164882141,0.612527964277189,0.11841755474188506,0.18433561095907736,0.25001391090155217,0.6211206593169513,0.7626499626421862,0.63509319948531,0.7744167453895069,0.5205921741445096,0.5918496310583092,0.39053070261770734,0.36202291238490886,0.14978452425067965,0.08296564595391422,0.5865573430888329,0.6399780267419459,0.5399538551165183,0.04065950009424346,0.5195203724644766,0.18211587317109637
Frontal_Inf_Oper_R,0.3233600270959875,0.6695121000011022,1.0,0.5377379127161644,0.6696386333400061,0.2693676457239075,0.29425855811267976,0.4505454679876296,0.7013735660648229,0.7218125633406077,0.7011760461568393,0.6834745316240353,0.7280301652997587,0.8118968996103404,0.7163362167783388,0.10571518581227715,0.8029555156153441,0.5735763781116191,0.35516304061805637,0.32712153931950055,0.7812750263776561,0.3056609681118965,0.8176209084696121,0.5219161762109215,0.7724811675950299,0.8748477278345985,0.37698303523456705,0.36741737420056764,0.5489091214504371,0.3603815859081831,0.836116140275229,0.7125232830608863,0.21989996710586635,0.3333014782039087,0.7172283751628071,0.6697744930280505,0.060899796466306215,0.6966732971829616,0.5712327985263826,0.4207705579871698,0.8323920466165267,0.3643449890621638,0.6246425814173234,0.8399477415007128,0.24817010383824528,0.6593384549854233,0.2825013243794556,0.2577161996722786,0.2596833928922079,0.780308532261859,0.7879465931910264,0.41361383612646707,0.8607088111537309,0.4971335754307459,0.7018474493316998,0.4897598027468916,0.283211741875273,0.2534107732356123,0.08054469783960863,0.8065956133129308,0.776749689746603,0.737648503082863,0.005633408729531511,0.2601831304949789,0.16671649900849095
Cingulate_Post_R,0.30023510006105864,0.5686535727240059,0.5377379127161644,1.0,0.5177962561638404,0.4198732264343283,0.22417565136471237,0.29915299568478554,0.5352131533256683,0.6922202771179793,0.5536032544871391,0.4247790256046409,0.5015687802001021,0.5274213472633659,0.5294443053343371,0.03743499220910813,0.5579261992204909,0.23898155423383055,0.3938074928223642,0.19115301376329608,0.6643597513334298,0.1946220493467655,0.5800406959166248,0.21801499840067276,0.5217954642406839,0.4449456670458795,0.39101717491208926,0.22508735379941358,0.30797111527238247,0.4376123246344195,0.5450490720490972,0.5596175519847226,0.19571189457848248,0.4606551300659712,0.682527090867525,0.5818958349101453,0.2933667139662215,0.6237813440356558,0.4766227680809196,0.29160771762226173,0.5156686355961263,0.1258842729950806,0.5003422739606488,0.4959703025692782,0.18549784225772714,0.4728251562661726,0.4824080673278516,0.37567034621684137,0.2497261492619856,0.5720920531924057,0.6422302212044715,0.1416829614519044,0.5279714734059452,0.39409583890082256,0.4750749539013524,0.3729045296602659,0.290496115876255,0.27731089720310975,0.03626325232597409,0.623319890180813,0.6562397458023259,0.5719360803448998,0.04374477783472856,0.7964543876218834,0.21802938674020614
Thal_PuL_R,0.4674239334366617,0.36697760334212326,0.6696386333400061,0.5177962561638404,1.0,0.4207055932919974,0.16182528782196773,0.26740752792590733,0.45501623526966817,0.5407874527644279,0.45603127778808783,0.7045640239329601,0.7464503842915332,0.5659531657247184,0.39401206566005526,0.1481450358056851,0.5618373357945722,0.2959765381468096,0.617770827390436,-0.04150979882198593,0.6866748978760508,0.3742375631905462,0.6514464542322168,0.4680333998404259,0.7193626224572465,0.7057219573826508,0.5387540033714672,0.06072962791181345,0.32041187661403076,0.5466539544303738,0.5775440769355769,0.5288263839782593,0.3940891656374683,0.5444195381132597,0.5872253718963505,0.804428031374328,0.07277902690483842,0.6940706774033273,0.6449580559418163,0.17377876571526463,0.631001884996525,0.1282832218059901,0.6640207807351752,0.5847823187328863,0.22348098444111889,0.3844756148745379,0.4348511028778166,0.40764747989530836,0.3047243223334606,0.77012589796606,0.6039220198132792,0.0009306279241802756,0.6048783533047087,0.3591482856029738,0.7103884101189875,0.5612219338418639,0.1593671567880531,0.4306734013582284,-0.013610414485233792,0.7349783951280134,0.725841592583828,0.7147055152575423,0.16459895275113118,0.1601316288125957,0.3699565831759936
Thal_MDm_R,-0.038908229873267926,0.18599974883000134,0.2693676457239075,0.4198732264343283,0.4207055932919974,1.0,0.21987307375604268,0.3003299419087858,0.3170990211793926,0.3957381730983665,0.18497771173062702,0.22348384180593758,0.2807762136061232,0.23218424694555173,0.2340620651984495,0.0962270140095856,0.28785286721041325,0.0636550042216929,0.4916198115472252,0.015106893352713596,0.46779737061940635,0.3343451131956784,0.4439943919523327,0.21271289127166582,0.43079512370478446,0.2379808409872033,0.23773672852501992,-0.28116154296816004,0.05574536589881161,0.4487904085186521,0.3120105390340113,0.11643665328198094,0.26096696273148595,0.37941743913561327,0.4528122741882694,0.46251717723770724,0.27541407520347605,0.2899390346825445,0.4026971813627925,0.259851990770295,0.3048306292956845,0.0027263362820077737,0.3822162291734278,0.07171452625384092,-0.19688947777219806,0.13549990544976775,0.5619008622389482,0.38192023143238324,0.13616214219281333,0.39357841132566174,0.39331869612245934,0.005450111443004295,0.3271252275326713,0.18962896281498628,0.34183889752605634,0.1597841192142814,0.2762335594053343,0.3620618739363033,0.19014420011601907,0.2903669993595445,0.4651894312359545,0.44010386372932503,0.14126468497266256,0.24667657626449255,0.3975670942435304
Cerebellum_Crus1_R,-0.04002105759833763,0.3804079955912855,0.29425855811267976,0.22417565136471237,0.16182528782196773,0.21987307375604268,1.0,0.811550446633287,0.2846618999995966,0.37140572098971875,0.4967332068105608,0.17978996072340456,0.19655300998909964,0.33440278227460646,0.33541821753613377,0.04978628610657658,0.30275756975695667,0.5243748592516446,0.004396841736346381,0.18223990387111128,0.39122500470229954,0.752630423862776,0.3841647020380177,0.09210195693533944,0.22557368221687268,0.26012469468457133,-0.08071544434769377,0.11022034560602549,0.12533786757761853,0.08345543934144271,0.35670072561721405,0.38379756204953736,0.31772948203782186,-0.045260643503959634,0.3464921022979857,0.13419912610489737,-0.0014825467455184041,0.33396390244202906,0.20037771423869633,0.8542786191709538,0.24517260516307257,0.1855051410236294,0.32010959425731605,0.23830959789089992,0.02336797307230653,0.3927835525279653,0.030552169169961584,-0.04964857914102326,0.6124873452140448,0.18188350879282877,0.31604628694293785,0.6784811860453382,0.34407901671388824,0.3807811781017628,0.19949554670993114,0.2785104378239069,0.14465292558723555,0.011967445137831993,0.6577561810201892,0.41800513856826993,0.281633121860378,0.5615068994747797,-0.050482590797627125,0.2924028922979137,0.2981296750871817
Vermis_6,-0.12114583837159171,0.44336013104249916,0.4505454679876296,0.29915299568478554,0.26740752792590733,0.3003299419087858,0.811550446633287,1.0,0.3574332770449494,0.44307275786013345,0.5972145708436177,0.3267450888002051,0.3278261912797422,0.4063156621337017,0.41446152107510503,0.28194876688896153,0.3947738159738966,0.5723433731381786,-0.03448388081568052,0.02102520691172264,0.5373025089866511,0.6892733822234869,0.487131622387981,0.2659710444741265,0.36766092733401606,0.398490461373386,-0.06319394938041396,0.05566140749682893,0.17271293067230312,0.18253828166612768,0.4897363477079825,0.40913475718880793,0.4408250613009721,0.0007688845276337155,0.44184042676384727,0.3184223137331776,0.03970200298533562,0.4923405745247574,0.3050685179713124,0.8341248913145848,0.32946024104591476,0.3440314309944322,0.42228145271685785,0.32756581732880236,0.09602326741839462,0.38523017246998514,0.15189217473164784,-0.06834529819162022,0.3331754589708288,0.29778132589588385,0.41600123670278094,0.7516133632620393,0.4082760515640367,0.2964116045586629,0.3989466950811031,0.29175415203359256,0.256684489925824,0.15081640645738134,0.623272004202785,0.4290431112373229,0.3825231514860027,0.6249289666664432,0.15281811408772017,0.28617785116828964,0.4151484057744848
Cerebellum_10_R,0.21840420603469313,0.5943237609805758,0.7013735660648229,0.5352131533256683,0.45501623526966817,0.3170990211793926,0.2846618999995966,0.3574332770449494,1.0,0.6305159025956841,0.5204458281768729,0.33284610433523487,0.6473291564635177,0.5403996581371865,0.6478644519199831,0.050340455261108565,0.7143836706595242,0.4325031789178817,0.19627403722891976,0.4324665149627256,0.7504160790827239,0.10153088118678019,0.6896778742322348,0.2930709416100726,0.6116437010077863,0.5748002290610367,0.2494322149140529,0.3712916140841435,0.45858803263748776,0.2768185817056821,0.6003448085609162,0.5198148229418245,0.13583741464262464,0.23347307539054873,0.6900574217081842,0.45328598421448835,-0.06752914449936213,0.5432466365506252,0.47680053359065927,0.45814677453874675,0.6983378460601813,0.1850665666025104,0.5382485105864245,0.6852374784060687,0.05480312943805771,0.6464956111916247,0.24162995240922613,0.1992880458829984,0.2700463514364417,0.6440692855351451,0.6611144217384242,0.32577995499811085,0.6798252723859554,0.44876775093380056,0.5685205486360769,0.48009440218764954,0.46839576666187444,0.12358542438916066,0.16739880795291864,0.5342416422074804,0.6153604069309242,0.7253260733546676,-0.08638664501727658,0.34206701536158013,0.0742111687738354
Frontal_Sup_Medial_L,0.20744476171715062,0.7295445435118105,0.7218125633406077,0.6922202771179793,0.5407874527644279,0.3957381730983665,0.37140572098971875,0.44307275786013345,0.6305159025956841,1.0,0.6480141322184718,0.5351160328105128,0.7135382368656205,0.730162039428398,0.7426178377899207,0.2519149276624548,0.7941442401324161,0.4683100757121167,0.2816932836157863,0.19168212087881192,0.7847110252729622,0.2838755560473418,0.7800331910479898,0.4383281992824353,0.8072150795826807,0.6950806394095451,0.4443230497615332,0.2586533758807337,0.4826023406844923,0.5428859093323082,0.75211978208556,0.6750401226930831,0.463111276045523,0.35196827327530555,0.927488909174666,0.579362699231473,0.3851636767569744,0.739914616203261,0.5823249378983139,0.4809938077075592,0.744038668693308,0.464105695678026,0.6389065013802685,0.675180698806345,0.2527464013644731,0.5998110349808566,0.4237945906658298,0.36690859521924246,0.45324957722315445,0.8384127846303797,0.7717657354584658,0.4037697120111629,0.7333764233584094,0.4290281476919981,0.7184283771967,0.48012236734991265,0.3342646403826658,0.38236854900717804,0.130912910070242,0.7094180367298768,0.879495415754862,0.6923162617481627,0.2430159877334349,0.632019507226213,0.4048930741264098
