,Fusiform_R,SN_pc_L,Temporal_Sup_L,OFClat_L,OFCmed_L,Thal_MDm_R,Rolandic_Oper_L,Frontal_Sup_Medial_L,Frontal_Inf_Oper_R,Thal_VL_L,Thal_MGN_L,Cerebellum_9_L,ACC_pre_R,ParaHippocampal_R,Parietal_Inf_L,N_Acc_L,Temporal_Mid_R,Amygdala_R,N_Acc_R,Postcentral_R,Frontal_Mid_2_L,Parietal_Inf_R,Thal_PuI_L,Occipital_Inf_L,Cerebellum_Crus1_L,Rectus_L,Caudate_R,Cerebellum_Crus2_L,Cerebellum_10_R,Thal_LP_R,SN_pr_R,Temporal_Pole_Mid_L,Putamen_L,SupraMarginal_R,Precuneus_R,Thal_VPL_R,Cingulate_Post_R,Vermis_9,OFCpost_R,Lingual_L,Postcentral_L,Lingual_R,Occipital_Sup_R,Vermis_1_2,VTA_R,Thal_IL_R,Thal_LGN_L,Thal_VA_R,Cerebellum_8_R,Temporal_Inf_L,Cerebellum_8_L,Thal_VA_L,Thal_Re_L,Cuneus_R,LC_L,Occipital_Sup_L,Fusiform_L,Cerebellum_3_R,Vermis_3,Caudate_L
Fusiform_R,1.0,-0.05006765666555801,-0.18065059101717051,-0.25235759539169333,0.15212183126830586,0.34478021920324015,0.05964952972068964,-0.011249937758348547,0.16655506561628827,0.12218225377549753,0.03838679498269026,0.35373295985732467,0.1431627225352147,0.26999809104495565,-0.026447980940345495,0.021358817378614187,0.7332581026791202,0.5006462447194592,-0.06397290462593445,0.09026136432286787,-0.04805814459923576,-0.20389813955150166,-0.15840305626367995,0.08902648609414936,0.17930485877591096,0.031486420778643984,0.20630491698215578,0.3943808744326062,-0.15129901860442319,0.1805910772666087,-0.09179261870398034,0.07205855569016413,0.48499981832671296,-0.13157113908840584,0.18971257399825633,0.23246436205979337,0.19332888310425225,0.49726708652188073,-0.019081816628827363,0.5961930515228383,-0.12866693432482396,0.6394490574784217,0.2292893244384821,0.26730686941909676,0.10528459075804482,0.3655816215589885,-0.07945666111488475,0.39412932587263283,0.40880627285761195,-0.057987394417382376,0.17856189444241052,-0.13123050291819785,-0.040916312041610295,0.3000541089209227,-0.02391425641236408,0.15764910245489952,0.38657245193041,0.2847408996058238,0.526692387055227,-0.2011443681077553
SN_pc_L,-0.05006765666555801,1.0,0.004026436783548475,0.007203555442526527,-0.17042584372317957,0.18135763335096014,-0.003993060895989251,0.0701987782403114,0.21261873256145852,0.23583026340205343,-0.17840565873663392,-0.12533929888586293,0.08487245399213915,0.10167274836613156,0.19870571058316988,-0.21010669651076677,-0.043847021904179106,-0.03908846258957297,0.27859374921326807,0.0663009649511061,0.14892981069374664,-0.04245993883701899,-0.015184886557621494,-0.3384176787855898,-0.32458687889461213,0.03126213944789121,0.15262765567495795,-0.1541757937993941,0.27688574335308097,0.1617467215434037,0.09543019835275635,0.4054094282276138,-0.2963737090850662,0.02162362522852089,0.08552760798995064,0.28486691303476297,0.3466703248316244,-0.020148254824337124,0.09259113741904668,-0.3336886141521676,0.23589387208859242,-0.04191966797759509,-0.16076190818209352,0.12441725877912198,0.3593436229235301,0.27713571680380517,0.1455190247036597,-0.13427521079373117,0.03395630810677777,-0.22811607149700847,-0.18149615279239878,0.11362394871879233,0.01411200259083469,-0.14337891502484346,-0.08161089742578864,-0.22877141575233287,-0.3786623540866915,0.6513018582621655,0.39149640162892435,-0.018837834310337226
Temporal_Sup_L,-0.18065059101717051,0.004026436783548475,1.0,0.5655871329247951,-0.1085733076712074,-0.18479298256480395,0.10043857917042723,-0.3076091959083148,-0.11216818429095028,0.3700519829294325,0.1971968451613408,-0.10382169681161167,0.027099088226585914,0.2702938180281183,-0.0935701160690413,0.2899385328036333,-0.22873771631641507,0.28087392135112865,0.29727990456383196,-0.5252284728712625,-0.0914526073141263,-0.30219861612076593,0.3095559927297887,-0.16857926580950777,-0.2834819220129516,0.40701039657259896,0.35505032753317695,-0.42565043843491707,0.2541213066270315,0.5940053716271025,0.18638006521863124,-0.29469463305558646,0.18187486901640207,-0.2689794619820965,-0.19182464128930343,0.22285944908648808,0.09118719376960835,-0.4917245063190733,-0.23287926775890827,-0.09775259052578936,-0.0074991221229722,-0.2967303318882104,-0.3383308199657698,0.4257246957949299,-0.12451464624433776,0.13660916190949235,0.19882152609911363,0.006411278416009412,-0.6480635751966849,0.3165175752085246,-0.031315470208755386,0.49449722302639726,0.24767422804279532,-0.3406264225616273,0.3025388673513505,-0.22801071560623196,-0.01878269950662018,-0.0008448476737943976,-0.123747405455033,0.7368134544894156
OFClat_L,-0.25235759539169333,0.007203555442526527,0.5655871329247951,1.0,-0.4052883855599799,-0.27770711536585907,-0.03729815454188013,-0.241235437082607,-0.2961624455194251,-0.008784463342391708,0.06215771139767467,-0.07602703312410627,-0.09711659575670403,-0.03709965850151888,-0.32893388890906256,0.04828114264228352,-0.24050329374907037,0.09140353783877436,-0.025388936102169055,-0.3945756235111097,0.03258816275505571,-0.24190595036484872,0.08825845304536131,-0.11984545610681993,-0.10121386080898745,0.25539029031217325,0.17989010716603382,-0.2962410661418857,0.07926598207522836,0.33127069141126314,0.05528477921557545,-0.10643166669777883,-0.09200716270192337,-0.04023493700016391,-0.532833363137348,0.12070912936779081,-0.07605993622479809,-0.4490583181369177,-0.4812945627766251,-0.16870269866567014,-0.286116166532463,-0.3482100248203018,-0.3024841730484004,0.31608740720689366,-0.12792441755878023,0.013183418010544573,-0.022353702494619113,-0.15359772488889753,-0.4906213071772807,0.17695872029966112,-0.07463976443567985,0.19310379352099993,0.18492337578814527,-0.35008330904146134,0.17916585443213862,-0.2858009163656922,-0.11165650843946626,-0.042496469900908426,-0.12222849930273141,0.3859654487807049
OFCmed_L,0.15212183126830586,-0.17042584372317957,-0.1085733076712074,-0.4052883855599799,1.0,0.1692480792406894,-0.06144515720357016,0.2713131438640256,0.33564242962501684,0.14689120775589862,0.12195814060320337,-0.434338410792444,0.5318981786936563,0.34492261793442186,0.08375212043421149,0.3904559820031437,0.0769130636800775,0.06547886066524229,0.3380538297219317,0.24578783681490726,-0.22804305882749246,0.1799840039361991,0.17411165613265422,0.154782486549716,-0.05761801674810174,-0.2378176897597674,0.12043466977776347,-0.09594057974375256,-0.08634111946785905,-0.06582850584657872,0.24653619010633504,-0.19231849071165755,0.10754577320114726,-0.026047159420337786,0.2288246372878795,0.1188980247268423,0.08765245289465572,0.20970885710712706,0.4914456097466202,-0.044527102808223744,0.09228312581189412,0.09135478159159324,0.1490887259687935,-0.2741559640795572,0.1600327458659367,0.06513032076111402,0.0434961832709205,0.2049582844330257,0.12414777599536354,0.05535960132878688,-0.17551033856713785,0.07834660623032644,-0.03772998637869849,0.2018324816051739,-0.11657581757172826,0.14891416825651824,0.20243639202432592,-0.17012255312145824,-0.059752559324085526,-0.07929974374922713
Thal_MDm_R,0.34478021920324015,0.18135763335096014,-0.18479298256480395,-0.27770711536585907,0.1692480792406894,1.0,0.07895427523457028,0.40575949589289056,0.5178661577740848,0.5600578200481571,0.0007578782603472936,-0.11095499602337124,0.35899940033329647,0.3611573807572039,0.16645833783784728,0.35460641273462784,0.25859879020063914,0.06536915565690733,0.32857363314681765,0.19261181247989306,0.24615380622362934,-0.209198043726064,0.39305360107557724,-0.28493168300473437,-0.2087146689225659,-0.12456135602538111,0.16455553628746522,0.02522412738210781,0.39159563813385084,0.09120161483816124,0.3813852466770234,0.1618713504085667,0.3947188789051433,-0.2921963916554033,0.41581859990402953,0.6439848040438779,0.5136977292048337,0.4834346831445198,0.549652543166183,0.13930455321033314,0.1941762498271249,0.3251062996790718,-0.22796394697849184,-0.29289269475744784,0.25389967796797447,0.47230556045933625,0.3784211165366304,0.5004349811697324,0.418526008092535,-0.17797779057001442,-0.1649920144950534,0.23877872597564626,-0.16659121937340957,0.12950285689954563,-0.3707582423456597,-0.2184021279160761,0.12003571247999105,0.09065718875777226,0.46449080916349894,-0.21273423209123732
Rolandic_Oper_L,0.05964952972068964,-0.003993060895989251,0.10043857917042723,-0.03729815454188013,-0.06144515720357016,0.07895427523457028,1.0,-0.03792293981963845,-0.04351525262874366,0.36236259085144423,-0.0031190228547583027,0.23673443699247043,-0.2601897402371841,0.07658339818523856,0.24279465521500343,-0.17264791319681236,-0.11923559918093789,-0.16427551279595637,-0.029045190033328172,-0.23018336306945925,0.2745514033334369,-0.23817022206441796,0.04663248553549047,0.018013113585030723,0.11073612908053372,0.15282680129042556,-0.17473830621652228,0.11907752576741262,0.1440361160662984,0.1646947108664261,0.12749704439741316,0.08882755422715882,0.13519849529170583,-0.26482847354259753,0.1733875938675724,0.05802294981526069,0.09676473747790827,0.1070255997077166,0.1453661425834492,0.280198964317317,0.3134496834059862,0.16714235211075035,-0.10167906213260093,0.09000048338926303,0.1881722901022355,0.19918748113217363,0.03058906178007327,-0.0875857562311782,0.11479690645312954,0.029414441754851577,-0.0008177384684239584,0.2985749003636959,0.1758228409171754,0.026377231954625355,-0.012269913610743172,0.10895500230143824,0.17735973624172646,0.04317296978473609,0.14487746244415176,0.30278804706861245
Frontal_Sup_Medial_L,-0.011249937758348547,0.0701987782403114,-0.3076091959083148,-0.241235437082607,0.2713131438640256,0.40575949589289056,-0.03792293981963845,1.0,0.4019932855085369,0.1325263957257392,0.18164844602137897,-0.13744382958000945,0.3385488608553614,-0.1525169290105752,-0.010751286978006239,-0.029712000695944204,-0.12971286884680674,-0.454774039872485,0.09064467119319321,0.33336313893907193,0.5503282251696271,0.030233920128040503,0.27022976489909895,0.23752820947683467,0.34944470825107615,-0.4740212407061576,-0.44165991492202367,0.3903801303562974,-0.05423643172667797,-0.37739653865799744,0.13566401008197299,0.15925913141022857,-0.15644216209748454,0.028186335221810417,0.06115014205564406,0.07771627623675001,0.1876350902180665,0.557389809069546,0.5377670341031469,0.0769550139023038,0.14063487835597951,0.40361247892284746,-0.12026119199288896,-0.3536789756245744,0.24009020341327347,-0.0976034395274108,0.268446289723152,-0.09037013671603775,0.617499488858016,0.1422290116357407,0.09569002061130576,0.06812364141600274,-0.17668489475255597,0.004077025039604267,-0.4448411406350416,-0.03977663321558736,0.33861888583390165,-0.04723650120168244,0.1695820139033391,-0.5114327156629046
Frontal_Inf_Oper_R,0.16655506561628827,0.21261873256145852,-0.11216818429095028,-0.2961624455194251,0.33564242962501684,0.5178661577740848,-0.04351525262874366,0.4019932855085369,1.0,0.42914716516550155,0.12573067616933467,-0.3149022589817339,0.534461388182596,0.20390770113286316,-0.2290903677917788,0.22202984341013865,0.09143693539375546,0.03277475008515345,0.42757393619062806,0.2523770433389657,0.07323253243060635,-0.15573100557511718,0.3799372996204078,-0.05822457503452364,-0.07328469676412759,0.02560851290922897,0.2327734859824165,-0.015421326360400675,0.13394374173081738,0.0697419632349211,0.15957949773603403,0.08036035125011091,0.21174403967241548,-0.10452079883684172,0.08144969733299437,0.5024930969022551,0.5006718710362907,0.3340162290082718,0.3273340774622268,-0.06813027891146824,-0.09392582000951664,0.2257338217103403,-0.29450068636578663,-0.07565537254768002,0.3233044003245258,0.12192443520696979,0.21086099595352908,0.2803022647731152,0.20021181025415424,0.13015533234326196,-0.06037393886653605,0.2630957941101154,-0.07398485135894366,-0.17341594187247353,-0.163719371506391,-0.27051557274652366,0.09037995321056465,0.200515385714901,0.14453445461694112,-0.09246281421205035
Thal_VL_L,0.12218225377549753,0.23583026340205343,0.3700519829294325,-0.008784463342391708,0.14689120775589862,0.5600578200481571,0.36236259085144423,0.1325263957257392,0.42914716516550155,1.0,0.10469580905056054,-0.12778613433763192,0.4328358155980389,0.5786662266332276,0.0674285440798508,0.3067530740275721,0.0018729792327258465,0.17337034778463503,0.5784882976301504,-0.2434630750359888,0.059319830856818044,-0.42323900478316073,0.4341500451407405,-0.20602584022946532,-0.23067206428916204,0.2986332842997232,0.4243393403930314,-0.18786536204725102,0.4122274993375459,0.5091418691123283,0.21500146701637254,0.198056254033956,0.28977109389631006,-0.5128309593776941,0.20666207174982112,0.6853826511741316,0.5502173129337905,0.1628207723955736,0.38241137644824597,-0.029557076584259042,0.1207020030434206,0.08008905527228817,-0.39786279906487243,0.1169630467159662,0.3354098897765408,0.49097971004891516,0.37691478341353946,0.36832971578102774,0.045833036779609315,0.1446786851114911,-0.06968584927730252,0.61793356526897,0.2313871710607096,-0.14489433395986667,-0.04583642256652157,-0.23096237872983788,0.10824784848713777,0.24487671554449192,0.2520244308547933,0.46086177020077357
