,OFCpost_R,Thal_VPL_R,Temporal_Sup_R,Frontal_Inf_Orb_2_L,Pallidum_L,Precuneus_R,Pallidum_R,Precuneus_L,Thal_LGN_R,Vermis_7,Cerebellum_4_5_L,SupraMarginal_R,OFCant_L,Precentral_L,Vermis_10,Caudate_R,Thal_PuM_R,Cerebellum_Crus2_R,Thal_VL_R,Cerebellum_7b_R,Frontal_Sup_Medial_L,SN_pc_R,Thal_Re_L,Paracentral_Lobule_L,Postcentral_R,Vermis_1_2,ACC_sub_R,Occipital_Inf_R,Cerebellum_9_R,OFClat_L,Frontal_Inf_Tri_L,Thal_MDm_R,Red_N_R,Cerebellum_7b_L,Thal_VPL_L
OFCpost_R,1.0,0.2825462641206906,0.21453897565699598,0.31126688017255383,-0.035905387838496824,0.4353288199112594,-0.2148774005506513,0.4676622782063918,0.192710986613695,0.06870623229225331,0.2179811903356384,-0.2574425153110746,0.4485124139311017,0.543505103497261,-0.37603056330847884,-0.025554448948580052,0.16236404780243682,0.12172437336083156,0.23351981536892177,0.1853535923186138,0.5377670341031469,0.3951359003433918,-0.19030105785393828,0.4823258408695792,0.1499766264494248,-0.4941778270153689,-0.18918953319774334,0.126879272914481,0.16874063214855015,-0.4812945627766251,0.6427243330254648,0.549652543166183,0.18509021090350142,0.19111270641509476,0.4146767343087514
Thal_VPL_R,0.2825462641206906,1.0,0.533019763538117,0.275398161706166,0.036236663383991924,-0.012653485177932041,-0.23838774583426792,-0.0015233703333208636,0.4612258244620362,-0.22974482240470218,0.4851145466237848,-0.3952835251528335,0.25702865998627933,-0.08181951982650457,0.10924750752958236,0.5883998114545961,0.7843791845226586,0.049231365312990674,0.7780744951464756,0.007015566307843362,0.07771627623675001,0.4723233022981659,0.024673416083265884,-0.08573044542496056,-0.21137204631051643,0.1384883276379193,0.43552459330175425,-0.16286041563568326,-0.08836944807634034,0.12070912936779081,0.2753444164803899,0.6439848040438779,0.48195688143194937,-0.19682008212690644,0.5402489055056279
Temporal_Sup_R,0.21453897565699598,0.533019763538117,1.0,0.02812665540612205,0.37479645477549184,0.3118909869472063,-0.4450432303014382,0.3820215671322182,0.2870226045853968,-0.04519011711086221,0.39939865555579834,-0.11379995564090792,0.26274977272857203,-0.059355633112130476,0.02179701337104734,0.6738869519227907,0.36663553367846236,0.17720958201359382,0.7311110311891149,0.12024076957482213,-0.12756669939453913,0.1843889144715435,-0.17062463591893626,0.10998996574458558,0.13029461885298282,0.1947569276362873,0.2981361832434076,0.11974679708189735,-0.05002369388427159,-0.12347479911753508,-0.02062194780960407,0.45777034953536844,0.5045788773015585,-0.14872008557594849,0.053388627652214346
Frontal_Inf_Orb_2_L,0.31126688017255383,0.275398161706166,0.02812665540612205,1.0,-0.309232669080599,-0.03982387631695307,-0.043493862782081866,-0.04132433228554037,0.18460699143203338,-0.29598371799945616,0.07396809194940371,-0.07310655903346687,0.22280819385945555,0.11509847263277194,0.2204426901511778,0.057934618628788466,0.21358774237222056,-0.4246386271532343,0.07180580216936991,-0.4338668712004957,0.40624698843274565,0.36245334865149686,-0.13839488648501,0.0802408306524475,0.07439568062929917,-0.22413101309276193,-0.01520470098949529,-0.09633514235128544,-0.3507579340573569,0.2521727247355429,0.23751939344129758,0.20181831199556227,0.06685320811116052,-0.18516886252637202,0.34914088755487394
Pallidum_L,-0.035905387838496824,0.036236663383991924,0.37479645477549184,-0.309232669080599,1.0,0.48315844942182584,0.2689847263334748,0.5258128166408141,0.13130141515653682,0.417864069061833,0.3398949669554261,0.11269623065832779,0.09495092061519571,0.2593074398971269,-0.22739318349852433,-0.008359145104410368,-0.13133974927804828,0.3834186909170519,0.29720555297811996,0.41355056630349507,-0.017542319476346817,-0.28452002633980267,-0.12984174787983913,0.42805992404555265,0.39418503199192695,-0.02126671208112257,-0.19881246626510404,0.4340765391763525,0.3271812671207497,-0.2693902411512085,-0.21063850715273327,0.40409915257848206,-0.05848963939019835,0.2451118858282296,0.0021968166606723674
Precuneus_R,0.4353288199112594,-0.012653485177932041,0.3118909869472063,-0.03982387631695307,0.48315844942182584,1.0,0.11624217443427802,0.9358066913827342,0.12122804863765592,0.19966308860214743,0.3290765233722617,0.0845945017792591,0.3178702143179559,0.5515945859567907,-0.23289062246150333,-0.08946204264731328,-0.28365660878603854,0.13994770365618645,0.12727369550746992,0.28931510429346546,0.06115014205564406,-0.03639645305941829,-0.19458845286824722,0.7506487829357444,0.48215726873182824,-0.34591702011631204,-0.2597982490857121,0.3265436319799687,0.12270467158329852,-0.532833363137348,0.1802805600487207,0.41581859990402953,-0.008231553689166957,0.20318920352010628,0.11528286584264595
Pallidum_R,-0.2148774005506513,-0.23838774583426792,-0.4450432303014382,-0.043493862782081866,0.2689847263334748,0.11624217443427802,1.0,0.026491744370766606,0.05572985994299277,0.12934386207771462,0.03479715677605874,0.07064839784839673,-0.26919242660840365,0.07651059082801856,0.15496832984959938,-0.3717423532612139,-0.20662122080909273,-0.20101434190867207,-0.2688637185426122,-0.1373310576430025,-0.08199684333721877,-0.25895489617970224,0.20830672556651647,0.06220576663241869,0.010951179524854178,-0.023969433901148966,-0.1832600839963889,0.1191520954479507,-0.0476668055275245,0.06850566765603877,0.0021976408635876045,-0.11086863805776773,-0.32800644999280854,0.011839565596096589,0.1662580929408104
Precuneus_L,0.4676622782063918,-0.0015233703333208636,0.3820215671322182,-0.04132433228554037,0.5258128166408141,0.9358066913827342,0.026491744370766606,1.0,0.07872706664933407,0.29514460726507985,0.29351272861540567,0.15730356112590332,0.3343201010724821,0.5725662767635534,-0.25952897057512636,-0.08882205515041958,-0.33423553644544857,0.19054707572633078,0.14450315226931015,0.3396731763254332,0.14877854131001483,-0.062138785778111875,-0.2448574913186853,0.7978038665896298,0.5995799066108941,-0.3804420780114683,-0.3425956334137985,0.40788854182717527,0.19915027671714544,-0.5651271029843791,0.16238848268681805,0.4158116268707362,0.0041426456145070715,0.2546676713673899,0.045629138919641106
Thal_LGN_R,0.192710986613695,0.4612258244620362,0.2870226045853968,0.18460699143203338,0.13130141515653682,0.12122804863765592,0.05572985994299277,0.07872706664933407,1.0,-0.20799781833552375,0.2534027831037946,-0.09856806606700134,0.18592708316411072,0.03436581496837471,0.2001977268921531,0.24627096655584646,0.3452348440956647,-0.062084199265929396,0.31953497783601065,-0.06231584669182384,-0.026967057445322115,0.22510781440033853,-0.0075959828417679585,0.10940937737624215,-0.017259156591293484,0.0735433995412377,0.18412063097229067,-0.14735570771212256,-0.20759713705082541,0.05712090839145121,0.0793423408082519,0.3823303816640797,0.38761492062290237,-0.20300866346129076,0.372808766472708
Vermis_7,0.06870623229225331,-0.22974482240470218,-0.04519011711086221,-0.29598371799945616,0.417864069061833,0.19966308860214743,0.12934386207771462,0.29514460726507985,-0.20799781833552375,1.0,0.29920479491806456,0.043861776304451726,-0.003934290119868051,0.41057795009753606,-0.5385988846062514,-0.47191898410414995,-0.32785987322306326,0.6679858025598157,-0.08002923104669611,0.662678703564534,0.48046300601468855,-0.4344086173018221,-0.1058498758678297,0.37928343933567427,0.3096894545645533,-0.07519521796276055,-0.559227791070158,0.6404921661038333,0.8537575982303145,-0.4246570675782095,0.10513703534943954,0.20147162744146116,-0.2075815339085918,0.7767523481682108,-0.1279416738980143
