,Frontal_Inf_Tri_R,Caudate_R,Amygdala_L,Frontal_Inf_Orb_2_R,Precentral_R,OFClat_R,Occipital_Mid_R,Supp_Motor_Area_L,Temporal_Inf_R,Frontal_Inf_Oper_R,Thal_PuL_L,ACC_pre_L,OFCant_L,Vermis_1_2,Occipital_Sup_R,Supp_Motor_Area_R,Thal_PuA_L,Pallidum_L,Thal_VL_R,Thal_AV_L,Occipital_Sup_L,OFCpost_R,Thal_MGN_R,Angular_R,Thal_Re_L,Occipital_Inf_L,Cerebellum_3_R,Cerebellum_7b_R,Angular_L,Cerebellum_Crus1_R,Precentral_L,Temporal_Pole_Sup_L,Amygdala_R,Thal_IL_L,Cerebellum_Crus2_L,ACC_pre_R,SN_pr_L,Cingulate_Mid_L,Cerebellum_8_L,Vermis_8,Cerebellum_4_5_R,Cerebellum_3_L,Vermis_7,N_Acc_L,Frontal_Sup_2_L,ParaHippocampal_R,ACC_sup_R,Thal_Re_R,Thal_VA_R,Postcentral_L,Parietal_Sup_L,Thal_IL_R,Thal_MGN_L,Frontal_Mid_2_L,Frontal_Mid_2_R,Paracentral_Lobule_R,Cerebellum_8_R,Lingual_R,Thal_PuL_R,Calcarine_L,Vermis_10,Temporal_Inf_L,Cerebellum_7b_L,Parietal_Inf_R,Cuneus_L,Temporal_Pole_Mid_L,Heschl_R,Postcentral_R,Occipital_Mid_L,Thal_PuI_R,SupraMarginal_L,Cerebellum_4_5_L,Frontal_Med_Orb_R,Thal_VPL_L,Temporal_Mid_R,Caudate_L,Thal_PuA_R,Fusiform_R,OFCant_R,Thal_PuM_L,Thal_MDm_L,Olfactory_R,Frontal_Sup_2_R,Calcarine_R,Insula_R,Cingulate_Post_L,VTA_R,OFCmed_L,Rolandic_Oper_L,Frontal_Sup_Medial_R,Vermis_9,LC_L,Cerebellum_6_L,Putamen_L,Thal_MDl_L,OFCpost_L,ACC_sub_L,Cerebellum_Crus1_L,LC_R,Hippocampus_L,Vermis_4_5,SupraMarginal_R,Frontal_Med_Orb_L,Cerebellum_9_R,SN_pc_L,Cerebellum_9_L,Thal_LGN_R,Raphe_M,Temporal_Pole_Sup_R,Thal_AV_R,Thal_LP_L,Heschl_L,Frontal_Inf_Tri_L,Cingulate_Post_R,Temporal_Sup_R,Frontal_Inf_Orb_2_L,Occipital_Inf_R,ACC_sup_L,Thal_VL_L,ACC_sub_R
Frontal_Inf_Tri_R,1.0,0.26824539323054786,0.04219972172259658,0.5539567389527716,0.19547207448589157,0.14676324481212932,0.05563765376645944,0.3478385162700751,0.3716834793880091,0.845956695446227,0.13302927468424733,-0.03751915139681031,0.47440607066765994,-0.23479894832289527,-0.07070132846988937,0.37252311108789865,0.08745167213255295,0.11589728815139672,0.5619260616864836,-0.17317522651113484,-0.06528915721537136,0.5250546046137093,0.2543524907267782,0.08840261274775071,-0.1255452457234907,0.016562071971373157,0.18651826799490817,0.19352990668699033,-0.019326872181670333,0.3454044557378834,0.19784947754053356,0.19141454570267694,0.06065266578368602,0.3639698348704279,0.017883466987039,0.7321411284149542,0.5990505349937536,-0.2830908828570622,-0.1123260180090361,0.4549728109184576,0.1683308607446735,0.06627139031888292,0.2559811040932328,0.22727443063619865,0.07038241770651466,0.2975813208522675,-0.280972521775331,0.30729212973063874,0.4193740260154335,-0.02666816070845182,-0.021137634202589014,0.18545174136158413,0.1383001155842835,-0.009182506806519709,-0.32567788700295847,0.3734855244021832,0.46119923496813064,0.3150570623918967,0.38829842817578947,0.2681257044820494,-0.2744602882845323,-0.019616040960979592,0.22561395707669987,-0.0650291215091985,0.04873930476297813,0.21542835162409796,-0.47308164962728,0.39227358969263465,-0.037211943555538446,0.3440904784238347,0.04942623074763044,0.4335018453796639,0.6115629089363388,0.2719223805735457,0.2746150354747845,-0.2836211393230365,0.24647650465571022,0.2833114595066632,0.4594903864138604,0.17679685536846595,0.48463987283471144,0.4033716488609307,0.47795647764034593,0.23687661655067127,0.31968747706381123,0.34001574460371325,0.41762261241124077,0.465753015639071,-0.05806174692593734,0.5936516408316285,0.532558334825931,-0.32293190452015996,0.25169951110844735,0.19586372640412733,0.3518943389929483,0.5850860974288868,-0.05395997949711812,-0.03675077808226717,-0.17621015378346275,0.0789975135245576,0.5599044823851553,-0.10540823176749432,0.6187843356807022,0.22157787204927726,0.16023306656150532,-0.35373829018791936,0.1406757930915564,-0.08567689640815433,0.35069519842506575,0.17544400168072433,-0.030432094382920105,-0.08325968754790487,0.6336919558237967,0.47733043157965105,0.4678304422211013,0.24457670285331967,0.3264049704788744,-0.5247403005150635,0.41791144101887134,-0.014255508902654621
Caudate_R,0.26824539323054786,1.0,0.22694164039855486,-0.2817607903711639,-0.5515635624789291,0.06159262841015849,-0.12843927395767515,-0.5662822051578006,0.41472099863738865,0.2327734859824165,0.05950234792274957,0.7164445784200258,0.22238629231360532,0.32068952371353654,-0.14469281247894378,-0.5975623222096209,0.425817034392811,-0.008359145104410368,0.726536473512448,0.3786610253453904,-0.23031343336659937,-0.025554448948580052,0.42317407651642697,-0.2498311218185433,0.09377582838006655,-0.3609993656726736,0.20744724907095044,-0.25275961900138405,-0.13997846078454276,-0.28271964819935597,-0.5549310137113969,0.1847018626018627,0.7082971117638767,0.2579140125934941,-0.5285611480147128,0.5411134772716545,0.40146019529720717,0.15871434014294414,-0.22209709275678347,-0.3330273747714567,0.22100219959522602,-0.41748761455381417,-0.47191898410414995,0.4763703698895453,-0.42536788880684046,0.6666860157597462,0.7189229440506963,0.3560335285966466,0.49828314813337055,-0.3060052695455028,-0.0536466523027519,0.3788633543376631,0.0106251454952908,-0.5382501216129304,-0.16702427885179302,-0.34605836004226737,-0.3559875287268625,-0.30388473370712404,0.6730482552273653,-0.0935901180844455,0.2744270636835096,-0.1035606088648376,-0.4899488509063554,-0.3102390071442727,-0.11595781799533901,0.06546724015261854,-0.5056401466918338,-0.2731564893037391,-0.289644597661614,0.35140093701225594,-0.30399444793442865,0.10608549541156989,0.5982251941160812,0.13926137001320205,0.31318187638177525,0.5105797176307583,0.6317763204668958,0.20630491698215578,0.4446104861289808,0.4321240536491119,0.4428263768506337,0.502807045645783,-0.4759276891987708,-0.15325689632806255,0.3275198630421836,0.013340286076697174,0.1709317305554097,0.12043466977776347,-0.17473830621652228,-0.39558877498837725,-0.24746276930313954,0.19397243825312233,-0.2547080479649931,0.364949643166828,0.13273039179788487,0.17265310094794095,0.7950220095278646,-0.5197984014533007,0.2706755399734782,0.06436021358489324,0.10322603224051623,-0.27548681940279324,-0.209537509445575,-0.41190851059083666,0.15262765567495795,-0.24543712087759242,0.24627096655584646,0.14639938086805343,0.81188178387678,0.6061095599563862,0.31609869169768945,-0.3694511158192823,0.015453185426310499,0.2851536436735305,0.6738869519227907,0.057934618628788466,-0.16463717420409368,0.412142634069694,0.4243393403930314,0.812897051544581
Amygdala_L,0.04219972172259658,0.22694164039855486,1.0,-0.038499129649270734,-0.13840461626785983,-0.15790808214059737,0.3344947333659446,-0.23561858312954653,0.4180901188630535,-0.0889207315573653,-0.07109334423156789,0.27887072554698644,0.09827006388977305,0.1580506604227303,0.31973795709300706,-0.15865162654518833,0.25805699211344735,0.19721847957228839,0.2987689602444762,0.5428938905629296,0.35012332673288166,-0.07354664298959684,-0.152106841950984,0.11565612100381276,0.3372347039308028,0.4562692674157811,-0.06365710546942918,0.14033805758880505,-0.10135130317198027,0.2858727560233406,-0.3387108588994914,0.36661670115447886,0.54962896662353,-0.13761099552969397,0.3642321397641447,0.24922478194317038,-0.02099477597960863,-0.014004873662739389,0.35039294326337117,0.36403290421953005,0.22129757740473277,0.2588749590314074,0.2808689478279344,0.15918676654371047,-0.23611479432470947,0.36969513239560853,0.11081451835007106,-0.04326017664847812,0.13703920051746854,-0.43110172713998407,-0.11464600990622782,0.2405596150265342,-0.06352064100813512,-0.36413676328310024,-0.20533163380138664,-0.0859594360953368,0.19741112781308537,0.3455811691723449,-0.05867589020384915,0.24617140508139174,-0.20557494818578473,0.37254108760933646,0.15342536881711716,-0.08056138155379897,0.39211212973566956,0.18482754106777857,-0.23608994577021133,-0.036729040793699076,0.3218084625476377,0.1540123029710918,-0.28137336810845465,0.1911694153732249,0.3125065640431956,-0.030544564471941385,0.4525647521572577,0.10433499594375567,0.2689256148536695,0.4754220356437748,0.21802633515112635,0.013941818091390952,0.3065714181338652,0.07163801772014894,-0.09877851277646936,0.3060500276161394,0.11089724227288512,-0.11919960347063903,0.0463559111851585,0.1446266874646716,0.07815599212658635,-0.01826119983313682,0.28272030074494287,0.011596853854750493,0.3120170524054374,0.2495498746781089,0.08139356675551955,-0.058096664298145716,0.2806954158804482,0.40255324819955485,-0.2732446314118716,0.23464680511545022,0.01785216517234151,-0.04241338070547584,0.10900849788173218,0.2482379501639258,-0.2458983204671939,0.2920842306061812,-0.09512483766972747,0.522479136577513,0.24568951397841182,0.33800538804369185,0.057166897332272995,-0.07079887673880655,0.059245454175252794,0.029632678877145206,0.0971981770078847,-0.29759853849867307,0.43753458199087714,0.0871883947005175,0.11745122146065641,0.33822270486331196
Frontal_Inf_Orb_2_R,0.5539567389527716,-0.2817607903711639,-0.038499129649270734,1.0,0.30992093740923893,0.5928066915242377,-0.030542019096656617,0.8005536656725147,0.26900193645910325,0.33818037742420687,0.12354532700677433,-0.5193113597128673,0.35581336088347504,-0.45897986073474695,-0.006360085344926298,0.7548480662441673,-0.1311959543620658,0.2737636697301505,0.19600652347366748,-0.354584665573577,0.01524775364893741,0.690476524466992,-0.022374202475007047,0.310277762965833,-0.27003159246826336,-0.061934081859909694,0.03469504172666214,0.5788670551046533,0.18072138893380757,0.680534126255818,0.720109744823217,-0.10699558224484346,-0.2887200320991203,0.20888291011972202,0.35369074184707616,0.2341381175385616,0.38671139337433846,-0.4449868128980608,0.0039780037291976674,0.6036350566390585,0.0199032494063704,0.0833562068162038,0.518504755170951,0.0549864490906483,0.16046098054820912,0.02822342889241162,-0.7633125829933506,0.06824217010452431,0.2067089072317234,0.3958686103079403,0.145649389444949,0.06519493377841627,0.042063639739042175,0.4322321632433334,-0.48834162843200835,0.6551075537420007,0.7820492827511273,0.4117742347596868,-0.028130656683139445,0.41859811391658336,-0.6427838302593344,-0.23808202079058988,0.6241236669620012,0.006514586305277736,0.1533696120504824,0.15263694762794244,-0.3088613406433068,0.35092581013598423,-0.033487071647353164,0.28386713607052244,0.471033469599044,0.36322164127680373,0.2758788844570529,0.22233664128558303,0.1410504462974125,-0.5708935974976326,-0.08047611759646396,0.2109734979544915,0.08837196939906833,-0.0028905077985051193,0.2827695943676991,0.1370852452513237,0.5869606029624131,0.21141537710892008,0.30000437195250496,0.31952899509177674,0.325659371455584,0.22974816054412095,0.07472088452813545,0.8216043857738646,0.6326227495205381,-0.5338927441224172,0.2910788856136482,0.09071462716541898,0.3214036804630064,0.4787716661316982,-0.4784862985384309,0.0712039527391534,-0.41137775899391704,0.1382301777290358,0.5075734294082705,-0.15740801771715965,0.6456029296361979,0.6360247927249859,0.14262468325010816,0.03355053928017376,0.07843933312032603,-0.18421016639461424,0.011849254868083681,-0.15304706778234237,-0.23484045829542863,0.26760494361223885,0.3848155288337946,0.17342535070807438,0.1935133568068449,0.15565832221691647,0.36355290723441086,-0.7538458397458371,0.22996541782449895,-0.4990764332467132
Precentral_R,0.19547207448589157,-0.5515635624789291,-0.13840461626785983,0.30992093740923893,1.0,-0.04016756859739092,0.4291814560043042,0.6257838874237797,-0.2506594108751142,0.2318758649545208,-0.3201789191489171,-0.6801955193591123,-0.021298417407207094,-0.30220626445101484,0.37457653452524553,0.7451251430717417,-0.49034714955222153,0.2862877998024305,-0.30993805257458024,-0.47232004659670224,0.2290407547700495,-0.023639510284977207,-0.09201289082183525,0.5868384224395025,-0.18962080643463658,0.382179299447909,-0.016535951991700677,0.11505675062504052,0.05799596960822752,0.19084989899136384,0.3133629427609707,-0.1647318798688991,-0.5196440045160102,-0.08846425229510238,0.30210806283020275,-0.07332270495189026,-0.09161323454086669,-0.3629855894635918,0.08011328465474787,0.3878243128063553,-0.08720619463123189,0.37570001531410774,0.36525774694204916,-0.3580385218953808,0.3954548249524834,-0.6434563653208792,-0.507665967239267,-0.040331524335535496,-0.21103839490537848,-0.001365029597339257,0.023991689501551054,-0.11695689251831237,0.07999588823926972,0.22246197673092621,0.31895590231804166,0.44182747675122225,0.3103874886057107,0.3809646480751741,-0.3046318560454932,0.1954749465526965,-0.0975594523005771,0.15441031827560897,0.31874529255253325,0.6472772812037435,0.2810185410491417,-0.02636121955713917,0.5182929238755792,0.8337031722858793,0.26517564598165666,-0.26845260961544276,-0.03866846038876493,0.025365139523320566,-0.3937890820866334,-0.1478225412125648,0.039280845344751354,-0.7039591982798618,-0.5626569434119029,-0.04958974683667684,-0.34271881768022794,-0.39773216429432195,-0.32721675387107657,-0.49695286358038837,0.7287765196576781,0.3523730197646415,-0.17774963612749145,0.12937376104844384,-0.05167654117838165,0.018258054395103366,-0.16544136125404532,0.570379467193987,0.34456151574272587,-0.2683525762072083,0.304967539382653,-0.0677183319090596,-0.06810717193789931,0.10836331389928824,-0.6603725935967147,0.38613046199399786,-0.25431378198107774,-0.14645514638378546,0.1359259952577668,0.7329992260757776,0.3302460129041946,0.19103601067953668,0.10981106377980414,-0.16962355039121346,-0.031006722513094203,-0.2049860458756792,-0.6168213136975381,-0.4574939376822736,-0.5568251657528507,0.18709489654475495,-0.0036107294587981223,0.0715617210446122,-0.18316896347905512,0.07488539803567883,0.273922460957534,-0.6429098139127128,-0.3354365173589187,-0.6650646713365636
OFClat_R,0.14676324481212932,0.06159262841015849,-0.15790808214059737,0.5928066915242377,-0.04016756859739092,1.0,-0.2159067355138915,0.4028269806991312,0.2324851791403377,0.013079029579263811,0.06595728653878236,-0.2605494165674495,0.2885145066638807,-0.2505560459094435,-0.1720766964271803,0.28472620704815044,0.026136830610386894,0.2467086750662111,0.2349345206802894,-0.3005301158354637,-0.24086980620676132,0.46475002227035833,0.1628895922942492,0.10731530244684541,-0.30509416270855577,-0.5006297651572363,-0.015667640600785442,0.31267703011515,0.11246532660020085,0.30087568567846357,0.4684564919310267,-0.2578042729824286,0.03359938900875201,0.17551715984370966,-0.06190166892607901,0.08157502025723856,0.36561289219343923,-0.2883756711125074,-0.2287488830652773,0.06520619165581665,0.007013000939591037,-0.40853241529869083,0.02127650034944397,0.281017185125844,-0.039186139201309866,0.1535978939899917,-0.27813085339197824,0.07171846726462655,0.3169904173638578,0.4266349107885682,0.20833178904817784,0.13397783440073288,0.027364745768383592,0.26678298364623143,-0.3949864898027627,0.3321935103775452,0.2771255269653136,-0.04190974741467866,0.1784170481773758,0.13018526268218553,-0.37253012974084104,-0.447749179719621,0.18350615796840372,-0.10836572190514394,-0.10475525387210965,-0.06529491462583041,-0.29630285705664366,0.026135359032574454,-0.34904167811814074,0.2629215185360537,0.3960504401542815,0.11810597312117671,0.23344459449111768,0.157613170529862,0.11018282914123805,-0.29127326811816845,0.0866099552638812,0.12217280930349772,-0.015525119576632527,0.194501508134885,0.15935936852895416,0.20385652254686673,0.10230915990116984,-0.11340683175047452,0.4103728409279191,0.1759715515305641,0.18201777210502282,0.04853049094533427,-0.08482505504348072,0.32371230194716416,0.08833363796262947,-0.29690193393252096,-0.10358272050406846,0.24762751630827837,0.21528497335160768,0.41741863571114685,-0.12693959990828327,-0.42475338488698866,-0.17459742635901726,0.1430018814940517,0.26885013460119167,-0.2674701227985889,0.21005853539120228,0.2083678152569647,0.22534298265925023,-0.007156271348476567,0.2981927948237088,-0.1963127588481175,0.2897004450233766,-0.06697792253444018,-0.09322578232593488,0.2046031674481299,-0.02380892220348437,0.0005381661762580185,0.3403883509900238,0.1614538408767758,0.01952512941312663,-0.3453689187285792,0.14607457669763607,-0.15400151299656573
Occipital_Mid_R,0.05563765376645944,-0.12843927395767515,0.3344947333659446,-0.030542019096656617,0.4291814560043042,-0.2159067355138915,1.0,0.14571688463376584,0.03858342391072734,-0.10483595775181453,-0.48677132112699456,-0.18544516577751524,0.2058936520855646,-0.17053156795951555,0.8860470586043397,0.2121880933781905,-0.4988765264836913,0.34008108252941893,-0.19099800066943176,0.158142565528892,0.8101133889800098,-0.07926138537612912,-0.2968587991321513,0.7490135105442233,-0.019027751283753124,0.6620784159366045,-0.0952380999720273,-0.054856924314544704,0.4978568291360014,0.12517796523988545,-0.034408633913454716,0.28565729639630494,0.05786384748618692,-0.2690268512693503,0.16084356272908024,0.21465215582943248,-0.22189169843236897,-0.24352064394422662,0.2529285948384787,0.2193561448501163,-0.16475748017945518,0.35768084535417133,0.2760761800903278,-0.22775914903565478,-0.13461088820551867,-0.2029857964023315,-0.1157440116254743,-0.06536271318621557,-0.024530797917866234,-0.016310710093971233,0.5127370272993587,-0.03592411835324493,0.006505553760967687,-0.4755732551788123,-0.06751281326509732,0.3692527204436691,0.1390518993854479,0.32812106239119143,-0.485275143994887,0.2605125831283894,-0.06902972966824154,0.1597287985203482,0.11828294439836633,0.7292241156828707,0.7118676163890532,-0.11553241227739697,0.28627949454155527,0.6428246292901126,0.8223965411287734,-0.4575146426712393,0.015162011647582999,-0.11597949700024072,0.08894927394993658,-0.3605224897033568,0.4406787991886055,-0.3511681870422504,-0.5209760930899827,0.1477980399590842,0.12446343964389298,-0.6335871696996636,-0.2748470058062332,-0.12008340480817357,0.15522600555471489,0.5038278984935859,-0.2469324955853428,0.07005918325193589,-0.21975444415603404,0.3263758138422652,-0.22408127544986328,0.09749742211371938,0.22200691813069506,-0.1396006975130143,0.11771032762440764,0.00011738707984285202,-0.32996000892660177,0.1288597769542877,-0.20264117627169168,0.3412130062282379,-0.2617647725878525,-0.19732131431719768,-0.053223298470676805,0.5706797123185948,0.37448699276257996,-0.0296839912187561,-0.1799225324172672,-0.09207293371113498,-0.2181494343038341,0.10796461176538165,-0.07182921448933566,-0.13475182217721302,-0.5573094546264996,0.1506164162107104,0.007079364467470173,-0.05338168652288923,0.015025334281465495,-0.10903957778422438,0.6037454292730462,-0.2905723443489225,-0.318008367991025,-0.1634626791011793
Supp_Motor_Area_L,0.3478385162700751,-0.5662822051578006,-0.23561858312954653,0.8005536656725147,0.6257838874237797,0.4028269806991312,0.14571688463376584,1.0,0.06919901370972316,0.23317560715143193,-0.030300204283198,-0.7449622685074084,0.1781116213895776,-0.418249901802743,0.13943345600706997,0.9583945313681399,-0.44244429923176953,0.33958897506248875,-0.13434077808182976,-0.49803804893883147,0.15695783531837762,0.44454865293675794,-0.14218958847199129,0.4419874912814834,-0.3310136699665696,0.14153074027230708,0.04183529901918658,0.45610465557628094,0.287905865179362,0.5932646899808797,0.8319567138676743,-0.2090353045274843,-0.48613144930345575,0.12989820592541393,0.4180540748509448,0.015414086726594684,0.156055138339221,-0.4097487300432121,0.12287107569689637,0.5918608383032419,-0.021672967510317866,0.2836709925144097,0.577002237634294,-0.2603095082146069,0.3668939600115677,-0.36788719128833103,-0.8201483190568806,-0.08800802793635185,-0.002042049473189507,0.5017911008934487,0.2094668117516848,-0.04176397114064879,0.1414404424620279,0.5598039396849595,-0.1905718954234484,0.700706021587593,0.6871860328981358,0.5058779765298683,-0.22535750071348937,0.4209561283980926,-0.49940837487194845,-0.1542733406130076,0.6461444334178614,0.2553225549811499,0.21468600103329644,-0.028421758665110642,0.08906759720099568,0.5543140912139285,0.1676895080550949,-0.008156426767423168,0.49254307509961165,0.2663314884846896,-0.11776953610350299,0.08589684650693503,0.11130053340734476,-0.7156879234489029,-0.4478395101846868,0.08946200756012412,-0.1466796436822789,-0.23477986415165775,-0.01851239607348901,-0.1975999013607422,0.7327003427225325,0.35614691982002006,0.10017787433250042,0.3886949288564194,0.1645857937669126,0.11807346553069815,0.011145791779954922,0.821100713385183,0.6362814255973421,-0.4834318180667585,0.3580143683873659,-0.0450482321577985,0.14528334878835092,0.32620257472984615,-0.7634106712322412,0.2381626903170796,-0.30936938035533984,-0.022686971743343158,0.4774256730529809,0.13644908342883397,0.559244421182412,0.542678534201702,0.1504506264828392,0.030664852946904218,0.02597423992386222,-0.2684850950723843,-0.34744960038084194,-0.38318853564857913,-0.434296316733236,0.41351826237074374,0.1936596175903905,0.1500379475043375,-0.008897549525629215,0.19085920741417395,0.3999847902698638,-0.8032444637143926,-0.016314835637719644,-0.7728156488080888
Temporal_Inf_R,0.3716834793880091,0.41472099863738865,0.4180901188630535,0.26900193645910325,-0.2506594108751142,0.2324851791403377,0.03858342391072734,0.06919901370972316,1.0,0.18024242328243908,-0.10912625625842111,0.022769277276190564,0.19405646475600843,0.18150853170912293,0.12853986401721126,0.06296036401161491,-0.02171586305552814,0.45510251832628723,0.6725629599805492,0.28899269104882486,0.15959514907368286,0.030174615153497935,0.08190255705594143,-0.04002915436876386,-0.10100093756196019,-0.0012092958357124372,0.3157126308602312,0.3908896207036651,-0.0048799164714764245,0.5628547561477006,0.0157918805523689,-0.11303071285563374,0.6132009297131753,0.16233524389482085,0.23585434346618186,0.28991930323490717,0.1881674730905985,-0.26811031204906505,0.30457958760130804,0.42718634240457865,0.4962589368895405,-0.04029439642112213,0.36185005653920127,0.06027517537629243,-0.35637295618229126,0.41874209402117074,0.10299788918742404,0.2134169395521718,0.5094190863263838,-0.0672166285740196,-0.04489628263556125,0.3959335936864001,0.01221862659678684,-0.09546644015635214,-0.46719272073955603,0.11576723821011167,0.39974801739039645,0.47763740779466074,0.21958374901820196,0.4786275233331673,-0.2997402972759594,-0.15707145417723029,0.1721384262035429,-0.39888418867209213,0.3415558623704643,0.1231709677129479,-0.6519539751118786,-0.03012061316521717,0.04594891094462688,0.3263057758652469,0.034320668899422875,0.5486647919111025,0.36056751416655985,-0.08149864338598271,0.828950227765719,-0.15774426158705565,0.21423884534897247,0.7646389688880918,0.23156913031615994,-0.02415584224868547,0.41104062000537955,0.17449674051697714,-0.12190845795930826,0.4366275551749693,0.17236047006882246,0.11583840261940345,0.1692008636392123,0.057649434433341744,-0.03337246035978974,0.12627138287240108,0.5048557170318636,-0.12352265751349994,0.495308219784507,0.3683370252638985,0.0298878054519253,0.13626479105740924,0.13853975199069585,0.02356724050957728,-0.14390292784941,-0.14478646810319534,0.5083717509062949,-0.39420664742669026,0.03533423107181913,0.3689017653052287,0.0119084707011926,0.3449967035143979,0.040025825044690114,0.24013191463479064,0.593124117239326,0.5046397266987447,-0.2119815646642182,-0.0011791508388824597,-0.13909218609222188,0.256239500843402,0.6571786795931908,-0.18342652071111307,0.3669235333834949,-0.14564688993676086,0.21804118340914216,0.1946478135249017
Frontal_Inf_Oper_R,0.845956695446227,0.2327734859824165,-0.0889207315573653,0.33818037742420687,0.2318758649545208,0.013079029579263811,-0.10483595775181453,0.23317560715143193,0.18024242328243908,1.0,0.24573988876568323,0.005318746318463322,0.2712650794902548,-0.07565537254768002,-0.29450068636578663,0.2567386467092005,0.24493044800795954,-0.007606855190518762,0.45061615849486003,-0.17212799747372798,-0.27051557274652366,0.3273340774622268,0.31768692213209776,-0.13717274784781236,-0.07398485135894366,-0.05822457503452364,0.200515385714901,0.006753345840675925,-0.22500272654558573,0.11202873712923134,0.10484104542319427,0.14650275040032762,0.03277475008515345,0.34918777748493324,-0.015421326360400675,0.534461388182596,0.5617620724159953,-0.05099713000270537,-0.06037393886653605,0.2835239966204752,0.20989332701370095,0.010567036016366127,0.09679276468036462,0.22202984341013865,0.19207691989548464,0.20390770113286316,-0.11442022974384454,0.24803085033890607,0.2803022647731152,-0.09392582000951664,-0.21841399316727536,0.12192443520696979,0.12573067616933467,0.07323253243060635,-0.03522440434325612,0.1775476338934068,0.20021181025415424,0.2257338217103403,0.4772263720124229,0.08823605449554624,-0.03998407028852769,0.13015533234326196,0.10712827957974028,-0.15573100557511718,-0.1866127632485213,0.08036035125011091,-0.25864006583327304,0.2523770433389657,-0.21632889276730535,0.3569483187787253,-0.12084605530065838,0.3834220032934945,0.34400694982011976,0.3579329814531216,0.09143693539375546,-0.09246281421205035,0.3418531394813441,0.16655506561628827,0.2623720652280885,0.3626173404906501,0.4278279968939174,0.256435159189579,0.3888148732586438,0.16432428742043767,0.35687455215010766,0.2909980976671921,0.3233044003245258,0.33564242962501684,-0.04351525262874366,0.4132581180546009,0.3340162290082718,-0.163719371506391,0.24511301185598136,0.21174403967241548,0.4155386307802265,0.4334521034408992,-0.0024139458779682903,-0.07328469676412759,-0.00942045431149457,0.12949862760596512,0.44666280132505215,-0.10452079883684172,0.36207038274265557,0.056979161192418935,0.21261873256145852,-0.3149022589817339,0.2455921521974595,-0.06061735922617578,0.20378531025945104,0.13924515665685125,0.17348750770504032,-0.1889669271184779,0.6166156463127679,0.5006718710362907,0.3378939313943614,0.3115801024623174,0.1053151872830229,-0.2898478110318653,0.42914716516550155,0.04659651128736366
