,Vermis_4_5,ParaHippocampal_L,Vermis_6,Thal_LGN_R,Olfactory_R,Putamen_L,Temporal_Pole_Sup_R,Supp_Motor_Area_L,ACC_sup_R,ACC_sub_L,Caudate_L,OFClat_R,Cerebellum_Crus1_L,Frontal_Sup_Medial_L,Caudate_R,VTA_R,Thal_PuL_R,VTA_L,OFCant_R,Rectus_L,Cerebellum_7b_R,ParaHippocampal_R,Thal_Re_L,Thal_PuI_R,Temporal_Inf_R,Cerebellum_3_R,Fusiform_R,Thal_LGN_L,Putamen_R,Thal_IL_L,Cingulate_Post_R,OFCpost_L,Cerebellum_6_L,OFCmed_R,Insula_L,Red_N_L,Cingulate_Mid_L,Thal_VL_L,Parietal_Inf_L,Frontal_Mid_2_R,Vermis_3,Frontal_Inf_Oper_R,Thal_AV_L,Temporal_Pole_Mid_R,Cerebellum_6_R,Thal_MDm_L,Amygdala_R,Cuneus_L,Fusiform_L,Vermis_8,SN_pr_R,SN_pr_L,Cuneus_R,Thal_AV_R,ACC_pre_L,Cerebellum_9_L,Thal_PuM_R,Temporal_Inf_L,N_Acc_L,N_Acc_R,Cerebellum_9_R,Occipital_Sup_L,Angular_R,Frontal_Inf_Oper_L,Temporal_Mid_L
Vermis_4_5,1.0,0.06169438842603858,0.5467015240295124,0.20292030332146627,0.1041021441802221,0.22030999641401916,0.20098958411743392,0.4774256730529809,-0.21118904647170722,-0.21548340428858836,-0.22521201445156783,0.26885013460119167,0.026440238645734984,0.376261871163352,0.10322603224051623,0.3630517225079771,0.30523403432807333,0.31159462336281296,0.21010467081006307,0.05710150819974256,0.3526107579320432,0.15541697084586206,-0.10373461143924897,0.24600051010263693,0.5083717509062949,0.6177709027766719,0.47001718125855774,0.19889682980334594,0.14162819109239236,0.48077651876791655,0.6825238455733837,0.23950298959180694,0.4930756712375611,0.14649071571648895,0.26990853480009047,0.23002077409987573,-0.09079660452277731,0.45226330858943786,0.11482497783034741,-0.2928270033984376,0.5631258181653234,0.44666280132505215,-0.09388032129326745,0.21988998693329068,0.48288015881189505,0.49436619414662397,0.0998757213151097,0.11946288348994748,0.13042730985748913,0.4408830259287034,0.006827998071940777,0.31206673814826047,0.044052006282499945,0.3045443330333985,-0.14237840151557193,0.11629204048935518,0.1721775373968067,-0.08141875303424935,-0.12739130443960792,0.17264899273074066,0.3948069520667677,-0.03367652327432873,0.07512784258552174,0.4772842463998464,-0.050693651292222947
ParaHippocampal_L,0.06169438842603858,1.0,-0.15129777243468504,0.3504021233489228,0.7001021700349552,0.3973816693611672,0.42826230402949017,-0.2323234964477076,0.13779652142699977,0.42837584416237384,0.3757070664659177,0.11578513260626352,-0.2735139577676752,0.0669966135229002,0.4699846091181717,0.09204190025730666,0.439920346578761,0.01915025383736203,0.4367933848513541,0.2655377520146981,-0.37044105692070023,0.5474864592010683,0.14110938182069457,0.33915842740998114,-0.03330257115726426,-0.18465847563443807,0.005809925159314225,0.3067002627952082,0.3895728555583781,0.23301935994610012,0.18705239404660232,0.4807412828453993,-0.19056759465609222,-0.17825792694027856,0.5731870206530262,0.3309886648692398,0.03317314398609017,0.39019945962393116,-0.1815770043678729,-0.0989076894893106,-0.24171968319554982,0.275651135675717,0.09826711649732908,0.03604107967488841,-0.23853880162878285,0.3853628676705654,0.23993269555993474,-0.27982648373769803,0.06898174014620206,-0.08901774565277136,0.2883172734036097,0.493109728736882,-0.24464294829725222,0.07025020146137449,0.5000226070828251,-0.3757216084091892,0.32881794805213194,0.22266891161686556,0.6670149439504299,0.6488538944065062,-0.31489661604495306,-0.2181595089643892,-0.13554835355917574,0.06651728997900404,0.10714272184701838
Vermis_6,0.5467015240295124,-0.15129777243468504,1.0,0.12086371342233172,-0.25609466389844715,0.27786000996584864,0.014775862261223034,0.12634880747124388,0.060557891631049666,-0.04593418359969769,-0.0017854801544609825,-0.13560397066628108,0.22736864133097628,0.03829175143972273,0.019811073576663004,-0.03173173410193944,0.031293918639820256,-0.009471654164399546,-0.05502673043348736,0.01736952537562404,0.1413816302377678,-0.003908186953326694,0.030686293729173173,0.08821899719338017,0.3641943351553185,0.4353684748120368,0.42187349309607935,-0.012243536853632657,0.24836495563870079,0.3014720409384641,0.37618635727392463,-0.08150384099282469,0.6444830095533008,-0.047666610224256424,0.2332752939266505,-0.07780474719642552,0.13118156097943307,0.27902767580587895,-0.09544168739259039,0.05094481057505811,0.5126287635695145,0.15984812327740305,0.13582918310552458,0.14329037848403373,0.3964664760284938,0.32454370110048075,0.12227518872609897,0.2617838111580931,0.4101326268455397,0.26041601005078424,-0.04760913561967959,-0.054163229219441035,0.25655672974893656,0.30531627857600785,-0.0401017452473603,0.21450689841132597,0.10045575483880645,0.19019113211559915,-0.146588149166983,-0.17842685176444292,0.15789400268873646,0.11548173165099462,-0.0027286908381685643,0.02943037584782401,0.31401839118876246
Thal_LGN_R,0.20292030332146627,0.3504021233489228,0.12086371342233172,1.0,0.2856253129626497,0.4671371090556433,0.2031354434258745,0.02597423992386222,0.10212363060032928,0.15165501122681607,0.12379814080347377,0.2981927948237088,-0.43034441252395556,-0.026967057445322115,0.24627096655584646,-0.02235645469399905,0.42749896095524365,-0.2499873814597223,0.05243125095490108,0.19666401987745158,-0.06231584669182384,0.2292110246082955,-0.0075959828417679585,0.46135639823867386,0.040025825044690114,-0.006526668599633392,0.1341947232610384,0.4774801581546429,0.3684927948264306,0.33863678392961366,0.1860251400386961,0.2802872778215327,-0.009131822664856678,-0.11795590063599662,0.3637876717090616,0.35348435812249085,-0.026699833963109237,0.32624893729768706,0.0027652891610096372,0.00625581852756558,0.02179068142601581,0.2455921521974595,-0.0466452426915966,0.1551808161106417,0.0365240232570057,0.2826619719660071,0.10856690548932055,-0.19025621709165008,-0.08734559624021049,-0.1771549494512698,0.4386944721979265,0.3698856809591123,-0.230483030527316,0.000569224907424673,0.11891878378985721,-0.27965140404022804,0.3452348440956647,-0.13914327704993243,0.4704366719161769,0.2959466350947443,-0.20759713705082541,-0.36727341219837734,-0.10708311503736899,0.042040277753059546,-0.14484197168034618
Olfactory_R,0.1041021441802221,0.7001021700349552,-0.25609466389844715,0.2856253129626497,1.0,0.32162657878442164,0.6012233205383837,-0.1975999013607422,0.10986611978866574,0.3265986310711716,0.290019905361887,0.20385652254686673,-0.4157841476321025,0.00979526609258255,0.502807045645783,0.1653412956045126,0.41829210961032987,0.065542008202273,0.5389188821390879,0.37731690590689365,-0.08979879327025417,0.6045040024583999,-0.020477779939601082,0.381836559019497,0.17449674051697714,-0.12277328336239941,0.08059271966061751,0.2256168551390555,0.31893812975639624,0.24531869141889107,0.1549733724842709,0.5377039881771712,-0.26848623635729835,-0.20450629554024885,0.4448860569596383,0.34019438413016606,-0.03473867389381621,0.36363728920774224,0.09548358409925431,-0.3589376415524768,-0.32163372453348815,0.256435159189579,0.14622700498961091,0.27103311686660586,-0.14765364357806107,0.3908103350920282,0.2624648709732685,-0.22553286583677962,-0.19730502858709822,-0.10784568928889479,0.17433631093447502,0.5271634256678362,-0.2197533142462192,0.10670434670891994,0.42506378823133845,-0.29125880219897626,0.28601660436406917,-0.19166592690512838,0.6211989374706175,0.7148639366179309,-0.15075776223750387,-0.18493634237772927,-0.16435364651517506,0.21467798599008836,-0.16991945644804243
Putamen_L,0.22030999641401916,0.3973816693611672,0.27786000996584864,0.4671371090556433,0.32162657878442164,1.0,0.29969964340880245,-0.0450482321577985,0.18604302204142986,0.12832423806819004,0.0875237976527603,0.24762751630827837,-0.18115621282964062,-0.15644216209748454,0.364949643166828,-0.07127399532853221,0.3034904159062948,-0.2661925648980518,0.05403787277622265,0.1717152555562797,0.08945630143897453,0.1970059402210767,-0.01319673769210436,0.4558616197040845,0.3683370252638985,-0.1546176077543723,0.48499981832671296,0.24412560324325114,0.3784402625239629,0.19784293987495136,0.171027617143429,0.1695609081777993,0.22745574594211665,-0.22080134841120375,0.5940981678977049,0.029118222517948135,-0.18634547321419634,0.28977109389631006,-0.06696815933336424,-0.09947657046794121,0.120526937384347,0.21174403967241548,0.3174216804942124,0.18429497754141141,0.22596468456670069,0.313067935215471,0.33980712933956125,0.00684319026646459,0.18737718937818992,0.09478695230232702,0.19018170907687315,0.24650950870751187,0.057103737043507616,0.1789221368021745,0.15303416519107851,0.015816620922860503,0.25553933695555947,-0.051655050301426225,0.3840712793883145,0.05423732452169452,0.017753603408074907,-0.1030339813551162,-0.018093788534287374,0.04188397605028137,0.02483816111548397
Temporal_Pole_Sup_R,0.20098958411743392,0.42826230402949017,0.014775862261223034,0.2031354434258745,0.6012233205383837,0.29969964340880245,1.0,-0.34744960038084194,0.4534745779629923,0.6411224051093815,0.31614874816187394,0.2897004450233766,-0.5275172249958036,-0.2928235439650557,0.81188178387678,0.2076395104772066,0.4551040248744565,0.030354008955632027,0.5181368897613993,0.39557270877570916,-0.1098433813357451,0.7909533054945559,-0.025829107738775673,0.38668818192063004,0.593124117239326,0.17422217873922868,0.30560902442775933,0.11353260486963364,0.21541955887197783,0.18735536136660752,0.17450075714128588,0.43049749175723795,-0.15350833652103882,-0.5612152246680486,0.37153226192913924,0.2282954531396643,0.06019551447762103,0.39492189486254486,0.11778704902647161,-0.4902615352830654,0.079487337065077,0.20378531025945104,0.29734976902633736,0.6295439433011912,-0.029268410644727245,0.48947610730371127,0.7157767765716851,0.04961682301756993,-0.20555003726648463,-0.146084286747492,0.036061240309005295,0.4909130005492051,0.017772628502625495,0.5379403241134699,0.5066064536646009,-0.1632135798208062,0.49027967975743697,-0.215213751836986,0.5691127165422578,0.6343656931206128,-0.2665747094968728,-0.08906497836993248,-0.16679687848558666,-0.029458945452073948,-0.14718456705001548
Supp_Motor_Area_L,0.4774256730529809,-0.2323234964477076,0.12634880747124388,0.02597423992386222,-0.1975999013607422,-0.0450482321577985,-0.34744960038084194,1.0,-0.8201483190568806,-0.7634106712322412,-0.7156879234489029,0.4028269806991312,0.2381626903170796,0.7557136873852865,-0.5662822051578006,0.1645857937669126,-0.22535750071348937,0.04696378521205143,-0.1466796436822789,-0.5256182884515089,0.45610465557628094,-0.36788719128833103,-0.3310136699665696,-0.008156426767423168,0.06919901370972316,0.04183529901918658,0.08946200756012412,0.23631132359613127,-0.3109757113495709,0.12989820592541393,0.1500379475043375,0.32620257472984615,0.3580143683873659,0.5575286476461798,-0.12127128217647716,-0.12752003127003453,-0.4097487300432121,-0.016314835637719644,0.3732799476052521,-0.1905718954234484,0.31088954763895116,0.23317560715143193,-0.49803804893883147,-0.23663924705875491,0.43313099086744267,-0.01851239607348901,-0.48613144930345575,0.21468600103329644,0.2105384676011195,0.5918608383032419,0.16929998294108187,0.156055138339221,0.24330507288455513,-0.38318853564857913,-0.7449622685074084,0.030664852946904218,-0.32004597927495587,-0.1542733406130076,-0.2603095082146069,-0.22494249293894628,0.542678534201702,0.15695783531837762,0.4419874912814834,0.5645922348511623,-0.14711399133964434
ACC_sup_R,-0.21118904647170722,0.13779652142699977,0.060557891631049666,0.10212363060032928,0.10986611978866574,0.18604302204142986,0.4534745779629923,-0.8201483190568806,1.0,0.7496200155520721,0.6496330343762697,-0.27813085339197824,-0.37276643921551333,-0.8263381620928717,0.7189229440506963,-0.0939932500641301,0.34363806928696033,-0.0055607354199630355,0.07019924544182957,0.6099220462866249,-0.44550580624925684,0.291891795034218,0.21649001944657262,0.010005348248213199,0.10299788918742404,0.19357299163085445,0.005592878114541747,-0.21008712143335517,0.3188587820714682,-0.02406719206959012,0.09009919455551815,-0.31389207383300305,-0.2973027473887296,-0.5853364220258509,0.148482113330911,0.21528049627361917,0.42486766139144777,0.09144404848415044,-0.27681090779088685,0.2041256500955406,-0.10791781469591566,-0.11442022974384454,0.474786892609972,0.3595690963960842,-0.383979641484159,0.06929825025296459,0.5954858244218904,-0.1184084207517826,-0.33409736534128165,-0.612483297522071,-0.16417128702614261,-0.05905869218282666,-0.20853238205243751,0.5230589813310985,0.6912742064228727,-0.03930660982241232,0.3250634623213448,0.06937043546488765,0.1622322945768519,0.17631764773598305,-0.608124193842241,-0.15054393040962985,-0.32102048235779884,-0.6220881115588718,0.16005053394761784
ACC_sub_L,-0.21548340428858836,0.42837584416237384,-0.04593418359969769,0.15165501122681607,0.3265986310711716,0.12832423806819004,0.6411224051093815,-0.7634106712322412,0.7496200155520721,1.0,0.7081253050899341,-0.12693959990828327,-0.3999465031999601,-0.5242734355114793,0.7950220095278646,-0.008792292937160714,0.4491441004344765,0.015029652684697305,0.3396300659394886,0.5296849584510678,-0.39399976510475093,0.6199008862303867,0.30191581320064814,0.2318316745808099,0.13853975199069585,0.032884800306839095,-0.0515720238541231,0.05492132754776511,0.3826123288892569,0.07214201463629027,0.03697666635008894,-0.0462820163331452,-0.3717829937117915,-0.6784174733995431,0.3110474472650575,0.2596151482648681,0.3471987106717936,0.341437837360288,-0.2621534754125271,-0.06368887825091994,-0.13907835738410348,-0.0024139458779682903,0.4348227242338124,0.5053698697622971,-0.3605100262923816,0.3322170798023662,0.5946074307837764,-0.15085494656675916,-0.1937343868797092,-0.4886611170830421,-0.043008073096005316,0.1746675468324633,-0.2106564201007005,0.5159698111950866,0.8512893376229939,-0.1859411934515277,0.5534244498490065,0.12602728007097574,0.4858422187450719,0.5136819766961178,-0.524635105181475,-0.2240642482363198,-0.3609206973399886,-0.3997737380821035,0.12168559673003548
