,Fusiform_L,ACC_sup_L,Lingual_L,OFCpost_L,Insula_R,Cerebellum_10_R,Cerebellum_3_L,Frontal_Med_Orb_L,Thal_PuL_L,Thal_PuL_R
Fusiform_L,1.0,-0.21675013123368966,0.7289767906674924,0.01567272861401293,0.008985006291179622,-0.43635745277543087,0.6221195227267864,0.2567421125304709,0.14102901398177722,-0.2995332587731463
ACC_sup_L,-0.21675013123368966,1.0,-0.08756310372106331,-0.4727275486684907,0.0030132754741314057,0.1989053146581795,-0.2050871371450164,-0.7113705460422687,0.18335320192188978,0.15722045593363765
Lingual_L,0.7289767906674924,-0.08756310372106331,1.0,-0.20943973534701452,-0.031689366893677705,-0.366529284487684,0.4772797185306226,0.042851494503161815,-0.020802053225750218,-0.3261526051496487
OFCpost_L,0.01567272861401293,-0.4727275486684907,-0.20943973534701452,1.0,0.44247253164465566,0.13728836385349383,-0.2290631917031672,0.5696529120219819,0.04312092200110416,0.17774235980876063
Insula_R,0.008985006291179622,0.0030132754741314057,-0.031689366893677705,0.44247253164465566,1.0,0.44733324053198015,-0.35447406034396556,0.1737172968851522,0.289836349082409,0.5560471924483439
Cerebellum_10_R,-0.43635745277543087,0.1989053146581795,-0.366529284487684,0.13728836385349383,0.44733324053198015,1.0,-0.511444025641915,-0.1567463424286972,0.2484302193177574,0.3740543758192776
Cerebellum_3_L,0.6221195227267864,-0.2050871371450164,0.4772797185306226,-0.2290631917031672,-0.35447406034396556,-0.511444025641915,1.0,0.25554829843700017,0.09381954407171028,-0.38840054830065085
Frontal_Med_Orb_L,0.2567421125304709,-0.7113705460422687,0.042851494503161815,0.5696529120219819,0.1737172968851522,-0.1567463424286972,0.25554829843700017,1.0,0.0644258130481277,-0.09413307188196063
Thal_PuL_L,0.14102901398177722,0.18335320192188978,-0.020802053225750218,0.04312092200110416,0.289836349082409,0.2484302193177574,0.09381954407171028,0.0644258130481277,1.0,0.3208743537044406
Thal_PuL_R,-0.2995332587731463,0.15722045593363765,-0.3261526051496487,0.17774235980876063,0.5560471924483439,0.3740543758192776,-0.38840054830065085,-0.09413307188196063,0.3208743537044406,1.0
