,Frontal_Inf_Orb_2_R,Frontal_Inf_Tri_R,Thal_Re_L,SN_pc_R,Cerebellum_6_L,Frontal_Sup_Medial_L,Vermis_6,ACC_pre_L,Pallidum_L,LC_L,Red_N_R,Cerebellum_Crus2_R,Occipital_Sup_R,Frontal_Inf_Orb_2_L,Vermis_9,Lingual_L,Thal_MGN_R,SN_pr_L,Thal_LP_L,Putamen_L,Occipital_Mid_R,Frontal_Sup_Medial_R,Cerebellum_10_L,Temporal_Pole_Mid_L,Thal_LGN_R,SupraMarginal_L,Frontal_Mid_2_L,Thal_PuI_R,Temporal_Mid_R,Thal_PuA_R,Caudate_L,Temporal_Pole_Sup_R,Occipital_Mid_L,Cerebellum_9_R,Supp_Motor_Area_R,Rectus_L,Thal_IL_L,OFCant_L,Thal_LGN_L,LC_R
Frontal_Inf_Orb_2_R,1.0,0.5539567389527716,-0.27003159246826336,0.16236888516737227,0.2910788856136482,0.728424429032045,0.03218636523131993,-0.5193113597128673,0.2737636697301505,-0.5338927441224172,0.03289533343157317,0.5459273225620468,-0.006360085344926298,0.15565832221691647,0.6326227495205381,0.10155574226865147,-0.022374202475007047,0.38671139337433846,-0.23484045829542863,0.09071462716541898,-0.030542019096656617,0.8216043857738646,-0.25162683651751905,0.15263694762794244,0.07843933312032603,0.471033469599044,0.4322321632433334,0.28386713607052244,0.1410504462974125,-0.08047611759646396,-0.5708935974976326,0.011849254868083681,-0.033487071647353164,0.6360247927249859,0.7548480662441673,-0.4034045361964763,0.20888291011972202,0.35581336088347504,0.3782395501262226,-0.41137775899391704
Frontal_Inf_Tri_R,0.5539567389527716,1.0,-0.1255452457234907,0.2452068244702032,0.25169951110844735,0.5060379222188106,0.1156495954947183,-0.03751915139681031,0.11589728815139672,-0.32293190452015996,0.3167001444909778,0.1502483252464012,-0.07070132846988937,0.24457670285331967,0.532558334825931,-0.05053362532249179,0.2543524907267782,0.5990505349937536,-0.030432094382920105,0.19586372640412733,0.05563765376645944,0.5936516408316285,0.06287548602154774,0.21542835162409796,0.1406757930915564,0.04942623074763044,-0.009182506806519709,0.3440904784238347,0.2746150354747845,0.24647650465571022,-0.2836211393230365,0.35069519842506575,-0.037211943555538446,0.22157787204927726,0.37252311108789865,-0.05290138447522776,0.3639698348704279,0.47440607066765994,0.17463840128134012,-0.17621015378346275
Thal_Re_L,-0.27003159246826336,-0.1255452457234907,1.0,0.149471946090458,0.016660676309470823,-0.17668489475255597,0.030686293729173173,0.3578950710826763,-0.12984174787983913,0.1351281652044494,0.10907075929711059,-0.1638330443355879,-0.07961358807326634,-0.13839488648501,-0.12675134081614955,0.06388979039792714,0.007496070992398261,-0.02732683289678673,0.3205861921706311,-0.01319673769210436,-0.019027751283753124,-0.23898132012927217,0.1313259605940544,0.12833303246975133,-0.0075959828417679585,-0.20810013935335261,-0.21783805936283704,0.01789348778259177,-0.11107563996648813,0.21653007877070882,0.3701718826800846,-0.025829107738775673,0.04524394458703706,-0.04408666510241581,-0.2936771810249142,0.127424522811391,0.0877530867064146,0.02351198236617781,-0.002709414536212744,0.030354552640621073
SN_pc_R,0.16236888516737227,0.2452068244702032,0.149471946090458,1.0,-0.2865151066618529,0.17527812559114117,-0.056412975630330146,0.24485493308080705,-0.28452002633980267,-0.0497744528499916,0.5392680286383874,-0.13712822076333495,-0.4723462032592924,0.36245334865149686,-0.170637165161995,-0.4985170835137223,0.4160493078563386,0.49700396993754825,0.4632854411403516,-0.11585245439957495,-0.39889979260607,0.07816385248609456,0.4474930504686545,0.28182179940983876,0.22510781440033853,0.15123486256559007,0.13587003992084656,0.21432460910881007,-0.35977711319013056,0.48197255664658406,0.3038562264323953,0.1965577764086402,-0.4585201101749405,-0.16469016496389852,-0.09757806966833932,0.17323516570291797,0.4774131179992222,0.16746088750853894,0.4765321425744731,0.16086318760249815
Cerebellum_6_L,0.2910788856136482,0.25169951110844735,0.016660676309470823,-0.2865151066618529,1.0,0.34120387378072625,0.6444830095533008,-0.37006444618925244,0.35805945164169983,-0.09361550704959816,-0.052830289534181146,0.46726432791694217,0.125836027457615,-0.07955901358636082,0.7068173356808095,0.7409672171588579,-0.07937867685198545,-0.03070444749223603,-0.1949109668924316,0.22745574594211665,0.11771032762440764,0.41413594333909787,-0.1621837375893138,0.09798958628925093,-0.009131822664856678,-0.11868373846471338,0.26204189080194346,0.12455323191663553,0.45758454670333015,-0.08711069258874023,-0.37377586821304504,-0.15350833652103882,0.18917282465226373,0.5539105239595085,0.446022857011933,-0.24279928164295883,0.15196982346690158,-0.13931652664538896,-0.0753167076153458,-0.1896227534816261
Frontal_Sup_Medial_L,0.728424429032045,0.5060379222188106,-0.17668489475255597,0.17527812559114117,0.34120387378072625,1.0,0.03829175143972273,-0.4237280199139503,-0.017542319476346817,-0.4448411406350416,-0.0464629507234527,0.22989237718233338,-0.12026119199288896,0.40624698843274565,0.557389809069546,0.0769550139023038,-0.027379748906956852,0.30486793994037525,-0.012006395399163644,-0.15644216209748454,-0.006064673907945795,0.9317518094222869,-0.22228899053510848,0.15925913141022857,-0.026967057445322115,0.19138764646701895,0.5503282251696271,0.10473198371074915,-0.12971286884680674,-0.10436154015823879,-0.5114327156629046,-0.2928235439650557,0.06517349617920412,0.46527745798503184,0.7294095609303248,-0.4740212407061576,0.2034660457637205,0.23447052442458102,0.268446289723152,-0.19150976951473891
Vermis_6,0.03218636523131993,0.1156495954947183,0.030686293729173173,-0.056412975630330146,0.6444830095533008,0.03829175143972273,1.0,-0.0401017452473603,0.34776401200758567,-0.10765029855227945,0.030405705439997804,0.19409957036130177,0.037709764014074,-0.025964411419843774,0.33647313500526177,0.5945530712321313,0.07035188579353685,-0.054163229219441035,-0.037054083074301705,0.27786000996584864,0.04341942433577456,0.06997684133008292,0.008251902540612891,0.04925967801737894,0.12086371342233172,-0.07312338755994754,0.11227360285244034,0.08821899719338017,0.37840988807821807,-0.0032758682211273256,-0.0017854801544609825,0.014775862261223034,0.08483155232787154,0.15789400268873646,0.1894595899064531,0.01736952537562404,0.3014720409384641,-0.14986455842704538,-0.012243536853632657,-0.07608185904277569
ACC_pre_L,-0.5193113597128673,-0.03751915139681031,0.3578950710826763,0.24485493308080705,-0.37006444618925244,-0.4237280199139503,-0.0401017452473603,1.0,-0.31918787855429603,0.3053590308650583,0.27383978133702447,-0.4629470953216471,-0.2364518385958845,0.08636656563554225,-0.45272605413527534,-0.21660892476007046,0.2090308839535132,0.1250491342789723,0.6444691598353129,0.15303416519107851,-0.18544516577751524,-0.5660642735021334,0.32553814889935584,0.044694368327754454,0.11891878378985721,-0.3434861488192657,-0.4813347427332956,0.18031105787821206,-0.07413129877629235,0.5909244033512718,0.8158663748808506,0.5066064536646009,-0.12269934941422819,-0.5032119454946381,-0.7855368754031771,0.5835060088807146,0.14940269565328673,0.08213714463251907,-0.019817062041627878,0.3573352040339628
Pallidum_L,0.2737636697301505,0.11589728815139672,-0.12984174787983913,-0.28452002633980267,0.35805945164169983,-0.017542319476346817,0.34776401200758567,-0.31918787855429603,1.0,-0.21767739771542968,-0.05848963939019835,0.3834186909170519,0.38589894088772597,-0.309232669080599,0.3810814701607137,0.490139862434491,-0.03562501197669967,-0.11212421325269194,-0.5131596243103135,0.5607953716029844,0.34008108252941893,0.15388850996474418,-0.11152912241266184,-0.06034355790915099,0.13130141515653682,0.148859804279954,0.01245224944180256,0.13749106808688433,0.641486226450802,-0.20257276506598454,-0.36979244935769234,0.017585415003994524,0.18921877556787986,0.3271812671207497,0.37592736332663423,-0.1605809031345188,0.11603070010730307,0.09495092061519571,-0.012572537629270436,-0.28218248927581413
LC_L,-0.5338927441224172,-0.32293190452015996,0.1351281652044494,-0.0497744528499916,-0.09361550704959816,-0.4448411406350416,-0.10765029855227945,0.3053590308650583,-0.21767739771542968,1.0,0.1323376341373956,-0.1981087727067175,-0.08933451655539489,-0.15646730920962776,-0.32774078076186086,-0.12740666940665396,0.15214761464474877,-0.1079969267806727,0.22697368039210244,0.01579579710928296,-0.1396006975130143,-0.5133829581411924,0.2836205612139263,-0.04452677830008774,0.056825176605142844,-0.4297861741955495,-0.22561693556733267,-0.08191728448769352,-0.09757063665841864,0.16875886669661125,0.37099119408396025,0.035609486046394204,-0.13768483595527226,-0.30272811682143647,-0.4665521814356256,0.4036801969945744,-0.08306435434532077,-0.29918390443123916,-0.22519288392359735,0.5177516037732683
