,Putamen_L,Thal_MGN_R,Thal_PuL_L,Occipital_Mid_R,Cingulate_Post_R,ACC_sub_L,Thal_VPL_L,Thal_LGN_R,Cingulate_Post_L,Cerebellum_6_R,OFCpost_L,Angular_L,VTA_L,Rolandic_Oper_R,Postcentral_R,Occipital_Mid_L,Supp_Motor_Area_L,SN_pr_R,Thal_PuA_L,Hippocampus_L,Occipital_Inf_L,Cerebellum_3_L,Cerebellum_Crus2_L,SN_pc_L,Temporal_Sup_L,Cerebellum_6_L,Thal_IL_L,Frontal_Med_Orb_R,VTA_R,Rectus_L,Thal_PuM_L,Thal_Re_L,SupraMarginal_R,N_Acc_R,Frontal_Med_Orb_L,Cerebellum_4_5_R,Temporal_Mid_L,Vermis_3,OFCmed_L,Thal_LGN_L,ACC_sub_R,Frontal_Mid_2_R,Temporal_Pole_Sup_L,Thal_IL_R,Thal_LP_R,Cerebellum_8_L,Occipital_Inf_R,Postcentral_L,SN_pc_R,Vermis_4_5,Lingual_L,Frontal_Inf_Orb_2_L,OFCant_L,Temporal_Pole_Mid_L,Vermis_6,Heschl_R,Thal_VPL_R,ACC_pre_L,Cerebellum_10_L,Cerebellum_9_L,ParaHippocampal_R,Cerebellum_7b_L,Calcarine_L,LC_L,Parietal_Inf_L,Temporal_Pole_Mid_R,Frontal_Inf_Oper_R,Caudate_R,Thal_VL_L,Cerebellum_4_5_L,Cingulate_Mid_R,Thal_PuA_R,Cerebellum_Crus2_R,Frontal_Inf_Tri_R,Thal_VL_R,Fusiform_R,Olfactory_R,Thal_AV_L,Caudate_L,Frontal_Sup_2_R,Parietal_Inf_R,Temporal_Pole_Sup_R,Temporal_Inf_R,Thal_VA_R,ParaHippocampal_L,ACC_sup_L,Frontal_Sup_2_L,Thal_PuI_R,Red_N_R,Thal_MDm_R,Cuneus_L,Thal_MDm_L,Frontal_Mid_2_L,N_Acc_L,Thal_PuI_L
Putamen_L,1.0,0.1489099059493013,0.0800874639879092,0.00011738707984285202,0.171027617143429,0.12832423806819004,0.3164171279436723,0.4671371090556433,-0.07518402767689604,0.22596468456670069,0.1695609081777993,-0.19725967108592843,-0.2661925648980518,0.27134471290291406,0.035505372066920136,-0.1654649390551777,-0.0450482321577985,0.19018170907687315,0.22453633819908192,0.3628163633644738,-0.18129634609554057,-0.33832918503444015,-0.05060414471202138,-0.2963737090850662,0.18187486901640207,0.22745574594211665,0.19784293987495136,0.23055192730634638,-0.07127399532853221,0.1717152555562797,0.202702710148909,-0.01319673769210436,-0.13328873674793404,0.05423732452169452,-0.07983824449795787,0.28303094872506557,0.02483816111548397,0.120526937384347,0.10754577320114726,0.24412560324325114,0.17882981358385872,-0.09947657046794121,-0.097218014931615,0.3292242483156751,0.2623159370699821,-0.12143967515726022,0.09951422754778937,-0.10404713103678705,-0.11585245439957495,0.22030999641401916,0.33685193584753176,-0.09207593654318758,0.15475920904372786,-0.29311024082977644,0.27786000996584864,-0.11676445975689632,0.3146811593409486,0.15303416519107851,0.21666036172020023,0.015816620922860503,0.1970059402210767,-0.0671318447390049,-0.004284603012065814,0.01579579710928296,-0.06696815933336424,0.18429497754141141,0.21174403967241548,0.364949643166828,0.28977109389631006,0.33671408643309514,0.08582110210586666,0.28691222602352434,0.09512817550608087,0.19586372640412733,0.46806677210253916,0.48499981832671296,0.32162657878442164,0.3174216804942124,0.0875237976527603,-0.10437128932608056,-0.10705700064873327,0.29969964340880245,0.3683370252638985,0.5580808583063521,0.3973816693611672,0.10652760883681367,-0.16330412040071252,0.4558616197040845,0.2479652471910635,0.3947188789051433,0.00684319026646459,0.313067935215471,-0.10714532127840946,0.3840712793883145,0.29397759053886263
Thal_MGN_R,0.1489099059493013,1.0,0.1528204439004734,-0.2968587991321513,0.32238355521955075,0.2845280141842976,0.26605868394128124,0.3702947539170349,0.11906502741704206,-0.13758208557769852,0.24911192080381056,-0.20973056623328917,0.08501114288601047,0.3515542476357594,-0.0027429467587345878,-0.4645314145262809,-0.14218958847199129,0.3306690187222589,0.2964080046895357,0.15167300669696065,-0.4642300447978883,-0.2821988533384171,-0.46572759502648176,0.36623509160985745,0.2372899978173818,-0.07937867685198545,0.4364623239607648,0.2146292324844505,0.2640795746727931,0.24734360594051913,0.4644114188012043,0.007496070992398261,-0.039501354963881144,0.4876035189548312,-0.032373743852428756,0.30862039865346064,-0.2605065351992392,0.12329903447092609,0.09374751237961916,0.18248836917250197,0.29067028335511774,0.12169123805002488,0.10208885825083108,0.35966232445838564,0.28704378207705017,-0.3520329401332458,-0.2968872088368967,-0.07334433399749425,0.4160493078563386,0.21505996476986164,-0.34522654832650224,0.3624400056805802,0.07172495095613973,0.049558868197150004,0.07035188579353685,-0.12257365241919212,0.5715453118400603,0.2090308839535132,0.45265277293260064,-0.4139035333145053,0.3394783971895758,-0.36528616581965817,-0.14039544663521372,0.15214761464474877,-0.11111516799330588,0.2240188533599029,0.31768692213209776,0.42317407651642697,0.2826793987216388,0.2640654361341727,0.30279891062650804,0.38123345485960397,-0.18603380790635238,0.2543524907267782,0.4488439697074897,0.077352748887426,0.19947629508301007,-0.18465602481091228,0.16046824567136192,-0.0073436000956235686,-0.10916264525218787,0.3474277293957821,0.08190255705594143,0.31757669052311244,0.26675145947932977,0.0634170547369324,0.04143266176421876,0.3892138014652137,0.4289050083802924,0.2963468338727106,-0.24616247574447805,0.30176973783591615,-0.08822958462182308,0.3454709444330738,0.4054990777212092
Thal_PuL_L,0.0800874639879092,0.1528204439004734,1.0,-0.48677132112699456,0.19704863741695994,0.09820372330442764,0.5992513890979679,0.10945384469470842,0.14349562271569286,-0.17310175711103296,0.04312092200110416,-0.1472295428446963,0.1940842864852282,0.012097647495603934,-0.4376960746772124,-0.21864973108043173,-0.030300204283198,0.22513468615142776,0.4449674682574724,0.516685961745075,-0.11507592456939657,0.09381954407171028,-0.05132535725920855,0.007977625531027658,0.34683253641452305,-0.006282273995385839,0.28264837681155336,0.16314592446739176,0.3619309787457659,0.20123817666561375,0.6336466199858151,0.10493080559113284,-0.4638578410357277,0.41939544990941124,0.0644258130481277,0.023832734260604452,0.18663185290950773,0.02636295182475037,0.08832952097883062,0.2081416686641483,0.04755341437827669,-0.04132427064587983,0.25294773434627393,0.025836310436479947,0.35744481509223497,-0.03432497253285805,-0.23738671603254402,0.13112145797272207,0.306508150513449,0.15350771312508732,-0.020802053225750218,0.2660821716774256,-0.018998433755179376,0.09167619525268213,0.051825903424537904,-0.14107590258983513,0.34142125864009815,0.2962666738572459,0.10213194638450201,-0.0025590999976871664,0.2773932916890038,0.06175564634696164,-0.0692834948850808,0.04225268301080381,0.03346336295014107,0.08876969760977091,0.24573988876568323,0.05950234792274957,0.5309771482979057,0.20634516644511863,-0.2452958907026299,0.42264068936725196,-0.02531765828400012,0.13302927468424733,0.16937828596778204,-0.10411281877941322,0.27719385710500666,0.08212780144738564,0.41772773012889863,0.022535233905154196,-0.43251776320613544,0.06376166591802808,-0.10912625625842111,-0.020050307391990426,0.33634525493274403,0.18335320192188978,0.21318488102552707,0.3253470974818333,0.1466182470068764,0.2064848413268643,-0.3838165908947618,0.4595971335847681,0.2739074851485498,0.19627428411466605,0.5586479610936936
Occipital_Mid_R,0.00011738707984285202,-0.2968587991321513,-0.48677132112699456,1.0,-0.05338168652288923,-0.20264117627169168,-0.3605224897033568,-0.2181494343038341,0.07005918325193589,0.13452381591409335,0.1288597769542877,0.4978568291360014,-0.00023138458550849055,-0.0203485735626124,0.6428246292901126,0.8223965411287734,0.14571688463376584,-0.2981651757657385,-0.4988765264836913,-0.19732131431719768,0.6620784159366045,0.35768084535417133,0.16084356272908024,-0.1799225324172672,-0.25397162163280435,0.11771032762440764,-0.2690268512693503,0.08894927394993658,-0.21975444415603404,-0.3881442643720934,-0.6335871696996636,-0.019027751283753124,0.5706797123185948,-0.2917258357092364,0.37448699276257996,-0.16475748017945518,0.3135322640589471,0.157560298327151,0.3263758138422652,-0.33769899949257526,-0.1634626791011793,-0.06751281326509732,0.28565729639630494,-0.03592411835324493,-0.2973094076253997,0.2529285948384787,0.6037454292730462,-0.016310710093971233,-0.39889979260607,-0.053223298470676805,0.351026204983774,-0.10903957778422438,0.2058936520855646,-0.11553241227739697,0.04341942433577456,0.28627949454155527,-0.45881624300194607,-0.18544516577751524,-0.41067645308235906,-0.09207293371113498,-0.2029857964023315,0.11828294439836633,0.2605125831283894,-0.1396006975130143,0.06105515329733376,-0.3953169396271509,-0.10483595775181453,-0.12843927395767515,-0.318008367991025,-0.11597949700024072,0.2442161027339504,-0.5209760930899827,-0.18854625365601924,0.05563765376645944,-0.19099800066943176,0.1477980399590842,-0.12008340480817357,0.158142565528892,-0.3511681870422504,0.15522600555471489,0.7292241156828707,-0.07182921448933566,0.03858342391072734,-0.024530797917866234,-0.021067015745150706,-0.2905723443489225,-0.13461088820551867,-0.4575146426712393,-0.24627039541648754,-0.19004644661472067,0.7118676163890532,-0.2748470058062332,-0.4755732551788123,-0.22775914903565478,-0.6402807005245469
Cingulate_Post_R,0.171027617143429,0.32238355521955075,0.19704863741695994,-0.05338168652288923,1.0,0.03697666635008894,0.3737402135487465,0.1860251400386961,0.6893621917697879,0.1692004189576912,0.1545602026397154,-0.14204898371562766,0.23477277684945355,0.457765805392238,0.11460275592352195,-0.09528995625247078,0.1500379475043375,0.040834701102716295,0.21102845853326854,0.09582977408555945,-0.036163339517713916,0.2049592992842389,-0.05901455647845311,0.3466703248316244,0.09118719376960835,0.23661641066795341,0.5042645796538584,0.22909525299952926,0.19679246424274838,0.16670269064546878,0.3051812138539968,0.08375845985671901,-0.09203480925339849,0.30857473920284756,0.15019442319218423,0.40797908068593114,0.09655759948346862,0.40062671170616704,0.08765245289465572,0.10679529411321192,0.08378376514750703,-0.024490519468537218,0.03683372814935772,0.4805174299228687,0.1854685696432467,0.02681554715290308,0.10240847038392502,-0.03995563599178519,0.292586245588356,0.6825238455733837,0.1101958378376063,0.1254748812291744,0.13430641068974025,0.17998351155968892,0.37618635727392463,-0.1593473182318037,0.5389537216789451,0.1418324476250345,0.27167904384176017,-0.12711410689954428,0.2302279470811979,0.06783985998927491,0.39278117891507686,-0.02087937013151534,-0.11464673227429852,0.128310521508557,0.5006718710362907,0.2851536436735305,0.5502173129337905,0.5574887408131095,0.4944859839959534,0.2934169326924498,0.042533445293385666,0.47733043157965105,0.4960804633207494,0.19332888310425225,0.1549733724842709,0.07742066880663523,0.07078877295667606,0.19792678824630996,-0.14495168789797233,0.17450075714128588,0.256239500843402,0.25774164973732394,0.18705239404660232,-0.04758786973732353,0.1372958551608595,0.28722761628901083,0.33564170769701207,0.5136977292048337,0.005450767049794196,0.5821317932168761,0.029243196286396298,-0.0021557337208952857,0.12543306399298296
ACC_sub_L,0.12832423806819004,0.2845280141842976,0.09820372330442764,-0.20264117627169168,0.03697666635008894,1.0,0.11586285052482044,0.15165501122681607,-0.2242121711825966,-0.3605100262923816,-0.0462820163331452,-0.16000571598785948,0.015029652684697305,0.17545124038030205,-0.5111640498598309,-0.24613612117794104,-0.7634106712322412,-0.043008073096005316,0.5603429898873505,0.17632576071112516,-0.24407004203850075,-0.3217472674273427,-0.5183059743245104,0.009117376912424981,0.527479259968219,-0.3717829937117915,0.07214201463629027,0.425689616439759,-0.008792292937160714,0.5296849584510678,0.45793604199034327,0.30191581320064814,-0.33058054452853347,0.5136819766961178,-0.39324298947141356,0.11636957303723985,0.12168559673003548,-0.13907835738410348,-0.05061812154101274,0.05492132754776511,0.9113960364760507,-0.06368887825091994,0.3083282325817664,0.23066068993859595,0.6323098747046814,-0.1205929635618899,-0.34351068734586526,-0.375398481817179,0.265225004703038,-0.21548340428858836,-0.29743509638426663,0.04386720295230643,0.10604536792512381,0.08640627481923678,-0.04593418359969769,-0.33935973222572796,0.387373163331023,0.8512893376229939,0.3554992979630155,-0.1859411934515277,0.6199008862303867,-0.5290429204897565,-0.2786871013892911,0.24919606861696042,-0.2621534754125271,0.5053698697622971,-0.0024139458779682903,0.7950220095278646,0.341437837360288,-0.07627082184592904,-0.09644758899124363,0.6229272333170559,-0.3870674250641896,-0.05395997949711812,0.44289350329751304,-0.0515720238541231,0.3265986310711716,0.4348227242338124,0.7081253050899341,-0.616864465851317,-0.34921403903243087,0.6411224051093815,0.13853975199069585,0.2330874822411017,0.42837584416237384,0.6289433626782656,-0.4380234794867808,0.2318316745808099,0.27057459511176024,-0.09032344894862342,-0.15085494656675916,0.3322170798023662,-0.5602180959445175,0.4858422187450719,0.16798002148871252
Thal_VPL_L,0.3164171279436723,0.26605868394128124,0.5992513890979679,-0.3605224897033568,0.3737402135487465,0.11586285052482044,1.0,0.372808766472708,0.3199842292794255,-0.061767036276560335,0.24364620362831074,-0.08099275023310544,-0.018391860244220865,0.14250934709155447,-0.19481855003262485,-0.2902834361472571,0.08589684650693503,0.38391924738403965,0.5870204639285456,0.5737154862409694,-0.22126512201520898,0.055828230715004985,-0.178886318043461,0.12560156472303047,0.3921531867061377,0.03594908785118154,0.5773818587438976,0.25563577431419043,0.23550383315227116,0.04618581392240746,0.6573286808865616,0.13819505503477553,-0.37551840382797075,0.4718920362002112,0.13868752988788519,0.20733502117038172,0.15907076253663618,0.11192915429337429,0.16901917040688139,0.4972413730499976,0.15014260476862834,-0.02746217051506249,0.21882957554317128,0.38323558493609144,0.3450383171939645,-0.1850357890293449,-0.10926726595511196,0.16870744116751674,0.4612183688468281,0.2670458571724111,-0.06785393101035726,0.34914088755487394,0.14569183805617927,0.05430441404615471,0.1543380174263511,-0.12389453185996135,0.5402489055056279,0.25253362556901504,0.32773454634511395,-0.2205489469146853,0.37200669193295116,0.012832187333441237,-0.026215643148362687,-0.06979604279087286,0.06534641024258896,0.10753654524022682,0.3579329814531216,0.13926137001320205,0.7650831083738386,0.3318366257022965,0.03928745717875071,0.5061877166620454,-0.0906347674331291,0.2719223805735457,0.3470777786610583,-0.03770318819481241,0.28740240151436486,0.1349520536686651,0.3464342491141749,0.13329948582881845,-0.31452697777247174,0.1159932689787909,-0.08149864338598271,0.21040841718239212,0.4033127064337,0.08003142304482101,0.26107110422000046,0.4898255549054609,0.2134696495902315,0.4933797772088133,-0.2665105385009583,0.6359058951853489,0.2494627860649844,0.36792886046794177,0.60177800075024
Thal_LGN_R,0.4671371090556433,0.3702947539170349,0.10945384469470842,-0.2181494343038341,0.1860251400386961,0.15165501122681607,0.372808766472708,1.0,0.043797623638638504,0.0365240232570057,0.2802872778215327,-0.21532076889898602,-0.2499873814597223,0.10286004442936213,-0.017259156591293484,-0.42427937381953607,0.02597423992386222,0.4386944721979265,0.36612792368209435,0.3527040065250656,-0.42394139630935196,-0.372344090962083,-0.28852476759848766,0.06670264718807042,0.27678034940683627,-0.009131822664856678,0.33863678392961366,0.1493892180094642,-0.02235645469399905,0.19666401987745158,0.3886374511538062,-0.0075959828417679585,-0.09856806606700134,0.2959466350947443,-0.10458799352774005,0.2728884194726198,-0.14484197168034618,0.02179068142601581,0.03708903947660064,0.4774801581546429,0.18412063097229067,0.00625581852756558,-0.061971907124939,0.3382418266426876,0.18950015629968192,-0.30051810856365285,-0.14735570771212256,0.04604663121400531,0.22510781440033853,0.20292030332146627,-0.04741190922860441,0.18460699143203338,0.18592708316411072,-0.23459758788829,0.12086371342233172,-0.021384747328105413,0.4612258244620362,0.11891878378985721,0.33982951345460427,-0.27965140404022804,0.2292110246082955,-0.20300866346129076,-0.1104627244040497,0.056825176605142844,0.0027652891610096372,0.1551808161106417,0.2455921521974595,0.24627096655584646,0.32624893729768706,0.2534027831037946,0.05763446376822499,0.35773417908081495,-0.062084199265929396,0.1406757930915564,0.31953497783601065,0.1341947232610384,0.2856253129626497,-0.0466452426915966,0.12379814080347377,-0.001189134044292172,-0.08532516668635896,0.2031354434258745,0.040025825044690114,0.35131804986146065,0.3504021233489228,0.08126906280492466,0.003346779197346033,0.46135639823867386,0.38761492062290237,0.3823303816640797,-0.19025621709165008,0.2826619719660071,0.04577263501093834,0.4704366719161769,0.45495808614536476
Cingulate_Post_L,-0.07518402767689604,0.11906502741704206,0.14349562271569286,0.07005918325193589,0.6893621917697879,-0.2242121711825966,0.3199842292794255,0.043797623638638504,1.0,0.1460294982800991,0.19101616249014977,0.2215994215852932,0.35240328704903623,0.3083927715205001,0.19222466114172262,0.0693975272147656,0.3886949288564194,0.005893233432234497,-0.05196960543391535,-0.060926169270251254,-0.03171004300845183,0.35065157929493956,0.041517858316505264,0.5766939474344766,-0.05035666460603542,0.10681543138214591,0.44367964171621915,0.17154259519741122,0.27060802731251427,-0.011744584329179372,0.13507564812827277,0.058116023828867394,-0.05023295974155062,0.24178589914075782,0.3264503403982043,0.24153555120844758,0.02355107691354475,0.4041339921343381,0.12639976259326638,0.10168402654073187,-0.1503096701012072,-0.19157015489598753,-0.034920709371894953,0.35502956663426294,-0.01360960626688892,-0.02378182538114744,0.21357579135554702,0.39303208925797434,0.36600854296841023,0.6530868378078564,0.034284471734759306,0.03157290680665758,0.14064587621582267,0.2632830410801602,0.1996950113820374,-0.06127930667334447,0.2635330229482704,-0.13691777970178334,0.048441718056007936,-0.04137786081953027,0.12557857839419043,0.2480669346951931,0.5842676174292323,-0.1719517705139547,0.3607295630241524,0.05161707753455858,0.2909980976671921,0.013340286076697174,0.421088322198808,0.43001845331825134,0.49405430468447853,0.014546969311104394,0.17499661168042208,0.34001574460371325,0.19024878859749927,0.09670253086595303,0.06318129038076034,-0.04120386590772491,-0.05975500157594235,0.19403694333636518,0.03421059038970533,0.04527981348489183,0.11583840261940345,0.03536830872672076,-0.008116284184530694,-0.18779479748575606,0.16264253187286812,-0.006033708510711858,0.28274704969650305,0.35981301186899844,0.14174350339121503,0.38128338162113923,0.15259296850216456,-0.21672416399827124,-0.04231288673486847
Cerebellum_6_R,0.22596468456670069,-0.13758208557769852,-0.17310175711103296,0.13452381591409335,0.1692004189576912,-0.3605100262923816,-0.061767036276560335,0.0365240232570057,0.1460294982800991,1.0,0.052024015494951184,-0.1732044913636924,0.015304568783035119,0.32882606538719605,0.20721807198813785,0.05643022345868144,0.43313099086744267,-0.2050002903289368,-0.14795604287692712,-0.20813251576846648,0.21811704753637093,0.19687649819969014,0.7312996442463114,-0.016157224869778934,-0.446903609158361,0.7854156136516952,0.08924965569277163,0.055862203725299917,0.05313277507479925,-0.2713837357812457,-0.18201472442276978,-0.09737261740774579,-0.08416911044724529,-0.27736283497860936,0.24625850454059198,0.43931340070116015,-0.11548853035232295,0.4867807441417063,0.0849561046065683,-0.011882068844435666,-0.2088374956228986,-0.3141703356039879,-0.2605152561123588,0.21798675237254045,-0.12819113782428196,0.358684527158492,0.611051508436694,-0.1061652372683728,-0.25359843470976323,0.48288015881189505,0.5805637821679374,-0.297879475088531,0.026610252273937693,0.14462403485329775,0.3964664760284938,-0.26458393823764303,0.08867067052943137,-0.4445394414721549,-0.2070923870745811,0.4499997470083644,-0.029049264226360075,0.6329513641002918,0.5720465920636725,-0.18975814051093753,-0.05672846537402278,0.1991651862919885,0.20317142167979843,-0.176138951143479,0.026517859706844095,0.503187696984485,0.2542794289429072,-0.05000763328720359,0.7289390169492803,0.3225548448718448,0.23418136214797544,0.7667917395906931,-0.14765364357806107,-0.005685147165121097,-0.4908844041134658,0.2946509882991315,-0.17896842936284185,-0.029268410644727245,0.6029785590948087,0.15587433061893,-0.23853880162878285,-0.46593013939605643,0.006818121606979856,0.1677959110351722,0.011206402800530646,0.3902880404921731,0.2819043850894901,0.17515004299989262,0.23462062270154382,-0.20310030804745932,-0.21209418429856747
