,Postcentral_R,Thal_VPL_L,Thal_VA_R,SN_pc_L,Thal_PuM_R,Temporal_Sup_L,ParaHippocampal_R,Vermis_3,Angular_R,Parietal_Sup_R,Temporal_Mid_L,Rolandic_Oper_L,Cingulate_Mid_L,Precuneus_L,Temporal_Inf_L,Thal_PuA_R,Cerebellum_10_L,SN_pr_R,Vermis_6,Frontal_Inf_Tri_R
Postcentral_R,1.0,-0.19481855003262485,0.05658231213231151,0.0663009649511061,-0.5021366878981217,-0.5252284728712625,-0.3772620050935951,0.20934575924470167,0.7728620176848926,0.6877411999188008,-0.10083172071260553,-0.23018336306945925,-0.4412120354873225,0.5995799066108941,0.016813729420000458,-0.5306042625027396,-0.23086485275219565,0.01207610120189831,0.041982615894010575,0.39227358969263465
Thal_VPL_L,-0.19481855003262485,1.0,0.21040841718239212,0.12560156472303047,0.5017814242715458,0.3921531867061377,0.37200669193295116,0.11192915429337429,-0.2549806894008813,-0.04858580008741727,0.15907076253663618,0.3458323206899126,0.3687612861549594,0.045629138919641106,0.196230178305326,0.5061877166620454,0.32773454634511395,0.38391924738403965,0.1543380174263511,0.2719223805735457
Thal_VA_R,0.05658231213231151,0.21040841718239212,1.0,-0.13427521079373117,0.2817183739343154,0.006411278416009412,0.3848788895235248,0.13564750740218942,-0.00630007065392252,0.11250970359571286,-0.19078306413047633,-0.0875857562311782,-0.2306265180527946,0.29846261773921534,-0.21206133480166633,0.27554771678778867,0.18164118553001413,0.20818410984640487,0.20027530123288215,0.4193740260154335
SN_pc_L,0.0663009649511061,0.12560156472303047,-0.13427521079373117,1.0,0.2719519534542059,0.004026436783548475,0.10167274836613156,0.39149640162892435,0.07270149319052505,0.13870144273010973,-0.2873167619073551,-0.003993060895989251,0.2813573836235408,0.11922028301364355,-0.22811607149700847,0.11852104189436083,0.2528039530339854,0.09543019835275635,0.09297590131872724,0.16023306656150532
Thal_PuM_R,-0.5021366878981217,0.5017814242715458,0.2817183739343154,0.2719519534542059,1.0,0.37235842628226706,0.6967228664590464,0.24827366619337227,-0.5577519755388606,-0.4270790438686217,-0.08737279948363154,0.09161966974065053,0.34205839743842387,-0.33423553644544857,0.058531842541902246,0.8970263535602173,0.4992504037564863,0.3245394281520462,0.10045575483880645,0.23790533588232893
Temporal_Sup_L,-0.5252284728712625,0.3921531867061377,0.006411278416009412,0.004026436783548475,0.37235842628226706,1.0,0.2702938180281183,-0.123747405455033,-0.4109245974730088,-0.4999235984290835,0.5019187044330298,0.10043857917042723,0.572255840838812,-0.34195234716893863,0.3165175752085246,0.3831187084057443,0.38508872826132096,0.18638006521863124,0.16927987436298692,-0.35557442929813365
ParaHippocampal_R,-0.3772620050935951,0.37200669193295116,0.3848788895235248,0.10167274836613156,0.6967228664590464,0.2702938180281183,1.0,0.13742641621430707,-0.29302877442072295,-0.10118156987300071,-0.012078621860697901,0.07658339818523856,0.31192573736453627,0.0117001839812851,-0.033066625762649106,0.7370387553700797,0.2923852933911017,0.24954781913293264,-0.003908186953326694,0.2975813208522675
Vermis_3,0.20934575924470167,0.11192915429337429,0.13564750740218942,0.39149640162892435,0.24827366619337227,-0.123747405455033,0.13742641621430707,1.0,0.27855509918592136,0.24360810177876133,0.11749608249614982,0.14487746244415176,0.03648258464360023,0.324366442474578,0.02000637925952044,1.6486532195760377e-06,-0.12861598921801992,0.0034708129691232263,0.5126287635695145,0.2089200721920792
Angular_R,0.7728620176848926,-0.2549806894008813,-0.00630007065392252,0.07270149319052505,-0.5577519755388606,-0.4109245974730088,-0.29302877442072295,0.27855509918592136,1.0,0.803936742035143,-0.01753695667567073,-0.1352255093542007,-0.34991356235881843,0.6840206329903207,-0.0888908422333711,-0.580122125705661,-0.4019084409336704,-0.09629093440960478,-0.0027286908381685643,0.08840261274775071
Parietal_Sup_R,0.6877411999188008,-0.04858580008741727,0.11250970359571286,0.13870144273010973,-0.4270790438686217,-0.4999235984290835,-0.10118156987300071,0.24360810177876133,0.803936742035143,1.0,-0.18872961473567976,-0.011374053176569168,-0.3460735795243729,0.7959479147836765,-0.32342206102557297,-0.43270559659933905,-0.38454360215567335,0.07526392093686772,-0.07987238022845843,0.28821685912998546
