,Thal_IL_R,Red_N_R,Cuneus_R,Parietal_Inf_R,Vermis_1_2,Temporal_Pole_Sup_L,Occipital_Mid_L,SN_pc_R,Occipital_Mid_R,Frontal_Inf_Oper_L,Thal_IL_L,Thal_PuI_R,OFCmed_L,Thal_LP_L,Paracentral_Lobule_L
Thal_IL_R,1.0,0.2543873094043878,0.1711700170045902,-0.1632188486381778,0.11760604863408994,-0.02127524745826002,-0.10444465407249717,0.22413428342634661,-0.03592411835324493,-0.049986542526423094,0.5356033471862713,0.43167896872777156,0.06513032076111402,0.010745577255224447,0.06817541900195007
Red_N_R,0.2543873094043878,1.0,-0.47998770305661437,-0.23591397839496742,0.4039199048999123,-0.03639049111267674,-0.43101945999958813,0.5392680286383874,-0.24627039541648754,0.12009527319800907,0.40903642657935696,0.22059991463834874,0.09576405495881145,0.1889120650322423,-0.1319780572529364
Cuneus_R,0.1711700170045902,-0.47998770305661437,1.0,0.4761106659801704,-0.4380352118037438,0.19248383078036602,0.6822115307219221,-0.34417100892368924,0.6812776638606316,-0.025266192076354065,-0.1647893348537539,-0.1325191017355265,0.2018324816051739,-0.4760209418154785,0.3549569128542928
Parietal_Inf_R,-0.1632188486381778,-0.23591397839496742,0.4761106659801704,1.0,-0.339237010337991,0.11662473487135114,0.5062326983713389,-0.23158203278668868,0.7292241156828707,-0.15930167112881752,-0.21879872661907376,-0.44356154115652485,0.1799840039361991,-0.5655960328071135,0.3457535675402912
Vermis_1_2,0.11760604863408994,0.4039199048999123,-0.4380352118037438,-0.339237010337991,1.0,-0.12136413709360906,-0.1906363835943693,0.020288081994463362,-0.17053156795951555,-0.2965217631476409,0.1182251907657087,-0.08414878551182702,-0.2741559640795572,0.22578941314968703,-0.438276801559609
Temporal_Pole_Sup_L,-0.02127524745826002,-0.03639049111267674,0.19248383078036602,0.11662473487135114,-0.12136413709360906,1.0,0.37078829763493537,0.12011796640816085,0.28565729639630494,-0.04429979616419881,0.04790826478346544,0.0667714036842472,0.5481514918502459,0.4197745848485113,-0.281811523344136
Occipital_Mid_L,-0.10444465407249717,-0.43101945999958813,0.6822115307219221,0.5062326983713389,-0.1906363835943693,0.37078829763493537,1.0,-0.4585201101749405,0.8223965411287734,-0.07405680608019949,-0.28615962498116837,-0.4688988722220682,0.24343895997114784,-0.37826239210680274,0.14972055920954158
SN_pc_R,0.22413428342634661,0.5392680286383874,-0.34417100892368924,-0.23158203278668868,0.020288081994463362,0.12011796640816085,-0.4585201101749405,1.0,-0.39889979260607,0.20691936319927243,0.4774131179992222,0.21432460910881007,0.10626026493714122,0.4632854411403516,-0.016814531796608363
Occipital_Mid_R,-0.03592411835324493,-0.24627039541648754,0.6812776638606316,0.7292241156828707,-0.17053156795951555,0.28565729639630494,0.8223965411287734,-0.39889979260607,1.0,-0.14834908605675798,-0.2690268512693503,-0.4575146426712393,0.3263758138422652,-0.5573094546264996,0.15671001045066352
Frontal_Inf_Oper_L,-0.049986542526423094,0.12009527319800907,-0.025266192076354065,-0.15930167112881752,-0.2965217631476409,-0.04429979616419881,-0.07405680608019949,0.20691936319927243,-0.14834908605675798,1.0,0.19118515547498283,0.20682962242719719,0.27367620342239213,0.04505212297225894,0.42638899711161526
Thal_IL_L,0.5356033471862713,0.40903642657935696,-0.1647893348537539,-0.21879872661907376,0.1182251907657087,0.04790826478346544,-0.28615962498116837,0.4774131179992222,-0.2690268512693503,0.19118515547498283,1.0,0.4335192509512756,0.14530071584094956,0.24325230583254465,0.2061780604761727
Thal_PuI_R,0.43167896872777156,0.22059991463834874,-0.1325191017355265,-0.44356154115652485,-0.08414878551182702,0.0667714036842472,-0.4688988722220682,0.21432460910881007,-0.4575146426712393,0.20682962242719719,0.4335192509512756,1.0,0.14812073554584068,0.3389317820544758,0.027521037190800148
OFCmed_L,0.06513032076111402,0.09576405495881145,0.2018324816051739,0.1799840039361991,-0.2741559640795572,0.5481514918502459,0.24343895997114784,0.10626026493714122,0.3263758138422652,0.27367620342239213,0.14530071584094956,0.14812073554584068,1.0,0.061342843798057094,0.12355844995979175
Thal_LP_L,0.010745577255224447,0.1889120650322423,-0.4760209418154785,-0.5655960328071135,0.22578941314968703,0.4197745848485113,-0.37826239210680274,0.4632854411403516,-0.5573094546264996,0.04505212297225894,0.24325230583254465,0.3389317820544758,0.061342843798057094,1.0,-0.46997119097327
Paracentral_Lobule_L,0.06817541900195007,-0.1319780572529364,0.3549569128542928,0.3457535675402912,-0.438276801559609,-0.281811523344136,0.14972055920954158,-0.016814531796608363,0.15671001045066352,0.42638899711161526,0.2061780604761727,0.027521037190800148,0.12355844995979175,-0.46997119097327,1.0
