,Thal_LGN_L,Occipital_Sup_R,Calcarine_L,Frontal_Sup_2_R,Thal_MGN_L,Thal_LGN_R,Rolandic_Oper_R,Parietal_Inf_R,Cingulate_Post_R,SN_pr_R,Heschl_R,Cingulate_Mid_R,Thal_IL_L,Temporal_Pole_Mid_R,Thal_AV_L,Parietal_Sup_L,Cerebellum_6_R,Rectus_R,Thal_AV_R,Temporal_Mid_L,Thal_PuI_L,Paracentral_Lobule_R,Occipital_Mid_L,Cerebellum_10_R,Vermis_1_2,Cuneus_R,Thal_LP_R,Rolandic_Oper_L,Thal_PuM_R,Thal_LP_L,Thal_VPL_R,ACC_sub_R,Frontal_Mid_2_L,Fusiform_R,Thal_IL_R
Thal_LGN_L,1.0,0.12409096028913684,0.10653319417839488,0.26082149623140993,0.48250176249440296,0.41059504090111776,0.4876722314833282,0.29826192746272856,0.235295065289466,0.06832098242889802,0.532273270518954,0.23920639820418757,0.7853367502897995,-0.061509387674633396,0.7088750317944519,-0.008535525575159738,0.019503517929329906,0.291792075888881,0.6457165613297405,0.1582940403702623,0.1566952291742312,0.06666561000293976,0.2741162446681459,0.2806326632088371,0.23193140261993928,0.28204997874483423,0.1909487437276508,0.39474919285434096,0.5556841358574455,0.35645237912235933,0.43884709587212095,0.36411720837045475,0.17645996071896006,0.46860628381471897,0.3773633290003931
Occipital_Sup_R,0.12409096028913684,1.0,0.5015547279502266,0.4583797765682223,0.24479339798472818,0.18389633853544618,-0.04630340777871666,0.6589819092683695,0.3540244366544154,-0.24204075198631608,0.2526385007938878,0.376554258341019,-0.03879025992458584,-0.19261758201468654,0.38133147700803105,0.0025449684789708585,0.017601316568788068,-0.21253999018705969,0.16279332068100089,0.42115694615250493,0.032628180120401834,0.45966922574518626,0.6099897791959816,-0.16892376115779115,0.40389381482235465,0.6164390180661161,-0.08323890697974783,-0.08183246247384235,-0.19008120788095625,0.2686755673384466,0.26736349846858387,0.039685206467246686,-0.13580096781679787,0.11161260461225794,-0.15508711716816956
Calcarine_L,0.10653319417839488,0.5015547279502266,1.0,0.49821107301158857,0.2978751251155119,0.2262094192683419,0.4107988520607246,0.047631272623342005,0.8083407754252506,0.10669041203430824,0.49794363890694626,0.7220115499907799,0.09414847297113983,0.002870783842523959,0.26936659452608125,0.005087286646245192,0.585901867725089,-0.10047654812458122,0.33827786619024025,0.6231222307516753,0.11042290048254376,0.26800019484493287,0.30087656979243993,0.07180507806583936,0.3441172192787646,0.36561112497473164,0.1395788370320564,0.31322193293582234,0.16875072801909569,0.21026096251567553,0.26238136742008117,0.06337331226192101,0.3498060654527975,0.479183331757109,0.013444721691783963
Frontal_Sup_2_R,0.26082149623140993,0.4583797765682223,0.49821107301158857,1.0,0.0825708619009429,0.08817076898199189,0.37723065405483563,0.25106266113015135,0.7117581324084442,0.21578683178113472,0.44463031808195763,0.724822199045762,0.21132867234701613,-0.02156849483913318,0.3004288694311724,-0.04725704375035691,0.2230122400544988,0.16070934119886796,0.3714142984171078,0.5137322825249819,0.0323393262644064,0.47408526848929505,0.25135214389207333,0.32243278546918125,0.11603639076494858,0.3373730076079029,0.1639923141625931,0.4165053427791008,0.2942161789371551,0.26258152344419583,0.16977649771388698,0.20688104017176676,0.5013954140794961,0.26608624474912745,0.0825080511512841
Thal_MGN_L,0.48250176249440296,0.24479339798472818,0.2978751251155119,0.0825708619009429,1.0,0.8490636595599663,0.4949238403419991,0.1250443425887196,0.0913419761596344,0.1726512059634308,0.18078120586390606,0.09305944691476649,0.6065439871402064,0.36913398304041645,0.5852032306346886,0.31099547671017586,0.48720107922822437,0.05748379768498185,0.6257198088577095,0.46756133570608704,0.7017386869131592,-0.2127061222980423,0.23099299526688558,0.36085079393385516,0.4731266372315844,0.17276628197952354,0.3951410623223661,0.3840163794852444,0.3513704248240531,0.45781154275224095,0.7655153036815135,0.49404193856631085,0.03754111223932829,0.652227844554753,0.5331581815771812
Thal_LGN_R,0.41059504090111776,0.18389633853544618,0.2262094192683419,0.08817076898199189,0.8490636595599663,1.0,0.3628301665922773,0.03906308335639436,0.04781503900176905,0.26013676419010306,0.0649089042933178,-0.027910287989692417,0.6578306036439315,0.5078331404765443,0.5846600015166087,0.3960707048803978,0.4926710194175265,-0.04532997075179202,0.633629888782772,0.4473287497272728,0.7377633792861357,-0.17092856710113344,0.14911366877062285,0.4215085626514042,0.5540429290427037,0.053967720141940435,0.2556202305986816,0.23133688678686692,0.2449973225794344,0.3613713432857149,0.8374926163155849,0.5373900906220023,0.06069475369595297,0.6400742152873776,0.6635244284310634
Rolandic_Oper_R,0.4876722314833282,-0.04630340777871666,0.4107988520607246,0.37723065405483563,0.4949238403419991,0.3628301665922773,1.0,-0.08198313994996927,0.4792158109593009,0.4270642906247555,0.6181648981729351,0.47554594470937894,0.5930430935277989,0.05581578142680291,0.384558958961929,0.04106405020916808,0.43648180208258036,0.5037252427207828,0.6622350445071314,0.43068430695700527,0.3907002060147151,-0.12212352771713848,0.03545037885404477,0.42620169118171963,0.037265286934100764,0.14349748531609005,0.4406774903013719,0.7695935308868891,0.7248787956591581,0.39906646867285533,0.4222972867904786,0.4409770485943178,0.43015690155774317,0.5568320646373957,0.5294418703758693
Parietal_Inf_R,0.29826192746272856,0.6589819092683695,0.047631272623342005,0.25106266113015135,0.1250443425887196,0.03906308335639436,-0.08198313994996927,1.0,0.01622937002538579,-0.17397956620525307,0.1692159298646077,0.2252289620405857,0.019274547574506806,-0.3239080198506386,0.25570100400496415,-0.07428166624835374,-0.4124225328570761,0.03777775342758355,0.1788937567213125,0.10866654364453798,0.03179941771411488,0.37925027992159954,0.7171063465571069,-0.18551817924555986,0.35523740311858604,0.7047590167777303,-0.1466586823227912,-0.058233892678027706,0.012105416527961823,0.42732370316316753,0.24339289214380644,0.1790485846963382,-0.24424248479005886,-0.0824995204778873,-0.05258766433491335
Cingulate_Post_R,0.235295065289466,0.3540244366544154,0.8083407754252506,0.7117581324084442,0.0913419761596344,0.04781503900176905,0.4792158109593009,0.01622937002538579,1.0,0.20244505449944988,0.5629770576198175,0.8542119862569835,0.183594017204342,-0.05900734033489701,0.2149813433347415,-0.11652259657636918,0.4265246118809716,0.06757241207759615,0.4087754580455719,0.5441720510989404,-0.03875741431091617,0.34573818318591387,0.19022005902020234,0.1655915410493502,0.20627588244614375,0.29614941002602085,0.08717231352977949,0.4288719578059346,0.3385097006944513,0.16057264684207623,0.11731492846751951,0.10926834546905961,0.5256547249517693,0.37809489514768296,0.04318883332343816
SN_pr_R,0.06832098242889802,-0.24204075198631608,0.10669041203430824,0.21578683178113472,0.1726512059634308,0.26013676419010306,0.4270642906247555,-0.17397956620525307,0.20244505449944988,1.0,-0.034670349485190405,0.20818132880025508,0.30625945616646894,0.238927768165598,-0.09235351821334296,0.23159083070127748,0.44241309968016834,0.5262263180429938,0.3849866934873606,0.319209514003695,0.5586303756520328,-0.2375104072797087,0.03656013520848097,0.44461517691325714,-0.02864093582036136,-0.044407957048852156,0.11765288487244369,0.39561147384776946,0.5402227847521193,0.3395837896451091,0.35410564356489377,0.40991003119772723,0.31416022241714275,0.5211851213967144,0.5483630637591349
