,Cerebellum_8_R,OFCant_L,Temporal_Pole_Sup_R,Olfactory_R,Cerebellum_Crus2_L,OFClat_R,Rectus_L,Insula_R,N_Acc_L,ACC_sub_R
Cerebellum_8_R,1.0,-0.1888305178153069,0.2634937363128919,0.39600726770016137,0.5279844067387838,-0.09759978883017481,-0.2043389630579826,0.19808996525372144,0.3669561105960177,0.09841250464024599
OFCant_L,-0.1888305178153069,1.0,0.2597234327802809,-0.1113690680165263,-0.11345296497758657,0.5251743625884524,0.15910211276518507,-0.05253364376770571,0.22036285673633105,0.03236677735290011
Temporal_Pole_Sup_R,0.2634937363128919,0.2597234327802809,1.0,0.5542720668586573,0.07505712858582397,0.5582381870450464,0.35757183979487495,0.7427769189774897,0.5679947995986455,0.3792386995222705
Olfactory_R,0.39600726770016137,-0.1113690680165263,0.5542720668586573,1.0,0.08082625870650954,0.22554172960456872,0.2722713270954465,0.6042503280130112,0.6649211083907774,0.6768804057188802
Cerebellum_Crus2_L,0.5279844067387838,-0.11345296497758657,0.07505712858582397,0.08082625870650954,1.0,-0.1593717889472061,-0.07228713946462428,0.18388090280911465,0.05489290963035428,-0.027834053678961326
OFClat_R,-0.09759978883017481,0.5251743625884524,0.5582381870450464,0.22554172960456872,-0.1593717889472061,1.0,0.45445418825851575,0.3925460572865185,0.5684695711338641,0.08837728198709054
Rectus_L,-0.2043389630579826,0.15910211276518507,0.35757183979487495,0.2722713270954465,-0.07228713946462428,0.45445418825851575,1.0,0.3453554552617535,0.1621787996887262,0.1349454712099741
Insula_R,0.19808996525372144,-0.05253364376770571,0.7427769189774897,0.6042503280130112,0.18388090280911465,0.3925460572865185,0.3453554552617535,1.0,0.5463826692288297,0.4720907992664807
N_Acc_L,0.3669561105960177,0.22036285673633105,0.5679947995986455,0.6649211083907774,0.05489290963035428,0.5684695711338641,0.1621787996887262,0.5463826692288297,1.0,0.5039806362880285
ACC_sub_R,0.09841250464024599,0.03236677735290011,0.3792386995222705,0.6768804057188802,-0.027834053678961326,0.08837728198709054,0.1349454712099741,0.4720907992664807,0.5039806362880285,1.0
