,Frontal_Inf_Orb_2_L,Occipital_Mid_R,Rolandic_Oper_L,Thal_MGN_R,Frontal_Sup_2_L,Cerebellum_10_L,Frontal_Med_Orb_R,ParaHippocampal_R,Olfactory_L,OFCmed_R,Cerebellum_8_R,Vermis_7,Parietal_Inf_L,Occipital_Mid_L,Temporal_Mid_R,Raphe_D,Cingulate_Post_R,Temporal_Inf_L,OFCmed_L,Temporal_Pole_Mid_L,Putamen_R,VTA_L,ParaHippocampal_L,OFCpost_R,Vermis_4_5,VTA_R,Frontal_Inf_Tri_L,Frontal_Inf_Oper_L,Vermis_6,SN_pc_R,SupraMarginal_R,Calcarine_L,Occipital_Sup_R,SN_pr_R,Thal_MDm_R,Thal_VA_L,Frontal_Sup_Medial_L,SN_pc_L,Cuneus_L,Occipital_Inf_R,Rectus_R,Thal_PuA_L,OFCant_L,Pallidum_R,Cerebellum_Crus1_R,Cerebellum_4_5_L,Cerebellum_6_R,Cerebellum_Crus1_L,Vermis_10,Heschl_R,Frontal_Inf_Orb_2_R,Thal_PuL_L,Thal_LGN_L,N_Acc_R,OFClat_R,Rectus_L,Frontal_Sup_Medial_R,Thal_VPL_L,Temporal_Sup_R,Rolandic_Oper_R,Cerebellum_7b_R,Temporal_Inf_R,Supp_Motor_Area_L,Parietal_Sup_R,Occipital_Inf_L,Thal_PuA_R,Cingulate_Post_L,Angular_L,Hippocampus_L,LC_R,Cerebellum_4_5_R,Thal_PuI_L,OFCpost_L,Thal_AV_L,Amygdala_L,Cerebellum_8_L,Putamen_L,Frontal_Inf_Oper_R,Paracentral_Lobule_R,SupraMarginal_L,Calcarine_R,ACC_pre_L,Frontal_Mid_2_L,Supp_Motor_Area_R,Red_N_R,Cerebellum_9_L,Temporal_Pole_Sup_R,Frontal_Mid_2_R,Thal_MDm_L,Precentral_R
Frontal_Inf_Orb_2_L,1.0,-0.02997355894903266,0.6594411569941172,0.4415218139104309,0.4339217372977526,0.44035890725325344,0.34679315489329815,0.46681543048045443,0.6383287667198165,0.33918769652696695,0.14059882633057108,0.2174158823192893,-0.0197571671374681,0.07466188972955895,0.4564608980982078,0.08527516467899615,0.5870354538229761,0.42185056419093925,0.5002710725536126,-0.04578573473241472,0.5366761449182194,-0.1605417049292441,0.5124865751944331,0.4605028682807404,0.5031430743608964,0.3161402973773659,0.5539797789395507,0.5670866579146193,0.021964880883759235,0.5413137619446282,0.14676517519174673,0.3656297708625509,0.05151167618887373,0.38500325540833963,0.2752760865088937,0.4324576733685174,0.5793860556274804,0.4723189044902467,0.1514050628163014,-0.05301395727973627,0.3824921034269264,0.11989515411143652,0.3459170594151918,0.487137736838155,0.036423986609147835,0.5412670053747078,0.3061939021900747,0.14268530204055394,0.3643698569390707,0.3681593347960565,0.6318431552230269,0.415786308240799,0.33894514340758675,0.28914562940056465,0.636424038962193,0.166229262768621,0.5614478616468459,0.23807262735558732,0.46382717074670005,0.4773536260888467,0.06429527379342859,0.39160980565531617,0.3069246348014291,0.13819150118811285,-0.1146440399669017,0.4954508069840415,0.48389340476346937,0.01733902806969424,0.34373953174075617,0.3204503243100964,0.4077429802039781,0.07868142673399363,0.5247927297439712,0.09613536081804865,0.5056278078766474,0.25789310677646166,0.5817647032987794,0.3776988299556242,0.14340128443743305,0.19459672273011092,0.354714439897563,0.3656539473394497,0.40066542729909516,0.4525907263772058,0.28176973873352684,0.18449806079202424,0.5742462852339236,0.4928056573629883,0.09978350816648689,0.24075619370062715
Occipital_Mid_R,-0.02997355894903266,1.0,0.11482335606485936,-0.3888738744025142,0.13225103746654376,0.10660397751521478,-0.28487319413484646,0.1881021292284967,-0.11592693130265506,-0.2695515492651953,0.78995098634357,0.6191817483123133,-0.5208978112226278,-0.2272110524250226,0.32765523167355176,0.1298404372423175,0.08176842297594451,0.5727627248617913,-0.3140250224935413,0.7007917392537777,-0.03019137975666868,-0.036002416334239666,0.16337234754115967,-0.010580626396468857,0.13138755665776863,0.0923236545656911,0.45253198262279537,0.2329676068371633,0.5465767465231784,-0.12374180351197221,-0.13678368701812954,0.2914777710371233,0.06516201200401991,0.08378408017162615,0.21916351259713768,-0.200946752862867,0.14156191048994135,-0.24421450951917575,-0.3782930292034141,0.8240006957642663,-0.3923997791971954,0.04094524198657622,-0.2282308684039449,-0.2680847680849579,0.8204015731833127,0.07966931277182386,0.6547587908229038,0.8059702215224046,0.40463698647573587,-0.12896695010477113,0.15985479025744984,-0.011968891209572386,-0.17712347130579295,0.1926720384131486,-0.2600787850469871,-0.26004052479590034,0.12968530960356725,-0.05439879946340031,0.04011644309746564,-0.037421405522301915,0.7710089907096307,0.5089463383081854,-0.12488513430913825,-0.4923567358637067,0.7965313030937725,-0.24268239720258283,0.2935843894028476,-0.053958346843667494,-0.029253837592745465,-0.4490224164038076,0.09649845849103138,0.3095624024105874,-0.11484084327782038,0.043744926962329386,-0.17590827684329224,0.7169296131453333,0.015053363990738812,0.14071007602792715,-0.26936550460948444,-0.2253361476918069,0.18004994572952113,0.05577495722998663,0.2770128341307695,-0.09728707275400712,0.21232473720718822,0.7424922902001754,0.0816350898759451,0.023262415884080196,0.15744321959607147,-0.013058561250350618
Rolandic_Oper_L,0.6594411569941172,0.11482335606485936,1.0,0.4309787910240627,0.6197373344175979,0.4224636019317491,0.18052523099055162,0.555455246973677,0.540383461592535,0.38610090208915904,0.29090436505080175,0.26642146280496887,-0.18037991700233894,-0.12735019597966415,0.5283537427751127,0.008992123587978618,0.4288719578059346,0.5220797918514948,0.2133149416274069,0.12248866277692146,0.6126615710508101,0.07499059969739666,0.5608222498575522,0.5151500111976681,0.526141977455924,0.20917553561151586,0.7391830653681075,0.7730042092582731,0.245400737366015,0.39080796379816873,0.17182174189745242,0.31322193293582234,-0.08183246247384235,0.39561147384776946,0.503322302862213,0.49366369999193477,0.6498580198594591,0.42405880981992006,0.03383973264806685,0.1592308771492032,0.40411072319731256,0.1829430411430482,0.11627568996860464,0.4589377122465176,0.23148828936717736,0.49447181269852103,0.43768816482663603,0.3284282767993726,0.442809203421147,0.5297965000045267,0.392749815974943,0.4088796307651378,0.39474919285434096,0.455773412259974,0.45704888282330025,0.18712615919910713,0.6447069648267606,0.29287973792589955,0.6585198433807856,0.7695935308868891,0.2024279269451622,0.4324816612148809,0.3326085641358064,-0.1741617413858203,0.14097535367146177,0.4973757915146124,0.6061203437094893,-0.18768232049489475,0.4857737107637744,0.3225075206382287,0.42154936702048046,0.24327173619069714,0.49931734326936683,0.19242364947296928,0.3502860260265254,0.32024019980674867,0.6984102333984167,0.6534118857324703,-0.05889054449965284,0.0574686849703919,0.2985309108528863,0.5119538923197214,0.5205184346730221,0.31423731457038134,0.24993029975268988,0.36418947154616005,0.6091565147295904,0.6148755808099104,0.2960641377772552,0.45214846658997215
Thal_MGN_R,0.4415218139104309,-0.3888738744025142,0.4309787910240627,1.0,0.3381577046835041,0.16643548161228244,0.2369764274514813,0.29776308384588884,0.5819620817645392,0.39475918312839664,-0.2625812036229119,-0.14793739520585947,0.1803038666666962,-0.03002073409521664,-0.008704835513616907,-0.20256191773200108,0.32948618513757794,-0.046548120864753385,0.33442139916210695,-0.34653597696930044,0.5552118092210824,0.13574015786085278,0.2906661149065927,0.33277377078655135,0.3428733164411299,0.2257205285486531,0.31284430451000567,0.4360390448348053,-0.11275366910531426,0.5077916711427432,-0.011833655670341336,0.05652972934171302,-0.2733729838577805,0.2661928351797496,0.1307017784335251,0.5537844180379142,0.34182703298881234,0.4131662054327664,0.13209172149637585,-0.4230439951053478,0.4550746695484333,0.10253416566756471,0.21855092541505156,0.6114022102784259,-0.28702322228949356,0.3521243219585183,-0.06443770141421463,-0.20708236497946841,0.02625558958437448,0.4190879476957425,0.23970002787231584,0.3402689291940818,0.4343353176627405,0.21031266784264335,0.6019260746661276,0.23189942316783002,0.28297515678910934,0.30155067801886404,0.28404952075073947,0.45552239966157454,-0.31251854380492494,-0.06078780184910573,0.2665617676750736,0.15292462516288233,-0.3527987935343015,0.5542696289036347,0.25625526681358324,-0.1944382677314625,0.31716161901384826,0.46723969265076826,0.27914217186457446,-0.09807497129636221,0.2405376571503525,0.08458863753674865,0.4927928514669359,-0.16494534200842464,0.4483393597967605,0.3407711739704388,0.01120723740535317,0.12840914182332108,0.17626029409056312,0.20280117215497617,0.3331020545785509,0.3437574752637399,0.06598173651171055,-0.16141088591126201,0.28824197559258824,0.3762583594609945,0.058085199360742884,0.24636418519091033
Frontal_Sup_2_L,0.4339217372977526,0.13225103746654376,0.6197373344175979,0.3381577046835041,1.0,0.5161996247605998,-0.0792696879381824,0.35127438949957107,0.38766147611028184,0.3406721514208895,0.2592429595085466,0.26129844392821155,0.19689734873075615,0.20914703591611736,0.5455938048445179,0.12272890725982621,0.5935724115129846,0.2819331781153181,0.03594048891597541,0.07056044690303645,0.4440805858891003,0.26719275772991335,0.29585053700244957,0.3522886352694923,0.5777415979705726,0.37000856603387017,0.7146193227232415,0.7243800600681398,0.15171550396566066,0.3750559092433431,0.40611626460801076,0.476833592141559,0.19529579788892606,0.27024652436245844,0.6409496565478896,0.196026385611099,0.8280102901219185,0.17064738154839884,0.2720695098525551,0.10470265175183746,0.21337823344784926,0.371568885523368,-0.1327375312184968,0.21892761619342269,0.19779774292729213,0.4878082334016559,0.3494292921220735,0.235044462378187,0.41749448015558377,0.4576508027179565,0.21722419200220416,0.282827157618551,0.34913260863340545,0.5619095890684261,0.29963960924744504,0.1657981550965527,0.8348746135523869,0.4136684112240942,0.5720398740153934,0.5620488336296035,0.23219337497906822,0.3341487895911207,0.7084813691748536,0.04987671187959689,0.12766340159779846,0.3928307523869638,0.6360277545156777,0.3440281115409312,0.3452772339399283,0.21913758085336338,0.41664447700263973,0.22482260703846246,0.34183100531393706,0.37786260292480217,0.3994199722608604,0.3064734975142159,0.6328742102505472,0.7245599191335538,0.3231979227238022,0.5294397573912693,0.5193797576809868,0.4232881081762242,0.7998361066085146,0.6543607744701203,0.2285741044391751,0.3258018492460009,0.4824672667315368,0.7629917897330128,0.37603744946932893,0.6869876002704196
Cerebellum_10_L,0.44035890725325344,0.10660397751521478,0.4224636019317491,0.16643548161228244,0.5161996247605998,1.0,0.07098750148481717,0.5814940750735239,0.6322895091074126,0.287812358513252,0.4434373174070258,0.23629604665786294,-0.003903055420701131,0.08266584249583837,0.46140034996847745,-0.07241212488760637,0.22217029748047712,0.16981889833987354,-0.05558372331531447,0.18765035628321955,0.6277043543601855,-0.11210275045421443,0.38011971204400563,0.24074625528693144,0.4488507432609908,0.28369541800633385,0.5047258933564956,0.5161253056161247,0.2915036943239033,0.06128693571062002,-0.08003710257200107,0.13318157134295855,-0.08621813524634427,0.3609311371125551,0.46014028491168285,0.3077485089634228,0.5013536078324478,0.5504179525244725,-0.031003406433201024,0.2156332529982733,0.24734635796329196,0.30581971460882534,-0.1420198655562746,0.4829282955917898,0.23980570717392427,0.5113465015544449,0.4095697102198239,0.20390714890266662,0.7898188910364902,0.08635804431535046,0.5222024751688447,0.32131225887256043,0.30594896365361873,0.7030771468449476,0.2894468436098305,0.1813207139047305,0.5500722295232384,0.3643993925167623,0.44667872295548877,0.4063695299545526,0.437296313011727,0.5809825476251486,0.12933640394025683,-0.010208786459984614,0.0709386623171581,0.4746933005213682,0.4439135731917199,0.03403222299971691,0.500608328018895,0.3939664037296308,0.40167170616489684,0.47624524797870027,0.4941643075772118,0.25530199985000274,0.6101707819643881,0.44251911332340244,0.6120597253145412,0.375021896303646,0.08159021196616038,0.16078082770233978,0.13298355127609465,0.5718438164511019,0.4567726061653296,0.19016336826991942,0.31891887338630887,0.514687985065052,0.5070845787637135,0.274735919218865,0.44085316421766946,0.08322569070175065
Frontal_Med_Orb_R,0.34679315489329815,-0.28487319413484646,0.18052523099055162,0.2369764274514813,-0.0792696879381824,0.07098750148481717,1.0,0.2764251586415343,0.47949134326770326,0.22890400786668594,-0.18053876236497543,-0.05133673079157789,0.270304546326209,0.18243131872566878,-0.029336094404560375,0.0004976055815523555,0.1150805375281502,-0.0685528882614787,0.47055019435981943,0.11582751376473308,0.28917016330621337,0.07541495262898312,0.25360933440378897,0.13010583236622278,0.1967482518798483,0.0870777870117404,-0.034665855325789786,-0.06636554030227271,-0.27968106960015515,0.11978628173589878,-0.03781585931357548,-0.09016217829481757,-0.050978550007686474,0.28062418741036776,-0.057725450867772525,0.46779580736318555,0.19670161726396973,0.25114629262098925,0.2763128412823393,-0.21179566933053726,0.4347980223503717,0.06081996105828443,0.7142092511212077,0.39473970923412344,-0.3168107226659119,0.11235087943168748,-0.11450044797882704,-0.2607500817619302,-0.03895042933157053,0.07897467286276694,0.3339946890682342,0.12772703989373368,0.30344979851231835,-0.15593193137589054,0.28806838029946435,-0.007124169023496241,0.13974841408029018,0.13945168008806386,0.15730102362039652,0.18599297476921975,-0.26194540175092706,-0.07151974360343315,-0.1231388094268623,0.269801203481542,-0.3238098262130571,0.16152041312928278,-0.06836769300017233,-0.10598916141811245,0.256083693104942,0.1854856474612682,0.01407145677320359,0.01357315469023244,0.23925304498329011,-0.13797655928056513,0.16134850502375542,-0.12533046051555782,0.14221111739134262,-0.19634803931373532,-0.1274355879077998,0.05046978026402227,-0.18806413955166829,0.3035954972373937,-0.10505537313640292,-0.07779579823553168,-0.03649008526883423,-0.133957621135914,0.269312627354299,0.22608114687461084,-0.03963050125327531,-0.16312558233474905
ParaHippocampal_R,0.46681543048045443,0.1881021292284967,0.555455246973677,0.29776308384588884,0.35127438949957107,0.5814940750735239,0.2764251586415343,1.0,0.6499376509855839,0.4523936701908503,0.3988406511056286,0.3626700500430108,-0.23933026179809888,-0.09910365907564386,0.525071374632918,-0.07891887651375867,0.3516832132691646,0.4612078662481117,0.18548953688447856,0.21309573058984776,0.7134693937350742,-0.037138685269619345,0.802877651709285,0.6276096792735943,0.5224497498736216,0.3040076857635745,0.4990718210444053,0.49912806933017423,0.40504384609316973,0.25822604378093317,-0.11623325558061887,0.3020323019002839,-0.15894952117140487,0.4643199725033082,0.4637656668450448,0.5403386964639829,0.4711073943584522,0.6106480696853979,-0.07118296932910612,0.3143335180774423,0.46977620508034607,0.23436037673804824,0.16284240444689005,0.6112237433809043,0.37530436971723125,0.6635027658493041,0.6141761674458484,0.3628986716422073,0.5793546756890166,0.28323019277225214,0.5255197718121397,0.41899064512610923,0.4574234277244376,0.41738473972418816,0.44802550388635276,0.3356844914311021,0.44605348681728757,0.3699828205819917,0.6303357242044272,0.5921300889178057,0.34678049682757656,0.6985275321668107,0.08175269154806483,-0.24151005427240355,0.19077252541823098,0.3973891314843081,0.577397289982507,-0.21496053493687034,0.7060758864426426,0.3747669031937878,0.6171468001148864,0.41316928123770486,0.6167292539166599,0.30219234111762505,0.5466710048170837,0.37887512135373197,0.7032774837490579,0.42523710822222466,-0.20828936865699185,-0.12608185092955468,0.2946240857056337,0.6419109796586729,0.3139522517715953,0.14473999128862525,0.38085880798726673,0.4437924357707755,0.7948622559880211,0.32480763876262153,0.446039133208675,0.04534215471645158
Olfactory_L,0.6383287667198165,-0.11592693130265506,0.540383461592535,0.5819620817645392,0.38766147611028184,0.6322895091074126,0.47949134326770326,0.6499376509855839,1.0,0.44586205328191264,0.20636837581006168,0.2056599265457611,-0.06940779352230236,-0.037405579759421895,0.25066208829608266,-0.17501800293373898,0.39260190235788445,0.2840923596468452,0.4043671633688478,0.045950299443669594,0.7484820464444225,-0.10765294206000557,0.6430178750549298,0.4415620793771272,0.5783932197890623,0.3532093457691916,0.5014279635192815,0.5774755040729617,0.1845626393655179,0.478167437779932,-0.1704843131190386,0.17681388246122304,-0.28495503849437054,0.5742222508468093,0.2152811871220191,0.6701399897322527,0.5236056020940347,0.6873362754918709,-0.017119964510096716,-0.056505261518740274,0.5509062536888867,0.06103237212532676,0.35549689465565076,0.7733264506024876,0.05795566847446905,0.6467810914965882,0.34417291451498966,0.14282279931221759,0.4786683164205359,0.27557694527760485,0.6451209744139031,0.3934585630194803,0.3606678989359183,0.41122992235648975,0.6560973136383348,0.1819571932410001,0.46611829041479164,0.25021361804510955,0.40551910455586915,0.5324855155705159,0.11349298305639595,0.40574472998448813,0.1348637778339327,-0.045457169285223885,-0.09426230816645856,0.5729177643426675,0.45624016210382085,-0.2023241670978602,0.49269622705676314,0.4564524624028797,0.49510672154309643,0.20869240147837384,0.42217426017615384,0.0298042372974518,0.7454892442761138,0.28336904752229775,0.6189295423974517,0.25258942829545256,-0.047440742925614274,0.017168126394185173,0.2087219593376757,0.47494305411205856,0.46478306237055267,0.2771991356178297,0.3327656503671442,0.2911649423505549,0.5939377780042322,0.37044588383126553,0.14106541549562424,0.03971916741514322
OFCmed_R,0.33918769652696695,-0.2695515492651953,0.38610090208915904,0.39475918312839664,0.3406721514208895,0.287812358513252,0.22890400786668594,0.4523936701908503,0.44586205328191264,1.0,-0.15332274118926342,-0.15391803919837402,0.14058990310421474,0.09200504813998868,0.2642515874649367,-0.10565239209042483,0.16497581366296804,0.04884461940163759,0.32737925197549367,-0.2436668200546431,0.4567202639757483,0.12556902952605598,0.36823850446009293,0.6471863764803969,0.2688829944134053,0.17727582869953645,0.25012138206643003,0.4022696911283983,0.08463697763525244,0.20498963550237476,0.16226307109185883,0.0014770660277670063,-0.03373611000751399,0.33683161908709675,0.24148370418407542,0.31558344475814776,0.36197697413740626,0.46504430325820434,0.1632858021887428,-0.18086912051252546,0.7995581542656668,0.298101301191457,0.15221632154777745,0.34499290475267447,-0.18921718272944477,0.29973653305346676,0.050626642555123995,-0.11973065712208059,0.12635648756920528,0.36559797932248495,0.22809417065451812,0.30346243331070777,0.3982759229426521,0.3452177609593788,0.560073253738406,0.6762865433719245,0.33342309100718354,0.3812073271413254,0.49701420113550115,0.4507116369500139,-0.15707963967757982,0.1315998308089885,0.21127079935092954,0.027516649028447755,-0.14657618323686525,0.37034790030702536,0.1439884920653332,-0.021615110011714112,0.42394167592993603,0.417024710899638,0.21375651733824558,0.10936671775920243,0.5342826221924762,0.24849961505309562,0.5080514199861134,-0.0856442001069411,0.5109752730711321,0.366478077857682,0.07046750985400144,0.1499887935583449,0.04409364401372496,0.4247282240595916,0.2571500729128837,0.21162600637296963,0.23294987036634898,-0.06542255700659379,0.49909255838653876,0.26635094000097853,0.24672093190718677,0.3093268583221096
