,Vermis_10,Heschl_L,Cerebellum_7b_R,Frontal_Inf_Tri_L,Parietal_Inf_R,Putamen_R,Vermis_3,Cerebellum_3_R,Cerebellum_Crus1_R,LC_R,Frontal_Med_Orb_R,Frontal_Mid_2_R,Cerebellum_Crus1_L,Amygdala_L,Caudate_R,Thal_LGN_R,VTA_L,Vermis_1_2,Thal_PuM_R,Cerebellum_4_5_R,Cuneus_R,Cerebellum_Crus2_L,ACC_sub_R,Olfactory_R,Thal_PuL_L,Cerebellum_3_L,Thal_PuM_L,Vermis_9,VTA_R,Occipital_Mid_L,Precentral_R,Occipital_Inf_R,Thal_IL_R,Calcarine_L,Cerebellum_9_L,Parietal_Inf_L,OFCpost_L,Frontal_Inf_Tri_R,ACC_sub_L,Precuneus_L,N_Acc_L,Cingulate_Post_L,Vermis_8,Thal_PuL_R,Thal_IL_L,Raphe_D,Thal_MDl_L,Pallidum_R,OFCant_R,Parietal_Sup_R
Frontal_Med_Orb_R,-0.03895042933157053,0.10407783959609423,-0.26194540175092706,-0.034665855325789786,0.25273990640629457,0.28917016330621337,-0.04619267061665817,0.09936992656266017,-0.3168107226659119,0.1854856474612682,1.0,0.22608114687461084,-0.2607500817619302,0.16134850502375542,0.27110210258834466,-0.03353414156249964,0.07541495262898312,0.11290660379124756,0.28695375439087245,0.01407145677320359,0.06425834584960474,-0.19524191109218803,0.3592345554687108,0.11891132345647332,0.12772703989373368,0.09433618492797916,-0.04846918550819318,0.06816801093254041,0.0870777870117404,0.18243131872566878,-0.16312558233474905,-0.21179566933053726,0.04350685851025751,-0.09016217829481757,-0.133957621135914,0.270304546326209,0.23925304498329011,0.15195254516890047,0.5061063558709757,0.22208001760455146,0.3235992945783904,-0.06836769300017233,-0.22637966422280845,-0.08167863641763605,0.19565316469956984,0.0004976055815523555,-0.10975351803372092,0.39473970923412344,0.1928662735226362,0.269801203481542
Frontal_Mid_2_R,0.3099344014295454,0.4379177880768055,0.003948952598347941,0.5970634083525023,0.32754218493101583,0.4749128333476369,0.391597318312337,0.2648565713524645,0.007055912923622702,0.2432405548429555,0.22608114687461084,1.0,0.1273357781129562,0.22801078121036542,0.5748670672037869,0.1543913186006085,0.23793309484219785,0.15501200131086534,0.5577534225481253,0.326753896300406,0.5157404142620788,0.12716592889996048,0.30511579574520314,0.32016693797303597,0.2902001418033897,0.29361933243945076,0.37193480922598204,0.2645349424597047,0.3540125230233285,0.30340157502575327,0.6311743714170912,-0.01720941194345571,0.20079347979393267,0.5294143557589986,0.14944388475590514,0.17948740823879294,0.3478470948494445,0.6469888750601925,0.2999108682478149,0.5004454628415002,0.39540550138808256,0.5891169825917103,0.09654398903768648,0.3812363147470794,0.2680837844158546,0.15353138554735948,0.34375951125189413,0.3071915058228907,0.34289089099385306,0.12069549614626902
Cerebellum_Crus1_L,0.5100137022842529,-0.07832785469457614,0.826563513839304,0.5568410208712232,-0.4451664620924371,0.10417333861472763,0.36663638193193304,0.3200351603062483,0.9221775977730704,-0.3462336901815769,-0.2607500817619302,0.1273357781129562,1.0,0.04425739838019095,0.045686087461048054,0.3980440736384865,-0.02567065265370388,0.34940490960148585,0.023439246603743625,0.3073426976245967,-0.30447644737350404,0.5919986439889787,-0.00745535557186541,0.22790440439269277,0.004424669669201165,0.5602952143700172,0.22442057771881063,0.6535047539406017,0.20638298875324798,-0.32029227007056016,0.14401309403396725,0.8065168640825148,0.09184291675568572,0.45994489351916285,0.8653917780202863,-0.70708115727699,-0.03030565232079455,0.3280232311221321,0.1282178318834797,-0.475353562271471,0.27405970809220914,0.4753069225837973,0.5572777595679913,0.4588673204877234,-0.004290374650493685,0.07517590167145488,-0.03784688310081615,-0.07475528080537866,-0.09851658033591441,-0.5690388928864389
Amygdala_L,0.36589135604596873,0.1804137523750756,0.029946396047322153,0.40401053228010164,-0.2451051871978112,0.7099694613980285,0.5015998626684476,0.13729476657709627,-0.025039690519574956,0.4158896853142696,0.16134850502375542,0.22801078121036542,0.04425739838019095,1.0,0.2820970646292547,0.13424324533488996,-0.15967800569586338,-0.09814094201740793,0.6103878763437933,0.41406377234959774,-0.0837934338993844,-0.25166539643699054,0.2955949353986878,0.4732380589926164,0.39271742410740473,0.42650670351495795,0.20137384163364,0.225397621202321,0.3375168977768276,-0.02065691454554269,0.0997959870502378,-0.1548877622911465,0.4489937348634995,0.12371951420459283,0.12661338371772426,-0.02625026344868271,0.4365962479825785,0.4345597666177485,0.08677983933673808,-0.0013201322236474496,0.7315692879553025,0.36900123366125165,0.12418792539965537,0.30458849434942487,0.5514961593272271,-0.18481269409271747,-0.05165702355875579,0.6806623914622374,0.39661768548894744,-0.03713901663563563
Caudate_R,0.38825013509147327,0.20337330190002917,0.06900388394280313,0.43664557613054034,0.2678869550420281,0.6698841808544866,0.16223316575746788,0.07009183056372259,0.017727475177065806,0.23809831262788123,0.27110210258834466,0.5748670672037869,0.045686087461048054,0.2820970646292547,1.0,0.6370206768225568,0.1933614480552694,0.325923739432843,0.6466561758887068,0.16988709678994934,0.32063211737624137,0.10684143143043809,0.6594733303676329,0.6292981684107617,0.3986976059044999,0.2398913970704041,0.6191253344268193,0.3476980539177128,0.12837394055310472,0.31301053035049764,0.28686659536966497,0.16205035390918618,0.6241234160749851,0.2759775184407081,0.19821348586524615,0.1839320370019578,0.47442910158411433,0.6908070290481472,0.16858904907393732,0.3040660563388668,0.47921463003373865,0.42194948167405266,0.13798678778192422,0.3559256118415962,0.7258553755195888,0.041579904900518314,0.5500729131720019,0.44251514218187105,-0.025689268028191374,-0.002759367934896518
Thal_LGN_R,0.4856822729343111,-0.14713170273782664,0.47345506794944847,0.2862377346998921,0.03906308335639436,0.3623022331396731,0.022231460935328583,0.042886670874076015,0.4079401676186889,-0.07523496403472209,-0.03353414156249964,0.1543913186006085,0.3980440736384865,0.13424324533488996,0.6370206768225568,1.0,-0.040295067342351956,0.5540429290427037,0.2449973225794344,0.08684548331252467,0.053967720141940435,0.22355288991177047,0.5373900906220023,0.5605344222101002,0.21039392884227928,0.3238079520182889,0.7007517452315722,0.5688723063234873,-0.003993567156468579,0.14911366877062285,0.02409716467502192,0.6180222131928984,0.6635244284310634,0.2262094192683419,0.5286379498943884,-0.16394262195723167,0.3285142245152243,0.463017269676405,-0.033213674115675655,-0.04016950971601623,0.3160115279731542,0.3150235156126344,0.3980408593629178,0.29603548038336946,0.6578306036439315,0.009099917370312073,0.44009614585561585,0.14863953628372523,-0.34837392594805927,-0.20718398921495726
VTA_L,-0.14344134642558798,0.22189404845203714,-0.10389527702755236,0.07656313947686566,0.3658177160018579,-0.05505505781885684,-0.17179647379383492,0.212702215693949,-0.013995853370456966,-0.13102040823844952,0.07541495262898312,0.23793309484219785,-0.02567065265370388,-0.15967800569586338,0.1933614480552694,-0.040295067342351956,1.0,0.3492835354033785,0.1353505287086437,-0.05200844536665234,0.2539741554206479,0.2718955751552467,0.17353440642589912,0.0466468166278922,-0.14571042850767826,0.1841987644824623,0.014427139961221237,0.07602821325039005,0.11698264808263864,0.3284694019484389,0.3489810240107737,0.07202355903223968,-0.09825037296829606,0.18154589310611938,-0.024279037223575533,0.3500696099563906,-0.027439319185377044,-0.011226379454999085,0.15862722458679562,0.3082216791732765,-0.07197130748750213,0.021866152620056055,-0.3296158901344977,-0.07874407783299442,-0.05400522624464477,0.13167140811758024,0.2074286831791052,-0.2260331661671222,-0.12428066277850167,0.05980010864418509
Vermis_1_2,0.40813087898995926,0.02976511846821401,0.46935732800490776,0.20768421412347912,0.35523740311858604,0.021647040829245616,-0.04399179280586462,0.3235498392170158,0.3371982552876036,-0.22335645061996673,0.11290660379124756,0.15501200131086534,0.34940490960148585,-0.09814094201740793,0.325923739432843,0.5540429290427037,0.3492835354033785,1.0,0.02273537642591877,0.0002990113494024482,0.27632730619288265,0.3829337446508938,0.2789984125028868,0.351237263632382,-0.06017644756504135,0.2729945416519344,0.5900176807065298,0.7294694551731538,0.30752421029407917,0.43609996415713276,0.16384520434786348,0.6265221877033904,0.13204514707628234,0.3441172192787646,0.5420897100931888,0.1439314564507052,0.15009613750364506,0.13363412472244704,0.3315679371501317,0.20679395021190083,0.14376423277030206,0.18346062232337748,0.1321750569899876,0.008869819102280754,0.16897621963631645,0.3699167361079507,0.4342587479273596,-0.21484337904742956,-0.45253080608753715,0.06083733793668122
Thal_PuM_R,0.42074648766007017,0.17019955456040975,-0.04213878960238325,0.5099052067271802,0.012105416527961823,0.7838976029377639,0.4329206349853845,0.09545495392526143,-0.09499660062815037,0.43930063107767464,0.28695375439087245,0.5577534225481253,0.023439246603743625,0.6103878763437933,0.6466561758887068,0.2449973225794344,0.1353505287086437,0.02273537642591877,1.0,0.2909669560750666,0.1733408223874314,-0.010072999493088828,0.478219927938834,0.5739385001362955,0.44094333928010065,0.41481879504686703,0.2805019042694364,0.25021348355446055,0.21614560549998751,0.09396133453507649,0.2858947517033137,-0.121159266186334,0.6040629352031897,0.16875072801909569,0.11686777649896385,0.04148215137219186,0.5820576593204833,0.6268836739315242,0.08943047886608138,0.135013098890344,0.7028074245435961,0.3974983826294333,0.07225174409084698,0.380505877473409,0.6195170893735794,-0.2008148360147385,0.07597223137187503,0.6768188349319461,0.4282929523756352,-0.04414827452329913
Cerebellum_4_5_R,0.3921125183064208,0.5275895839390204,0.23328935934920692,0.48196258307235484,-0.3633218296199534,0.46332033773598136,0.773271887753615,0.7651701151331641,0.3738383510174977,0.5097417510642894,0.01407145677320359,0.326753896300406,0.3073426976245967,0.41406377234959774,0.16988709678994934,0.08684548331252467,-0.05200844536665234,0.0002990113494024482,0.2909669560750666,1.0,-0.10125450011423487,0.10173487173610232,0.04977547733795903,0.23595867008722715,0.366371627829974,0.5745481571040921,0.17326630431129383,0.33109186185151773,0.4900847956395506,-0.22027348097227317,0.17421042670729717,0.11812687313059726,-0.016786766966180384,0.5284984502461156,0.2718675822138315,-0.20430809945251474,0.3698520485799928,0.3835961339109235,0.40695468291216674,-0.030923199968832676,0.37120264017926374,0.6877027426729293,0.22967616324526097,0.698272186489361,0.28062213874148423,0.23777177605810787,0.21189848560092583,0.4940816820577454,0.1712729349220509,-0.13940890354271293
