,Cerebellum_8_L,Frontal_Med_Orb_R,Occipital_Mid_R,Frontal_Sup_2_L,Pallidum_L,Fusiform_R,N_Acc_R,Caudate_R,Thal_VA_L,Cerebellum_Crus2_L,Thal_VL_L,Thal_MDl_R,Parietal_Inf_L,Cerebellum_3_L,Thal_PuL_L,OFCpost_R,Cerebellum_3_R,Cerebellum_4_5_L,Heschl_L,Thal_LP_R,OFCmed_L,Precuneus_L,Supp_Motor_Area_R,Temporal_Sup_L,Thal_PuL_R,Putamen_L,Frontal_Inf_Orb_2_R,Vermis_4_5,Thal_MDl_L,Hippocampus_R,Raphe_D,Thal_VPL_R,Occipital_Sup_L,Parietal_Sup_R,Vermis_1_2,Pallidum_R,Thal_PuM_L,Parietal_Sup_L,Cerebellum_Crus1_L,Frontal_Sup_Medial_R,Cerebellum_Crus1_R,Thal_LP_L,OFClat_R,Amygdala_R,Temporal_Pole_Mid_R,Paracentral_Lobule_L,Cerebellum_9_R,Frontal_Sup_Medial_L,Olfactory_R,Red_N_L,Cerebellum_4_5_R,LC_R,Cerebellum_7b_L,Frontal_Inf_Tri_L,OFCmed_R,ACC_sub_L,Temporal_Mid_L,Thal_PuI_L,Rolandic_Oper_R,Vermis_7
Cerebellum_8_L,1.0,-0.12533046051555782,0.7169296131453333,0.3064734975142159,0.4200432876505329,0.4508426199457179,0.37564857553347286,0.10969182067568509,0.01503553876818069,0.41729862060579265,0.02586302460459609,0.24096799359772036,-0.523708871771645,0.5571497198583578,0.023863764471107086,0.08392092595332915,0.32040095376393224,0.3890556710103326,-0.11357185864402436,0.2156525752013724,-0.20621073908037113,-0.40950428756029555,0.11251070643281359,0.2959483160470077,0.34656871860166333,0.23113548056587352,0.4528474076266016,0.39945242864739755,-0.06848578933264812,0.07394612107341574,-0.008959222745159407,0.37434574876644255,-0.11878498181018368,-0.3502615852730242,0.44798112127077455,0.004920849344111898,0.2938604498662841,0.44535754897770696,0.879708621256845,0.3742151160470367,0.801673929561446,-0.017520409832601346,0.0008324850711850439,-0.06552468315267829,0.7013718533801332,-0.4054905738850244,0.8947251692657106,0.367084381882289,0.37079497998052796,0.1288839737897958,0.2646844517959763,-0.3094037836395769,0.3972627688353083,0.558354133668587,-0.0856442001069411,0.1078578026305043,0.5901110207444542,0.42849286271940834,0.18995153462723527,0.7041695943706967
Frontal_Med_Orb_R,-0.12533046051555782,1.0,-0.28487319413484646,-0.0792696879381824,0.13686242535591772,0.21479379996376166,-0.15593193137589054,0.27110210258834466,0.46779580736318555,-0.19524191109218803,0.09725089570499343,-0.30116713978535764,0.270304546326209,0.09433618492797916,0.12772703989373368,0.13010583236622278,0.09936992656266017,0.11235087943168748,0.10407783959609423,-0.055479658631693365,0.47055019435981943,0.22208001760455146,-0.07779579823553168,0.19842945202597242,-0.08167863641763605,0.14221111739134262,0.3339946890682342,0.1967482518798483,-0.10975351803372092,0.32562262917948126,0.0004976055815523555,-0.07544183307870539,0.09798600744991394,0.269801203481542,0.11290660379124756,0.39473970923412344,-0.04846918550819318,-0.10805238210326805,-0.2607500817619302,0.13974841408029018,-0.3168107226659119,0.02730514292597839,0.28806838029946435,0.18803016685850554,0.15202966723905412,0.11134177405863296,-0.1505876670860949,0.19670161726396973,0.11891132345647332,0.16012383652594253,0.01407145677320359,0.1854856474612682,-0.1403467968447713,-0.034665855325789786,0.22890400786668594,0.5061063558709757,0.032406022265458925,0.01357315469023244,0.18599297476921975,-0.05133673079157789
Occipital_Mid_R,0.7169296131453333,-0.28487319413484646,1.0,0.13225103746654376,0.14731557807662032,0.34025949707289926,0.1926720384131486,0.030545352718120877,-0.200946752862867,0.5905558605555339,-0.04047026896532018,0.3826108831486925,-0.5208978112226278,0.29619679062619675,-0.011968891209572386,-0.010580626396468857,0.14886079949677972,0.07966931277182386,-0.1792418236101438,0.09315166285001071,-0.3140250224935413,-0.40889333448114124,-0.09728707275400712,0.18215538565623737,0.2994244854726208,0.015053363990738812,0.15985479025744984,0.13138755665776863,0.1255681101670877,-0.01831601275342167,0.1298404372423175,0.359481907269631,-0.08237622929306862,-0.4923567358637067,0.4039353843224544,-0.2680847680849579,0.30872693029357706,0.44152341615114177,0.8059702215224046,0.12968530960356725,0.8204015731833127,-0.09098584179275851,-0.2600787850469871,-0.16801224066736206,0.574050905721573,-0.37388113872966355,0.7101048060089291,0.14156191048994135,0.13507890680644094,0.1595258471392308,0.09649845849103138,-0.4490224164038076,0.3973712203962005,0.45253198262279537,-0.2695515492651953,0.028890030494298082,0.4791596317906028,0.3095624024105874,-0.037421405522301915,0.6191817483123133
Frontal_Sup_2_L,0.3064734975142159,-0.0792696879381824,0.13225103746654376,1.0,0.5654799529747746,0.3104862776554005,0.5619095890684261,0.5150443053431304,0.196026385611099,0.1356218401880613,0.443012890282897,0.3550437898442473,0.19689734873075615,0.41239233878416737,0.282827157618551,0.3522886352694923,0.33142575926833634,0.4878082334016559,0.4548352573998277,0.25975815820321735,0.03594048891597541,0.33839028072705246,0.6543607744701203,0.7407516928910672,0.3566690189737462,0.6328742102505472,0.21722419200220416,0.5777415979705726,0.3185995098947766,0.30401718956637075,0.12272890725982621,0.4033724991117376,0.08530694760066938,0.04987671187959689,0.16669504844478242,0.21892761619342269,0.3670758418543745,0.13378222372522378,0.235044462378187,0.8348746135523869,0.19779774292729213,0.4408006978605187,0.29963960924744504,0.4038206909505916,0.047711023357939815,0.4364873858083325,0.33996383074509817,0.8280102901219185,0.4562018319096545,0.2507730813854033,0.41664447700263973,0.21913758085336338,0.18772400235066933,0.7146193227232415,0.3406721514208895,0.10087090263252659,0.5241609566728977,0.22482260703846246,0.5620488336296035,0.26129844392821155
Pallidum_L,0.4200432876505329,0.13686242535591772,0.14731557807662032,0.5654799529747746,1.0,0.6977247905404931,0.6619975458468905,0.6825717663897162,0.5085189793131668,0.1116686456536932,0.6033630754612849,0.22681969014366843,-0.0719275894656803,0.5714353542478826,0.3977641080925022,0.4817143902876019,0.27526822571881904,0.5696615363425807,0.11520844803058368,0.3881655737684233,0.04553712662127067,0.02356548349574876,0.2516775185995322,0.5088709849150508,0.487984767877325,0.8401952349988442,0.5741313741857326,0.5595744192304597,0.2248918854869608,0.7149410673845136,-0.07834226423667774,0.5628359140046812,-0.04854011428281767,-0.1270806649162167,0.29189220055771464,0.63226872476675,0.5210918499043385,0.3130524253514717,0.31056389488775477,0.6216317316146055,0.28581896798400397,0.426599463451293,0.4051043497625743,0.45836966616895986,0.29751597529062196,-0.024520107218108336,0.5653517937401664,0.585936164781618,0.7675028835235981,0.47380583659405745,0.4319474089786035,0.2966143597947284,0.25209111552584273,0.6224861974237671,0.30976340155410376,0.16982388203033094,0.41637770288842696,0.5769712929475458,0.6526993138799744,0.3386648511404543
Fusiform_R,0.4508426199457179,0.21479379996376166,0.34025949707289926,0.3104862776554005,0.6977247905404931,1.0,0.4996474324932321,0.5433057516314642,0.4138452013631129,0.1992964774810258,0.5221321922572318,0.2841336904379167,-0.1901726738952738,0.6588992797285609,0.39089431557058185,0.5503390743389548,0.35696412440308833,0.5882024657869288,0.15801317052781919,0.30471929216638394,0.11634053764667433,0.03362462913776955,0.108769428480276,0.4947916520003173,0.5070822748722076,0.6672660488423252,0.44685469055292404,0.5536818102974106,0.2647392454962596,0.7480401013265415,-0.011997151222793285,0.5767638443289943,0.03857717393042463,-0.26549372147044925,0.4342585312081364,0.4274209654455452,0.5763528546705469,0.3334255922833115,0.46560298090536856,0.39920156506286564,0.45746436541984964,0.3190085908242527,0.2726761851491822,0.4411186978108068,0.4280747304823258,-0.13607295779163334,0.5656116412759585,0.460216974153222,0.5921113660982581,0.5697523258350803,0.45062432062770086,0.12878715311941388,0.43726177749753753,0.4728636218113159,0.32870729249169656,0.2856628363436804,0.5096450091143663,0.5246664386662316,0.5568320646373957,0.5037553713475974
N_Acc_R,0.37564857553347286,-0.15593193137589054,0.1926720384131486,0.5619095890684261,0.6619975458468905,0.4996474324932321,1.0,0.5337656362277171,0.23015521467036185,0.18428845759924808,0.5627965511447558,0.3854624506490596,0.03669778308336508,0.29789979661234917,0.33541312964474973,0.306229741099657,0.02976697849668856,0.31653583936075064,0.09745136361406433,0.30785359997949113,-0.2035260540799346,0.051134753742426896,0.16903371642669665,0.47975188482853975,0.2742109240967515,0.6427098833389687,0.33100927634761257,0.367299855785632,0.3308717930203722,0.4716550892326605,0.009644813728854354,0.5948313241277094,0.037416378696741574,-0.14972567553219476,0.3748828682402905,0.30757663929678936,0.5725056069406198,0.3756583045849833,0.2642545446396632,0.49700004096646416,0.24959444317169774,0.4871007296333152,0.24735488251990206,0.2965287883682792,0.17244051714142233,0.033468841314363264,0.5410170033858496,0.4755562641790894,0.6537745325066201,0.287476836860421,0.1774079897249668,0.23331818825858613,0.20243757333676876,0.5645784061420882,0.3452177609593788,-0.06351662939555883,0.34388351800296146,0.48243564778764897,0.45025124573738906,0.24770189506740659
Caudate_R,0.10969182067568509,0.27110210258834466,0.030545352718120877,0.5150443053431304,0.6825717663897162,0.5433057516314642,0.5337656362277171,1.0,0.45142821111819337,0.10684143143043809,0.7466768093378358,0.3863373997622019,0.1839320370019578,0.2398913970704041,0.3986976059044999,0.4002849994324666,0.07009183056372259,0.25052292430410733,0.20337330190002917,0.3688171317329347,-0.05798177518441793,0.3040660563388668,0.0640909363259107,0.5661363350512588,0.3559256118415962,0.7325098466011744,0.22326334972388048,0.36112614900169515,0.5500729131720019,0.6843743514160054,0.041579904900518314,0.7193539497021347,0.05488880980728276,-0.002759367934896518,0.325923739432843,0.44251514218187105,0.6191253344268193,0.19447534319641616,0.045686087461048054,0.6381813288831328,0.017727475177065806,0.6137370471071731,0.16492029098799665,0.3064001497577386,0.1200548245081383,0.23021322049558543,0.23477001788514648,0.5655768017131186,0.6292981684107617,0.48079668551216576,0.16988709678994934,0.23809831262788123,0.13715897661945362,0.43664557613054034,0.3149659479612199,0.16858904907393732,0.3926062699822677,0.6019036992807368,0.7288468679074089,0.1191103410468485
Thal_VA_L,0.01503553876818069,0.46779580736318555,-0.200946752862867,0.196026385611099,0.5085189793131668,0.4138452013631129,0.23015521467036185,0.45142821111819337,1.0,-0.06252521099873314,0.6214261361355261,-0.20366403790506715,-0.13061935247444315,0.2898903213149998,0.40426263126333006,0.40170145602247137,0.08876375223355039,0.4107008673937172,0.16984981598028936,0.33507210274569327,0.38454871163466714,-0.07520103198420702,-0.012426771408043383,0.26954105865490846,0.4093043189757429,0.5255214573960132,0.40739812741684384,0.2882440521054563,0.06638254173508756,0.6567440343119118,-0.19597048414386675,0.1172288581792474,-0.18836773936520554,-0.06065785426838794,-0.1693158226650083,0.9059458153308535,0.09671620301056955,-0.07015728387687499,-0.028692082734278253,0.33142139676793747,-0.11338916711399807,0.12068593767496097,0.5186930340605744,0.4815151217143455,0.06562762510233318,-0.18500947534338008,0.08831216169447416,0.43312875288151614,0.2598063649788984,0.3237374053885016,0.3991326231316496,0.4789775794431161,0.15325187009799202,0.3804791139305621,0.31558344475814776,0.2778182874278203,0.059999701251623974,0.07382351814501285,0.5261682553241523,-0.02186978329410002
Cerebellum_Crus2_L,0.41729862060579265,-0.19524191109218803,0.5905558605555339,0.1356218401880613,0.1116686456536932,0.1992964774810258,0.18428845759924808,0.10684143143043809,-0.06252521099873314,1.0,0.020926114730493363,0.24257803680161635,-0.3703386104934384,0.22212297280294022,-0.09033701048365887,0.13392609972396274,0.15033105253087425,0.06597485537729497,-0.04863172291640031,0.24353196688977974,-0.30277614292654437,-0.3031101566914109,-0.1442555403298365,0.1892939238775249,0.2703444867414288,-0.012474777072319821,0.04099706815871584,0.23687523522356377,0.156140115730993,0.07862428148028772,0.07485475637964924,0.24708071288558311,-0.1855369968856358,-0.4246669636946198,0.3829337446508938,-0.15066640611598572,0.1285302723438224,0.30942900674674767,0.5919986439889787,0.09720583632725092,0.5818684754361967,-0.0017233552607550037,-0.1593717889472061,0.005330475322389968,0.3674200726704455,-0.14094555844847356,0.45720237434469124,0.12516813117549855,0.08082625870650954,0.14377195174499716,0.10173487173610232,-0.24550008236027954,0.32156289031826024,0.3980648292833933,-0.03743600571663899,0.088472135441156,0.3164650139350722,0.11143106091098053,0.043511877103002417,0.23202140577478605
