,Thal_LGN_R,Parietal_Sup_R,Cerebellum_9_L,Cerebellum_3_L,Cerebellum_6_L,SN_pr_R,Putamen_R,OFCpost_R,SN_pc_R,Vermis_10,Thal_VPL_L,OFCmed_L,N_Acc_R,Frontal_Inf_Orb_2_R,Occipital_Inf_L,Thal_AV_L,Thal_AV_R,Thal_MDm_L,Red_N_L,Thal_VL_L,Cerebellum_Crus1_L,Cerebellum_8_L,ACC_pre_L,Cerebellum_7b_R,Thal_VA_R,Thal_PuA_R,SN_pr_L,Rectus_R,Calcarine_L,Postcentral_L,Thal_LGN_L,Frontal_Sup_Medial_L,Heschl_R,Temporal_Inf_L,Caudate_L,Rolandic_Oper_R,VTA_R,Cerebellum_6_R,Temporal_Pole_Mid_R,ACC_pre_R,Thal_MGN_R,Pallidum_L,Rolandic_Oper_L,Frontal_Inf_Oper_L,Occipital_Inf_R
Thal_LGN_R,1.0,-0.20718398921495726,0.5286379498943884,0.3238079520182889,0.44808137042428303,0.26013676419010306,0.3623022331396731,0.22928498612644568,-0.3208311937951214,0.4856822729343111,0.5661046487991774,-0.31598986028921255,0.46399488916560583,0.24942299731240444,0.4703592256529126,0.5846600015166087,0.633629888782772,0.8187731541066894,0.4452336259130037,0.5733448837137509,0.3980440736384865,0.45167995714465575,0.7158306439490808,0.47345506794944847,0.6053882835355016,0.1647222093189219,0.4304173242022857,-0.04532997075179202,0.2262094192683419,-0.12120656914237361,0.41059504090111776,0.26008711457510747,0.0649089042933178,0.30734832962895176,0.44420170074443094,0.3628301665922773,-0.003993567156468579,0.4926710194175265,0.5078331404765443,0.6102626226988973,-0.20847149528823536,0.5545375038678373,0.23133688678686692,0.20111176549066376,0.6180222131928984
Parietal_Sup_R,-0.20718398921495726,1.0,-0.3959433294890749,-0.21668588581158094,-0.47522621953699923,-0.21625695786486032,-0.13085841580939436,-0.19560089039963932,0.002464883097037385,-0.25540927986368644,0.20241293991046239,0.15623250312295914,-0.14972567553219476,-0.04928751328543648,-0.5359299771743766,0.0503238178129828,0.0118645771259828,-0.026690540484253383,-0.2302326519982899,0.04047907117356103,-0.5690388928864389,-0.3502615852730242,-0.01974020431037619,-0.4631553572696154,0.09000528491200768,0.005124562182397027,-0.18805940622712466,-0.002212848277284144,-0.05273206560960579,0.5456048854135832,0.1927019984183503,0.0510530014517865,0.04444919852347552,-0.4389232892053423,-0.003927832469786273,-0.1798328411843146,0.021202567511547053,-0.5004019657786454,-0.31760684605663886,-0.020511635873176882,0.15292462516288233,-0.1270806649162167,-0.1741617413858203,-0.18952610882507073,-0.41701059753541136
Cerebellum_9_L,0.5286379498943884,-0.3959433294890749,1.0,0.5597644968849238,0.7527983421984186,0.30768241957842,0.21797526343645954,0.12374927414789832,-0.01972999043893866,0.7002687605492924,0.0757381566146364,-0.28701069717445965,0.47885268040082707,0.44092566635180586,0.7592246780801868,0.03672279622483039,0.2942552684444441,0.2556807049334388,0.19998310638724512,0.10089221021414471,0.8653917780202863,0.9319823910424274,0.25436446423233006,0.9190194506229197,0.08232223280135009,0.08152622069745079,0.17968073923525876,-0.16010591930089849,0.30922602705926827,-0.25975488399225677,-0.05960175943370747,0.35177446386526745,-0.05878316514627682,0.6244579677861182,0.31264554280917484,0.2009203818882685,0.16255273481397792,0.7535305449930926,0.7696080291122467,0.3784072104798222,-0.16141088591126201,0.48737664519756285,0.36418947154616005,0.5035021228427462,0.8347776879943413
Cerebellum_3_L,0.3238079520182889,-0.21668588581158094,0.5597644968849238,1.0,0.6620521092890438,0.5117145470039624,0.37449190747249617,0.4351452809069675,0.3666298596714894,0.3781335141256802,0.14902380072853433,0.12822665779311554,0.29789979661234917,0.4322696914269913,0.36394536120885534,0.03801860553961607,0.33323086555724013,0.18812956648073426,0.27901912582289307,0.18696381661880954,0.5602952143700172,0.5571497198583578,0.3017926262609019,0.43898042204558746,0.16065398884920162,0.3511810818017431,0.45858163535944896,0.22619391425926388,0.49813351640671066,-0.08093479447311591,0.1708727709451598,0.44786567782394876,0.2275448332559541,0.596058094256826,0.37069710142628576,0.42839546283737007,0.2471175070514541,0.7192794438682403,0.4549948548425403,0.412283251350562,0.21885517113109193,0.5714353542478826,0.4610110786633454,0.5224378076874999,0.3967480701841171
Cerebellum_6_L,0.44808137042428303,-0.47522621953699923,0.7527983421984186,0.6620521092890438,1.0,0.3897762952898517,0.24268506374984064,0.31191508614172625,0.25088301290460324,0.511587252772913,0.013831507799146579,-0.06980074130274742,0.3103144112281646,0.31579561395909633,0.7145118187995563,0.06398499208792982,0.25752548264163244,0.2169929912425864,0.33378585299074504,0.0829879502697579,0.8614353133229643,0.7602297116359216,0.2584127267998322,0.7149955893764469,0.07914395334887882,0.11247687691575901,0.31101897098796893,-0.044162803809164985,0.6474391811217844,-0.30527428026711,-0.0654145190009779,0.36151957650403765,0.16435423412064656,0.8084834966639691,0.3085497716398313,0.39455240294193855,0.22203817473292073,0.948345017943072,0.5002299019294572,0.3493688836959097,-0.0902853892272534,0.468817218942186,0.4034021704102141,0.4727256515795048,0.7234260586670834
SN_pr_R,0.26013676419010306,-0.21625695786486032,0.30768241957842,0.5117145470039624,0.3897762952898517,1.0,0.4229313623665051,0.3161923972031532,0.22939275436444992,0.32276794255230007,0.12741481578830408,0.048893536469347854,0.32328656349189666,0.4952834410052604,0.11895026189792371,-0.09235351821334296,0.3849866934873606,0.2468008906921327,0.21219596164303478,0.16141661441314148,0.3019310137308285,0.38495812760429954,0.4450083217047356,0.18378518781710498,0.043477118305814653,0.5863802139005111,0.6683069891359116,0.5262263180429938,0.10669041203430824,-0.18013365928903688,0.06832098242889802,0.32874405373846893,-0.034670349485190405,0.3476097885322433,0.39379024471667035,0.4270642906247555,0.024607558217657033,0.44241309968016834,0.238927768165598,0.27923456385783135,0.2661928351797496,0.49526226385382444,0.39561147384776946,0.32783356311852957,0.07149354173604382
Putamen_R,0.3623022331396731,-0.13085841580939436,0.21797526343645954,0.37449190747249617,0.24268506374984064,0.4229313623665051,1.0,0.5617214349982236,0.29705298207285763,0.5494296202782837,0.5690235780195684,0.29022273988479075,0.5899502375239681,0.5527555078530242,-0.05422409084838535,0.4665182391553577,0.6717980738596363,0.5137455105190458,0.5062166929901976,0.6855706285657762,0.10417333861472763,0.15520217914860288,0.6735552329045011,0.08654601097975563,0.5486331486351094,0.5868796831964833,0.6213313478401457,0.4515100577907859,0.16605957770854315,0.0009889894823101471,0.6517828782770879,0.5842681160577953,0.4532337306128204,0.22910705321510505,0.7977689458242873,0.6960967657796352,0.3204805096583538,0.354747361175509,0.08231154215331106,0.7045901185095579,0.5552118092210824,0.8090495588038795,0.6126615710508101,0.5711262186300512,0.01463532697410893
OFCpost_R,0.22928498612644568,-0.19560089039963932,0.12374927414789832,0.4351452809069675,0.31191508614172625,0.3161923972031532,0.5617214349982236,1.0,0.38395966177259777,0.3040373852080999,0.31463333800990095,0.4580423274119111,0.306229741099657,0.34118992660286396,0.11295520742936893,0.3319903379155473,0.40606517681525306,0.29735445326961796,0.5686079080582725,0.41611422221148786,0.21515251242792194,0.08392092595332915,0.4070785058170066,0.050279172008722395,0.3470660076051057,0.3162230253045442,0.3524756700243714,0.5779694466557912,0.3280921513610491,-0.009740996627422841,0.4133301991057838,0.4325864131549892,0.5305893094019556,0.43861195718527185,0.4462919907268727,0.5736975620774052,0.29241784036839497,0.37770871144678947,-0.030834623398843002,0.47081475539277357,0.33277377078655135,0.4817143902876019,0.5151500111976681,0.44689581109241566,0.07380163193520536
SN_pc_R,-0.3208311937951214,0.002464883097037385,-0.01972999043893866,0.3666298596714894,0.25088301290460324,0.22939275436444992,0.29705298207285763,0.38395966177259777,1.0,0.11442574947099851,-0.019710287459741717,0.5156168901818536,0.032309518996818984,0.17268234846641048,-0.06312576525524488,-0.05815098913663086,0.14164794520105667,-0.2619110123189788,0.15238882707825016,0.02575162387622607,0.16830137779865614,0.10512864610724633,-0.055725638266692704,-0.09205509286895334,0.034034091758631424,0.2103815572042164,0.08399963202226035,0.22229191567356965,0.5622259716819628,0.11836022804851584,0.09464760531504297,0.4180044559374909,0.5703677324796422,0.37949829976696,0.31789327488562225,0.3602166072592867,0.6471413944019291,0.24966987142513167,-0.2774889962568447,0.10295776296278192,0.5077916711427432,0.2415078201339376,0.39080796379816873,0.4514805995145535,-0.23887214700140613
Vermis_10,0.4856822729343111,-0.25540927986368644,0.7002687605492924,0.3781335141256802,0.511587252772913,0.32276794255230007,0.5494296202782837,0.3040373852080999,0.11442574947099851,1.0,0.20895800155553235,-0.1077836426995891,0.6039587006384723,0.5795117643957809,0.3446349434885982,0.16908115212543262,0.5129927185350648,0.36643235761104553,0.3706259859591263,0.2555544143741293,0.5100137022842529,0.6222021478910498,0.4426400510822942,0.6621678480942208,0.16959926425335134,0.29017158014490313,0.3096830229595262,0.05502394911924445,0.2601272420005537,-0.12876010309799835,0.13138591969163158,0.44940739894696635,0.08891949603638703,0.40401701703661336,0.5517067838428436,0.35480309987528263,0.39923716624004135,0.5667630551569218,0.48563396718184476,0.46961935005247674,0.02625558958437448,0.6664923899229038,0.442809203421147,0.49722756951115576,0.47324194027945615
