,VTA_R,Cerebellum_7b_L,Postcentral_L,Hippocampus_L,Vermis_1_2
VTA_R,1.0,0.23327238458328722,0.19644994938198126,0.22986433747754542,0.30752421029407917
Cerebellum_7b_L,0.23327238458328722,1.0,-0.3632433559573934,0.19041597088462253,0.06091463243629811
Postcentral_L,0.19644994938198126,-0.3632433559573934,1.0,0.13159342675045527,0.15095998550272594
Hippocampus_L,0.22986433747754542,0.19041597088462253,0.13159342675045527,1.0,0.27280137232415835
Vermis_1_2,0.30752421029407917,0.06091463243629811,0.15095998550272594,0.27280137232415835,1.0
