,Thal_LP_R,Insula_R,Thal_LGN_R,LC_R,Cerebellum_8_R,Vermis_3,Occipital_Sup_L,Raphe_D,N_Acc_L,Temporal_Inf_L,Cerebellum_3_L,Cuneus_L,OFClat_R,Frontal_Inf_Oper_R,Rectus_R,Temporal_Pole_Mid_R,Cuneus_R,ACC_sup_R,Vermis_6,Fusiform_R,Parietal_Sup_R,Cerebellum_7b_L,Frontal_Med_Orb_R,Thal_AV_L,Frontal_Sup_Medial_R,Heschl_R,Occipital_Sup_R,Thal_VA_L,Precuneus_R,Temporal_Mid_R,ACC_sub_L,Parietal_Inf_R,ParaHippocampal_L,Thal_MDm_R,Thal_PuI_L,Postcentral_L,Cerebellum_Crus1_L,LC_L,Precuneus_L,OFCpost_R,Angular_R,Vermis_8,Frontal_Sup_2_R,OFCpost_L,Thal_PuM_L,Calcarine_L,SN_pr_L,Hippocampus_L,Temporal_Mid_L,Olfactory_R,Vermis_7,Temporal_Pole_Mid_L,Thal_VA_R,Frontal_Inf_Orb_2_L,SN_pc_L,Hippocampus_R,Precentral_L,Pallidum_L,Thal_PuL_L,VTA_L,Vermis_1_2,ACC_pre_R,Vermis_9,Putamen_R,Frontal_Inf_Tri_R,Paracentral_Lobule_L,Cerebellum_8_L,Thal_VL_R,Rolandic_Oper_R,Parietal_Sup_L,Thal_MGN_R,Thal_VPL_R,Occipital_Inf_R,Thal_PuM_R,Frontal_Inf_Orb_2_R,Frontal_Mid_2_R,Cerebellum_4_5_R,OFCmed_R,Cerebellum_10_L,OFCmed_L,Thal_IL_R,Thal_IL_L,Lingual_L,Thal_LGN_L,Thal_MGN_L,Amygdala_R,Lingual_R,Cerebellum_9_R,Rolandic_Oper_L,Thal_MDl_R,OFClat_L,Supp_Motor_Area_L,Occipital_Mid_R,Thal_PuL_R,SN_pr_R,OFCant_L,Postcentral_R,Frontal_Sup_Medial_L,SupraMarginal_R,Cingulate_Mid_L,Heschl_L,Cerebellum_6_L,Cerebellum_7b_R,Cingulate_Post_L,Cerebellum_Crus2_L,Thal_PuA_R,ACC_pre_L,Precentral_R,Supp_Motor_Area_R,VTA_R,Fusiform_L,OFCant_R,Thal_LP_L,Frontal_Med_Orb_L,Pallidum_R
Thal_LP_R,1.0,0.4088819814812626,0.2556202305986816,0.2647919833868177,0.28686813363676117,0.32203540086740856,-0.1639885395219623,-0.02030556261130642,0.34738486107195904,0.436392356538215,0.2599270298251275,-0.1395513359471115,0.2295626979023279,0.4053746456526017,0.2406180291049863,0.16468439824113984,-0.02407960292766222,0.34719106182796367,0.3856103299655029,0.30471929216638394,-0.24733661602120008,0.2833745296155075,-0.055479658631693365,0.18961521586816513,0.42863851837438993,0.24724741575347545,-0.08323890697974783,0.33507210274569327,-0.08152880965980137,0.33957441318669596,0.0407478338642178,-0.1466586823227912,0.4886198127476437,0.3512480527437582,0.22753540912745424,-0.21259762569943408,0.2860079730663304,0.0530768279129823,-0.13778471016597324,0.4756618489582353,-0.024631506096573372,0.4064145603380228,0.1639923141625931,0.40569355175211597,0.2426140985791515,0.1395788370320564,0.31322276885099476,0.41082549726981044,0.34293606167541124,0.3833009740614826,-0.039633946189739304,0.06568360586922618,0.15673938698236842,0.29169354118013807,0.37668448140908656,0.4389266027528829,-0.10248938727594004,0.3881655737684233,0.2308463965901765,-0.1379541447909454,-0.008538549565205045,0.4954214193131229,0.20947590919866335,0.4233258694753475,0.4710580651714955,-0.12362229468432478,0.2156525752013724,0.1602655145291773,0.4406774903013719,0.16029902592469972,0.13360046005165088,0.21242464626358235,0.22415369025037885,0.413644797274032,0.3006502116720633,0.29172403486847787,0.3446904392798395,0.26080024258229023,0.32249204075673815,0.04730743847282186,0.2186727211423844,0.3280250972280185,0.20916122045372523,0.1909487437276508,0.3951410623223661,0.23146167670421822,0.1747072341722187,0.3532595806357761,0.5568084272185255,0.09937960303512675,0.13382621310233014,0.02083232532466354,0.09315166285001071,0.48376180404611974,0.11765288487244369,0.012119571495048083,0.07524840588843373,0.3811262970157339,0.009077167092722329,0.20298736477949783,0.07645435108417346,0.29820249333321225,0.27965946039398426,0.4062736442987776,0.24353196688977974,0.33094607413321814,0.3452911785852781,0.11526751261271585,-0.09789521127949183,-0.06356122583717544,0.3835065341100122,0.19120675351610106,0.212231672475454,-0.07948656762694419,0.388981723295511
Insula_R,0.4088819814812626,1.0,0.5556365670721412,0.3516142713419197,0.19808996525372144,0.40082830406951264,0.029846516919119458,0.08001777524450407,0.5463826692288297,0.35388468122097805,0.43980219440618545,0.2867597459449786,0.3925460572865185,0.7890377209934487,0.44637637604105634,0.06880285168735958,0.2206183521800668,0.5031044270207901,0.33458576015657066,0.719942294457046,-0.14141763589924694,0.3504385344034976,0.08858330275744203,0.6466816993613045,0.6237063629469983,0.6117032021824714,0.14675508497637862,0.45887480073605974,0.2290513791155842,0.6675148457963266,0.16762609408006468,0.10786286553325615,0.5620817796275108,0.7405694574589662,0.46184829460186033,0.21233202431698414,0.23087466663952255,0.2029595833946036,0.21201501201441192,0.6680656976067729,0.19537155671033576,0.18784043573045084,0.36518436979631375,0.6283621692888339,0.6271929833384696,0.4198797171423125,0.4737207102286342,0.7610614782665708,0.5050736975211992,0.6042503280130112,0.25986349668453124,0.04694164171827552,0.7284577237370359,0.4438424067601547,0.4885651360721811,0.7801135918017997,0.2911037077811608,0.7365367216739717,0.5136717789214916,0.20608697807539297,0.2772734180714488,0.8087904746786297,0.407240160531164,0.7536857872326457,0.725858381888816,0.15139006797017865,0.22210920267933698,0.728193962585173,0.800716823977101,0.20435797028951663,0.3765475355230807,0.6599195401577079,0.24855505160290342,0.7163723994045149,0.3223424600199298,0.5400038460320807,0.40247041608000517,0.5934915569616811,0.5108783163696522,0.09522434097355872,0.5429918064961338,0.7274077841110813,0.410736142523918,0.6789773209163015,0.656037910782392,0.5882114534234533,0.49799607222745346,0.34758983746688105,0.6908508819407887,0.4233974849560242,0.09658681626266855,0.2871650406397319,0.10892427882604533,0.5407453516581863,0.34562761807985065,-0.05253364376770571,0.41422753352460334,0.625639848959334,0.30572669576746353,0.43022821655610066,0.35921922448252264,0.40150348250625767,0.19011053384045384,0.5859746692001702,0.18388090280911465,0.4709816318937729,0.7688417205698581,0.44319288411788066,0.265028141255589,0.2923952978731348,0.5940625673314782,0.1587758171798402,0.539962953580721,-0.0721240652292504,0.4675184818044482
Thal_LGN_R,0.2556202305986816,0.5556365670721412,1.0,-0.07523496403472209,0.5011971095259716,0.022231460935328583,0.09784597659285771,0.009099917370312073,0.3160115279731542,0.30734832962895176,0.3238079520182889,0.08248700939833861,-0.09713536962925247,0.36433954611354835,-0.04532997075179202,0.5078331404765443,0.053967720141940435,0.21252445444579282,0.5096462769658044,0.6400742152873776,-0.20718398921495726,0.2403628369658485,-0.03353414156249964,0.5846600015166087,0.34428928140739756,0.0649089042933178,0.18389633853544618,0.19196590213503167,-0.12749574692607507,0.5967656784139865,-0.033213674115675655,0.03906308335639436,0.34043986915501095,0.6218296243569673,0.7377633792861357,-0.12120656914237361,0.3980440736384865,-0.015316510639754205,-0.04016950971601623,0.22928498612644568,-0.02453812498060903,0.3980408593629178,0.08817076898199189,0.3285142245152243,0.7007517452315722,0.2262094192683419,0.4304173242022857,0.5571656341671106,0.4473287497272728,0.5605344222101002,0.35018904176208276,0.4739644397615084,0.6053882835355016,0.02445610336962621,0.29805136136136534,0.5339968638479317,-0.1504919591197648,0.5545375038678373,0.21039392884227928,-0.040295067342351956,0.5540429290427037,0.6102626226988973,0.5688723063234873,0.3623022331396731,0.463017269676405,-0.19216017573609956,0.45167995714465575,0.787447596972322,0.3628301665922773,0.3960707048803978,-0.20847149528823536,0.8374926163155849,0.6180222131928984,0.2449973225794344,0.24942299731240444,0.1543913186006085,0.08684548331252467,0.028509229906109386,0.4208370774721979,-0.31598986028921255,0.6635244284310634,0.6578306036439315,0.43528646604110227,0.41059504090111776,0.8490636595599663,-0.02495636430670654,0.5466554087858355,0.5529220089355044,0.23133688678686692,0.5734573918303713,-0.42154019365970785,-0.20944933066514806,0.4569022274350393,0.29603548038336946,0.26013676419010306,-0.16688012871483962,0.07937742579529493,0.26008711457510747,0.0638578998687585,0.00979689559620496,-0.14713170273782664,0.44808137042428303,0.47345506794944847,0.3150235156126344,0.22355288991177047,0.1647222093189219,0.7158306439490808,0.02409716467502192,-0.20314642234066418,-0.003993567156468579,0.49118459105370066,-0.34837392594805927,0.3613713432857149,-0.00487198781607796,0.14863953628372523
LC_R,0.2647919833868177,0.3516142713419197,-0.07523496403472209,1.0,-0.2859125398548609,0.40897667844076974,0.03403930134153187,0.10013501903206962,0.34182042400750334,-0.11217668694314772,0.00406749777418859,0.15001500111143962,0.5004443265766626,0.28827486571514815,0.3671025281782138,-0.21011901845482236,0.002265780780448085,0.2846967916821462,-0.21458433146049655,0.12878715311941388,0.13605551832753898,0.004959140951499852,0.1854856474612682,0.27955503068349535,0.1630965179680768,0.47957769432352737,-0.10845032518637189,0.4789775794431161,0.12482632098751527,-0.03497786327829408,0.1998829047898247,0.029925154386131223,0.44134085347341284,0.10194156569006942,-0.23878613938211635,0.2828224924342377,-0.3462336901815769,0.3943716583186297,0.19665836475628176,0.33073051708448337,0.07360052984286046,-0.18577013978975412,0.1990293910174982,0.46121602460933286,0.12990896902369203,-0.06252586451667927,0.25546205312712295,0.558029055232575,-0.16936958868783467,0.23202596026381797,-0.2324959992722201,-0.4840214808057155,0.2583549783346199,0.3204503243100964,0.4038457306092479,0.5166205198782448,0.30226154764623886,0.2966143597947284,0.42202875449965527,-0.13102040823844952,-0.22335645061996673,0.26778102016670996,-0.05435345574071326,0.5474327236247282,0.2112358693034304,0.22409671942643367,-0.3094037836395769,0.022107042280090184,0.30476340389144546,-0.15680735765804485,0.46723969265076826,-0.1221683856922213,-0.40019774110003803,0.43930063107767464,0.14420729398008897,0.2432405548429555,0.5097417510642894,0.417024710899638,0.3939664037296308,0.45817695374727013,0.0535970477701158,0.34290248694940345,-0.18491482268879067,0.4743068679857911,0.018184933381969394,0.5492782656142244,-0.22678774070269458,-0.10082232099116889,0.3225075206382287,0.002456442079428215,0.3956680198187795,0.3027659676566065,-0.4490224164038076,0.3864716276058097,-0.08224992829111465,0.24784528364364902,0.1136074309931143,0.23519114895587748,0.09683158316335742,0.27103850851564265,0.3724266101283765,-0.2475066106208625,-0.32080331406041424,0.2555782328242106,-0.24550008236027954,0.24150571834003312,0.1880492410712181,0.1371525702933247,0.20406493791480185,0.35593581733992374,0.040947399177041106,0.3613355049038816,0.1473203453905327,0.11469868446562746,0.6234839949801035
Cerebellum_8_R,0.28686813363676117,0.19808996525372144,0.5011971095259716,-0.2859125398548609,1.0,0.2614291658578757,-0.1745655697229532,0.025796785741210606,0.3669561105960177,0.6342947746648032,0.5283146212327873,-0.4526337256896261,-0.09759978883017481,0.1413325812011713,-0.21183290533960394,0.8042075715617301,-0.2988870201047104,0.28068662835494046,0.6810040913707297,0.46442616478506066,-0.46533018733123405,0.4020092974572867,-0.18053876236497543,-0.016032323973959574,0.29083424529700713,-0.1286608303731809,-0.09780853697115666,-0.036245931262767046,-0.19721538032051839,0.4169831164789357,0.06092062315661641,-0.41942427250955383,0.3189695571434391,0.26322068822768846,0.42959984646068416,-0.33525736699000863,0.8976301149341761,-0.057777358888993796,-0.4822493491009761,0.08701412069103258,-0.24439217466386498,0.6366525038354538,0.09295212904740924,0.04341865779384476,0.30722158928046683,0.3017472270322896,0.15262264780948054,0.06403034290681314,0.5395180218912277,0.39600726770016137,0.6598114797868225,0.8046851728149149,-0.01391202127163006,0.14059882633057108,0.06663691124274251,0.11628399440747815,-0.08975772102538256,0.4084003225456918,-0.005208708186057608,-0.0887386056000556,0.46522129128364054,0.277261785147057,0.7933050673760197,0.14222448938330137,0.32107504671061643,-0.43236071237307844,0.9354300070721792,0.1936467568489538,0.14270887740124533,0.5201837414118083,-0.2625812036229119,0.38024832354962673,0.843371172670889,0.006096747153366545,0.39510844006107926,0.06791794190792325,0.27083301480936195,-0.15332274118926342,0.4434373174070258,-0.2688270116664411,0.1844615286773459,0.06171992946828591,0.6616894036087062,-0.17831852937254516,0.3919428649770919,-0.09906730812520846,0.5964068691545461,0.951981761288913,0.29090436505080175,0.27567084325288904,-0.39441690232260707,-0.09891741956950197,0.78995098634357,0.38052163258061167,0.28941754311326723,-0.1888305178153069,-0.1778700875719165,0.28563285942575634,-0.21704803054502306,0.09137662441369773,-0.16269946922727563,0.772168313403238,0.9482670164218511,0.4257586217269288,0.5279844067387838,-0.007125751775233723,0.17838426384461384,0.0021768980803021343,-0.017502563421347577,0.14633922585719406,0.6166028702584652,-0.27064062808105754,-0.054021431468300504,-0.26142173443688427,-0.024848548086580737
Vermis_3,0.32203540086740856,0.40082830406951264,0.022231460935328583,0.40897667844076974,0.2614291658578757,1.0,-0.057780983469707906,0.18990494293609506,0.46188851575915896,0.511995387173995,0.47498431418475157,-0.07933138673642534,0.4499350616302675,0.45972131393881055,0.1619207855401137,-0.01439560788332789,0.010594370752105096,0.5270826634892021,0.20568436383529945,0.36538159220134003,-0.17974536261389185,0.4109221614610452,-0.04619267061665817,0.11843875402621455,0.47938755612922707,0.5011607808635743,-0.059723078295959124,0.37519641348419236,0.4063164758397127,0.28302946335665125,0.33062297663213275,-0.3540286401523819,0.679444316212932,0.2974087735876722,-0.0723436658907915,-0.0361850704903906,0.36663638193193304,0.23572194445533537,-0.007982325673414385,0.47321955516836156,0.1766503196625576,0.3577888562848979,0.4028514359629014,0.26556521387348986,0.1983658484561623,0.5840319124802354,0.2797616926731584,0.3096474891420293,0.3506692611095331,0.2815959497022621,0.3269366536314323,-0.07897386596429241,0.1115276921567758,0.5471431891923941,0.30878716402574385,0.36749380293414546,0.21275649098649682,0.47772516214862687,0.37214946818844535,-0.17179647379383492,-0.04399179280586462,0.3080663073285978,0.37270786940082107,0.48571480627010544,0.3902123564658879,-0.005326919901536976,0.32669829922719756,-0.027071724177838985,0.46706565628693236,-0.0752724758049838,0.3910561798619703,-0.027117541362513098,0.007962364286965251,0.4329206349853845,0.3076537576915255,0.391597318312337,0.773271887753615,0.21642282455441045,0.3909559585516486,0.3691954510106188,0.07758577449966324,0.18091758855188012,0.460845879843016,0.11868579395069535,0.08645588750347734,0.6019999848158263,0.2774040633759709,0.3536755966376731,0.4862417893341834,0.12619513921626468,0.2742398051633769,0.45932120648550956,0.08866500524203547,0.6237661062673489,0.2044255848459552,0.12968601954937164,0.10468120007590441,0.5344794005883808,0.08228365344741492,0.5532470852731262,0.4255445044440104,0.4520373830050106,0.22387097761195376,0.6491536305343031,0.033289033813327526,0.2861824308993808,0.18850475599567865,0.2603011245737279,0.6301765840632303,0.631848273920627,0.5252777534774237,0.3681864005959908,0.04769623091615242,-0.14993418067205233,0.4669904560940499
Occipital_Sup_L,-0.1639885395219623,0.029846516919119458,0.09784597659285771,0.03403930134153187,-0.1745655697229532,-0.057780983469707906,1.0,0.3834033977736037,-0.11155378284157584,-0.12915553874035055,-0.16246728502408642,0.6048770857581826,-0.038172862377211694,0.047287779510907006,-0.17156004717396067,-0.1816057799727346,0.5342294364136988,0.3103681772230259,-0.17030591749441226,0.03857717393042463,0.4573049860860878,-0.23774531177213035,0.09798600744991394,0.3672129068819449,0.16152384997499322,0.1713993922223547,0.7024914789466802,-0.18836773936520554,0.4889959601822778,0.10950781769911662,0.29222474678966,0.581945088952166,-0.07167973674508646,0.1701716526335566,-0.07851245523600928,0.4575981186560891,-0.23844909201461156,-0.16489581812236678,0.6845132366796461,0.021809255640128335,0.6486546118539724,-0.07981638382802471,0.38042761332332586,0.09610798656736357,0.46899680307772096,0.270629641375695,-0.30198330514514854,0.14074432135774753,0.14409601565150668,-0.03060783661669248,-0.1411474157084416,-0.037731117927739775,0.238317076307613,0.11135605714183072,-0.1989289245469424,0.023214945882213886,0.15858335530388518,-0.04854011428281767,0.1355953507501566,0.0470340060815032,0.41279082305835335,0.06394573733313237,0.10691658942627137,-0.09895692164988486,-0.06019349869378102,0.4380117243144175,-0.11878498181018368,0.2170156385581668,-0.21305624577162383,-0.05331711962095692,-0.1502732123623695,0.1335453763583472,-0.0690695483455765,-0.1909527207866785,0.00941922687323761,0.21685790902207053,-0.036668674283617655,-0.0028914360942129545,0.03929163442169971,0.15586692883829364,-0.1845103276149709,0.017704080852718077,0.05861479064222127,0.24171104117154257,0.06649092564511999,0.006713789466088069,0.0869607782621037,-0.17853042541428865,-0.25257890558234136,0.5300172402024894,-0.035059927595246294,0.27536010304679215,-0.08237622929306862,-0.17044912460766826,-0.22905138210656004,0.17524170904899755,0.4092312555562006,0.15635890840902367,0.5706793963041306,0.28999047359001684,0.30434349476194195,-0.13386156153471054,-0.13651820230418812,0.043644349689904625,-0.1855369968856358,-0.21591346788472776,0.03614002522062731,0.20581884857419167,0.2277819708037401,0.20923683718730465,-0.009359065234135574,-0.1160095808177995,0.11827241943936105,0.15774339650947886,-0.1681322522904292
Raphe_D,-0.02030556261130642,0.08001777524450407,0.009099917370312073,0.10013501903206962,0.025796785741210606,0.18990494293609506,0.3834033977736037,1.0,-0.29912706684475676,0.13714733877856172,-0.11213810915669044,0.2555514897293511,-0.2067229472606547,0.194706125960052,-0.28909930733036704,-0.0917872978274579,0.2460258469362197,0.3639494062507726,-0.2905471630394344,-0.011997151222793285,0.058465445704746474,-0.10523622217297723,0.0004976055815523555,0.25079433707882265,0.11685088649786966,0.38527314744305247,0.4684639529823743,-0.19597048414386675,0.38296579838121125,0.23887627357363347,0.40649200017621884,0.21470942244734462,0.0971797959852752,0.2024696696580833,-0.347610252894479,0.18801103707166444,0.07517590167145488,-0.32698490990548673,0.28734539940749015,0.1613273625181416,0.49699493712866427,-0.08264436577131738,0.20200448466380647,0.10485596641145073,0.3068182661374053,0.3761153404068966,-0.5031309286598857,0.1644123746446744,0.2944295304928378,-0.087290491181842,0.21731936588597128,0.06323629722186866,0.19662151358848254,0.08527516467899615,-0.3988008541877139,0.06805353934432,0.14012602326132284,-0.07834226423667774,-0.027268476171318723,0.13167140811758024,0.3699167361079507,0.027020788644771615,0.20533268805929356,-0.0823298194672171,0.006245188514145263,0.2951578147448136,-0.008959222745159407,0.12868183624679622,0.014291060947826601,-0.1837307369818893,-0.20256191773200108,-0.0619158886965672,0.1780742302819358,-0.2008148360147385,-0.15834546733600197,0.15353138554735948,0.23777177605810787,-0.10565239209042483,-0.07241212488760637,0.3321668713547339,-0.4281734290553794,-0.10110338283509017,0.3259180275918391,0.12267051468402165,0.12462526563515576,0.2617168056475903,0.12641625460937728,-0.033337492445578404,0.008992123587978618,0.5761034164956669,-0.06425672948473882,0.3346299207546242,0.1298404372423175,0.16372837012954564,-0.5184567506881788,0.019591344044686793,0.3754106764250382,0.15719526999681752,0.5085241114244803,0.27053124434625864,0.46086708369547874,0.024240497945212436,0.06161467647472521,0.12280307671986113,0.07485475637964924,-0.4310124497415565,-0.10206744709305199,0.29269032403489753,0.26010029071700896,0.4484408577826437,0.13236953462655493,-0.12899373441343429,-0.14668015738833692,-0.1713555424639748,-0.2170931944080828
N_Acc_L,0.34738486107195904,0.5463826692288297,0.3160115279731542,0.34182042400750334,0.3669561105960177,0.46188851575915896,-0.11155378284157584,-0.29912706684475676,1.0,0.2928243485876652,0.5401791812915766,-0.05002572762477647,0.5684695711338641,0.31740034466356826,0.4450248133183395,0.3160239118315846,-0.10208865441234975,0.40914650282077486,0.3589285241268257,0.619200839076492,-0.15344696695336477,0.26604825982260516,0.3235992945783904,0.15253073448476792,0.5178215572444799,0.1593336921741726,-0.2805693675614161,0.6249414327046091,0.017171768230311184,0.31567264432751907,0.2184061574993909,-0.19786601890310085,0.5881552409043955,0.37515411251110525,0.4538659110735549,-0.03705066504766086,0.27405970809220914,0.4543392734730333,-0.07718788625317675,0.40448381760302105,-0.2428850535413325,0.2696633715301751,0.3087249155176561,0.38704680038473194,0.3080532905545028,0.13917571485556315,0.6751393550527599,0.532364167394104,0.2777599187769453,0.6649211083907774,0.2765871675385782,0.18910841228932945,0.26280293100731783,0.5449558458124591,0.6868535365235636,0.6080738625428399,0.15192095431926295,0.8143461429968107,0.39875072118494254,-0.07197130748750213,0.14376423277030206,0.5853512769765293,0.49713602939742907,0.7908505881807047,0.5759204842598299,-0.13411464102008536,0.41751619991195427,0.22710631909353116,0.5198286295472144,0.31196257230433383,0.48203859871879906,0.3612174915018073,0.11452642061758268,0.7028074245435961,0.6749289499715899,0.39540550138808256,0.37120264017926374,0.3821662813555875,0.7017573735195954,0.16363032033332128,0.5592410604553216,0.542165739046095,0.2249981956061852,0.3866856333398793,0.31351983891068247,0.4396453641518201,0.351613914811168,0.5239948029017232,0.5479522015643016,-0.0796216110285407,0.08905472172878598,0.06855804253004948,0.062422888284647295,0.3697789640179684,0.6633153593622206,0.22036285673633105,-0.08112166983076725,0.5440830567537981,-0.22146403779333784,0.3336238726633034,-0.007640086667500044,0.37568785171642904,0.26977205425103684,0.4900662812181817,0.05489290963035428,0.6220253879044252,0.5559639283437111,0.04954451506365343,0.1941671473358113,0.2997346612538104,0.4610235594896955,0.3145042005544294,0.3487180305918584,0.2673335500079704,0.727431471202114
Temporal_Inf_L,0.436392356538215,0.35388468122097805,0.30734832962895176,-0.11217668694314772,0.6342947746648032,0.511995387173995,-0.12915553874035055,0.13714733877856172,0.2928243485876652,1.0,0.596058094256826,-0.20844146272186587,0.16780461733394628,0.3746836146411008,0.020309858705937954,0.34331226922477587,-0.0967687057720017,0.3834433692682043,0.5854445268777614,0.5580568616003051,-0.4389232892053423,0.6053453944835684,-0.0685528882614787,0.01976225689571349,0.40196871066691164,0.29984712391705953,0.14324124384148368,0.1778377626614788,0.16467335228341082,0.49305577190212607,0.2942248045981974,-0.29653822400749436,0.6703616882786437,0.2775417205600504,0.17381933237153155,-0.40887084941027557,0.8138668207413561,0.011592393253381173,-0.22287442824763018,0.43861195718527185,0.1617887213107632,0.5466915188141447,0.33208037888692776,0.18069215246209272,0.2492426610608822,0.6272391792098285,0.2269837981773007,0.20503741732258846,0.7435580089135779,0.20732811399088485,0.60537303789122,0.4404391735429238,0.05157959444950549,0.42185056419093925,0.10873551800751834,0.28058869411081144,-0.2082593600514291,0.3239539759463427,0.19342803953421545,-0.07306198917113023,0.1714998340540928,0.3250493058788327,0.48578995092958904,0.22910705321510505,0.470523122930705,-0.2468999585020806,0.6543116233559289,0.10393745902871812,0.3513114242336861,0.23024538407845122,-0.046548120864753385,0.20740623797276833,0.5673371835678834,0.18730456983632893,0.35686342015038497,0.3772672564025922,0.48268215055564934,0.04884461940163759,0.16981889833987354,0.1652206782716783,0.046351970203315614,0.09333501349315232,0.7370204831065464,-0.054945770136549776,0.3420460969873605,0.2848944728840819,0.5799297908631782,0.5931300756569023,0.5220797918514948,0.2118430308755259,0.11488663609060015,0.14889099412140183,0.5727627248617913,0.5739253873324468,0.3476097885322433,0.10140006066456572,0.16000080615232642,0.4434470595503243,0.11111312269766056,0.3667694290030326,0.18201615948739006,0.8084834966639691,0.5486856587978709,0.6175756419820886,0.4149416512430641,0.09782840266162532,0.19900497018227778,0.25340062156463766,0.23783111082850422,0.23708528553842098,0.8538811330496981,0.15355291580981945,0.010648639770953658,-0.1609254665040179,0.10056985928280199
