,Thal_PuI_R,Temporal_Pole_Sup_L,Thal_AV_L,Olfactory_R,Temporal_Pole_Sup_R,Cerebellum_7b_R,Occipital_Inf_L,Amygdala_R,Thal_IL_L,Angular_L,Olfactory_L,Thal_PuM_R,Hippocampus_R,Thal_VPL_R,Cingulate_Post_R,Thal_VA_L,Parietal_Sup_R,Occipital_Inf_R,Parietal_Sup_L,Occipital_Mid_R,Frontal_Med_Orb_L,Red_N_R,Rolandic_Oper_L,Temporal_Inf_L,Thal_MDm_L,Precentral_L,Frontal_Inf_Orb_2_L,Parietal_Inf_R,ACC_sup_L,LC_R
Thal_PuI_R,1.0,0.17332535855641995,0.14148480550404235,0.14522443756632994,0.32600653248449707,-0.39157847946805535,-0.44319644516506773,0.5877894006751984,0.3687291207250196,-0.169966043831119,0.5215214089627886,0.5322733197396068,0.411856223511458,-0.18187624061198981,0.2004347429461136,0.5903988549774912,0.16359992406855903,-0.5079075134648688,-0.3391110873444532,-0.5583498583464105,0.24040038448946907,0.05417134159131993,0.37428751897870965,-0.1326138591502883,-0.013153254014491546,0.3007014032004491,0.3461318473821958,0.02438364339730435,0.1328083979733159,0.626679080015216
Temporal_Pole_Sup_L,0.17332535855641995,1.0,0.19346603208688243,0.45284136181044277,0.786503648704447,0.25369677243158006,0.2743660358732901,0.5363527637947683,0.4034793503016697,-0.05514785510576552,0.5226068045402312,0.5701108824640913,0.5492586120682068,0.28827208595679815,0.5083086175247581,0.4386004248478475,-0.1967601617815785,0.2394056935315756,0.16669325908858182,0.18327675562346046,0.1282003657068699,0.4370088067830964,0.6976394510385521,0.6801800202309033,0.24316369588699796,0.07540037671339352,0.6603984834260256,-0.07962248827507101,0.37864249735552963,0.19237217037785023
Thal_AV_L,0.14148480550404235,0.19346603208688243,1.0,0.2699644007494282,0.34472777223035617,0.01732997949390415,0.07466835760986652,0.271915215320981,0.7370244129864018,0.3115820507169779,0.0298042372974518,0.2824358124875516,0.5629145191480525,0.6173355646117538,0.2149813433347415,0.30393526761779366,0.0503238178129828,0.12340076883735861,0.05755028030494453,0.043744926962329386,-0.178329277035424,0.048414139994933124,0.19242364947296928,0.01976225689571349,0.7625164518638794,0.22154073270374136,0.09613536081804865,0.25570100400496415,0.5712385648152947,0.27955503068349535
Olfactory_R,0.14522443756632994,0.45284136181044277,0.2699644007494282,1.0,0.5542720668586573,0.37181705100635154,0.15272160340055016,0.29934307811290406,0.4975748409591539,-0.00586465856159557,0.5265583091943553,0.5739385001362955,0.5532990548673629,0.5580936275987695,0.20277591091042255,0.2598063649788984,-0.1213454525094504,0.3062536462566099,0.40560203113221954,0.13507890680644094,0.05843004192388286,0.3538231408954151,0.47165880871762045,0.20732811399088485,0.5885359948441083,0.12145664876696584,0.34682344687697975,-0.01592445038237746,0.36548003738514095,0.23202596026381797
Temporal_Pole_Sup_R,0.32600653248449707,0.786503648704447,0.34472777223035617,0.5542720668586573,1.0,0.22261127503640407,0.14567219740836354,0.6752560926711585,0.525953065655262,0.02998640783634338,0.5939377780042322,0.6285834326466722,0.7121900774206507,0.36422697197007886,0.5212633118596086,0.4530693655807716,-0.13731334218571284,0.20142211319610567,0.07742779021824192,0.0816350898759451,0.1544851874780037,0.43441546224885863,0.6091565147295904,0.4295467728330571,0.39772713752037625,0.19830600108262683,0.5742462852339236,-0.07439113912089386,0.4124956439193266,0.365272952107954
Cerebellum_7b_R,-0.39157847946805535,0.25369677243158006,0.01732997949390415,0.37181705100635154,0.22261127503640407,1.0,0.745110994126831,-0.14719303331437564,0.03656485448896077,-0.04962195253810073,0.11349298305639595,-0.04213878960238325,0.08001088342380203,0.3754263181190304,0.10001791103409906,-0.13622719381538065,-0.4631553572696154,0.8322066824356917,0.49234204239425877,0.7710089907096307,-0.3336108403465397,0.3039076642206055,0.2024279269451622,0.5486856587978709,0.1842554672984711,-0.09209825305364666,0.06429527379342859,-0.3916350556685769,0.2804156725311897,-0.32080331406041424
Occipital_Inf_L,-0.44319644516506773,0.2743660358732901,0.07466835760986652,0.15272160340055016,0.14567219740836354,0.745110994126831,1.0,-0.07777199374076917,0.0012676928827457133,-0.015818381980068456,-0.09426230816645856,-0.12010201691160155,0.007447819507926958,0.40053098102107065,0.1332850365971969,-0.1595670662856968,-0.5359299771743766,0.8193821958832315,0.3606636062017926,0.7965313030937725,-0.37978566115110274,0.2094900086540771,0.14097535367146177,0.6709480730854712,0.1716911781757335,-0.20720345938155824,-0.1146440399669017,-0.22200996776247683,0.2549971734269288,-0.46256373127681555
Amygdala_R,0.5877894006751984,0.5363527637947683,0.271915215320981,0.29934307811290406,0.6752560926711585,-0.14719303331437564,-0.07777199374076917,1.0,0.3505100704615191,0.03958639091384167,0.5480420219468723,0.5756101989725337,0.6110237162323722,0.029178329111564028,0.4670634344523779,0.4815151217143455,-0.12287303690354785,-0.15577478383873525,-0.14966479894011578,-0.16801224066736206,0.02769332086469762,0.31722803189419085,0.46596632342123545,0.2848944728840819,0.12491428643868958,0.2536471195378108,0.47234155960523866,-0.05098182621884167,0.4031500892859872,0.5492782656142244
Thal_IL_L,0.3687291207250196,0.4034793503016697,0.7370244129864018,0.4975748409591539,0.525953065655262,0.03656485448896077,0.0012676928827457133,0.3505100704615191,1.0,-0.15009438616265347,0.4582124415413654,0.6195170893735794,0.797547379919412,0.6134429453333824,0.183594017204342,0.7057158263178086,-0.02688776376506693,0.09586293407823228,0.12619305689093924,-0.06064719640112619,0.15947323661784743,0.13654592868195803,0.40676720942737293,0.09333501349315232,0.7680152619744096,0.06618639063331393,0.2898066540797552,0.019274547574506806,0.35090013924835606,0.34290248694940345
Angular_L,-0.169966043831119,-0.05514785510576552,0.3115820507169779,-0.00586465856159557,0.02998640783634338,-0.04962195253810073,-0.015818381980068456,0.03958639091384167,-0.15009438616265347,1.0,-0.2023241670978602,-0.20445482394326778,-0.08494750030832747,0.1324613503031078,0.33632299194824905,-0.3652311211383124,0.3785523853483685,-0.016243150316358708,-0.06324600543558379,-0.053958346843667494,-0.13757719725841186,-0.051900157434071656,-0.18768232049489475,-0.08732106194363229,0.11925966327977264,0.3714863172239042,0.01733902806969424,0.5772226620342082,0.2906400763657489,-0.034330963862957836
Olfactory_L,0.5215214089627886,0.5226068045402312,0.0298042372974518,0.5265583091943553,0.5939377780042322,0.11349298305639595,-0.09426230816645856,0.5480420219468723,0.4582124415413654,-0.2023241670978602,1.0,0.6592124371556953,0.6009468819533651,0.10768082272927981,0.39260190235788445,0.6701399897322527,-0.045457169285223885,-0.056505261518740274,0.12422355517601207,-0.11592693130265506,0.3580408320655767,0.3327656503671442,0.540383461592535,0.2840923596468452,0.14106541549562424,0.16042752692422133,0.6383287667198165,-0.20200634453772578,0.22905271934859917,0.4564524624028797
Thal_PuM_R,0.5322733197396068,0.5701108824640913,0.2824358124875516,0.5739385001362955,0.6285834326466722,-0.04213878960238325,-0.12010201691160155,0.5756101989725337,0.6195170893735794,-0.20445482394326778,0.6592124371556953,1.0,0.6652325078547003,0.3939248581715762,0.3385097006944513,0.6305920097413108,-0.04414827452329913,-0.121159266186334,0.09180682055146784,-0.19937535109348886,0.21364183754815627,0.3033989310705462,0.706346592787799,0.18730456983632893,0.4667608666759717,0.25654901758349596,0.56915213528867,0.012105416527961823,0.38364981774079165,0.43930063107767464
Hippocampus_R,0.411856223511458,0.5492586120682068,0.5629145191480525,0.5532990548673629,0.7121900774206507,0.08001088342380203,0.007447819507926958,0.6110237162323722,0.797547379919412,-0.08494750030832747,0.6009468819533651,0.6652325078547003,1.0,0.42757363528724435,0.23369045997170548,0.6567440343119118,-0.14152875961006597,0.14065975030218575,0.15081230906696677,-0.01831601275342167,0.21287823254477478,0.21441136877414066,0.5413620605814328,0.28058869411081144,0.5875211258084779,0.030714363275116393,0.4422257117516543,-0.0029693606123373855,0.36189747865906075,0.5166205198782448
Thal_VPL_R,-0.18187624061198981,0.28827208595679815,0.6173355646117538,0.5580936275987695,0.36422697197007886,0.3754263181190304,0.40053098102107065,0.029178329111564028,0.6134429453333824,0.1324613503031078,0.10768082272927981,0.3939248581715762,0.42757363528724435,1.0,0.11731492846751951,0.1172288581792474,-0.09574578047120726,0.5069354672759226,0.37978537494102804,0.359481907269631,-0.04474470083412955,0.25435174685461653,0.30228694162797926,0.20740623797276833,0.8934608149999977,0.07502850049659598,0.055514296541380646,0.24339289214380644,0.39857403281918113,-0.1221683856922213
