,Cerebellum_8_L,Vermis_10,Heschl_R,Temporal_Pole_Mid_L,SupraMarginal_L,Temporal_Mid_L,Frontal_Med_Orb_R,Red_N_L,Rectus_R,Thal_MDl_L,Thal_VL_R,Thal_PuI_L,Cuneus_L,Precentral_R,Occipital_Inf_R
Cerebellum_8_L,1.0,0.6408223629156812,-0.27930191095263,-0.1185741040263504,0.3020058502811719,0.24372466973051984,-0.2842024529225523,0.4500012874194582,-0.43536056506865983,0.18700599274730115,0.3388965275491158,-0.2612517752688923,0.6564990413501807,-0.025761948855810637,0.05646276091215513
Vermis_10,0.6408223629156812,1.0,-0.7631660745067562,-0.3887822190805529,0.3249894905817401,0.5966356909963517,-0.4067805106627597,0.09887850520508128,-0.5532207756060181,0.23994598754133314,0.3339378199603707,-0.32585775340659195,0.7957368220767848,-0.1328205986869264,-0.09124708416938132
Heschl_R,-0.27930191095263,-0.7631660745067562,1.0,0.3681848460569377,-0.003196711741449162,-0.3665930553140821,0.2788353403727716,0.14826021963755637,0.41062791922483705,0.040790948926619996,0.0011085238776999825,0.47184346371709784,-0.4775171187249102,0.3863278226199872,0.16178304091654103
Temporal_Pole_Mid_L,-0.1185741040263504,-0.3887822190805529,0.3681848460569377,1.0,-0.383188413181645,-0.319292240280979,0.20500039724439792,-0.011887344150339032,0.35627971175931766,-0.15990185879620628,-0.19297202914803446,-0.04388154153561926,-0.29552669352503574,-0.051257699360874744,0.2107736081866214
SupraMarginal_L,0.3020058502811719,0.3249894905817401,-0.003196711741449162,-0.383188413181645,1.0,0.6049736689817892,-0.24063645259803118,0.14692579656442617,-0.21948609761036858,0.5784763465664673,0.6506891195738166,0.40779854349149697,0.44186735064166477,0.634272316618028,-0.14096885111070473
Temporal_Mid_L,0.24372466973051984,0.5966356909963517,-0.3665930553140821,-0.319292240280979,0.6049736689817892,1.0,-0.2691496187624608,0.08748349242995722,-0.27909693358818416,0.38350038067472064,0.5036708155817688,0.2043051546606657,0.603965643718353,0.35466152493933584,-0.14901597161009558
Frontal_Med_Orb_R,-0.2842024529225523,-0.4067805106627597,0.2788353403727716,0.20500039724439792,-0.24063645259803118,-0.2691496187624608,1.0,-0.11647918163010164,0.5115977767577535,0.02380089467151031,-0.1502303857642533,0.14027629714557507,-0.36404381954441667,-0.01645266626837239,0.04129378027333574
Red_N_L,0.4500012874194582,0.09887850520508128,0.14826021963755637,-0.011887344150339032,0.14692579656442617,0.08748349242995722,-0.11647918163010164,1.0,-0.3213546036628368,-0.06239286132959257,0.1661193937489032,-0.03597866912319686,0.2404726854848224,0.024365282384121337,0.38044651488383896
Rectus_R,-0.43536056506865983,-0.5532207756060181,0.41062791922483705,0.35627971175931766,-0.21948609761036858,-0.27909693358818416,0.5115977767577535,-0.3213546036628368,1.0,-0.08254360509190614,-0.17091412608664802,0.2813184321421243,-0.5106018099467627,0.09944013455624952,0.06629206284011595
Thal_MDl_L,0.18700599274730115,0.23994598754133314,0.040790948926619996,-0.15990185879620628,0.5784763465664673,0.38350038067472064,0.02380089467151031,-0.06239286132959257,-0.08254360509190614,1.0,0.6863315683316364,0.3624087219977551,0.29055825663937773,0.6009933556911858,-0.16139287345495754
Thal_VL_R,0.3388965275491158,0.3339378199603707,0.0011085238776999825,-0.19297202914803446,0.6506891195738166,0.5036708155817688,-0.1502303857642533,0.1661193937489032,-0.17091412608664802,0.6863315683316364,1.0,0.4394640118814557,0.45144458418767425,0.6157463423427545,0.020744923720356467
Thal_PuI_L,-0.2612517752688923,-0.32585775340659195,0.47184346371709784,-0.04388154153561926,0.40779854349149697,0.2043051546606657,0.14027629714557507,-0.03597866912319686,0.2813184321421243,0.3624087219977551,0.4394640118814557,1.0,-0.0233452052152158,0.6095011332851041,0.05227157327159273
Cuneus_L,0.6564990413501807,0.7957368220767848,-0.4775171187249102,-0.29552669352503574,0.44186735064166477,0.603965643718353,-0.36404381954441667,0.2404726854848224,-0.5106018099467627,0.29055825663937773,0.45144458418767425,-0.0233452052152158,1.0,-0.005856139391181173,0.05644537240439607
Precentral_R,-0.025761948855810637,-0.1328205986869264,0.3863278226199872,-0.051257699360874744,0.634272316618028,0.35466152493933584,-0.01645266626837239,0.024365282384121337,0.09944013455624952,0.6009933556911858,0.6157463423427545,0.6095011332851041,-0.005856139391181173,1.0,-0.09240878581747457
Occipital_Inf_R,0.05646276091215513,-0.09124708416938132,0.16178304091654103,0.2107736081866214,-0.14096885111070473,-0.14901597161009558,0.04129378027333574,0.38044651488383896,0.06629206284011595,-0.16139287345495754,0.020744923720356467,0.05227157327159273,0.05644537240439607,-0.09240878581747457,1.0
