,Precentral_R,Precentral_L,Temporal_Pole_Sup_L,Supp_Motor_Area_L,Cerebellum_8_R,OFCmed_L,Hippocampus_R,Temporal_Pole_Mid_R,Occipital_Mid_R,Temporal_Sup_L,ACC_sub_R,Cerebellum_3_L,Cerebellum_10_R,Lingual_R,Caudate_R,Thal_VL_L,Cuneus_L,Thal_LGN_R,Rolandic_Oper_L,Temporal_Pole_Sup_R,Cerebellum_Crus1_R,Vermis_4_5,ACC_pre_R,Occipital_Sup_R,ParaHippocampal_R
Precentral_R,1.0,0.8505029371982803,-0.04451087558953249,0.8054711312825293,-0.06798500860621155,-0.13209308240222997,0.7350530848254774,-0.12350234464360464,-0.13282628491852913,0.6922271801297378,0.3957599674766004,0.45674205226004777,-0.014372007320822625,0.25235855072817887,0.5709180318826897,0.7512872992481753,-0.005856139391181173,0.5896135566194765,0.546343367544774,0.11857632342157674,-0.3081631745380023,0.10659105431880454,0.5623329061037687,-0.13492280559885833,0.5836403224444139
Precentral_L,0.8505029371982803,1.0,-0.04027285960094382,0.8146816824696486,0.05847343735625355,-0.14085400993821026,0.5715733355390491,-0.0744147723170991,-0.08108828921571143,0.671762405332683,0.37351710469144717,0.38140253646773015,0.09725879956624935,0.31142263086258076,0.5140622556407474,0.6467683457483143,0.08340484825732242,0.5064674642091633,0.47572094835659795,0.17329015242966467,-0.10511593479025257,0.14430993766974615,0.5270323125370064,-0.1537554222654578,0.4585287798640123
Temporal_Pole_Sup_L,-0.04451087558953249,-0.04027285960094382,1.0,-0.0742234120201873,0.7650733528473513,0.13999645458042503,-0.37672778288688896,0.5746074298536339,0.8081398384489872,0.11249463819227415,0.21771770230990317,-0.7700014139246933,0.7061342984981124,0.6451592903801385,-0.6017159742265861,0.058161977083550385,0.7375809130758243,-0.24697204006243334,0.4779010496804771,0.6739709817337042,0.6065613707906918,0.8089712369347463,-0.6045589413585516,0.7344587640340935,-0.5897595111363204
Supp_Motor_Area_L,0.8054711312825293,0.8146816824696486,-0.0742234120201873,1.0,-0.030979864104948986,-0.16983710720247697,0.6279040134887961,-0.11562740395807096,-0.0814401844405973,0.5471697118483764,0.36466552401962604,0.43715274025864503,-0.14192674375696027,0.13057554998419668,0.6214170926546208,0.692179832265737,0.0800055217334054,0.39018324714898955,0.4387360833080751,0.013772252456095656,-0.1788718043224232,0.03801663648987535,0.5385477092264227,-0.0026954216209158113,0.4386196272209814
Cerebellum_8_R,-0.06798500860621155,0.05847343735625355,0.7650733528473513,-0.030979864104948986,1.0,0.10469117987820563,-0.4753201380772888,0.6262577316857875,0.7968035026159642,0.03157441844607042,0.21612807389239017,-0.747355173463546,0.780205063285751,0.680900386255372,-0.5684843081085256,-0.058169974947882404,0.7627717763193109,-0.24944270961534518,0.22866917169323142,0.6171437905344588,0.8338328424180869,0.8292568443800847,-0.5856345976457954,0.5733864994885335,-0.6259800329247641
OFCmed_L,-0.13209308240222997,-0.14085400993821026,0.13999645458042503,-0.16983710720247697,0.10469117987820563,1.0,-0.12399660483929456,0.24514302853774922,0.08236655196774231,0.021843882624274346,-0.2893199010475373,-0.08089626980563054,0.06349570820974446,0.051301588475304395,-0.22491370407115177,-0.07964125561350478,0.03938750228648631,0.02664719592330429,0.07823972150255196,0.08208376398199867,0.15702736757339017,0.06958111006311686,-0.04181121893503284,0.06348632400115153,-0.08227785351638459
Hippocampus_R,0.7350530848254774,0.5715733355390491,-0.37672778288688896,0.6279040134887961,-0.4753201380772888,-0.12399660483929456,1.0,-0.31589904193146195,-0.3752190154272129,0.539350619014346,0.25295457822693834,0.7705427568216026,-0.3843773131749533,-0.007695135342830462,0.8094301144386669,0.737146684181361,-0.23481873317815943,0.7693655427722985,0.30177190676941995,-0.17598452375068588,-0.5251194845379193,-0.1730186654521262,0.7232261563316047,-0.18821419300659048,0.9137557446537792
Temporal_Pole_Mid_R,-0.12350234464360464,-0.0744147723170991,0.5746074298536339,-0.11562740395807096,0.6262577316857875,0.24514302853774922,-0.31589904193146195,1.0,0.5953232955832995,0.012765913760956572,0.15813057130395272,-0.5234263013617545,0.5155823469153359,0.4588882939877019,-0.49328056636910883,-0.08615425123512366,0.5737705901515604,-0.15542257423132647,0.18798932170120905,0.5003740284555728,0.5836620090457376,0.5913625331675568,-0.44317528292796804,0.5216055068759959,-0.44433166076820985
Occipital_Mid_R,-0.13282628491852913,-0.08108828921571143,0.8081398384489872,-0.0814401844405973,0.7968035026159642,0.08236655196774231,-0.3752190154272129,0.5953232955832995,1.0,-0.02263781053217687,0.12192013498615538,-0.7791664008512508,0.7752955099092234,0.7304435951289725,-0.5795302424291887,-0.005374313712283972,0.8805407227082148,-0.21069902771233281,0.1590178971252126,0.7164035997072441,0.6982272840700163,0.8675541153606314,-0.6460585650334771,0.8084624667684038,-0.5607367047360392
Temporal_Sup_L,0.6922271801297378,0.671762405332683,0.11249463819227415,0.5471697118483764,0.03157441844607042,0.021843882624274346,0.539350619014346,0.012765913760956572,-0.02263781053217687,1.0,0.39072665070722845,0.33534483325952547,0.15497361830512904,0.408106509200695,0.37476352012829983,0.6572039974637792,0.08989278853574444,0.4471364061688015,0.6482634002588417,0.2263083702472712,-0.10768570888184831,0.2170022005451714,0.3418181050655417,-0.08780873162134364,0.475979775570436
ACC_sub_R,0.3957599674766004,0.37351710469144717,0.21771770230990317,0.36466552401962604,0.21612807389239017,-0.2893199010475373,0.25295457822693834,0.15813057130395272,0.12192013498615538,0.39072665070722845,1.0,0.10566795129725966,0.14187018058967613,0.32338108037985536,0.19024025409183548,0.29563361920826753,0.18328008172082969,0.1921824779565081,0.4358453522152668,0.29906159164505614,0.1708495384127942,0.2951628356005013,0.09113123861519452,0.17276194897913427,0.16135183414829835
Cerebellum_3_L,0.45674205226004777,0.38140253646773015,-0.7700014139246933,0.43715274025864503,-0.747355173463546,-0.08089626980563054,0.7705427568216026,-0.5234263013617545,-0.7791664008512508,0.33534483325952547,0.10566795129725966,1.0,-0.732076862360098,-0.46753436517479097,0.8515200927641297,0.39486242216267986,-0.6554566260756008,0.5304173462620028,0.030080354611575672,-0.5248574037323531,-0.6730170816998101,-0.6565451114669941,0.8266210917948621,-0.5860615145958399,0.8745769974010156
Cerebellum_10_R,-0.014372007320822625,0.09725879956624935,0.7061342984981124,-0.14192674375696027,0.780205063285751,0.06349570820974446,-0.3843773131749533,0.5155823469153359,0.7752955099092234,0.15497361830512904,0.14187018058967613,-0.732076862360098,1.0,0.8456816877733389,-0.5825102742017793,-0.041819992064176005,0.7430748751395655,-0.06522213408949736,0.19452356967608736,0.7751048039374668,0.6699344680520797,0.850343326729053,-0.5537292429614022,0.40159194247181235,-0.460601944722154
Lingual_R,0.25235855072817887,0.31142263086258076,0.6451592903801385,0.13057554998419668,0.680900386255372,0.051301588475304395,-0.007695135342830462,0.4588882939877019,0.7304435951289725,0.408106509200695,0.32338108037985536,-0.46753436517479097,0.8456816877733389,1.0,-0.33052707674877196,0.24604992110295412,0.7656643183930519,0.21158360854147384,0.3331117761856603,0.6720717550121692,0.5586908390181531,0.9153363283957282,-0.39183088051034676,0.48555224941756336,-0.13354740673665247
Caudate_R,0.5709180318826897,0.5140622556407474,-0.6017159742265861,0.6214170926546208,-0.5684843081085256,-0.22491370407115177,0.8094301144386669,-0.49328056636910883,-0.5795302424291887,0.37476352012829983,0.19024025409183548,0.8515200927641297,-0.5825102742017793,-0.33052707674877196,1.0,0.6055462049706823,-0.4319205174453801,0.5417892491709555,0.1147743268832613,-0.3707327063921251,-0.5348159932767148,-0.4631082657348449,0.8558065845659633,-0.4148117421525517,0.8203342024781416
Thal_VL_L,0.7512872992481753,0.6467683457483143,0.058161977083550385,0.692179832265737,-0.058169974947882404,-0.07964125561350478,0.737146684181361,-0.08615425123512366,-0.005374313712283972,0.6572039974637792,0.29563361920826753,0.39486242216267986,-0.041819992064176005,0.24604992110295412,0.6055462049706823,1.0,0.09427071096413034,0.548549479487164,0.5712356897250054,0.12114886313279788,-0.24301983210509295,0.18259535534069546,0.5200905619289404,0.10002782046609825,0.5438261524867918
Cuneus_L,-0.005856139391181173,0.08340484825732242,0.7375809130758243,0.0800055217334054,0.7627717763193109,0.03938750228648631,-0.23481873317815943,0.5737705901515604,0.8805407227082148,0.08989278853574444,0.18328008172082969,-0.6554566260756008,0.7430748751395655,0.7656643183930519,-0.4319205174453801,0.09427071096413034,1.0,-0.09846675889513375,0.2470486072298169,0.7061869367282207,0.7105107308659053,0.8623710944925748,-0.5243131425459896,0.7393028334713396,-0.42508532279732375
Thal_LGN_R,0.5896135566194765,0.5064674642091633,-0.24697204006243334,0.39018324714898955,-0.24944270961534518,0.02664719592330429,0.7693655427722985,-0.15542257423132647,-0.21069902771233281,0.4471364061688015,0.1921824779565081,0.5304173462620028,-0.06522213408949736,0.21158360854147384,0.5417892491709555,0.548549479487164,-0.09846675889513375,1.0,0.22269010229559844,-0.002652032641596432,-0.29101418117016886,0.052400965166052055,0.4656197601874672,-0.19547036390821843,0.7418208427822435
Rolandic_Oper_L,0.546343367544774,0.47572094835659795,0.4779010496804771,0.4387360833080751,0.22866917169323142,0.07823972150255196,0.30177190676941995,0.18798932170120905,0.1590178971252126,0.6482634002588417,0.4358453522152668,0.030080354611575672,0.19452356967608736,0.3331117761856603,0.1147743268832613,0.5712356897250054,0.2470486072298169,0.22269010229559844,1.0,0.3468122493067872,0.022611382146408458,0.3421895790758529,0.14394828320538683,0.20566354594955813,0.12832079348473405
Temporal_Pole_Sup_R,0.11857632342157674,0.17329015242966467,0.6739709817337042,0.013772252456095656,0.6171437905344588,0.08208376398199867,-0.17598452375068588,0.5003740284555728,0.7164035997072441,0.2263083702472712,0.29906159164505614,-0.5248574037323531,0.7751048039374668,0.6720717550121692,-0.3707327063921251,0.12114886313279788,0.7061869367282207,-0.002652032641596432,0.3468122493067872,1.0,0.5354979200285062,0.722433484291774,-0.3144355986192824,0.49174821663593205,-0.287177730059539
