,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pc_R,1.0,0.5800284825567495,0.18989904126067883,0.5926293653458505,-0.20553784879571238,-0.11600164297052472,0.32497116595293507,-0.23550603262602893,0.38397108936228586,-0.022509308285696642
Thal_MDl_L,0.5800284825567495,1.0,0.39963516592679454,0.5380966576817197,-0.07979814428796306,0.040790948926619996,0.29055825663937773,-0.16139287345495754,0.36943375101241843,-0.00960916311937043
OFCpost_R,0.18989904126067883,0.39963516592679454,1.0,0.3356872239193155,0.040860920606627604,-0.139151412886757,0.2724326215001051,-0.10594070465504642,0.3898489495595388,-0.18099452899670299
Temporal_Sup_R,0.5926293653458505,0.5380966576817197,0.3356872239193155,1.0,-0.5785412502275123,-0.5084828877091018,0.7354114593850655,-0.15783044168064464,0.7583477919368317,-0.46912573556654796
OFClat_L,-0.20553784879571238,-0.07979814428796306,0.040860920606627604,-0.5785412502275123,1.0,0.6110877622438304,-0.7108745763582152,-0.056581838314476454,-0.5926712091883898,0.7136366165245299
Heschl_R,-0.11600164297052472,0.040790948926619996,-0.139151412886757,-0.5084828877091018,0.6110877622438304,1.0,-0.4775171187249102,0.16178304091654103,-0.5507674952266879,0.554772068934106
Cuneus_L,0.32497116595293507,0.29055825663937773,0.2724326215001051,0.7354114593850655,-0.7108745763582152,-0.4775171187249102,1.0,0.05644537240439607,0.6362837111919941,-0.6139261558127482
Occipital_Inf_R,-0.23550603262602893,-0.16139287345495754,-0.10594070465504642,-0.15783044168064464,-0.056581838314476454,0.16178304091654103,0.05644537240439607,1.0,-0.11549701495558345,-0.08771619730744486
Temporal_Inf_R,0.38397108936228586,0.36943375101241843,0.3898489495595388,0.7583477919368317,-0.5926712091883898,-0.5507674952266879,0.6362837111919941,-0.11549701495558345,1.0,-0.5063271064260331
Vermis_8,-0.022509308285696642,-0.00960916311937043,-0.18099452899670299,-0.46912573556654796,0.7136366165245299,0.554772068934106,-0.6139261558127482,-0.08771619730744486,-0.5063271064260331,1.0
