,Frontal_Inf_Tri_L,Cingulate_Post_R,Cerebellum_9_R,OFCant_L,VTA_L,Thal_PuI_L,Cerebellum_Crus1_L,Calcarine_R,ACC_sup_L,Thal_VA_L,Frontal_Med_Orb_R,Cerebellum_8_R,Thal_VPL_L,Rolandic_Oper_L,Insula_R,Cerebellum_8_L,Temporal_Pole_Sup_L,Thal_PuA_R,Angular_R,Thal_PuA_L,Thal_MDm_R,Vermis_10,Temporal_Inf_L,Heschl_R,Temporal_Pole_Mid_R,Temporal_Pole_Sup_R,SN_pc_L,Temporal_Sup_R,Thal_LP_L,Vermis_4_5,Lingual_L,Cerebellum_7b_L,Hippocampus_L,Cingulate_Mid_L,Parietal_Sup_R,Cuneus_R,ACC_sup_R,Vermis_3,Amygdala_R,Occipital_Inf_L,Thal_MDl_L,Cerebellum_Crus2_R,Thal_MGN_R,Occipital_Inf_R,Temporal_Mid_L,Thal_IL_L,Temporal_Pole_Mid_L,Occipital_Sup_L,Cerebellum_Crus2_L,Vermis_1_2,Cingulate_Mid_R,Cerebellum_Crus1_R,Frontal_Sup_Medial_L,ACC_pre_L,Frontal_Sup_Medial_R,Thal_LGN_L,Paracentral_Lobule_R,Thal_PuI_R,Cingulate_Post_L,Fusiform_L,Vermis_6,Rectus_R,Lingual_R,ACC_sub_L,Cerebellum_10_L,SN_pr_L,Thal_AV_R,Frontal_Mid_2_R,Frontal_Sup_2_R,Thal_IL_R,Putamen_R,Paracentral_Lobule_L,Vermis_7,Precuneus_L,Cerebellum_6_L,Cerebellum_4_5_L,Olfactory_R,Thal_VL_R,Temporal_Mid_R,Thal_VA_R,Thal_MDm_L,OFCmed_R,Precuneus_R,Cerebellum_4_5_R,Raphe_M,Temporal_Inf_R,Thal_MDl_R,Thal_Re_L,Calcarine_L,ParaHippocampal_L,Frontal_Inf_Oper_L,Caudate_L,Occipital_Sup_R,Temporal_Sup_L,Pallidum_L
Frontal_Inf_Tri_L,1.0,0.4235991948993356,0.15450733962583113,0.46544983307772003,-0.15390074604177076,0.6610008237186112,-0.3088649605636453,0.15235010179790198,0.6799526971275152,0.5175153752411114,0.13649896722658444,-0.15664667469018645,0.64868738968332,0.498622233349764,0.22083951219199505,-0.10576043861337352,-0.12160408382543904,0.5224668440905972,-0.05363405781663731,0.4802613425122621,0.5390986069276114,-0.2597407142787859,0.578691277195513,0.46033601430666987,-0.22737823755065986,0.060028750600565034,0.6558124205061162,0.11227117924225925,0.5802206126640378,-0.0713299915586107,0.17336819577460022,-0.2756926925709289,0.657646997978387,0.7739761787583014,0.39277259433534173,-0.12639106982367274,0.636709173758053,0.6964685908488596,0.49166314951181583,0.3496212990295385,0.5419748826403843,-0.17944428103110882,0.35088008096935136,-0.09504043841887844,0.22214633723675256,0.4441676670781844,-0.1971606359021787,-0.047177864204287295,0.006573600657070735,0.5632322957946617,0.7766921544332139,-0.3293908263673659,0.8238263991523899,0.5312935659514861,0.6721552431062935,0.2746200991297415,0.7960305826228357,0.380441545804589,0.5518388572962056,0.40156660984086334,0.27941425824653054,0.16223640906297776,0.05599405297938331,0.3996920665222841,-0.09668115215344436,0.6666752163724755,0.23097318856264054,0.7464538089192017,0.6508528468036968,0.4872893601493245,0.7572996889379124,0.7175937315811867,-0.3798159563925618,0.4242012025964497,-0.10662395867470156,0.1650930002110663,0.43694411594653787,0.5574307771140926,0.07342540143141571,0.6251579952479658,0.5699176346371745,-0.013365623288109639,0.42969324395531616,0.01109404488336522,0.1961436616103821,-0.1789246154801462,0.17352858257724155,0.024619043841209404,0.015929175258868652,0.5650248131280822,0.882697143795043,0.7838953213740179,-0.14305048428959383,0.621388272020778,0.5650970914825939
Cingulate_Post_R,0.4235991948993356,1.0,0.3741035951069338,-0.1937120211703071,0.3869010775161116,0.3192268028793928,0.38020339492804067,0.6836479377283554,0.3546093554057392,-0.1933478284630827,-0.18126732613813007,0.41349277862164396,0.5868652132817213,0.44718738786860823,0.55763373862957,0.4222597365991217,0.49263993035451525,0.307719700039119,0.6354225659009751,0.4433129812146814,0.4244868546393668,0.3353571210423934,0.1833268066928097,0.06525730201565459,0.3324270395700404,0.3812379176230518,0.2067704519557734,0.4802716487768136,0.7355540185269962,0.570950352258508,0.522965965425621,0.16156956998218513,0.45512297445649075,0.6315898061307385,0.5221332673072034,0.6208220084198902,0.2763682443828446,0.3725291424096317,-0.173718012840627,-0.16519578260354933,0.3404471617447884,0.18421702716469238,-0.055472271628855006,0.12709558250296432,0.4950646932591876,0.044338067004575946,-0.2054448321496755,0.6562654507389559,-0.042164452910531384,0.2946647604248828,0.6738031463951429,0.28564103052614453,0.3024595103074619,-0.22710421523569685,0.06329776265834597,0.2698433745792635,0.6318762268908086,0.20675670674918095,0.7242133176855093,0.4976625742473054,0.23832826301899723,-0.274336707285563,0.5077392916186625,0.17525884140549391,0.2251018683466053,0.04994728995631284,-0.14433514372206405,0.07883995304144055,0.06002302378096777,0.2829408762920195,0.2946930137407353,0.6773330894296349,0.29793474852820506,0.7700752534847747,0.49538245295442707,0.6347937091596096,-0.18986774348913874,0.5971190354999084,0.5167304861453483,-0.138386303635639,0.532029644254002,-0.015263334183633168,0.8028824866496849,0.5876288852702577,-0.03260446862938993,0.26729922278579543,0.4298781101048363,-0.022332318560408067,0.7094387370987737,-0.02309600738968123,0.5074403951468572,0.4596385042535221,0.6116387261794252,0.3292295182045655,0.005106323716036531
Cerebellum_9_R,0.15450733962583113,0.3741035951069338,1.0,-0.46972959849129114,0.6624215884625649,-0.07620882957569758,0.5086152932888197,0.6719710995088383,-0.011901422992601395,-0.3463577329408487,-0.2242487673438327,0.5940331773532038,0.2582576796818896,0.34180408964880005,0.6885328287396116,0.3762621200196762,0.6129964151050185,0.26427525007303815,0.6251727379982698,0.2001325614976893,0.42556550377268115,0.7300312797473424,-0.01332279558542591,-0.47281046916582614,0.3678594934944466,0.6277032032166356,0.07358978025534413,0.6959689129261064,0.5013980896994533,0.68667893094705,0.7414197645209989,0.38367922763194806,0.2660831365836911,0.1575846819405573,0.078770849020054,0.4392516230744003,0.0025311464108623708,0.10706060920728715,-0.43979319074106993,-0.4628921515618388,0.5219355059996504,0.39309473277692175,0.15103184874311404,-0.13015402106548277,0.6018319252700218,-0.022662387093736205,-0.3707579427937868,0.4247823742715599,-0.3208293196621841,0.08621577693608798,0.19083766997080515,0.37937520077037945,-0.14128859749844852,-0.44628791166902515,-0.3264294167642742,0.09068241288181113,0.3270620778638495,0.028841971281703124,0.24965791671745852,0.48727457108620953,-0.12380592190064622,-0.4791754985936456,0.7097090032812452,-0.09339027078489769,0.7796383542730837,-0.2279783696129257,-0.02449344258402206,-0.3454049278207923,-0.43716548406683314,0.08102398971839567,0.060849187360255345,0.4379207556397086,0.06655927325375378,0.24245752297980827,0.7174423445151851,0.6881831265439999,-0.338145277453311,0.47179312349484287,0.626970349095732,-0.3920921164684305,0.47681737599508156,-0.016763576837370026,0.36425857700392955,0.6371542836865468,-0.4039887880577947,0.5606295911895095,0.6419852571168132,-0.07951962838215823,0.6479856863481127,-0.1655680949282548,0.2734987855136582,0.10169383147508153,0.2872307979137688,0.3168982127378683,-0.2464252757420824
OFCant_L,0.46544983307772003,-0.1937120211703071,-0.46972959849129114,1.0,-0.5618772266737212,0.3935267391453666,-0.711787403920884,-0.4644587001667555,0.45227526404613116,0.6089528560464083,0.4907369015521082,-0.6891756191783952,0.20983261442246656,0.22240878436738962,-0.3488227618772749,-0.6255391612220571,-0.5133642344907084,0.19688927269179837,-0.6088884884838999,0.23308597698147573,0.08093280542905415,-0.7299295535827997,0.5310328004593107,0.5304886338615269,-0.5064558242585734,-0.334344509908452,0.36708916691943116,-0.419847188430802,-0.11307314272583467,-0.6082322016032038,-0.4212809291428629,-0.4889130450789041,0.3058734246625684,0.3084784183335371,0.1107797686783245,-0.5723927507448652,0.5251402385775623,0.3772258048885548,0.5765389985575798,0.5954468678219779,0.0019486821993467843,-0.5394307717091854,0.2680786139632171,-0.08079437733907834,-0.19515039956116426,0.43044095013798805,0.1507891434172592,-0.4258104941482221,0.16383498059043283,0.37883298104559443,0.26262684173568646,-0.6776522178628733,0.621425457927638,0.8297003512214287,0.6902518547359698,0.13216629162653312,0.2081315288678013,0.2381044066927935,0.041725292940981,0.04803620616298096,0.24196701831759715,0.6079192526226996,-0.4512166193126723,0.4379406410195389,-0.5565900819971403,0.5461336800414666,0.36040708866104326,0.7186378647565919,0.7613151271419032,0.26515446289577993,0.4856258156893841,0.06774009890039157,-0.4293927730976328,-0.0315429106134605,-0.5971104743967157,-0.4153760361610982,0.6407768864533209,-0.0964445679865008,-0.417361552433415,0.7700679020179305,-0.06883436199603347,0.15347594893830876,-0.12091642921218083,-0.46153680601017777,0.3969553649576713,-0.4569736513707732,-0.4383578897438215,0.07217827869391935,-0.5780491915236748,0.6202601547770599,0.1872561166362815,0.32170542938315655,-0.45876963375619845,0.3140507429774143,0.4925715953485503
VTA_L,-0.15390074604177076,0.3869010775161116,0.6624215884625649,-0.5618772266737212,1.0,-0.30226766813359646,0.7139496037286653,0.7033939488977733,-0.2686150335571253,-0.5261539525219904,-0.3746062837532733,0.812335975680023,0.06404440986006416,0.2247211562592574,0.6433694775976659,0.5684270817047081,0.7095199355317444,0.13104343927203577,0.7032283917807725,0.029552112925564273,0.2290593493555692,0.8692962458460781,-0.23250771834124515,-0.6652155757646603,0.5138437628963473,0.6818903513405178,-0.05968229515508913,0.7371994609637147,0.4147799906004307,0.8057237726066323,0.7121357014256531,0.557144422110771,0.0074544619262833,-0.055234979589164616,-0.03319041897843347,0.6100257883724507,-0.2548751826608792,-0.24247004713771209,-0.6409262458133705,-0.6280931074540589,0.22536066739861288,0.5511174013647485,0.026643829781496174,-0.07216668652061455,0.5631333059014152,-0.22238556926701267,-0.3413514960275363,0.5098397920187718,-0.04488541989647797,-0.08475451789355881,-0.008621333189655198,0.6921464198279196,-0.4235360548903807,-0.6414859491809594,-0.5986300378484455,0.06090672489546683,0.12301270524789655,-0.18217096013601367,0.11476634431897291,0.35510566592401577,-0.13198062995489526,-0.4629984476047807,0.7402693952971698,-0.1650045485636281,0.7906324798211051,-0.6268476061836226,-0.027332302691222006,-0.59005623644818,-0.6433212107738171,-0.09348485355988223,-0.12060266579408907,0.26926797421818194,0.4135534421704715,0.19599849661565907,0.8255355154356201,0.6773137564451214,-0.5203567477344565,0.3647823451619234,0.7080716624051955,-0.6550663297664345,0.18688708168301893,-0.09398105202479523,0.3590649439827539,0.7336546879381067,-0.2776991993405615,0.6850216218297968,0.6773603187039821,-0.12910205678972597,0.7382407864854585,-0.41418884022712643,0.06038469486441734,-0.10235083814739529,0.4837658367137336,0.09940734505853273,-0.4443262182956322
Thal_PuI_L,0.6610008237186112,0.3192268028793928,-0.07620882957569758,0.3935267391453666,-0.30226766813359646,1.0,-0.36093438551740287,0.10659131098898778,0.6451944534731481,0.537415060364932,0.14027629714557507,-0.3460260519359202,0.6923666040711066,0.16304422247956327,0.03701525096280758,-0.2612517752688923,-0.30405695215254286,0.5941981457605843,0.008950155219996921,0.3121739508823513,0.3917931308702407,-0.32585775340659195,0.6052468735012791,0.47184346371709784,-0.23455584886274272,0.007525804985138091,0.34363316034870894,0.11052826227050627,0.46784871487200264,-0.08021820273899176,0.138448324546456,-0.3412442201545848,0.6481924938660267,0.6605531371946938,0.6417167759568185,-0.09497429135827914,0.6925702560747944,0.7048302399806837,0.4642236178780726,0.330373707614245,0.3624087219977551,-0.19227124199761247,0.34515502729717584,0.05227157327159273,0.2043051546606657,0.543349402949576,-0.04388154153561926,-0.03920595413733422,0.0028316411501159125,0.6494661557355431,0.6894432184230396,-0.33966560200353363,0.6027323191684437,0.4333054819873166,0.5226869516655948,0.5902106383219539,0.6403757787346774,0.6119900816758888,0.4517876402193076,0.39345737299225403,0.3153614252301123,0.2813184321421243,0.08739327371263163,0.26448535764491354,-0.188223952057466,0.5842598026330662,0.19832049692144935,0.6018055515937007,0.5660588368723803,0.6880161077832927,0.5482205218114418,0.48211132407496504,-0.4339575526901829,0.5712641207373467,-0.15413293655499027,0.16399259091921534,0.4654160143651811,0.4394640118814557,0.12828287206455158,0.619799724789831,0.43955982808266947,-0.07261812514024525,0.48465270542337585,-0.00859122908996603,0.3102562897388752,-0.14328508052813374,0.08847607371721945,0.18010948816948136,-0.023654664060758977,0.6780903047415553,0.600488730813578,0.7159459614604834,-0.08015850671816747,0.4789222071276595,0.5111717465114269
Cerebellum_Crus1_L,-0.3088649605636453,0.38020339492804067,0.5086152932888197,-0.711787403920884,0.7139496037286653,-0.36093438551740287,1.0,0.566950050105358,-0.35427756063586585,-0.6113456744915103,-0.21569599794252967,0.8057335140735425,-0.12796011514325226,0.09498068320419069,0.5249056124080381,0.6789576908928631,0.7575821691764565,-0.035582369465297345,0.6791335768946491,-0.048837804652684,-0.02228591508766978,0.8075126097327162,-0.3379870733454823,-0.5309888432061535,0.5683742594615386,0.5656238348793159,-0.31504682265813716,0.5414925238765825,0.2986713520618753,0.765500368280389,0.5299725656341548,0.6299271348307217,-0.16974545811610636,-0.16861300348965244,-0.04544665228851527,0.6900426032037366,-0.3781136294830084,-0.3542901476877887,-0.5875854109235237,-0.630235379310046,0.0409309608134387,0.6300458582803328,-0.2998518963631641,0.10785896476470083,0.39030723922393096,-0.46406537762993705,-0.21172607980528055,0.5782173530932279,-0.01615416534570514,-0.26230219087315343,-0.13565023280413752,0.831397797527878,-0.4955515568280588,-0.6940583479471745,-0.6464292173407616,-0.03142101085246412,-0.07356937159128396,-0.2180547996710869,0.037720984690663366,0.1976790936070241,-0.17001080143604277,-0.4382070863336043,0.5874722398624278,-0.22939553978452687,0.6004097602706348,-0.593362218166596,-0.3200539199178018,-0.6609216840158706,-0.6755667387362458,-0.23143574214946774,-0.326555985407065,0.07475511747063547,0.6078810916998053,0.17346739002247025,0.7864195598481853,0.6110989690710166,-0.5589649569694044,0.2069938240968293,0.6021888514857112,-0.7727222180149736,0.14695390085460677,0.0463746764629524,0.26722026349237765,0.6712635829580662,-0.3146273557874893,0.608952108422061,0.5489420611418085,-0.12789258602057765,0.7300254689066544,-0.5739471566326231,-0.09039738483974522,-0.2362621673885108,0.6407778861382599,-0.16075983029183286,-0.42684624275935884
Calcarine_R,0.15235010179790198,0.6836479377283554,0.6719710995088383,-0.4644587001667555,0.7033939488977733,0.10659131098898778,0.566950050105358,1.0,0.0017036544996324437,-0.3897062840848928,-0.3743007375885589,0.6685740165269026,0.45457562551515407,0.29704154219263157,0.653580966970721,0.47378356552887957,0.6150575692355981,0.259709561935676,0.8452228089626518,0.1560086587090984,0.39363558499039036,0.7383135665749886,0.024823636134099263,-0.468255457700897,0.4597287742766637,0.6594466683928067,-0.011802279380610757,0.8173861796189302,0.5945743600023211,0.7931763923600508,0.8822906246841962,0.37958022267937264,0.2686405983163367,0.30059358514429685,0.38498732588366014,0.6958788925876509,0.05126878738967722,0.09554881398468458,-0.47727879136758783,-0.5084224607252751,0.3673047023298366,0.43497488208638113,0.09830385005548763,-0.09270682924001106,0.7510956851206256,-0.02745477408577903,-0.39965817882176424,0.644240991140267,-0.1813643723757002,0.15659537496219866,0.3823180505089529,0.519243418403839,-0.175718581401418,-0.5520731946812414,-0.39733270865763765,0.27853008680882435,0.49542190533528574,0.035773842703108884,0.4644541411397178,0.5597616951216424,0.08267129446428838,-0.4697686899125469,0.8359574826926656,-0.14676103171724966,0.6977889194478303,-0.27377105499134946,-0.0070022658268903415,-0.3292145199376932,-0.3802426691952374,0.15863860354440149,0.10181563967340176,0.5703342539400388,0.24159463509471477,0.6297786503410571,0.810581321987498,0.7772406247765101,-0.3875747561811383,0.558648799030035,0.8033244707223842,-0.3852989112181364,0.34697064639653413,-0.07869752995915195,0.7534254927619248,0.7605720304226052,-0.2225276906291257,0.5913119083241062,0.6433755804879591,0.034649508229359936,0.8881840666518978,-0.2042184093581443,0.3949830043676747,0.26002510005109547,0.5598694796877152,0.35504070655159886,-0.27871473316821954
ACC_sup_L,0.6799526971275152,0.3546093554057392,-0.011901422992601395,0.45227526404613116,-0.2686150335571253,0.6451944534731481,-0.35427756063586585,0.0017036544996324437,1.0,0.5364636792546476,0.12049853260878697,-0.26905038788312946,0.6123384312808395,0.3675145124487896,0.178559367377233,-0.1346037064693807,-0.1868750604145875,0.5281562236661153,-0.04834564818452695,0.5176547558242163,0.5928561848565344,-0.371468599098206,0.5533129848905562,0.6032136766932498,-0.2676482876801353,-0.08226771142203426,0.4695045852259516,0.014032939849583948,0.48853368845866224,-0.05586363636843823,0.03250849535428088,-0.34218917392036874,0.7650561167179866,0.7891195503311462,0.5758592258543161,-0.04323607571719125,0.9059310840210038,0.7541372610444469,0.4976926000768273,0.4479725749366992,0.48016276078750825,-0.24385204099671962,0.35444013464343677,0.17269867817262463,0.10991263585669171,0.5992283297459018,0.10939510149496227,0.044976144186767895,0.12513383711381798,0.6356296374424332,0.7691977589958803,-0.3903096894128262,0.8031335034922957,0.43156355951700615,0.7039984354115074,0.45879915190986204,0.6306566115657863,0.5780901792987782,0.34218393469134767,0.41002254978373026,0.2638619488771571,0.2634299129507981,0.044980941195362036,0.5203820269601556,-0.2778791126958826,0.6487334430873373,0.15384537051821986,0.675959124631181,0.6645914365547547,0.6439265829467569,0.6477141607314105,0.4696502055770951,-0.28394568797598885,0.4541180789734929,-0.1651557462289052,0.19911788736489838,0.4334075693813408,0.5813549670486177,0.03274332664163517,0.5956441926374205,0.6287760620927995,0.04288885550890043,0.3105142719396051,0.06041972234901288,0.31703803474351216,-0.15770966203832448,0.04547207425971964,-0.07488576171512457,-0.04579637477916136,0.6650329948637885,0.501824257826786,0.7228946814098796,-0.045379661458396336,0.4834801620222702,0.5808669290697869
Thal_VA_L,0.5175153752411114,-0.1933478284630827,-0.3463577329408487,0.6089528560464083,-0.5261539525219904,0.537415060364932,-0.6113456744915103,-0.3897062840848928,0.5364636792546476,1.0,0.2778667284155244,-0.5409839885470935,0.2812646981340149,-0.012774966632192226,-0.2757162529293848,-0.441228301529281,-0.6769299391240213,0.3374012579033472,-0.5437686826536486,0.15787293617016707,0.2708738343677415,-0.6000356512027584,0.38824324237098534,0.5506661310476682,-0.5057297355264954,-0.33821379006394847,0.41428732028085163,-0.2549573864206325,0.02042019938184635,-0.5185899381352469,-0.27909251707700694,-0.4570678729516349,0.37270390954079907,0.35182498230515485,0.10868906819434891,-0.6111557222244646,0.5618821618291165,0.44260569363611085,0.7492252263955964,0.5259738027678315,0.2551677009835116,-0.2612136487121469,0.44425655658275814,-0.08400831157149954,-0.283961054656136,0.5828365862821983,0.1482933750872866,-0.5851336271421277,0.14101674388307256,0.48304449691749435,0.34214533075444503,-0.45804200606775985,0.5837878517145813,0.7712561716252032,0.6592260246078836,0.217364597922806,0.3108040847652135,0.34318287349484733,0.18768546001606798,-0.0626936942119326,0.014372097314759467,0.5066200661852128,-0.3606771163485716,0.2659770695263751,-0.3799044808708793,0.6514417083523779,0.48165086443057936,0.7138327436060117,0.6468624385089444,0.47938037833157715,0.5670474640378501,0.2001533519245722,-0.5055528148152082,-0.028322137460773396,-0.5511537994357233,-0.3325557056863064,0.6948231625835674,0.27898598031604677,-0.3270096266028355,0.8263264452347779,0.15237057424161007,-0.061434063413383824,-0.07781714495426122,-0.4418336583190163,0.5293430069712524,-0.38593123307621235,-0.17816299411038702,-0.05669180192800107,-0.5347396629083163,0.6670675744587289,0.3861588510715286,0.4948132317966989,-0.5706570438716153,0.26574969560964434,0.8019949761257383
