,Temporal_Pole_Sup_R,ACC_pre_R,Supp_Motor_Area_L,Thal_LGN_L,Parietal_Inf_R,Amygdala_R,Thal_VA_R,SN_pc_L,Thal_PuI_L,Insula_R,Frontal_Sup_2_L,Frontal_Sup_Medial_L,Thal_PuA_L,ACC_sub_L,Temporal_Pole_Mid_R,Vermis_1_2,SN_pr_L,Paracentral_Lobule_R,Thal_LGN_R,OFClat_L,Thal_MDm_R,Cerebellum_4_5_R,Cuneus_R,Thal_AV_L,ParaHippocampal_L,SupraMarginal_R,Temporal_Inf_L,Temporal_Inf_R,Putamen_R,Cerebellum_6_L,Thal_VA_L,ACC_sup_R,Pallidum_R,Cerebellum_3_L,Hippocampus_R,Cingulate_Mid_R,Thal_MGN_R,ACC_sup_L,Vermis_9,Frontal_Sup_Medial_R,Temporal_Sup_R,Thal_MDl_L,Caudate_L,Thal_AV_R,Olfactory_L
Temporal_Pole_Sup_R,1.0,-0.3144355986192824,0.013772252456095656,0.21942582608145836,0.4246437757135885,-0.4361976814094334,-0.45707871053517934,-0.12898412808586068,0.007525804985138091,0.8048427787184068,-0.3680316718720871,-0.18756233562524383,0.07813112143212823,0.05978954019414507,0.5003740284555728,0.05669958356707627,-0.41138208177422225,0.28310949695548265,-0.002652032641596432,-0.4539519031838945,0.3068526512347992,0.6406735656254624,0.5034238133078451,-0.32197865411957,-0.19285321958860735,0.6125792069867538,-0.11406629122116564,0.6517673104320133,0.164107915122914,0.6995153529102142,-0.33821379006394847,-0.00888768710868449,-0.12331708892087337,-0.5248574037323531,-0.17598452375068588,0.1728467810432049,0.09815348981131625,-0.08226771142203426,-0.6657873326442704,-0.41975072481913694,0.771439726305505,0.40414522619246523,0.024527579732432362,0.033739746010210056,-0.3838139673402268
ACC_pre_R,-0.3144355986192824,1.0,0.5385477092264227,0.17720395092760113,0.0016400250905154899,0.7687589429675578,0.8291167124685782,0.6350245666496279,0.5863591098031105,-0.1804644639733625,0.844041992458757,0.8202933849992844,0.3649058081923688,0.2917972483709501,-0.44317528292796804,0.5421567372602698,0.7730505092425354,0.46539888671020974,0.4656197601874672,0.678646723920057,0.372538283675383,-0.433214080357846,-0.556968288044188,0.7807325498316899,0.7190560805317183,-0.03198361104948491,0.46523232139782744,-0.41894492232729696,0.6706696579226827,-0.5683304037661546,0.7617993503900691,0.6335006463447614,0.5644919895599625,0.8266210917948621,0.7232261563316047,0.5493645801413684,0.39527288240217345,0.6519740884114693,0.5920288290253231,0.8719946709805629,-0.31235612349448383,0.3332205240789037,0.5409406691177402,0.32831702959729897,0.7774071059491746
Supp_Motor_Area_L,0.013772252456095656,0.5385477092264227,1.0,0.314867760188172,0.558534947198187,0.36982038981172527,0.49069215932153615,0.5435953145657131,0.6275723397565642,0.23396674273028556,0.6817305578951589,0.7556678508107871,0.4951379812329302,0.31399778589461275,-0.11562740395807096,0.5616596397089175,0.6181002452955263,0.8468247436370155,0.39018324714898955,0.26311482054180574,0.587291431620595,0.10921382167627203,0.04487730106982309,0.3658427842278828,0.4314666614125216,0.5283466397280674,0.4528001049632736,-0.11997570054068249,0.664322853637322,-0.028786765088175376,0.37670751494298543,0.5982084655037008,0.45143767121910316,0.43715274025864503,0.6279040134887961,0.8828585984190008,0.29606713277477303,0.6840782995439689,0.22451666783289542,0.6224852583842283,0.1530209981633807,0.5070137969392519,0.7662401410096074,0.14814188910656284,0.2821821999261904
Thal_LGN_L,0.21942582608145836,0.17720395092760113,0.314867760188172,1.0,0.581210259172361,0.14741692301651382,0.21090895019187667,0.007177388049844733,0.5902106383219539,0.2778277642865375,0.23955565275794555,0.21529677744336914,0.44696013710503385,0.24950050517511088,0.11674497730966386,0.7006632246304138,0.17105680413022825,0.4336854578414191,0.7183695717498189,-0.027712224075531127,0.4321249468121979,0.4343426689711275,0.2414524124380563,0.03208233892704257,0.5831642226955904,0.4158298565811324,0.48052729726414123,0.27359881430309435,0.321672060893375,0.268844710237017,0.217364597922806,0.5737233623976762,0.17462529755131306,0.27831616392791436,0.6202696801449928,0.4933423283141378,0.41977505011581145,0.45879915190986204,-0.022420393095779905,0.10027343348668799,0.4442439226773377,0.379242883390689,0.5114348741225343,0.2770602873238429,0.21736540626003345
Parietal_Inf_R,0.4246437757135885,0.0016400250905154899,0.558534947198187,0.581210259172361,1.0,-0.07096400338323886,-0.07479622331742121,0.10817611214322241,0.4478520390035561,0.5677643385712963,0.16677269700223157,0.23268788961210352,0.38616745528435326,0.22405283905655304,0.24711379615503876,0.514030767064429,0.08685405303971183,0.6887927829339173,0.3295301193976155,-0.26083848374166424,0.5038726530305295,0.6927768034375587,0.6359169456838988,-0.24754594201434652,0.2577320308006809,0.8213692726240578,0.34467927409340254,0.38589250956045174,0.3258714775638677,0.5422811219973518,-0.08198224339688866,0.4647579917169038,0.15872916935031842,-0.044463658742222606,0.4234751879794947,0.6725052955449167,0.13535222980812872,0.4311909308845726,-0.28459854513813104,0.04002239517009277,0.6580716527803787,0.4598027506836857,0.5271932296179492,-0.009460000558006668,-0.08465204999058003
Amygdala_R,-0.4361976814094334,0.7687589429675578,0.36982038981172527,0.14741692301651382,-0.07096400338323886,1.0,0.7110083769516193,0.43218858760911183,0.4642236178780726,-0.3373899299963443,0.6974120838688462,0.614779614207374,0.14265285660584148,0.25558866675793396,-0.4388171645226177,0.4392589145808607,0.6959276375514353,0.23591177776452502,0.4052776984423758,0.5938502536294981,0.17596842077191566,-0.5407985493020825,-0.5563831793859342,0.649451235132494,0.6796447688866761,-0.1617903738888067,0.30585723746142557,-0.47173461175515546,0.5005502755902024,-0.6601719495190428,0.7492252263955964,0.46139354317675724,0.6981306995303291,0.7813424992403033,0.6305192398072116,0.3247615002363069,0.2865197977701805,0.4976926000768273,0.6162492706356175,0.7441006333800145,-0.4109397934881976,0.13314841049357792,0.3973170078806538,0.24163846724310406,0.7881526636993323
Thal_VA_R,-0.45707871053517934,0.8291167124685782,0.49069215932153615,0.21090895019187667,-0.07479622331742121,0.7110083769516193,1.0,0.5221280193874868,0.619799724789831,-0.39601815937273066,0.7635091952414281,0.7231297182423289,0.28624274339065164,0.3045616510416159,-0.577710939181502,0.5041474156744301,0.7672335280099747,0.40471482860900715,0.4407548746539713,0.7678551340628115,0.22399733355211096,-0.5000709104889649,-0.6523011050123161,0.8429069684306075,0.7328253173081986,-0.1697048094875002,0.5784939692938389,-0.4934047000653898,0.5521296546934088,-0.627249717749261,0.8263264452347779,0.6186626570474123,0.5206739174307826,0.8988652620836051,0.7178235761095343,0.44460653390064725,0.4083802806203284,0.5956441926374205,0.7125250898912238,0.7963160907696097,-0.3746426133419972,0.15454726360150822,0.5897466533885433,0.44791334868438404,0.7776057116848502
SN_pc_L,-0.12898412808586068,0.6350245666496279,0.5435953145657131,0.007177388049844733,0.10817611214322241,0.43218858760911183,0.5221280193874868,1.0,0.34363316034870894,0.003547567770892436,0.5745899509161817,0.6098969464790713,0.39277736078423614,0.17714923904848487,-0.26223430177995544,0.35292034458558225,0.5729828453317795,0.4950635585394277,0.21417367546635013,0.4235807796220857,0.35532885913926393,-0.1834360343145349,-0.2568341535115706,0.48456139464937126,0.43975892739339356,0.14043723622514528,0.36756195248362256,-0.26349938675966433,0.5026558298708116,-0.2727218383699348,0.41428732028085163,0.36165545952328687,0.389838072724309,0.4569745250440516,0.44710950285815293,0.48163969331312284,0.25213494928279995,0.4695045852259516,0.2825380746126921,0.6008347848036373,-0.10809292827775267,0.3035019412066784,0.48562295475570066,0.12353372830115482,0.491289204766093
Thal_PuI_L,0.007525804985138091,0.5863591098031105,0.6275723397565642,0.5902106383219539,0.4478520390035561,0.4642236178780726,0.619799724789831,0.34363316034870894,1.0,0.03701525096280758,0.5665119373685606,0.6027323191684437,0.3121739508823513,0.26448535764491354,-0.23455584886274272,0.6494661557355431,0.5842598026330662,0.6403757787346774,0.5600066019869032,0.29670113084427885,0.3917931308702407,-0.00859122908996603,-0.09497429135827914,0.4528054496189777,0.6780903047415553,0.31658700948559526,0.6052468735012791,-0.14328508052813374,0.5482205218114418,-0.15413293655499027,0.537415060364932,0.6925702560747944,0.45516442147942837,0.5705903067243904,0.7778722183537711,0.6894432184230396,0.34515502729717584,0.6451944534731481,0.321352577487168,0.5226869516655948,0.11052826227050627,0.3624087219977551,0.7159459614604834,0.19832049692144935,0.5052310375690426
Insula_R,0.8048427787184068,-0.1804644639733625,0.23396674273028556,0.2778277642865375,0.5677643385712963,-0.3373899299963443,-0.39601815937273066,0.003547567770892436,0.03701525096280758,1.0,-0.09734512469597278,0.04549095628642116,0.3154512088137886,0.25428007989448537,0.5443843422098877,0.1907076898546166,-0.18970217550170182,0.43075029720034935,0.1753215287714842,-0.4209281027522886,0.5620635179464288,0.7298800132026039,0.5316871583270436,-0.30730036734975336,-0.07526049754932805,0.7244069776789075,-0.07444129613480852,0.6273472948936517,0.37507925069958353,0.7009607893529703,-0.2757162529293848,0.1573971228698066,0.006817245447997231,-0.3855488331774917,0.02367548952284477,0.384799298675908,0.19837233834876225,0.178559367377233,-0.5835529884365742,-0.20276914133606672,0.7921831491382012,0.5990186512047694,0.20727664592967254,0.032854172036214345,-0.4038804361230468
