,Thal_PuL_L,Raphe_M,ParaHippocampal_L,Cerebellum_4_5_R,Lingual_R,Calcarine_R,Cerebellum_10_R,Thal_VA_L,Parietal_Inf_R,Thal_PuM_L,Occipital_Inf_R,Cerebellum_4_5_L,Cerebellum_6_L,OFCant_R,Thal_Re_L,OFClat_R,Thal_PuI_R,Thal_PuI_L,Precentral_L,Raphe_D,SupraMarginal_L,Supp_Motor_Area_L,Precuneus_L,Precentral_R,Thal_MDl_L,Vermis_10,Thal_AV_L,Vermis_4_5,Cerebellum_Crus1_R,Vermis_3,Frontal_Inf_Oper_L,Calcarine_L,Insula_R,Thal_PuM_R,Thal_AV_R,OFCpost_L,Thal_VPL_R,Vermis_9,Red_N_L,Hippocampus_R
Occipital_Inf_R,-0.17736587124937103,-0.05266378374638162,-0.05831079782809468,0.02762533041916445,-0.07937480575433947,-0.09270682924001106,-0.15396576953485272,-0.08400831157149954,0.13388521084119473,-0.07784097153483814,1.0,0.0378795371938295,-0.01727787588609652,-0.087845670237183,-0.06599442815675356,-0.07219574190854174,0.05120662814650426,0.05227157327159273,-0.24691371983374155,-0.22244815444439853,-0.14096885111070473,-0.009436774485862541,0.1978429112997417,-0.09240878581747457,-0.16139287345495754,-0.09124708416938132,-0.2699833979236393,0.04066480491875264,-0.03294469250193285,0.03950527050241524,-0.21889733259139096,0.04769588828354183,-0.01030737876590524,0.151360498098307,-0.2632210886302788,-0.10355248550429308,0.019258775326622412,0.14507230756795414,0.38044651488383896,0.10373932103282507
Cerebellum_4_5_L,0.6402797332911759,-0.16466584420028485,-0.00030447074709180025,0.9541342008500417,0.9109956766187459,0.7772406247765101,0.7417999234945732,-0.3325557056863064,0.7682910224467883,0.43843841444308546,0.0378795371938295,1.0,0.8746054820549853,-0.42499294090940154,-0.08230417367852352,-0.25244316874490563,0.23143028905120464,0.16399259091921534,0.32251026015681394,-0.16924627513974527,0.607897445229517,0.24645495061293538,0.6153840512973124,0.3204706600925454,0.5087076530813998,0.7437075841748889,-0.45912721675712465,0.93167102311495,0.5196241254395013,0.27621262791364287,0.31328702239055106,0.8615260613986607,0.7648200885201628,0.275195850347908,-0.0911221740485707,-0.2717314004347461,0.35429879873831815,-0.6206233072312545,0.21535757064141753,0.11308203875122255
Cerebellum_6_L,0.7351794657041174,-0.3023604231164887,-0.3513093838871632,0.9255841623227163,0.9084891212597632,0.810581321987498,0.881075556720253,-0.5511537994357233,0.5422811219973518,0.17236142613581507,-0.01727787588609652,0.8746054820549853,1.0,-0.6043662129197251,-0.11015979971529963,-0.39757360058193564,-0.07282433551756688,-0.15413293655499027,0.12169918984597335,-0.41295121421126135,0.45044397962385857,-0.028786765088175376,0.4093931061933261,0.025724901053891757,0.286430058651879,0.925052362737827,-0.6256459531968045,0.9496934855833856,0.7096238694846588,-0.1170623217822117,0.10690114482360191,0.872489342025004,0.7009607893529703,-0.06054701083896823,-0.09065602884581898,-0.37917464266944145,0.06285046349028636,-0.7829326794627341,0.20913311403931148,-0.2878356374125013
OFCant_R,-0.4441913708169459,0.33009554873219454,0.514778278895595,-0.5044055523491505,-0.506222611917126,-0.43410074029731116,-0.5367787054776065,0.5929601023473813,-0.21150413816839975,0.1493428288811794,-0.087845670237183,-0.42499294090940154,-0.6043662129197251,1.0,0.05432648197950277,0.8378095398152144,0.22852060917880676,0.2982274702327425,0.25523696069988944,0.4283981090338688,-0.0225538194732793,0.22749822630937352,-0.1282389464007466,0.3147875769174604,0.07873690216178479,-0.6397315545303086,0.7203720132420894,-0.59067070722424,-0.5941275268459973,0.31397096327962803,0.18547411244001863,-0.5230640057701924,-0.19493301654557865,0.26907985972113707,0.3439513022668451,0.5975327656599069,0.22574487327136694,0.5948040671661206,-0.2551822024805018,0.4875158727712108
Thal_Re_L,-0.07881076437698811,-0.1828786318296047,0.06101142816231441,-0.11831104035483081,-0.049637970933744426,0.034649508229359936,-0.04554405396656434,-0.05669180192800107,0.04082410061954733,0.07011512101971336,-0.06599442815675356,-0.08230417367852352,-0.11015979971529963,0.05432648197950277,1.0,-0.0007941631073444458,0.023500152678784594,0.18010948816948136,0.05488026342741044,0.16115689755012283,0.049463268198294136,0.01912249210041738,0.05955168187191954,0.012705277794304855,-0.08353106103150364,-0.09808659605351461,0.12116821658253202,-0.10882209725784864,-0.12178150897450958,-0.029956934017123623,0.032904159071427415,-0.03236536714198512,-0.0847321855024586,-0.019731317207404012,0.005610044688844177,-0.10200343363770979,-0.09173883538591102,0.06439842292331084,-0.10214139927408954,0.04825792784639266
OFClat_R,-0.28574116549514195,0.3053544714465576,0.44728933536966775,-0.2996493501651312,-0.28703302688549287,-0.279776743316186,-0.30704587931977445,0.4727644846480112,-0.09473375418168088,0.20942373216583893,-0.07219574190854174,-0.25244316874490563,-0.39757360058193564,0.8378095398152144,-0.0007941631073444458,1.0,0.15697378417437674,0.2482969387746736,0.24664112906170962,0.3514199378194786,0.12227771699064878,0.19325225761161222,-0.08684082130482952,0.33266705401827856,0.21820896751057742,-0.4195655516386176,0.5823924943692231,-0.36616323282264046,-0.3792237835615785,0.20853962249078417,0.16114230643587835,-0.32331138657765923,0.09929451326538657,0.27554867102592584,0.430743640940206,0.6143670282253803,0.3001208535398868,0.3988679805196187,-0.2160202200665835,0.4096707780784089
Thal_PuI_R,-0.1587033288790002,0.23379454077671455,0.5636482345469058,0.09906303772769,0.11005017111614342,0.035773842703108884,-0.12900290563333217,0.34318287349484733,0.36448952584872674,0.4379100326281812,0.05120662814650426,0.23143028905120464,-0.07282433551756688,0.22852060917880676,0.023500152678784594,0.15697378417437674,1.0,0.6119900816758888,0.377299924824542,0.42414381481556496,0.19864529501913047,0.430177189167283,0.366094049985818,0.46614983248908887,0.2996727314517849,-0.20329939580684914,0.21716915855446844,0.029571509432535528,-0.2529246847970478,0.634718756107946,0.2836887258084151,-0.005643734855647386,0.09564860992357418,0.5356486020812088,-0.03106764473498492,0.10491426810749883,0.5667526808671624,0.2029638768862631,-0.08057345876049395,0.6537942002464034
Thal_PuI_L,-0.15450424460041207,0.3102562897388752,0.6780903047415553,-0.00859122908996603,0.08739327371263163,0.10659131098898778,-0.2296002879574296,0.537415060364932,0.4478520390035561,0.6147741457067633,0.05227157327159273,0.16399259091921534,-0.15413293655499027,0.2982274702327425,0.18010948816948136,0.2482969387746736,0.6119900816758888,1.0,0.5806999103329801,0.5586894043247789,0.40779854349149697,0.6275723397565642,0.5712641207373467,0.6095011332851041,0.3624087219977551,-0.32585775340659195,0.4528054496189777,-0.08021820273899176,-0.33966560200353363,0.7048302399806837,0.600488730813578,-0.023654664060758977,0.03701525096280758,0.6997785151552391,0.19832049692144935,-0.0038047436754943494,0.6650005307929884,0.321352577487168,-0.03597866912319686,0.7778722183537711
Precentral_L,0.3047432981597178,0.25554789779474907,0.47427433498259364,0.20489991109685754,0.31142263086258076,0.39324054233245137,0.09725879956624935,0.4075047027214349,0.455612503747292,0.8032220365838569,-0.24691371983374155,0.32251026015681394,0.12169918984597335,0.25523696069988944,0.05488026342741044,0.24664112906170962,0.377299924824542,0.5806999103329801,1.0,0.4498207763499282,0.7124772812465306,0.8146816824696486,0.4782107057339942,0.8505029371982803,0.6176486884178932,-0.009437843912489677,0.4596650387175851,0.14430993766974615,-0.10511593479025257,0.6157719872856415,0.8745694891464904,0.19974687165807264,0.34826114316151974,0.6899721727455043,0.41553063106882154,0.14924367692527205,0.7283879885406116,0.038928877869113566,-0.029271233165055727,0.5715733355390491
Raphe_D,-0.19144203448126385,0.25360364707496863,0.6495524140038192,-0.33522737768263144,-0.1293851509506649,-0.12876200837579535,-0.2204875909465174,0.5619279069536361,0.028957045660338913,0.3942668866118718,-0.22244815444439853,-0.16924627513974527,-0.41295121421126135,0.4283981090338688,0.16115689755012283,0.3514199378194786,0.42414381481556496,0.5586894043247789,0.4498207763499282,1.0,0.16964604702828176,0.3993974188146225,0.06368556205285704,0.5041989589993845,0.3586875254243479,-0.4118965186946612,0.6667709574828689,-0.38516863513330113,-0.5246709429083412,0.5370617531635754,0.4170838340501086,-0.3625181153886829,-0.14984422984377102,0.4078384438434268,0.29719492376294304,0.192514188559769,0.39347158961700635,0.26782035945753296,-0.47461032328848063,0.5904693023398158
