,Cerebellum_8_L,Occipital_Sup_R,Occipital_Sup_L,Supp_Motor_Area_L,OFCmed_L,Thal_MDl_L,Thal_LGN_R,Frontal_Mid_2_L,Cerebellum_4_5_R,ACC_sup_L
Cerebellum_8_L,1.0,0.5516917768173614,0.4561053587661413,0.06389414806831328,0.13688684498987616,0.18700599274730115,-0.20882792003318656,-0.4388951518734908,0.5762552723832505,-0.1346037064693807
Occipital_Sup_R,0.5516917768173614,1.0,0.9012257077142953,-0.0026954216209158113,0.06348632400115153,-0.04566292306678292,-0.19547036390821843,-0.4021334989751941,0.6592170421675307,-0.045379661458396336
Occipital_Sup_L,0.4561053587661413,0.9012257077142953,1.0,0.08932252850047746,0.06148278618472083,0.0691683507927387,-0.11236885251610161,-0.3142493132045728,0.7168429099131346,0.044976144186767895
Supp_Motor_Area_L,0.06389414806831328,-0.0026954216209158113,0.08932252850047746,1.0,-0.16983710720247697,0.5070137969392519,0.39018324714898955,0.7235682431587268,0.10921382167627203,0.6840782995439689
OFCmed_L,0.13688684498987616,0.06348632400115153,0.06148278618472083,-0.16983710720247697,1.0,0.06418880628309362,0.02664719592330429,-0.16687919165389092,0.05773525893192813,-0.08437026805232621
Thal_MDl_L,0.18700599274730115,-0.04566292306678292,0.0691683507927387,0.5070137969392519,0.06418880628309362,1.0,0.4860342976238358,0.3077607126964555,0.36947865119285683,0.48016276078750825
Thal_LGN_R,-0.20882792003318656,-0.19547036390821843,-0.11236885251610161,0.39018324714898955,0.02664719592330429,0.4860342976238358,1.0,0.5364439551360847,0.1362017849408389,0.5925142693103345
Frontal_Mid_2_L,-0.4388951518734908,-0.4021334989751941,-0.3142493132045728,0.7235682431587268,-0.16687919165389092,0.3077607126964555,0.5364439551360847,1.0,-0.3048175740062872,0.7679234750047248
Cerebellum_4_5_R,0.5762552723832505,0.6592170421675307,0.7168429099131346,0.10921382167627203,0.05773525893192813,0.36947865119285683,0.1362017849408389,-0.3048175740062872,1.0,0.06041972234901288
ACC_sup_L,-0.1346037064693807,-0.045379661458396336,0.044976144186767895,0.6840782995439689,-0.08437026805232621,0.48016276078750825,0.5925142693103345,0.7679234750047248,0.06041972234901288,1.0
