,Thal_PuM_R,Heschl_R,Thal_PuA_L,Calcarine_L,Occipital_Mid_L,Supp_Motor_Area_L,OFCant_R,SN_pc_R,Paracentral_Lobule_L,Frontal_Inf_Oper_R,Cerebellum_6_R,ACC_sub_L,Temporal_Inf_L,Pallidum_L,Paracentral_Lobule_R,Vermis_6,Caudate_R,Hippocampus_R,Thal_MDl_L,Thal_PuM_L,VTA_L,Occipital_Inf_R,Frontal_Sup_2_L,Vermis_1_2,Red_N_L,OFCmed_R,Parietal_Inf_L,Thal_AV_R,Angular_L,Frontal_Med_Orb_L
Thal_PuM_R,1.0,0.5529039134036475,0.5934034848716039,0.06863198282161462,0.12621805240023187,0.7955852234527002,0.26907985972113707,0.3303260671625075,0.658834513584851,0.6275225152712668,-0.19492251814813744,0.5078588015298211,0.5512014002442001,0.5498675427891038,0.7407062458765896,0.2980696144980473,0.7003508628740786,0.8178051277612348,0.5198561383779741,0.7745015698573163,-0.18409500473114687,0.151360498098307,0.7292578022197402,0.6671970705056683,0.16965265318559017,-0.05353020944664167,0.5574575057966169,0.23034448022858242,0.12632896697442053,-0.05916136167924477
Heschl_R,0.5529039134036475,1.0,0.22906642522757736,-0.45887815679842286,-0.11061006930146354,0.49032589112343955,0.5412300693960557,-0.11600164297052472,0.1439535761675647,0.39954087059765386,-0.7109747857209092,0.400376193255285,0.3228484869217798,0.6554980275205179,0.259171815968103,0.08175315582185858,0.7771217254688894,0.6543159750636298,0.040790948926619996,0.2395640116232172,-0.6652155757646603,0.16178304091654103,0.8096408837212784,0.3248600575440939,0.14826021963755637,0.04951749600900078,0.11594801430983272,-0.04218175583430961,-0.34603321326563996,-0.5099489393527027
Thal_PuA_L,0.5934034848716039,0.22906642522757736,1.0,0.15150262236844214,0.15218676073717788,0.4951379812329302,0.18703482616850667,0.161786382338175,0.51147770362655,0.31475843356535915,-0.015394709716455224,0.35914951787702065,0.4470992169409489,0.2348796917721287,0.502256946414826,0.197446342680117,0.35816461118936194,0.5462198383516489,0.43147172887063323,0.557007244249334,0.029552112925564273,0.07020106775053532,0.4879188414764689,0.48324303207181024,0.17492256045214497,0.16599541604821613,0.37493746662584465,0.24313426350628967,0.13531327249622224,-0.04178944432929367
Calcarine_L,0.06863198282161462,-0.45887815679842286,0.15150262236844214,1.0,0.6943811713691372,0.16356915487665857,-0.5230640057701924,0.3128173081628354,0.4400787763161656,-3.067001430405927e-05,0.8543975549080226,-0.025025825667172104,-0.057623014570501875,-0.35446875462101823,0.35304697647240035,0.10673856069630759,-0.42209553240993275,-0.16181773285586015,0.3286045213117558,0.2709790131762502,0.7382407864854585,0.04769588828354183,-0.3696782743363708,0.046042463375120656,0.33059106961261286,-0.08063604203575604,0.6309739634864244,-0.21284369575186285,0.8983467541674729,0.493524783785571
Occipital_Mid_L,0.12621805240023187,-0.11061006930146354,0.15218676073717788,0.6943811713691372,1.0,0.10783939796406845,-0.43258933238006686,-0.042118877110446956,0.10381596697304755,-0.16315493711347775,0.506511598209337,0.12095437914389713,-0.0815348771713196,-0.2285554374471206,0.11242246659099014,0.16460804625431077,-0.2883751561321376,-0.053087218266316065,0.05742575779149744,0.06800149423969232,0.3835467124348069,0.36670984946880764,-0.17534124995205794,-0.022931669610893365,0.5500333478160773,-0.015825791729909743,0.5548176486897061,-0.5189787163924263,0.800297814805536,0.19078886148364005
Supp_Motor_Area_L,0.7955852234527002,0.49032589112343955,0.4951379812329302,0.16356915487665857,0.10783939796406845,1.0,0.22749822630937352,0.386101779097494,0.8193583925179659,0.787925645467345,-0.1648176322347434,0.31399778589461275,0.4528001049632736,0.4442908072711226,0.8468247436370155,0.25485260701992535,0.6214170926546208,0.6279040134887961,0.5070137969392519,0.7647408986133521,-0.11415591353898151,-0.009436774485862541,0.6817305578951589,0.5616596397089175,0.17119996788982078,-0.05459909578184894,0.6976994004714806,0.14814188910656284,0.20946192485991955,-0.07273486357719312
OFCant_R,0.26907985972113707,0.5412300693960557,0.18703482616850667,-0.5230640057701924,-0.43258933238006686,0.22749822630937352,1.0,0.03137688207807959,0.09160839909065543,0.28716784005261403,-0.6301835424758186,0.3861388711745879,0.284746049632787,0.5073152672658429,0.19350619228878727,-0.061273719531654156,0.5844981442171712,0.4875158727712108,0.07873690216178479,0.1493428288811794,-0.5131165172460346,-0.087845670237183,0.6491617384682516,0.3344412779316182,-0.2551822024805018,0.1882498633369081,-0.10537985499883228,0.3439513022668451,-0.5687304214306753,-0.343440393300471
SN_pc_R,0.3303260671625075,-0.11600164297052472,0.161786382338175,0.3128173081628354,-0.042118877110446956,0.386101779097494,0.03137688207807959,1.0,0.5800973256452263,0.43342974402353335,0.3113846603273323,0.06654394778818057,0.0333707768388612,0.09249790536755849,0.5460455953139324,-0.29648635909776,0.15209183890380046,0.18141743880739206,0.5800284825567495,0.5196066498871722,0.4342793155416566,-0.23550603262602893,0.06856724419804296,0.46030334786495836,-0.2546570470757039,-0.08153487675180042,0.41584629401643847,0.3761004556297809,0.22057923020744216,0.3417528932867841
Paracentral_Lobule_L,0.658834513584851,0.1439535761675647,0.51147770362655,0.4400787763161656,0.10381596697304755,0.8193583925179659,0.09160839909065543,0.5800973256452263,1.0,0.7063657019082109,0.2217322223286566,0.2714006011866929,0.42232849381916276,0.2506593191985357,0.9067167552359844,0.1722666444404567,0.3427762986778134,0.4434273694450229,0.6384580381565197,0.8229490976201496,0.26926797421818194,-0.20612790973456283,0.40044303565842065,0.5578716769811496,0.06835903321216806,-0.10975598009287961,0.7023273152669206,0.2865557979700779,0.36500690366260446,0.15437971507323
Frontal_Inf_Oper_R,0.6275225152712668,0.39954087059765386,0.31475843356535915,-3.067001430405927e-05,-0.16315493711347775,0.787925645467345,0.28716784005261403,0.43342974402353335,0.7063657019082109,1.0,-0.24075127401831448,0.18675273689487767,0.47884152079010917,0.457887905274558,0.7779505773267491,0.22386955538820652,0.6522969730020699,0.5259819432179564,0.4335628608510221,0.6423348563587281,-0.16621927473253487,-0.18566023206677917,0.5606803900575787,0.5082514274394122,0.014574142696414572,-0.06215612494019724,0.5243412723312761,0.314957065021621,0.06869047088870982,-0.0819327126758321
