,Postcentral_L,Cuneus_R,Cerebellum_Crus1_R,Thal_VA_R,Cingulate_Post_L,OFCmed_L,Cuneus_L,Occipital_Sup_L,Vermis_1_2,Frontal_Inf_Tri_L,Insula_L,Thal_VL_R,Supp_Motor_Area_L,SN_pr_L,Vermis_7,Lingual_R,Cerebellum_9_L,Temporal_Pole_Mid_L,Cerebellum_3_R,Parietal_Inf_R,Precentral_R,Occipital_Inf_L,Thal_MDl_L,ACC_sub_R,Cerebellum_Crus1_L,Cerebellum_10_R,SN_pc_R,ACC_pre_R,SN_pr_R,Temporal_Inf_R,Cerebellum_8_R,ACC_sup_R,Temporal_Sup_L,Occipital_Inf_R,Temporal_Pole_Sup_L,Vermis_6,Temporal_Sup_R,Cingulate_Post_R,ParaHippocampal_R,Vermis_8,Raphe_D,Temporal_Inf_L,ACC_sub_L,Frontal_Mid_2_R,SupraMarginal_L,Frontal_Inf_Orb_2_L,Thal_VA_L,Cerebellum_4_5_R,Thal_MDl_R,Red_N_R,OFClat_L,Thal_MDm_R,Rectus_R,Supp_Motor_Area_R,Vermis_3,Frontal_Inf_Oper_R,OFCmed_R,Precuneus_R,Temporal_Pole_Mid_R,Frontal_Sup_2_R,Occipital_Mid_L,Cingulate_Mid_R,Thal_MGN_R,Cerebellum_8_L,Cerebellum_3_L,Vermis_4_5,Thal_IL_R,Angular_L,Parietal_Sup_R,Temporal_Pole_Sup_R
Postcentral_L,1.0,-0.0001540538186112335,-0.05843417389201195,0.4018938092329757,0.6351049325425895,-0.1199412991050272,0.15160189816541184,0.012148537725491074,0.6502649841967434,0.7906580493163826,0.6447535679776083,0.6783690228895913,0.7941581345042135,0.4690742396585737,-0.33202416270669927,0.41188947843738544,0.14339906640564873,-0.18754760027355508,0.2892883050084877,0.5643090394111654,0.8846440383480586,0.11550435175605904,0.6981112050644338,0.42097455362653796,-0.11248268444411776,0.18986015540213372,0.5943064523684215,0.4674310712841401,0.6256827588255321,0.20709728507393782,0.12696404997406616,0.5822748942765218,0.7945733188254938,-0.22020611329071033,0.06141527319952448,0.18016089606328123,0.4738956952967365,0.5086600233678565,0.4657842113188995,0.15586980679314527,0.45376249996778456,0.49213727140837155,0.30639966381028416,0.5210974319653253,0.7856056791239928,0.4450137123225477,0.338701892071247,0.3277805249143825,0.3923605122791748,-0.02132888412895222,0.15803710069601537,0.7354577273007316,0.04537354272033345,0.8785509092564108,0.6379259912675875,0.7520554855109436,-0.06192551139569244,0.5895066612676773,0.0038666483579891933,0.42446823425568075,-0.048960520937194656,0.8264622953682979,0.5590275088598606,0.08184361226526748,0.33781965481112297,0.24885046457123852,0.6199635926590074,0.20328328912390883,0.40125498331167087,0.26446504406454746
Cuneus_R,-0.0001540538186112335,1.0,0.5442510982720125,-0.6523011050123161,0.09553783128038067,0.06937418431812734,0.8078190502685058,0.9220996273233778,-0.07889136230520737,-0.12639106982367274,0.4640662275544758,0.3395854772696359,0.04487730106982309,-0.4476060254633865,0.6056252069732431,0.6649162620868045,0.6117199581030404,-0.2234324102552201,-0.5507063545993485,0.6359169456838988,-0.03869831064526306,-0.5527200324714349,0.07100514163687044,0.19272202708712122,0.6900426032037366,0.5585001179843369,0.05366797649710414,-0.556968288044188,-0.037468401114167715,0.45318990427892814,0.6814569525129826,-0.07339860750482627,0.011960460444434136,0.27530574021200094,0.7625384971653015,0.22215821925630824,0.5430619503750763,0.6208220084198902,-0.44368898910519855,-0.6320258635595771,-0.5142169415151604,-0.05801982111128833,-0.04068408854641849,-0.5418526993851315,0.3619335632398306,-0.5078044550959265,-0.6111557222244646,0.791069561983638,0.4626328967131611,0.6998865522125891,-0.5962497085107518,0.0879324447018878,-0.5086627287308271,-0.09025624366092369,-0.015856407491860885,-0.1657452882298317,-0.08127962969871584,0.5230434104433592,0.5342991439805996,-0.5120354231792827,0.8600441415730398,0.1400757820720908,-0.2878536049963863,0.5836965157306968,-0.6281758675657438,0.8165392118796032,-0.07130855261118983,0.898663848911897,0.4150175798782609,0.5034238133078451
Cerebellum_Crus1_R,-0.05843417389201195,0.5442510982720125,1.0,-0.6853528519039662,0.0242767998473088,0.15702736757339017,0.7105107308659053,0.3479613253971496,-0.21470598358876553,-0.3293908263673659,0.07038632987916058,0.20801146062977333,-0.1788718043224232,-0.5822950545438741,0.5953800971297029,0.5586908390181531,0.7865601498117163,-0.16064549311764043,-0.7029137565459168,0.24793254986407684,-0.3081631745380023,-0.7260490700370646,0.0994641387115636,0.1708495384127942,0.831397797527878,0.6699344680520797,0.2965028601130861,-0.5773915234181687,0.06631910123882272,0.6449764346829506,0.8338328424180869,-0.4178772865265928,-0.10768570888184831,-0.03294469250193285,0.6065613707906918,-0.25347623633566546,0.5574779259301714,0.28564103052614453,-0.5933360208828451,-0.531282877909402,-0.5246709429083412,-0.3586240029360196,-0.2105705533026047,-0.6378837379479706,0.19551107456077144,-0.7579397484608743,-0.45804200606775985,0.5956022724478938,0.532651340461292,0.6364251037463575,-0.7099698920094206,0.04006428083173371,-0.3262437568547747,-0.2433741658383944,-0.47047225441749074,-0.17693516629404843,-0.061693081833138166,0.2280500224601841,0.5836620090457376,-0.6657762381641458,0.35008355257512697,-0.14473096696520765,-0.18722196614301753,0.7233541699696745,-0.6730170816998101,0.6970023987582669,-0.14147999821765364,0.5304312995197356,-0.16214045872164404,0.5354979200285062
Thal_VA_R,0.4018938092329757,-0.6523011050123161,-0.6853528519039662,1.0,0.20262039143878532,-0.19666488942543542,-0.6353985933183925,-0.5556662148719391,0.5041474156744301,0.6251579952479658,-0.05777053120356177,0.1372072291774275,0.49069215932153615,0.7672335280099747,-0.6502803122167083,-0.4115685528606772,-0.6916800615810766,0.15020915804183568,0.8594226350635829,-0.07479622331742121,0.5202001515441972,0.682519238120057,0.15454726360150822,0.08173130364831509,-0.7727222180149736,-0.6380946986329045,0.04602409127367914,0.8291167124685782,0.30405617830166337,-0.4934047000653898,-0.7018167476690785,0.6186626570474123,0.38221753227990535,-0.12225246355910581,-0.7345346107809695,0.2365873770220603,-0.3746426133419972,-0.138386303635639,0.7972797719741188,0.7608265677999592,0.6250020681306413,0.5784939692938389,0.3045616510416159,0.8671553490593322,0.08537228633984216,0.8506312737705904,0.8263264452347779,-0.5000709104889649,-0.3839408071802622,-0.6564250122267248,0.7678551340628115,0.22399733355211096,0.5298285347013129,0.6152276980877122,0.545476902419884,0.5998828836349962,0.05580290692964114,0.016170955977512728,-0.577710939181502,0.8408137230418696,-0.5245175287177944,0.44460653390064725,0.4083802806203284,-0.5860888362306856,0.8988652620836051,-0.6286715317455717,0.44092162235499066,-0.5187319934036738,0.23468819961611298,-0.45707871053517934
Cingulate_Post_L,0.6351049325425895,0.09553783128038067,0.0242767998473088,0.20262039143878532,1.0,-0.05048600481089008,0.2857389414315939,0.16371024114672597,0.3861369815400635,0.5518388572962056,0.438830021216799,0.5788849271257493,0.6816024116378382,0.3249208608082175,-0.0883352168071401,0.23386112455053634,0.054075154325564256,-0.1802716504408384,0.1539370953404875,0.47927600366258494,0.5589388695535101,0.06521774589792115,0.4445733806599527,0.23914764652445938,0.037720984690663366,0.10106915027121897,0.4018963100300912,0.30517538763919433,0.4765741087517171,0.08297589880887773,0.09117504829510072,0.28745491320329614,0.42243791553397464,-0.12465822995503054,0.11841776596124952,0.12857726066356034,0.309391222076462,0.7242133176855093,0.190987739604329,0.0116200295775368,0.2242622116967269,0.23810203911687572,0.08620658329608155,0.36719501026809226,0.5552816850847019,0.2636998844509201,0.18768546001606798,0.2036122498715084,0.3623928583068013,0.09763493911149997,0.04568195952684807,0.45844783883613077,-0.08432959109830354,0.6191984627945312,0.44205967531719076,0.5458204827748778,-0.002959666942417958,0.6894215855903973,0.06523645359083523,0.28988118651865813,0.08847342217043087,0.6888925320671055,0.20920498768122342,0.11484722650708847,0.16166322317766704,0.19099523052418757,0.4027678513901482,0.2783786609567028,0.32839434061351147,0.22194870521417942
OFCmed_L,-0.1199412991050272,0.06937418431812734,0.15702736757339017,-0.19666488942543542,-0.05048600481089008,1.0,0.03938750228648631,0.06148278618472083,-0.07014092843086886,-0.17169612641913262,0.03866647857223668,-0.038982235731609985,-0.16983710720247697,-0.1286648699879698,0.12391495915052977,0.051301588475304395,0.11273917702377172,0.21353358572188508,-0.09671088840790548,-0.07538839275032504,-0.13209308240222997,-0.002275575599784243,0.06418880628309362,-0.2893199010475373,0.24110186606509584,0.06349570820974446,-0.007762108695731985,-0.04181121893503284,-0.07816222722296808,0.3608368113160464,0.10469117987820563,-0.05963762501809529,0.021843882624274346,-0.010525896172147785,0.13999645458042503,-0.1450609968524028,0.026628500050037095,0.015677213789699926,-0.08227785351638459,-0.12811966503776182,-0.1175316725772411,-0.2581295730927451,-0.14459592513197875,-0.16354296193026946,-0.0677197392886686,-0.12126475104430397,-0.22662393471718442,0.05773525893192813,0.04006234379612477,0.09681747541672982,-0.06474173155705515,0.0910952718754714,0.12578385633714348,-0.16370240234251915,-0.09892567443552903,-0.18565880181299946,0.8715557234586856,-0.01006014885365613,0.24514302853774922,-0.12846420601213462,0.05417205703386389,-0.04944689004796503,-0.07782698423224153,0.13688684498987616,-0.08089626980563054,0.06958111006311686,0.027475620288636,-0.01594901574846504,-0.06694861227622978,0.08208376398199867
Cuneus_L,0.15160189816541184,0.8078190502685058,0.7105107308659053,-0.6353985933183925,0.2857389414315939,0.03938750228648631,1.0,0.730662871549722,0.014724317725821619,-0.10081391156092197,0.4049918794248195,0.45144458418767425,0.0800055217334054,-0.4315421552937477,0.4947493038414488,0.7656643183930519,0.7716445883793733,-0.29552669352503574,-0.6173470216465021,0.6161414239611661,-0.005856139391181173,-0.6678551342415872,0.29055825663937773,0.18328008172082969,0.7188708945180856,0.7430748751395655,0.32497116595293507,-0.5243131425459896,0.21817115272665763,0.6362837111919941,0.7627717763193109,-0.11104000162596976,0.08989278853574444,0.05644537240439607,0.7375809130758243,0.0019541865489786907,0.7354114593850655,0.595257527688416,-0.42508532279732375,-0.6139261558127482,-0.3233273880782832,-0.15899776258951195,-0.1347866093259292,-0.5385442106903678,0.44186735064166477,-0.6003742266918052,-0.5092855220250017,0.7778042849942854,0.6704733357602325,0.6124472508946259,-0.7108745763582152,0.22836991892282887,-0.5106018099467627,-0.017651207049073532,-0.07727743080562399,-0.06339770304900884,-0.1341905954929725,0.576439875836571,0.5737705901515604,-0.5685351195031808,0.6455073938839083,0.19479725387891164,-0.11730128534538602,0.6564990413501807,-0.6554566260756008,0.8623710944925748,0.06813952774716195,0.8665750643594067,0.28344223561545073,0.7061869367282207
Occipital_Sup_L,0.012148537725491074,0.9220996273233778,0.3479613253971496,-0.5556662148719391,0.16371024114672597,0.06148278618472083,0.730662871549722,1.0,-0.0446553130942082,-0.047177864204287295,0.52601826660432,0.3056492416312269,0.08932252850047746,-0.3609666579055995,0.532325643036389,0.5787405751502297,0.4668532935451197,-0.2100477545962748,-0.4635694592100585,0.6132503953994013,0.036630762803318895,-0.42693178065121373,0.0691683507927387,0.15779143682240537,0.5782173530932279,0.45959648643528006,-0.03205818860861299,-0.4679193165664108,-0.07525445480176433,0.3572226160651015,0.5291977036122182,0.015852736603880185,0.029707331433696613,0.2734655819104133,0.761021624580953,0.29031946311535395,0.4490131772542393,0.6562654507389559,-0.37635389399227626,-0.6133563518004904,-0.4179678248276477,0.03492751625002536,0.033112877768664534,-0.4376952591510401,0.3442846315368087,-0.345911554610757,-0.5851336271421277,0.7168429099131346,0.3858063619215475,0.6065113021521632,-0.4446963548072439,0.08122003882387913,-0.5043798939341346,-0.06335100844952374,0.10001066042010269,-0.18275767171425256,-0.042933679188313034,0.5284350643397163,0.4447553813819923,-0.39231433458450443,0.8842677242015665,0.1988929014783123,-0.3223888221420612,0.4561053587661413,-0.568120400507656,0.7270711120890306,-0.0804037102252921,0.865560962815362,0.46334316966695804,0.4832816035239332
Vermis_1_2,0.6502649841967434,-0.07889136230520737,-0.21470598358876553,0.5041474156744301,0.3861369815400635,-0.07014092843086886,0.014724317725821619,-0.0446553130942082,1.0,0.5632322957946617,0.30014700414975204,0.5105338053034896,0.5616596397089175,0.47198365839603246,-0.3609146725706412,0.3070535492526351,-0.04502924324894395,0.05900509728200886,0.5513754118941939,0.514030767064429,0.6536128307424697,0.2448344296915441,0.5800434656975034,0.3025593477848839,-0.26230219087315343,-0.026065432219942633,0.46030334786495836,0.5421567372602698,0.6159370460172728,0.1327412851183009,-0.21235619807349762,0.7332234500723412,0.5713075716847827,-0.1512982571470995,-0.1900565805980079,0.022150654930084168,0.3222688593177548,0.2946647604248828,0.7522289672469405,0.2687543329606453,0.5107636067365672,0.5511841041146349,0.3440401465370949,0.5320130137879381,0.43972693769884275,0.45433649823543915,0.48304449691749435,0.2184107633106025,0.1610435259025898,-0.21691594555691576,0.24437377110127584,0.6479361134674548,0.36536682356995087,0.6602534393326137,0.7459469839264675,0.5082514274394122,-0.019669141315427588,0.4637443273791604,-0.1404082411598605,0.4315174523956035,-0.022931669610893365,0.691403356339705,0.5184128824070942,-0.173000660054975,0.552432424074249,0.10663683400662793,0.798944072104227,0.06313697321957756,0.5744729287325644,0.05669958356707627
Frontal_Inf_Tri_L,0.7906580493163826,-0.12639106982367274,-0.3293908263673659,0.6251579952479658,0.5518388572962056,-0.17169612641913262,-0.10081391156092197,-0.047177864204287295,0.5632322957946617,1.0,0.5586229791176551,0.5574307771140926,0.807012364526731,0.6666752163724755,-0.3798159563925618,0.05599405297938331,-0.21773199676924573,-0.1971606359021787,0.5162234788077991,0.3830747133247962,0.8222772767620556,0.3496212990295385,0.5419748826403843,0.3866750453849143,-0.3088649605636453,-0.1547137230720434,0.38510772515263486,0.7199485414340399,0.5498930740419867,-0.1789246154801462,-0.15664667469018645,0.636709173758053,0.621388272020778,-0.09504043841887844,-0.12160408382543904,0.27941425824653054,0.11227117924225925,0.4235991948993356,0.5448633263646188,0.3870110691454458,0.5036780420177448,0.578691277195513,0.3996920665222841,0.7464538089192017,0.6602518608583314,0.7328298790394603,0.5175153752411114,0.01109404488336522,0.17352858257724155,-0.16109196173530468,0.4572964032610905,0.5390986069276114,0.16223640906297776,0.8601629235596754,0.6964685908488596,0.8503020098719933,-0.013365623288109639,0.42969324395531616,-0.22737823755065986,0.6508528468036968,-0.08023327002461066,0.7766921544332139,0.35088008096935136,-0.10576043861337352,0.5098045351863192,-0.0713299915586107,0.4872893601493245,0.06432811688460223,0.39277259433534173,0.060028750600565034
