,Fusiform_L,Occipital_Mid_R,Vermis_8,Thal_VL_R,Frontal_Mid_2_L,Angular_L,Frontal_Inf_Orb_2_R,Raphe_M,SupraMarginal_L,Parietal_Sup_L,OFCpost_L,Frontal_Med_Orb_R,Cuneus_L,Thal_AV_R,Frontal_Inf_Oper_R,Thal_VPL_R,OFCant_R,Cerebellum_Crus1_R,Thal_VL_L,ACC_sup_L
Fusiform_L,1.0,0.36100275476756494,-0.23978799303373383,0.5621886139382986,0.22222387280727124,0.5475842322783845,0.17358272832270902,-0.023840930131772773,0.5320581734900393,0.6505309451969599,-0.026120974906302063,-0.027070419500411846,0.4410991384796861,0.06743890991463361,0.23858108146396947,0.49507455899113595,-0.09669552489930622,0.04465372262029215,0.5961546298316545,0.41002254978373026
Occipital_Mid_R,0.36100275476756494,1.0,-0.7032959025633343,0.3419740515686143,-0.5905841735587791,0.8624460691475881,-0.47018804446268103,-0.4318700447510617,0.3673968156133271,0.4003838534337577,-0.4881399953120691,-0.3511264237340102,0.8805407227082148,-0.33934250116554177,-0.18443199208835653,-0.09486601555158915,-0.6648354460504439,0.6982272840700163,-0.005374313712283972,-0.22181197452779464
Vermis_8,-0.23978799303373383,-0.7032959025633343,1.0,-0.04601890663708808,0.6623144473616532,-0.5823648931476554,0.5533256412763562,0.4738986124314049,-0.09451069934919884,-0.11002001231770858,0.42213090435857786,0.36075111669745,-0.6139261558127482,0.38441476465618063,0.3970279327065446,0.32221399038755516,0.6437328618148682,-0.531282877909402,0.19772639592242208,0.41558028099657257
Thal_VL_R,0.5621886139382986,0.3419740515686143,-0.04601890663708808,1.0,0.3034605809599113,0.4845464245766559,0.268138298687209,0.10358428848543555,0.6506891195738166,0.5086805194020124,-0.03737336803115327,-0.1502303857642533,0.45144458418767425,0.23629140921577968,0.4872766132524549,0.7644198968586501,-0.07972542439301429,0.20801146062977333,0.7274040380697184,0.5813549670486177
Frontal_Mid_2_L,0.22222387280727124,-0.5905841735587791,0.6623144473616532,0.3034605809599113,1.0,-0.3015637292730497,0.8053094176913038,0.43560351266488995,0.3285901193614102,0.2969115800808677,0.4052707677829613,0.2783166875414306,-0.4585376722455715,0.3272916457854329,0.7063546993177852,0.6417216047686842,0.6587636490560197,-0.6459411436983971,0.6459563298016083,0.7679234750047248
Angular_L,0.5475842322783845,0.8624460691475881,-0.5823648931476554,0.4845464245766559,-0.3015637292730497,1.0,-0.30529481790400176,-0.3460263216657999,0.5677153223683656,0.6685357030429921,-0.4212750625669965,-0.37591845409439617,0.8665750643594067,-0.3450111995834105,0.06869047088870982,0.12328758230481476,-0.5687304214306753,0.5304312995197356,0.28080663225624797,0.05341439799369469
Frontal_Inf_Orb_2_R,0.17358272832270902,-0.47018804446268103,0.5533256412763562,0.268138298687209,0.8053094176913038,-0.30529481790400176,1.0,0.42399081218323,0.35964080267800563,0.17347122271686766,0.5439551523716724,0.37683028322013473,-0.3514899060734641,0.31105100452443096,0.5546126297383678,0.5136371177495627,0.7746647360450141,-0.5058428609595025,0.5296499229680066,0.6440599392769475
Raphe_M,-0.023840930131772773,-0.4318700447510617,0.4738986124314049,0.10358428848543555,0.43560351266488995,-0.3460263216657999,0.42399081218323,1.0,-0.03131669250932605,0.09756601901246768,0.20736687847606936,0.13591794166767976,-0.29082348573791383,0.44226789604285016,0.26333819821761595,0.4676446320858585,0.33009554873219454,-0.1339461244378634,0.10815966860698364,0.31703803474351216
SupraMarginal_L,0.5320581734900393,0.3673968156133271,-0.09451069934919884,0.6506891195738166,0.3285901193614102,0.5677153223683656,0.35964080267800563,-0.03131669250932605,1.0,0.5473197562249963,-0.020678881816606084,-0.24063645259803118,0.44186735064166477,0.13930582993413643,0.685503575444207,0.46849494219333476,-0.0225538194732793,0.19551107456077144,0.5892188267323671,0.41188674163133654
Parietal_Sup_L,0.6505309451969599,0.4003838534337577,-0.11002001231770858,0.5086805194020124,0.2969115800808677,0.6685357030429921,0.17347122271686766,0.09756601901246768,0.5473197562249963,1.0,-0.12747393921764963,-0.1424766123601946,0.4749695460306536,-0.06989793290940079,0.2882633988464737,0.5032233417707039,-0.1463638769184256,0.03186600050843807,0.5366877126219471,0.5189120824033246
OFCpost_L,-0.026120974906302063,-0.4881399953120691,0.42213090435857786,-0.03737336803115327,0.4052707677829613,-0.4212750625669965,0.5439551523716724,0.20736687847606936,-0.020678881816606084,-0.12747393921764963,1.0,0.5517463568228896,-0.437213280112963,0.19439678754493722,0.09062631435670179,0.1509279420926062,0.5975327656599069,-0.37581279050906796,0.24102495373811655,0.31021499444650025
Frontal_Med_Orb_R,-0.027070419500411846,-0.3511264237340102,0.36075111669745,-0.1502303857642533,0.2783166875414306,-0.37591845409439617,0.37683028322013473,0.13591794166767976,-0.24063645259803118,-0.1424766123601946,0.5517463568228896,1.0,-0.36404381954441667,0.11042179570322455,-0.010563368266618696,-0.0008901963337418829,0.602037998343002,-0.353118765796179,0.0905597265156398,0.12049853260878697
Cuneus_L,0.4410991384796861,0.8805407227082148,-0.6139261558127482,0.45144458418767425,-0.4585376722455715,0.8665750643594067,-0.3514899060734641,-0.29082348573791383,0.44186735064166477,0.4749695460306536,-0.437213280112963,-0.36404381954441667,1.0,-0.24526712184845156,-0.06339770304900884,0.06534454949121299,-0.5667057922387497,0.7105107308659053,0.09427071096413034,-0.11996247919026029
Thal_AV_R,0.06743890991463361,-0.33934250116554177,0.38441476465618063,0.23629140921577968,0.3272916457854329,-0.3450111995834105,0.31105100452443096,0.44226789604285016,0.13930582993413643,-0.06989793290940079,0.19439678754493722,0.11042179570322455,-0.24526712184845156,1.0,0.314957065021621,0.423811035373091,0.3439513022668451,-0.09761432107249307,0.06565939379571431,0.15384537051821986
Frontal_Inf_Oper_R,0.23858108146396947,-0.18443199208835653,0.3970279327065446,0.4872766132524549,0.7063546993177852,0.06869047088870982,0.5546126297383678,0.26333819821761595,0.685503575444207,0.2882633988464737,0.09062631435670179,-0.010563368266618696,-0.06339770304900884,0.314957065021621,1.0,0.5627196771653284,0.28716784005261403,-0.17693516629404843,0.5917536970432083,0.5318867429768104
Thal_VPL_R,0.49507455899113595,-0.09486601555158915,0.32221399038755516,0.7644198968586501,0.6417216047686842,0.12328758230481476,0.5136371177495627,0.4676446320858585,0.46849494219333476,0.5032233417707039,0.1509279420926062,-0.0008901963337418829,0.06534454949121299,0.423811035373091,0.5627196771653284,1.0,0.22574487327136694,-0.15779830354511903,0.7200287007879017,0.759856990899315
OFCant_R,-0.09669552489930622,-0.6648354460504439,0.6437328618148682,-0.07972542439301429,0.6587636490560197,-0.5687304214306753,0.7746647360450141,0.33009554873219454,-0.0225538194732793,-0.1463638769184256,0.5975327656599069,0.602037998343002,-0.5667057922387497,0.3439513022668451,0.28716784005261403,0.22574487327136694,1.0,-0.5941275268459973,0.2011128820629175,0.3684361706393212
Cerebellum_Crus1_R,0.04465372262029215,0.6982272840700163,-0.531282877909402,0.20801146062977333,-0.6459411436983971,0.5304312995197356,-0.5058428609595025,-0.1339461244378634,0.19551107456077144,0.03186600050843807,-0.37581279050906796,-0.353118765796179,0.7105107308659053,-0.09761432107249307,-0.17693516629404843,-0.15779830354511903,-0.5941275268459973,1.0,-0.24301983210509295,-0.3903096894128262
Thal_VL_L,0.5961546298316545,-0.005374313712283972,0.19772639592242208,0.7274040380697184,0.6459563298016083,0.28080663225624797,0.5296499229680066,0.10815966860698364,0.5892188267323671,0.5366877126219471,0.24102495373811655,0.0905597265156398,0.09427071096413034,0.06565939379571431,0.5917536970432083,0.7200287007879017,0.2011128820629175,-0.24301983210509295,1.0,0.8006108796807665
ACC_sup_L,0.41002254978373026,-0.22181197452779464,0.41558028099657257,0.5813549670486177,0.7679234750047248,0.05341439799369469,0.6440599392769475,0.31703803474351216,0.41188674163133654,0.5189120824033246,0.31021499444650025,0.12049853260878697,-0.11996247919026029,0.15384537051821986,0.5318867429768104,0.759856990899315,0.3684361706393212,-0.3903096894128262,0.8006108796807665,1.0
