,Temporal_Inf_R,Thal_MGN_R,Insula_L,Olfactory_L,Heschl_L,Cerebellum_8_R,Temporal_Sup_L,Thal_PuA_L,Cerebellum_10_R,Postcentral_L,Cerebellum_7b_R,Cerebellum_Crus1_L,Cerebellum_10_L,Precuneus_L,Temporal_Mid_L,Cerebellum_6_L,OFCant_R,Insula_R,Thal_MDl_R,ACC_sup_R,Lingual_L,OFCant_L,Amygdala_L,Fusiform_R,Thal_LGN_R,Cerebellum_Crus2_L,Temporal_Sup_R,Rectus_R,Thal_PuL_R,N_Acc_L,Red_N_L,Thal_LP_L,Frontal_Sup_2_R,Frontal_Inf_Orb_2_R,Caudate_L
Temporal_Inf_R,1.0,0.17799236014246914,0.2923158240158283,-0.4225258120905168,0.3080219781010238,0.6387264084350617,0.20475235699057492,0.03532781214449112,0.764944112485169,0.20709728507393782,-0.4284462029170859,0.608952108422061,0.7542948926185357,0.25208559396247987,0.5766016609231401,0.7189882168966852,-0.41097488394831316,0.6273472948936517,0.608647616696562,-0.06002264528272741,0.6999805733464997,-0.4569736513707732,-0.5586593236805047,0.853242946563497,0.14877835634688755,-0.024221221731674132,0.7583477919368317,-0.14676265232229693,0.5698834126423689,0.30079109981046814,-0.11674305916547813,0.31402213132231266,-0.5047501828399218,-0.2511311355932904,0.025193420332619607
Thal_MGN_R,0.17799236014246914,1.0,0.17069922051288708,0.3352703061078166,0.2369883122817434,-0.12843689970069228,0.45471637039820134,0.39201208168145063,0.0867989998269199,0.5590275088598606,-0.02522787111603654,-0.2998518963631641,0.18193676503940817,0.11845215171127185,0.13825708820281568,-0.018243231097832314,0.2722911367402578,0.19837233834876225,0.19447509089196255,0.46792965603878717,0.24917988995934282,0.2680786139632171,0.2957703985519586,0.23103594930943505,0.6450030576637508,0.07406440903973661,0.2812729942755559,0.2236970926966972,0.04795346551119558,0.017132916657277956,-0.36759167544042554,0.2506558811745929,0.26071087204104865,0.37512312706065104,0.4107345907972615
Insula_L,0.2923158240158283,0.17069922051288708,1.0,-0.15855594387691777,0.7440106108597252,0.3761297805556026,0.589907113847516,0.49546757397987196,0.32665820249799504,0.6447535679776083,0.2594900998637353,0.22835673607459847,0.27770470492623206,0.5142721776084836,0.5749624905817888,0.44799439482378445,-0.060681891712705695,0.7465022878907946,0.491665005099781,0.4270516936095519,0.5106713833434319,-0.043375749050690096,-0.07665271717923196,0.5055605461029393,0.2852171508345649,-0.04629222347602003,0.4591577689969058,-0.290016376951737,0.5394660401529503,0.4744049278567832,0.3850588611344074,0.7285246796845308,0.11960004009740159,0.2706886135358248,0.49797709918603567
Olfactory_L,-0.4225258120905168,0.3352703061078166,-0.15855594387691777,1.0,-0.043545856447517066,-0.7078461350528659,0.2560516357228422,0.22249427682689366,-0.5748753858014529,0.22730228645193729,0.16891031417503724,-0.6098819811407542,-0.4549659346502323,0.0300598257532989,-0.2555936296966392,-0.6094464893895759,0.7103614638428737,-0.4038804361230468,-0.2909101364233357,0.5094900404893844,-0.365570349618974,0.7000413294264428,0.8662449688822624,-0.3183659070709038,0.41179703178114413,0.10009878480503029,-0.36877468006341313,0.5739761440300936,-0.3400838085986781,-0.07220194914232181,-0.31888919171371616,-0.0450146989605017,0.6806600785606455,0.6350495879858136,0.4247791973611551
Heschl_L,0.3080219781010238,0.2369883122817434,0.7440106108597252,-0.043545856447517066,1.0,0.3027514344539896,0.5985843519827574,0.4480669138887205,0.3043320058935441,0.6342489102036902,0.04940685815914383,0.1961220283880467,0.2971627874699662,0.6095310913735277,0.5264448045624318,0.40888022312243966,-0.052051931352820754,0.682684576892542,0.5043457689260968,0.4842884452512645,0.5534590026638686,-0.07731696009931296,0.014537953991305263,0.5328290607574578,0.3535218536005558,-0.041525925597403104,0.5645395605721937,-0.14053509329405225,0.6239243494277946,0.43879395554450723,0.3151727929083184,0.7288443666532527,0.14565439556260296,0.28473377690613494,0.542625271321481
Cerebellum_8_R,0.6387264084350617,-0.12843689970069228,0.3761297805556026,-0.7078461350528659,0.3027514344539896,1.0,0.03157441844607042,-0.017090862632583772,0.780205063285751,0.12696404997406616,-0.25846955121002013,0.8057335140735425,0.7086818322869958,0.16869787580734827,0.4794741733097716,0.8443266173841099,-0.6258403042176874,0.6664416661885039,0.6331485298612044,-0.31919143510024145,0.664156022908231,-0.6891756191783952,-0.7547082195207196,0.5853134058566422,-0.24944270961534518,0.007818101039595458,0.6567266561661971,-0.5389188651130699,0.5830354803587977,0.35681181777846727,0.3186321374910605,0.36543199506951396,-0.6428293172010892,-0.41362105489396256,-0.13894228454099983
Temporal_Sup_L,0.20475235699057492,0.45471637039820134,0.589907113847516,0.2560516357228422,0.5985843519827574,0.03157441844607042,1.0,0.4865372338201259,0.15497361830512904,0.7945733188254938,0.20733270784527805,-0.16075983029183286,0.24152588507996672,0.471694494098851,0.6354653267694197,0.20956993545627306,0.1895565971565487,0.4370114384042017,0.2900585539954685,0.5260558733582614,0.5159071211110007,0.3140507429774143,0.26826793316862396,0.4050389252677262,0.4471364061688015,-0.13597391968783598,0.4583314506941242,0.08220595941175285,0.34239397506973024,0.3175493922062416,-0.057601105635196985,0.5269422282404362,0.35084366002926387,0.4028682430893864,0.6679531935134748
Thal_PuA_L,0.03532781214449112,0.39201208168145063,0.49546757397987196,0.22249427682689366,0.4480669138887205,-0.017090862632583772,0.4865372338201259,1.0,-0.024420302447591646,0.537399600439382,0.1537544619153779,-0.048837804652684,-0.017409207777405143,0.46012368027770234,0.2729217431013515,0.12211534426671129,0.18703482616850667,0.3154512088137886,0.1214689383947435,0.4911918618663376,0.21116809465152683,0.23308597698147573,0.18205742191110513,0.2707137654031993,0.5454555845506203,-0.014927025905030474,0.1858409170125578,0.10717688617759367,0.1904054181223786,0.16493337757485252,0.17492256045214497,0.5107123441884578,0.3457771608905565,0.32148610127864613,0.5107644999211098
Cerebellum_10_R,0.764944112485169,0.0867989998269199,0.32665820249799504,-0.5748753858014529,0.3043320058935441,0.780205063285751,0.15497361830512904,-0.024420302447591646,1.0,0.18986015540213372,-0.3584410763684117,0.7047064404823462,0.9450755745235639,0.18402772142114301,0.6421457136460642,0.881075556720253,-0.5367787054776065,0.7092975578973074,0.7068632301698289,-0.20896831258960655,0.8459161397760597,-0.6433222675833822,-0.6707012111179662,0.7452694186071039,-0.06522213408949736,-0.25947392758213567,0.86363236911726,-0.4905274870201624,0.6399258697563761,0.3268442893845625,-0.04368607486949563,0.38747829953443136,-0.7248888152537442,-0.39839312902122825,-0.08986407517413161
Postcentral_L,0.20709728507393782,0.5590275088598606,0.6447535679776083,0.22730228645193729,0.6342489102036902,0.12696404997406616,0.7945733188254938,0.537399600439382,0.18986015540213372,1.0,0.2738697012110265,-0.11248268444411776,0.2715215646324531,0.5099647373012388,0.4815758658474524,0.20767502795940346,0.21764832402695936,0.48668084253633004,0.3923605122791748,0.5822748942765218,0.5239216211817218,0.2182460971191176,0.3004379966861939,0.3779721887630198,0.5072336907199398,0.03846584483321805,0.4738956952967365,0.04537354272033345,0.41966839328935995,0.259710148682163,-0.04257115603173453,0.6927960468932365,0.42446823425568075,0.5380149578628047,0.7432354012315485
