,Temporal_Inf_R,SN_pr_L,Occipital_Inf_R,Cerebellum_10_L,Cingulate_Mid_R,Frontal_Sup_Medial_L,Thal_LP_L,Cerebellum_9_L,VTA_R,Frontal_Sup_2_R,Vermis_9,Cerebellum_6_R,Thal_LP_R,Amygdala_L,Thal_Re_L,ACC_pre_R,OFCpost_R,Cuneus_R,OFCant_R,Precentral_L,SN_pc_L,Thal_VPL_R,Thal_MGN_L,Angular_L,Occipital_Mid_R,Thal_PuL_R,Frontal_Med_Orb_L,Thal_PuA_L,Thal_MDl_L,Hippocampus_R,Vermis_8,Raphe_M,OFCant_L,Temporal_Sup_L,Cerebellum_Crus1_R,Heschl_R,Olfactory_L,Cingulate_Post_L,Frontal_Inf_Oper_L,Thal_VA_R,Frontal_Inf_Tri_L,N_Acc_R,Frontal_Mid_2_R,Temporal_Mid_L,Precuneus_L,Thal_MDl_R,Rolandic_Oper_L,Thal_AV_L,Temporal_Mid_R,Paracentral_Lobule_R
Temporal_Inf_R,1.0,-0.4619816779797369,-0.11549701495558345,0.7542948926185357,0.09963625269900957,-0.35299522028486374,0.31402213132231266,0.785662753959958,0.36095895511145226,-0.5047501828399218,-0.7458042306001662,0.7636043061034123,0.19544403284882475,-0.5586593236805047,-0.04134206746461557,-0.41894492232729696,0.3898489495595388,0.45318990427892814,-0.41097488394831316,0.11003938454294572,-0.26349938675966433,0.09020327852014169,0.1729157875637086,0.49069480282181765,0.6054173869497691,0.5698834126423689,0.5257871359593189,0.03532781214449112,0.36943375101241843,-0.17005970659070185,-0.5063271064260331,-0.1269716378521907,-0.4569736513707732,0.20475235699057492,0.6449764346829506,-0.5507674952266879,-0.4225258120905168,0.08297589880887773,0.06377671115502517,-0.4934047000653898,-0.1789246154801462,0.12653050965234489,-0.4798226562882284,0.5766016609231401,0.25208559396247987,0.608647616696562,0.21483951225014133,-0.39715540921643094,0.7758913023665855,0.1901990577612098
SN_pr_L,-0.4619816779797369,1.0,-0.09587149662173625,-0.4715433852593524,0.5506896642081192,0.7705204576217389,0.15364138107000122,-0.6090986303074694,-0.026357212605130582,0.7822374848654479,0.6134918187692033,-0.6507762493245706,0.032351558871991475,0.7841500469223934,0.04533861862713707,0.7730505092425354,-0.03768403501191864,-0.4476060254633865,0.5097469201089143,0.5028933867928523,0.5729828453317795,0.4521007441510004,0.23546960822433352,-0.3123645520623044,-0.5878356302923369,-0.22282884820785934,-0.35930174031068224,0.3417147279504657,0.28220143696721456,0.7130568615930706,0.5834363811665393,0.34062310015214453,0.5461336800414666,0.389981490720834,-0.5822950545438741,0.7252768719214824,0.6889774511893965,0.3249208608082175,0.5014645727747301,0.7672335280099747,0.6666752163724755,0.3094385579056642,0.8366919696612225,-0.20842029804036033,0.1534306042010905,-0.208893461672116,0.2228428383544422,0.6432243360140797,-0.3691156455275677,0.46151152086320407
Occipital_Inf_R,-0.11549701495558345,-0.09587149662173625,1.0,-0.30430861093938877,0.05491593051469621,0.09004133885652887,0.04972338185693526,-0.1454846495777893,-0.14960364865307438,0.01737088307922316,0.14507230756795414,-0.007593269394773854,0.2164306402613136,-0.04360327992613591,-0.06599442815675356,-0.08398625642310119,-0.10594070465504642,0.27530574021200094,-0.087845670237183,-0.24691371983374155,-0.15441320444319226,0.019258775326622412,-0.04668071107768723,0.17062525949888932,0.1976967832246094,0.062099854521426884,0.12105719238371887,0.07020106775053532,-0.16139287345495754,0.10373932103282507,-0.08771619730744486,-0.05266378374638162,-0.08079437733907834,-0.2898071265922359,-0.03294469250193285,0.16178304091654103,-0.1351178113100956,-0.12465822995503054,-0.21889733259139096,-0.12225246355910581,-0.09504043841887844,-0.03139555762863547,-0.08004416313688198,-0.14901597161009558,0.1978429112997417,-0.14932213386935672,-0.1976698282323661,-0.2699833979236393,-0.036076859997609664,-0.07806327183991627
Cerebellum_10_L,0.7542948926185357,-0.4715433852593524,-0.30430861093938877,1.0,-0.005026947474483556,-0.45705240421015725,0.3444970675536236,0.9101929162128886,0.4439049648155424,-0.6691257317581296,-0.8945338222977607,0.8406344709695329,0.25201662588440527,-0.5712907924548281,-0.04402179838857954,-0.44869991958776156,0.2494597525447202,0.4433102176867802,-0.4953756355924413,0.1928274500798807,-0.14515102835105445,0.013183550873548713,0.19304475517016778,0.5307082033960584,0.6481385699091476,0.5762020399565578,0.5441356425843911,-0.017409207777405143,0.46060535821236903,-0.3287563502936337,-0.5853465480728316,-0.258871674548676,-0.5565900819971403,0.24152588507996672,0.6359157556662508,-0.7027853621074586,-0.4549659346502323,0.12601047067068624,0.16109087566595381,-0.5344369833590844,-0.09668115215344436,0.016893292595953107,-0.5614399476234218,0.6344620275714248,0.13545318833277065,0.6751702623938021,0.23147361347008166,-0.3483251851307065,0.7593812003731575,0.17446756564584293
Cingulate_Mid_R,0.09963625269900957,0.5506896642081192,0.05491593051469621,-0.005026947474483556,1.0,0.7506548687111892,0.7204636109814382,-0.0623270996518803,0.3450124760356676,0.5617523631268172,0.1500585249552709,-0.047069751667376196,0.33642182541956317,0.3704939969162296,0.03254670826320296,0.5493645801413684,0.21804937967073476,0.1400757820720908,0.25019784993056765,0.8106991332223459,0.48163969331312284,0.7806733203392747,0.4600932218977662,0.2996070425176049,0.03006211625614443,0.44786491999715905,0.05637623244699808,0.608676462245597,0.6091954610988958,0.7345836445833256,0.20066897668163988,0.24892020395332284,0.26262684173568646,0.6011551730267358,-0.14473096696520765,0.407870676204244,0.28318139718730584,0.6888925320671055,0.7554088430547196,0.44460653390064725,0.7766921544332139,0.4871838968279206,0.6055658130138047,0.3354267355862899,0.7241133232154428,0.3190782174402659,0.47381183177002567,0.3005815126713733,0.30158351226225366,0.9120581985199149
Frontal_Sup_Medial_L,-0.35299522028486374,0.7705204576217389,0.09004133885652887,-0.45705240421015725,0.7506548687111892,1.0,0.39190969313773577,-0.5305557423742568,-0.011291058592811862,0.8588950086757476,0.5894234203777003,-0.5190793194839753,0.18054347802243462,0.6876498824066782,-0.0001068552940160358,0.8202933849992844,0.13771238390553656,-0.2825090583250763,0.6243302030512586,0.6429557140138634,0.6098969464790713,0.6137351197532392,0.2556840353355556,-0.18451641333673635,-0.43035721781104225,-0.06394155541766344,-0.2882913044966282,0.521470518593582,0.3847277256766862,0.7760399164544413,0.570360720214563,0.32124068380262777,0.621425457927638,0.4414997337712238,-0.5120571313367391,0.7358415457371381,0.5602573938219974,0.40908617679108505,0.5885755338349543,0.7231297182423289,0.8238263991523899,0.37898492575059906,0.8716520431967206,-0.10639445064895087,0.2938367583856345,-0.0965181995519842,0.4111383587616568,0.6179815008449396,-0.2366228655387554,0.6471928749312756
Thal_LP_L,0.31402213132231266,0.15364138107000122,0.04972338185693526,0.3444970675536236,0.7204636109814382,0.39190969313773577,1.0,0.33698585547476023,0.4651616834770416,0.11145967342937411,-0.2506756792512901,0.3937674372781091,0.42522758435452335,-0.0124961598957,0.04515944677981934,0.1424313343882541,0.26096412280159875,0.4359524464699877,-0.0833975725558631,0.6623059169409188,0.3278121346104318,0.5969493193907104,0.2800548057891355,0.5885448183240162,0.43148464627797856,0.7159081457141817,0.24466634846250943,0.5107123441884578,0.571744119046377,0.37382730082430277,-0.16107010984616257,-0.02118637089103203,-0.11307314272583467,0.5269422282404362,0.1958638648260636,0.02984196573580701,-0.0450146989605017,0.6346173749570297,0.6480121642415796,0.025770637979967606,0.5802206126640378,0.37999711035704786,0.16939115046299907,0.5852259315828121,0.6743185792702466,0.6090535638642461,0.4914017206981298,-0.03329772491743524,0.5990763462553212,0.7386157556968089
Cerebellum_9_L,0.785662753959958,-0.6090986303074694,-0.1454846495777893,0.9101929162128886,-0.0623270996518803,-0.5305557423742568,0.33698585547476023,1.0,0.39302274813906274,-0.7349913630568602,-0.9027247855657934,0.9550176320509055,0.27764786324210616,-0.7333992540733879,-0.0836483655632154,-0.5855632079742481,0.286297974784663,0.6117199581030404,-0.5771432374541714,0.04952832180486747,-0.2807021717494335,-0.04027200753705776,0.07264724007482606,0.6304810425722025,0.7824242428151124,0.6243871297754121,0.5700518007861558,-0.019966744031875084,0.3201478146857059,-0.42250041228770163,-0.6512437842739711,-0.2817133679010709,-0.6467318074334928,0.13826235901722447,0.7865601498117163,-0.7248003075894008,-0.6112613836275346,0.054075154325564256,0.021658777220703928,-0.6916800615810766,-0.21773199676924573,0.03058390129002813,-0.676947241178198,0.6222275403245885,0.1766847527361293,0.6919270984865714,0.20176678023147032,-0.5545587574362045,0.7938522033769789,0.09219214486607487
VTA_R,0.36095895511145226,-0.026357212605130582,-0.14960364865307438,0.4439049648155424,0.3450124760356676,-0.011291058592811862,0.4651616834770416,0.39302274813906274,1.0,-0.12070252725201609,-0.30210520415478315,0.3855157492339758,0.10318338885883153,-0.16323379883882264,0.06974189187452748,-0.06189749398432125,0.25046561986126625,0.33380347204315647,-0.1772348328745391,0.41600478718908324,0.06143961715347387,0.2705794129725896,0.3069610803946928,0.4278461550956423,0.33113407153073804,0.5887005047643344,0.38492983220335664,0.26436844462083553,0.3240057057367156,0.1269336839124772,-0.28127832550278364,-0.14414375537656163,-0.0511175212135504,0.4779909277030287,0.09745053548365791,-0.34757358084652845,-0.09661996932926342,0.22869809983110753,0.4123377302549719,0.021411436772420956,0.3095264022459136,0.1700881789027069,-0.052939391882515154,0.6483921097636706,0.4606744587374442,0.36027140010229136,0.2532825504951707,-0.0818343566415828,0.5951662566949777,0.4364979931622533
Frontal_Sup_2_R,-0.5047501828399218,0.7822374848654479,0.01737088307922316,-0.6691257317581296,0.5617523631268172,0.8588950086757476,0.11145967342937411,-0.7349913630568602,-0.12070252725201609,1.0,0.7796569802746806,-0.7511810719949213,-0.04401508573634775,0.7897971661545723,0.09294207207299501,0.8177377912144098,-0.039113163923243405,-0.5120354231792827,0.7217348262993841,0.45994863825873217,0.5327061195627399,0.4610340022043612,0.18550094751725,-0.4298181251689398,-0.6879901333349201,-0.28994048566570196,-0.4701518710120618,0.3457771608905565,0.07831998022155039,0.7429137540406803,0.7062303352880017,0.41225890960663597,0.7613151271419032,0.35084366002926387,-0.6657762381641458,0.8244244542366935,0.6806600785606455,0.28988118651865813,0.42041420810085534,0.8408137230418696,0.6508528468036968,0.3015429536031932,0.9555730563301627,-0.23947122504850915,0.17798006123182888,-0.3487088931877354,0.20554430954374983,0.6912492487502884,-0.43624947987784835,0.44713172058451683
