,Cuneus_L,Vermis_1_2,Frontal_Sup_2_R,Paracentral_Lobule_L,Amygdala_L,Angular_L,ACC_pre_R,SN_pr_L,Thal_LP_L,Supp_Motor_Area_L,SN_pr_R,Temporal_Mid_R,Cingulate_Mid_R,Temporal_Pole_Sup_R,ACC_sub_R,Cerebellum_8_R,Cerebellum_Crus1_R,Frontal_Sup_2_L,Red_N_L,Thal_VL_L
Cuneus_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermis_1_2,0.0,1.0,-0.43566562235430256,-0.513647143978111,-0.48163695908373216,0.14958303640713771,-0.19860198054968514,0.04103036084002064,-0.26846828640630105,-0.5858662238361435,-0.10546934154311892,0.38966365416097154,-0.3638271505439749,-0.6662960465998419,-0.5852104981229622,0.2882958498895585,-0.47721373789264415,-0.4665370604114044,-0.3759978897857427,-0.193961182477278
Frontal_Sup_2_R,0.0,-0.43566562235430256,1.0,0.4081767769759242,0.5845425417770906,-0.039092258495952964,0.8205131221720368,0.4999912946186709,0.5938834692333222,0.882061569228837,0.48808438987158553,0.16345897493594114,0.8653538716558641,0.7145590103557514,0.6200516307868797,-0.1120023376751078,0.3521628009891442,0.9571364736634213,0.4665362619859542,0.6706078214380704
Paracentral_Lobule_L,0.0,-0.513647143978111,0.4081767769759242,1.0,0.16128042196778256,-0.23949355181810675,0.19325728451052182,-0.10429316688277959,0.0532433869444757,0.625948639475319,0.1880309802468253,-0.13198834005018892,0.4666292199284043,0.2863175061356993,0.2667184555652214,0.22391313822736322,0.6570073858000918,0.42116319573479616,-0.1861103865304845,-0.1935217446598109
Amygdala_L,0.0,-0.48163695908373216,0.5845425417770906,0.16128042196778256,1.0,-0.00969661089881119,0.2644341350426804,0.6154009872978345,0.4602405829595393,0.6726438527233564,0.49059791225410426,0.11806311527666184,0.4270243173433589,0.6130196538178241,0.6134428174775223,-0.14780641487590027,0.22172635326827014,0.6453175094657599,0.6420478872554161,0.5751242227884659
Angular_L,0.0,0.14958303640713771,-0.039092258495952964,-0.23949355181810675,-0.00969661089881119,1.0,0.03526853917947586,0.07329863314283282,0.03680968818809785,-0.11804009761096282,-0.06258964718459621,-0.13837830348218594,-0.03533486339978226,-0.16940418559799325,-0.04930392345146113,-0.21214221680998313,-0.2872064262619411,-0.040365954676195984,0.14732665923552046,0.10901806304923879
ACC_pre_R,0.0,-0.19860198054968514,0.8205131221720368,0.19325728451052182,0.2644341350426804,0.03526853917947586,1.0,0.3963398590783448,0.4772560910177864,0.5820157108222729,0.22276967031103162,0.1950711956847411,0.6988068575718792,0.5513180296419856,0.5064433159475459,0.023586728073898965,0.2642849424452879,0.7873586186158296,0.2938089682439689,0.5593645577722055
SN_pr_L,0.0,0.04103036084002064,0.4999912946186709,-0.10429316688277959,0.6154009872978345,0.07329863314283282,0.3963398590783448,1.0,0.4205467486258653,0.4805424109229992,0.35074529718662634,0.21072199985769066,0.4365553349871955,0.3046399090828429,0.29607893320699413,-0.061674421196564785,-0.004126403335301283,0.548076564199572,0.48484929008484995,0.650749029972706
Thal_LP_L,0.0,-0.26846828640630105,0.5938834692333222,0.0532433869444757,0.4602405829595393,0.03680968818809785,0.4772560910177864,0.4205467486258653,1.0,0.5289870452833924,0.4493110959417018,0.08283060533815119,0.6149932110714202,0.4750080940547408,0.5317503637380993,-0.1824643516530226,0.029201052584599613,0.5901206943115305,0.5581866910127484,0.6963442291748856
Supp_Motor_Area_L,0.0,-0.5858662238361435,0.882061569228837,0.625948639475319,0.6726438527233564,-0.11804009761096282,0.5820157108222729,0.4805424109229992,0.5289870452833924,1.0,0.4893065754853824,-0.0035500052658430036,0.8234275103340226,0.6981819920099491,0.5673994481058295,-0.028230951337822646,0.4890372217672656,0.8996659256022947,0.38540907066786956,0.5327611339219072
SN_pr_R,0.0,-0.10546934154311892,0.48808438987158553,0.1880309802468253,0.49059791225410426,-0.06258964718459621,0.22276967031103162,0.35074529718662634,0.4493110959417018,0.4893065754853824,1.0,0.40141857781188345,0.4863936261800532,0.25086921915557464,0.4762312126687449,0.10611383223945654,0.0015461295925386367,0.5044624422531021,0.3574461034651748,0.4511093922395009
Temporal_Mid_R,0.0,0.38966365416097154,0.16345897493594114,-0.13198834005018892,0.11806311527666184,-0.13837830348218594,0.1950711956847411,0.21072199985769066,0.08283060533815119,-0.0035500052658430036,0.40141857781188345,1.0,0.10839061356320454,0.15013509204499811,0.06136632811487809,0.24771344021624264,-0.052482629204362294,0.15843259116895322,-0.07616399419571167,0.13369614485311143
Cingulate_Mid_R,0.0,-0.3638271505439749,0.8653538716558641,0.4666292199284043,0.4270243173433589,-0.03533486339978226,0.6988068575718792,0.4365553349871955,0.6149932110714202,0.8234275103340226,0.4863936261800532,0.10839061356320454,1.0,0.5564724123615861,0.46495393474904684,-0.05398249268136303,0.2538163855972297,0.833170735385375,0.39666317082356706,0.6110681280401751
Temporal_Pole_Sup_R,0.0,-0.6662960465998419,0.7145590103557514,0.2863175061356993,0.6130196538178241,-0.16940418559799325,0.5513180296419856,0.3046399090828429,0.4750080940547408,0.6981819920099491,0.25086921915557464,0.15013509204499811,0.5564724123615861,1.0,0.630810550357863,-0.27973321814646884,0.5269432926667497,0.7249956669103659,0.41285038648571504,0.5238015492029368
ACC_sub_R,0.0,-0.5852104981229622,0.6200516307868797,0.2667184555652214,0.6134428174775223,-0.04930392345146113,0.5064433159475459,0.29607893320699413,0.5317503637380993,0.5673994481058295,0.4762312126687449,0.06136632811487809,0.46495393474904684,0.630810550357863,1.0,-0.14705692217054636,0.33194307846053617,0.6268040904846494,0.6326806755009468,0.4987373779116219
Cerebellum_8_R,0.0,0.2882958498895585,-0.1120023376751078,0.22391313822736322,-0.14780641487590027,-0.21214221680998313,0.023586728073898965,-0.061674421196564785,-0.1824643516530226,-0.028230951337822646,0.10611383223945654,0.24771344021624264,-0.05398249268136303,-0.27973321814646884,-0.14705692217054636,1.0,0.21472234278912272,-0.10690077975575303,-0.3660783612333307,-0.3117360378071131
Cerebellum_Crus1_R,0.0,-0.47721373789264415,0.3521628009891442,0.6570073858000918,0.22172635326827014,-0.2872064262619411,0.2642849424452879,-0.004126403335301283,0.029201052584599613,0.4890372217672656,0.0015461295925386367,-0.052482629204362294,0.2538163855972297,0.5269432926667497,0.33194307846053617,0.21472234278912272,1.0,0.39307918520805957,-0.07768831729252565,-0.07935741835012687
Frontal_Sup_2_L,0.0,-0.4665370604114044,0.9571364736634213,0.42116319573479616,0.6453175094657599,-0.040365954676195984,0.7873586186158296,0.548076564199572,0.5901206943115305,0.8996659256022947,0.5044624422531021,0.15843259116895322,0.833170735385375,0.7249956669103659,0.6268040904846494,-0.10690077975575303,0.39307918520805957,1.0,0.45827269050431585,0.6658520698578182
