,Red_N_L,Insula_L,Frontal_Med_Orb_L,Precentral_L,OFCpost_L,Thal_PuL_R,Thal_LGN_L,Rolandic_Oper_L,Frontal_Sup_2_L,Insula_R,SN_pc_L,Thal_VL_L,Frontal_Sup_Medial_L,Cerebellum_10_R,Cerebellum_Crus2_R,Thal_VPL_L,N_Acc_R,Thal_LGN_R,Hippocampus_R,OFClat_R,Parietal_Sup_L,Thal_PuL_L,Frontal_Sup_Medial_R,Cerebellum_7b_L,Cerebellum_3_L,Postcentral_L,Thal_Re_R,Frontal_Mid_2_R,OFCpost_R,Vermis_10,Heschl_L,Vermis_9,Cerebellum_8_R,SN_pr_L,Thal_VL_R,Parietal_Inf_L,Thal_MDl_R,Thal_AV_R,ACC_pre_L,Vermis_3,Thal_MDm_L,ACC_sup_L,Cerebellum_Crus1_R,Angular_R,Vermis_4_5,SN_pr_R,Cingulate_Post_R,Precentral_R,OFCant_L,OFClat_L
Red_N_L,1.0,0.6351800829027062,0.4035332877357248,0.03463694479572842,0.5818040907394686,0.239988324208661,0.17645135009773788,-0.03893105473227248,0.45827269050431585,0.4274801804640745,0.36177278940736163,0.6976697326185202,0.3498925605927201,0.3203939517862121,-0.22659380624497474,0.6384315251011692,0.3118070503229662,0.669630612415643,0.5823840013343604,-0.13407534439955776,-0.17363415823441886,0.6232499438336239,0.3378205363795659,0.06709338494485008,-0.31303820913948,-0.2678011752955844,0.5096548803196815,0.5218855813239545,0.3249804053380965,-0.2948213366717028,-0.230553040403599,-0.13378297235605907,-0.3660783612333307,0.48484929008484995,0.42837826034291576,0.07545564672043478,0.4470185516496913,0.5307601523455744,0.5134768595444147,-0.2625654577448832,0.4927183088209863,0.40624652661297367,-0.07768831729252565,-0.06453674708921849,-0.27322287236419923,0.3574461034651748,-0.34035520093631666,0.40216023228840747,0.14830566797611514,0.1033486848848864
Insula_L,0.6351800829027062,1.0,0.5059233932913556,0.35978951210157717,0.4736921691374636,0.17717755682136163,0.33845985304310805,0.23661143347338565,0.8623270374149086,0.8291802298282219,0.3850262024965185,0.8647897764304034,0.7924841178378362,0.04043174517077802,0.03554089905486666,0.8078737864628794,0.7029113149726488,0.6494359008666578,0.8254941854021013,0.03654462925171551,-0.0243727212036514,0.6827433257670511,0.7788852699665915,0.031282048818840134,-0.22476954002977134,-0.05488880628455608,0.48157979137315293,0.8749451471021389,0.4703271704637936,-0.14601314315741926,-0.15984538613107488,-0.22079163474958188,-0.21326962872104538,0.6680685068865166,0.882737486829168,-0.002113507586071868,0.6448872458395509,0.74418941337072,0.7734659106653272,-0.03726223995079139,0.7141990617415515,0.8196257547684209,0.1368715826547643,-0.05710976941756193,-0.19692207036110404,0.46938354855528397,-0.1866712701731117,0.5208192603268585,0.261407714381836,0.18043175779444967
Frontal_Med_Orb_L,0.4035332877357248,0.5059233932913556,1.0,0.44401331107266695,0.8080869850653709,-0.272343438649639,-0.3250322654889539,-0.31257962193398314,0.5574017904787782,0.40313493765218933,0.0416912359428456,0.3371851840328007,0.43497634085875164,0.24971365414465763,0.05312935587827286,0.255832492053087,0.22036001013333265,0.5323878780676838,0.28790123859481687,0.29011285648676455,-0.42213293996022977,0.1709513895260989,0.4795777154478061,0.07052794056370387,-0.7694783151604132,-0.16103125454281297,0.43273162099385754,0.5359938484007364,0.8635050645668996,-0.07773835540983386,-0.6966282641941526,-0.28549655012239233,-0.41889166406998946,0.17444412728272085,0.32279936280471067,-0.3656453508094871,-0.023276879668062373,0.650141144514344,0.6405490676849205,-0.639287394068683,0.06204749335090251,0.4084417313202374,0.42382012220974963,-0.5390502560347288,-0.7441058252944315,-0.03573806330523571,-0.7133539469851208,0.2963593430537888,0.07682556773772274,0.501547292821237
Precentral_L,0.03463694479572842,0.35978951210157717,0.44401331107266695,1.0,0.32503861587442673,-0.2752886748454733,0.14073712900545365,0.19050373349949543,0.674845501351619,0.3706503426799608,-0.32732190173374315,0.1105246157790964,0.5006664828637665,-0.2759460090068051,0.3218720065999139,0.09003888509963603,0.2971145418541407,0.4337188682535181,0.3498078346989254,0.08611005761785895,-0.34246687337496573,-0.013641213804007317,0.4995253000389137,0.13170159030379114,-0.5532317094100714,0.5208413031791461,0.09149518057351332,0.5942507250023532,0.5120020615296005,0.05509765395052726,-0.31576922406087854,-0.16451575499439108,0.16073532047217215,0.1593037175794364,0.4038978863424725,-0.40723826404928043,-0.04140349459452146,0.40074144092515007,0.38015890602491337,-0.36735763839233504,-0.04084991514166635,0.36559278915026044,0.6184238043706425,-0.5565378628237304,-0.44213803583990735,0.36156899018308086,-0.11633557443867697,0.4965884577192419,-0.05409727743109594,0.32811609815921616
OFCpost_L,0.5818040907394686,0.4736921691374636,0.8080869850653709,0.32503861587442673,1.0,-0.28190494004319755,-0.3078537469083688,-0.08434238062319165,0.4498615475016326,0.2664175390857864,0.14044587280281445,0.36487964280339735,0.35340119255389296,0.4209445686718948,-0.21473948056089273,0.26553896106854535,0.10538088569738667,0.6556920387045098,0.23306096993608882,0.11040380934186599,-0.585316233212186,0.2936518222909105,0.3832092088790865,0.19479750759930642,-0.8082059800159723,-0.07181097886796806,0.48046611513268567,0.5053083904265426,0.6467167832382483,-0.27877309187756805,-0.46830845251152414,-0.24921492309425455,-0.4559502447594039,0.11971659265348197,0.2535317604361069,-0.29042238354195543,0.04963784486499965,0.5217234442377998,0.5677097961794481,-0.715712399834795,0.11272729977461451,0.3311590608722698,0.2617334650895865,-0.5054042205304213,-0.7714619585832668,-0.10286062658745554,-0.7045901342637342,0.3872292437474784,-0.08787345783338645,0.4352815673386939
Thal_PuL_R,0.239988324208661,0.17717755682136163,-0.272343438649639,-0.2752886748454733,-0.28190494004319755,1.0,0.3657445737438634,0.10552185009846352,0.03302665523429529,0.1519266195794959,0.3084199114671685,0.37314119888517094,0.025974222236319705,-0.04132636071835093,0.012920420733297562,0.28870230423974386,0.30088602125641917,-0.02748818823852509,0.2398010945750646,-0.24061208246171398,0.3118981349880681,0.36354104833065926,-0.008046819859392517,-0.024068434419990573,0.4108498797391257,-0.13731819151186564,0.15201423916349638,-0.01696549940136684,-0.2566288105407676,-0.16417989434325736,0.2946158747518299,0.14659800064858897,-0.01250587997543806,0.24989559628989017,0.17558830855912502,0.20576304971264023,0.3296180713959282,-0.04861624563794737,0.0696438857763997,0.4306968921573422,0.41818691573366484,0.09413724933010875,-0.2400140178910673,0.31542329117669005,0.32082292636673865,0.20414506885575223,0.2856780591217189,-0.02638797449341071,0.35306223129195813,-0.18085639755021204
Thal_LGN_L,0.17645135009773788,0.33845985304310805,-0.3250322654889539,0.14073712900545365,-0.3078537469083688,0.3657445737438634,1.0,0.41047164440094647,0.29220775397324195,0.23121278833123624,0.17395904631770429,0.3363229614392302,0.19931008728485125,-0.42731310303576375,0.15866313511633642,0.41182256255023797,0.261283451923887,0.23793564587939384,0.45878712052907294,-0.437184230630375,0.25107174313165437,0.284447152876999,0.18142646578460062,0.009004213316203819,0.3810452732871919,0.18165630369134989,0.17082421425222358,0.24842764510094725,-0.2825584861226614,0.06936135621004466,0.34411331567144504,-0.028735754351556966,0.3721875012970595,0.44691213001363456,0.3596322624607107,0.1804827774913403,0.36870029567960944,0.06539153185530175,0.13930734388054986,0.4024423877614884,0.2799285263850883,0.23545909060959538,-0.03634008912829964,0.2556850812864308,0.35122666619987597,0.5787128080567985,0.421247614448077,0.1276002351153385,0.11852157349106433,-0.13886447542364783
Rolandic_Oper_L,-0.03893105473227248,0.23661143347338565,-0.31257962193398314,0.19050373349949543,-0.08434238062319165,0.10552185009846352,0.41047164440094647,1.0,0.20668355105360348,0.11374568494639432,0.17876760614739892,0.1244725672726887,0.323422789399706,-0.2069265026731982,-0.21074601931618728,0.1526924528920278,0.21724007951227697,0.09347981486409994,0.14054719311357522,-0.034729819241701355,0.03423577726485169,0.24923822531991563,0.23923669179708792,0.17992581845147787,0.26694388547605824,0.6492273556968572,-0.2132294058075246,0.23638312986301543,-0.4821287998404633,-0.24939977218534787,0.7566890969270135,-0.0083714545679898,0.3188044567031442,0.23072751553371462,0.35989234639403034,0.18314498068548007,0.475290176299178,-0.23488453649670232,-0.010086732847543778,0.2733535223268008,0.38621251667949197,0.2595144919791909,-0.07097695280966379,0.1376641052438647,0.3067188883814311,0.09354182891283151,0.5124369230696225,0.14050835332793282,-0.11693091155169795,-0.18133973663259786
Frontal_Sup_2_L,0.45827269050431585,0.8623270374149086,0.5574017904787782,0.674845501351619,0.4498615475016326,0.03302665523429529,0.29220775397324195,0.20668355105360348,1.0,0.8628497657565569,0.11571991717946672,0.6658520698578182,0.8812430819552607,-0.12298050920032255,0.16316053016923615,0.6012935025800106,0.7475409199772113,0.6672144288631782,0.7145818118554887,0.015280908427214149,-0.18196735967994396,0.4677001097529307,0.8691022354150032,0.09104844517264435,-0.41716240588074477,0.19786169640863607,0.3688448913805854,0.9441792991483358,0.5801829898939935,-0.04949336893867968,-0.29041352757704303,-0.17893764479172253,-0.10690077975575303,0.548076564199572,0.8605127167855776,-0.2008404730567812,0.4226763306686158,0.7303820443674455,0.7762643736302541,-0.2295983245615757,0.5039709569885431,0.840966445907261,0.39307918520805957,-0.2966959767466308,-0.32606773872531974,0.5044624422531021,-0.17350593640811507,0.6899079442603813,0.2228598861894911,0.24638195393347323
Insula_R,0.4274801804640745,0.8291802298282219,0.40313493765218933,0.3706503426799608,0.2664175390857864,0.1519266195794959,0.23121278833123624,0.11374568494639432,0.8628497657565569,1.0,0.25711955649215607,0.7072143531231229,0.9328039217088188,-0.026945883909341176,0.14619034542654052,0.6612358825317746,0.858651313168992,0.4817883544995293,0.6631043197737561,0.06923574392172117,-0.024187717162835187,0.5676650491009193,0.9304875493269071,0.07449370579856865,-0.17966917251784253,0.026684958579742724,0.32030940406971137,0.8612603040714449,0.500140713336082,0.017289026008060905,-0.20610023794912266,-0.022254787032628866,-0.13420371770390263,0.5453016680552039,0.887239850502692,-0.06011670467185892,0.5343354346351196,0.7022972626944755,0.7137704646873133,-0.06035299969884188,0.6028183002839426,0.9477900960592492,0.20264765563449116,-0.08219908383350019,-0.10546404304038418,0.36685882248631185,-0.08675872176829734,0.6204249555442679,0.35572037825030584,0.13914244568181217
