,ACC_pre_L,Cingulate_Post_L,Cerebellum_Crus1_R,Precentral_L,Raphe_D,Thal_IL_L,Supp_Motor_Area_L,Supp_Motor_Area_R,Postcentral_R,Frontal_Inf_Oper_R,Cerebellum_7b_L,Cerebellum_Crus1_L,OFCmed_R,Heschl_R,N_Acc_R,Thal_VL_L,Thal_PuM_L,Rectus_L,Rolandic_Oper_L,Frontal_Inf_Orb_2_L,Vermis_4_5,ACC_pre_R,Temporal_Inf_L,Temporal_Pole_Mid_R,Frontal_Sup_Medial_L,Thal_LP_R,ACC_sub_R,Cerebellum_Crus2_L,Cerebellum_3_R,OFCant_R,Temporal_Mid_L,Vermis_9,Precentral_R,Vermis_6,Cerebellum_8_R,Putamen_L,Temporal_Pole_Sup_L,Thal_MDl_L,Rectus_R,Angular_L,SN_pr_R,ACC_sub_L,Thal_Re_R,Cerebellum_4_5_L,SN_pc_L
ACC_pre_L,1.0,-0.14811966120079825,0.27815625515986075,0.38015890602491337,0.1865919103454401,0.5586665551571203,0.6392563380914386,0.5838441007668981,-0.01740600520318039,0.7696478786214307,0.03700788631775434,0.21856697214843027,0.48186989935670166,0.5625075067744619,0.6046124688055136,0.6690400019581983,0.5502915989436401,0.4955666098800101,-0.010086732847543778,0.40382768690356124,-0.4460072809076377,0.7177075614728782,-0.18546489916241096,0.5317094613627537,0.6915873014905451,0.5232321268322224,0.6311876906476345,0.2292156760674979,-0.2827917618015886,0.47736939066684214,-0.13258023315373674,-0.2582112517566497,0.44023502166261785,0.0,-0.2614517623558905,0.6859173446042913,0.5802927541381901,0.2771692663486916,0.34239029642785535,0.006539716692089861,0.28715939483363834,0.7844004175580139,0.601896436640165,-0.4256035037364966,0.14689306937687308
Cingulate_Post_L,-0.14811966120079825,1.0,0.28917195067669704,0.5082079409717994,0.08575014478059029,0.1646289272131849,0.3363869226833297,0.2942839226810382,0.3778306961698402,-0.09522575812784634,-0.08621715142717003,-0.10303791438931607,-0.17294382983012935,0.02276259838987883,0.1522565803193142,-0.12758341630770306,0.14940480346848478,-0.15881897798887815,0.4089348493728477,-0.22856372562634472,0.367737507336665,0.1538684684043212,-0.12752421030801356,0.17155030327714157,0.17515329749904934,-0.04002379409699528,0.1234193426919041,-0.15409560902621977,-0.02332497032340788,-0.06785135614462771,-0.20339186011893406,-0.055717530548471395,0.2929608440249867,0.0,0.5852628773774424,0.04041163012859335,-0.30320030832848777,0.10927811543023289,-0.2968628135539455,-0.13362301429691947,0.45504033919622605,-0.011735843378613723,-0.3325824540567107,0.10531484573619533,-0.3237616790463454
Cerebellum_Crus1_R,0.27815625515986075,0.28917195067669704,1.0,0.6184238043706425,-0.3171735126566374,0.3099667338421194,0.4890372217672656,0.34568569237330876,-0.054450812924198774,0.1400907798477031,0.09371023178443655,0.4680472555982533,0.5088475939905133,-0.09663754573048476,0.1529198217449273,-0.07935741835012687,-0.03458136625614862,0.35171419800033554,-0.07097695280966379,-0.1236635132827258,-0.39640222112705953,0.2642849424452879,-0.6005539123928539,0.619989057437972,0.3012153657890366,0.16526842448732668,0.33194307846053617,0.21118062832351314,-0.5590492759288439,0.3277224093075766,-0.5586342200132087,-0.07019285353590828,0.13699929085796678,0.0,0.21472234278912272,0.06777874741487962,-0.08075623668310242,-0.35661343420614894,0.36736820914082924,-0.2872064262619411,0.0015461295925386367,0.35463978868155527,0.13480079008016055,-0.5735222562383715,-0.30175699717747906
Precentral_L,0.38015890602491337,0.5082079409717994,0.6184238043706425,1.0,-0.3193042262135694,0.5731690558047562,0.7973393727890187,0.7378064001451824,0.14687299334145132,0.45027761296082847,0.13170159030379114,0.3342574016354672,0.41048328556207536,0.07069545878756953,0.2971145418541407,0.1105246157790964,0.22752212272255123,0.43423089954473776,0.19050373349949543,-0.005310847271080066,-0.44213803583990735,0.35865840298683815,-0.5393063299224267,0.6138703401644715,0.5006664828637665,0.23756278587636442,0.38179326861006097,0.043417292855703754,-0.5046066152423512,0.40396298804805186,-0.4418384830871561,-0.16451575499439108,0.4965884577192419,0.0,0.16073532047217215,0.303872005566441,0.11353557388938157,-0.10312997489544465,0.3220632780019844,-0.22630866959432944,0.36156899018308086,0.39114591257888226,0.09149518057351332,-0.6135992134986065,-0.32732190173374315
Raphe_D,0.1865919103454401,0.08575014478059029,-0.3171735126566374,-0.3193042262135694,1.0,-0.06551156430238121,-0.05711990802050085,-0.07157090019641246,0.05183477901361352,0.2187416990850898,-0.09710168808902846,-0.3219478305352188,-0.3376953369033955,0.6066304887610552,0.4639171758442374,0.48424377626860815,0.44478652079969966,-0.2933689645709652,0.2993021061718231,0.18175887481917796,0.5306343898971556,0.3204782870855853,0.5029493684441916,-0.2165123553456942,0.22790733371685545,0.05881994540697544,0.2342426516431458,-0.10572272212710686,0.4462802124898234,-0.21514789391025507,0.34898863828932536,0.1190467979851293,0.09904173951466122,0.0,0.03659242956209861,0.41997115125245377,0.2456953490389577,0.7121837935744368,-0.46754917342387536,0.24052648363159881,0.3321882149219895,0.28315383710820186,0.05948209125467103,0.57602173798738,0.3984587561319136
Thal_IL_L,0.5586665551571203,0.1646289272131849,0.3099667338421194,0.5731690558047562,-0.06551156430238121,1.0,0.6977805210489335,0.8256430761099559,0.166665916515651,0.5357923352200962,-0.054397050896889024,0.1323816417805944,0.49413035126811145,0.3461484214672862,0.2695857181786862,0.4733528180600415,0.5722056518112435,0.6382402942288039,-0.24386384924758003,0.24224562310599293,-0.4709467235341543,0.18318273090582324,-0.47311597301240926,0.5109640282835534,0.30025249311219143,0.309068116436124,0.5561945889513089,0.02760227266048162,-0.22995393037634126,0.5208008917139318,-0.19031609756587417,-0.2875748692767011,0.47626904133410153,0.0,-0.1190845506751235,0.26914818270583263,0.3308456562644835,0.051208515654261814,0.5343616706678425,-0.13543008743300244,0.6847499479215232,0.5007598406677515,0.48475749288395037,-0.5232109201556852,-0.10631092522217306
Supp_Motor_Area_L,0.6392563380914386,0.3363869226833297,0.4890372217672656,0.7973393727890187,-0.05711990802050085,0.6977805210489335,1.0,0.9061161636325772,0.3175735198890288,0.7769304166974674,0.13036253174768678,0.2610323278694013,0.4163652678423998,0.4085783095548641,0.5064871911251286,0.5327611339219072,0.5628771320301498,0.5336951580296792,0.12071644611024071,0.24417885542078932,-0.4817725689866269,0.5820157108222729,-0.37276228213991025,0.6078149457645557,0.7133642776882682,0.43618815243636405,0.5673994481058295,0.07922698810657476,-0.4127361716002137,0.4977785514880736,-0.24598291665162628,-0.22684133688394773,0.7543411526053772,0.0,-0.028230951337822646,0.6164730166458677,0.4168244706934048,0.17590037365931324,0.328044367123937,-0.11804009761096282,0.4893065754853824,0.6351430089293644,0.3283327433105011,-0.6018050872052041,-0.023152540027063014
Supp_Motor_Area_R,0.5838441007668981,0.2942839226810382,0.34568569237330876,0.7378064001451824,-0.07157090019641246,0.8256430761099559,0.9061161636325772,1.0,0.37432939215519845,0.6879389377543695,0.04785939678921765,0.18376071364777768,0.41081512513138363,0.3618477356844755,0.3763223313076418,0.502300068500883,0.5513094034650994,0.5586573732365628,-0.0003692676510786489,0.2889264885965988,-0.5255625292502439,0.3465096384670594,-0.37832349425552353,0.529830907637168,0.49184995575070656,0.41990657113153534,0.5438891706749145,0.04248286867734519,-0.3066387857923051,0.47160790619489484,-0.2113172953324931,-0.2695416521786987,0.7355430340081737,0.0,-0.11118698774693062,0.4244495741967515,0.45443133318103923,0.11633123650987255,0.4412297042766491,-0.10919386646485658,0.6262745932433764,0.5681906946317724,0.33698775366457934,-0.5931826672951532,-0.08032500536049389
Postcentral_R,-0.01740600520318039,0.3778306961698402,-0.054450812924198774,0.14687299334145132,0.05183477901361352,0.166665916515651,0.3175735198890288,0.37432939215519845,1.0,0.1844533213842194,0.05672597832758458,-0.027518249772796287,-0.23104470331420818,0.05906442324912171,0.33395722265146427,0.06138049394399539,0.021036168549290482,0.12269937022459172,0.02583902316229318,-0.12945513826434543,0.021258228147228355,0.20343566759781162,-0.07873003888826437,0.12929179024563447,0.25825971924460717,0.14470165563715953,0.10740937874232488,-0.15440282259051788,0.0909104689780259,0.23305237420446398,-0.1467358972271757,0.1441157577114992,0.7643478167371625,0.0,0.04387487647676755,0.1592890775005145,0.07198850754871464,0.0048187236812698535,-0.036234773498398785,0.03913851073844348,0.41461350088796395,0.17197226227448814,-0.15900323081872897,-0.04247532614067263,-0.1539265041914411
Frontal_Inf_Oper_R,0.7696478786214307,-0.09522575812784634,0.1400907798477031,0.45027761296082847,0.2187416990850898,0.5357923352200962,0.7769304166974674,0.6879389377543695,0.1844533213842194,1.0,0.14831113309267055,0.13314691435566742,0.33444865473658897,0.6485757983838174,0.6829925502022094,0.7782647698911571,0.6767376071996983,0.4522631740781249,0.1535263180927858,0.44502849582991383,-0.401604886129727,0.6940151703063488,-0.04585072232895554,0.4254323443228923,0.8203359534392607,0.496298812677379,0.5658446768955171,0.08798314975562993,-0.23800457153479748,0.4167814224087979,0.009413669338270151,-0.1569262724926544,0.6660223694269642,0.0,-0.3651227976566763,0.8451596264958045,0.6559022740107209,0.45897585773111665,0.20003954940743723,0.08165956929647296,0.37562570446202304,0.7053260863986363,0.4777966823455997,-0.3838489157245029,0.3168351583167333
