,ACC_sub_R,Thal_PuM_L,Thal_PuI_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Insula_R,OFCpost_R,Thal_AV_L,Putamen_R,Precentral_R,Raphe_M,Hippocampus_R,ACC_sup_L,Frontal_Med_Orb_R,Vermis_4_5,Caudate_L,Caudate_R,ParaHippocampal_R,OFCant_L,Thal_PuA_L,SupraMarginal_L,Supp_Motor_Area_L,Cerebellum_Crus1_R,Rolandic_Oper_R,Precuneus_L,N_Acc_R,Thal_PuI_R,Cerebellum_Crus1_L,Cerebellum_3_L,Cingulate_Mid_R,OFClat_L,SN_pr_R,Parietal_Inf_L,Cerebellum_Crus2_R,Thal_MDm_R
ACC_sub_R,1.0,0.46774336360418006,0.25049004764501115,0.1234193426919041,0.630810550357863,0.5451597713706106,0.5672145466831858,-0.3458666899667607,0.30797150893586583,0.4495296685500065,-0.059734206501908915,0.4123094335414473,0.5234640341051074,0.4068835015310655,-0.25833049131846525,0.4339375250891052,0.47500682212413364,0.10595269892021968,0.04624340451400244,0.5542535454206385,-0.13046748912403844,0.5673994481058295,0.33194307846053617,0.273869610713221,-0.14196621463178727,0.42033290907063126,0.06133274929987251,0.21686416509704967,-0.43279329511008946,0.46495393474904684,0.20762570892937257,0.4762312126687449,-0.22974825552363748,0.13707944806202907,0.33482688672422933
Thal_PuM_L,0.46774336360418006,1.0,0.7503868132063006,0.14940480346848478,0.4865283732255598,0.6130362605563956,0.3026255915789247,-0.24969548651481058,0.4051000284750155,0.3991072816359954,0.39432366382565004,0.8835422186406157,0.5416453955080941,0.22116696465822996,-0.007496675756284356,0.48737483536771486,0.4463038542235891,0.40197108042853386,0.17003127396718135,0.706764822411896,0.06583170200098665,0.5628771320301498,-0.03458136625614862,0.3644918447180324,-0.07263101548006391,0.4466966427853227,0.6103212007682335,-0.16818757027363154,-0.06596290709690049,0.4797904491444463,0.05083385241318278,0.5165507700492056,0.06619744260873538,0.009611343771688726,0.6886346841194991
Thal_PuI_L,0.25049004764501115,0.7503868132063006,1.0,0.05209748453171238,0.20961539631435946,0.41381734528619774,0.08505179019194156,-0.09943879998811,0.36148693790199976,0.20978097117639635,0.3439222930665376,0.6627158073628993,0.38652848224770453,0.07180381923300956,0.1522245496908231,0.3776196279548308,0.3102626718709476,0.384885156709541,0.053125154906112575,0.41662889555573057,0.10397195879750933,0.31894745919751033,-0.05069947925457093,0.29830058593522785,-0.11466839299909487,0.28987140763729663,0.7354333647426304,-0.28300839187866605,0.09101378698223667,0.26863016686460073,-0.08380736222292326,0.2502435315368188,0.07088468690188318,-0.08578298774790476,0.6320710511921585
Cingulate_Post_L,0.1234193426919041,0.14940480346848478,0.05209748453171238,1.0,-0.09653084388691825,0.11497181123128884,-0.20478046044235787,-0.008147357141947415,0.11773840837273337,0.2929608440249867,-0.3754441354279687,0.20853486042376537,0.07551045923891517,-0.29476230624160804,0.367737507336665,0.14955007287843475,0.13399497512730213,0.04320334432501686,-0.23580995265267235,-7.59623620605497e-05,-0.19783323509322823,0.3363869226833297,0.28917195067669704,0.012676520201420157,0.6656989171952099,0.1522565803193142,0.01484536596114253,-0.10303791438931607,0.166923769035282,0.32160403009217603,-0.09728741086410915,0.45504033919622605,-0.12672354735924626,0.3398164896125492,-0.027941046694892467
Temporal_Pole_Sup_R,0.630810550357863,0.4865283732255598,0.20961539631435946,-0.09653084388691825,1.0,0.6631184011326073,0.879812904340335,-0.33628453243376977,0.3347402228409239,0.4331497492916074,0.1269532725368299,0.5005627876029628,0.6037183392319656,0.6748999687596432,-0.5674764015267675,0.5051409284552545,0.48980648507709545,0.10424097990136957,0.35007326490720814,0.7422569264759551,-0.1699491191551766,0.6981819920099491,0.5269432926667497,0.3213227881977385,-0.2283622482220472,0.5194070295672059,-0.08869952924453953,0.469206371481185,-0.5727739847613866,0.5564724123615861,0.42853939657618306,0.25086921915557464,-0.4135118788020194,0.37292845968580873,0.36114169130868873
Insula_R,0.5451597713706106,0.6130362605563956,0.41381734528619774,0.11497181123128884,0.6631184011326073,1.0,0.500140713336082,0.0009506603715850029,0.843624232632438,0.6204249555442679,0.06513893995429898,0.6631043197737561,0.9477900960592492,0.28459337774243076,-0.10546404304038418,0.9455894034618033,0.8798858621422853,0.418139339223635,0.35572037825030584,0.6576560508195137,-0.044388202137112476,0.6899170333872354,0.20264765563449116,0.6712149910250585,-0.0211565334767238,0.858651313168992,0.21775167905941398,0.14488859082610678,-0.17966917251784253,0.7712202597028218,0.13914244568181217,0.36685882248631185,-0.06011670467185892,0.14619034542654052,0.7694057837917695
OFCpost_R,0.5672145466831858,0.3026255915789247,0.08505179019194156,-0.20478046044235787,0.879812904340335,0.500140713336082,1.0,-0.22089827630781866,0.11771020488380103,0.38266305027054615,0.00760653645069436,0.31751243303765475,0.4352010934484634,0.7257641597185992,-0.7014486344079388,0.3251928079928188,0.31501392917242166,-0.22227627309434053,0.18593532821011133,0.7582503924078496,-0.1887079293181714,0.6477513678355072,0.560662208702756,0.09246765516794443,-0.27855904744663174,0.29513674651328614,-0.269362003210864,0.5302448515029059,-0.74704204302679,0.3972030243367325,0.5238214386909407,0.08569175997203327,-0.46447638259976903,0.2839385787307033,0.15524007949043547
Thal_AV_L,-0.3458666899667607,-0.24969548651481058,-0.09943879998811,-0.008147357141947415,-0.33628453243376977,0.0009506603715850029,-0.22089827630781866,1.0,0.17085523278543022,0.012544553238117859,-0.04406572281389035,-0.13857468470711065,0.04609826894063647,-0.27713977871970286,0.20473358792305177,0.11918129615062197,0.10386945972749322,-0.008061804574316595,0.014429800410292883,-0.2213798385482666,0.0495808656139089,-0.13014032737538367,-0.19680717818638435,0.07348452532207794,0.100417968744706,-0.07167152663059931,-0.028530696371344554,-0.10288678481231388,0.15918451207751724,0.07944518381877676,-0.09644269862926512,-0.2319180587964994,0.17079020272235693,-0.26557037178255,-0.006265115015602365
Putamen_R,0.30797150893586583,0.4051000284750155,0.36148693790199976,0.11773840837273337,0.3347402228409239,0.843624232632438,0.11771020488380103,0.17085523278543022,1.0,0.5154618423881288,-0.023564013413377976,0.45880364275507274,0.8873433420768926,0.0769633515651843,0.10347366118246164,0.9402063620496544,0.8939238171432051,0.5446946515342733,0.3333174475167064,0.21817690235776147,0.060703488527738575,0.4272870287542582,0.022916113723163472,0.7027290427608188,0.014485877715668076,0.8185222062243912,0.314166799109137,-0.011380793572632967,0.06964108157026115,0.6796815149336277,-0.06128283093842816,0.18826809018439825,0.10028732855983072,-0.02409396068116297,0.8115696741353249
Precentral_R,0.4495296685500065,0.3991072816359954,0.20978097117639635,0.2929608440249867,0.4331497492916074,0.6204249555442679,0.38266305027054615,0.012544553238117859,0.5154618423881288,1.0,-0.07370168507953698,0.49968925850780377,0.5541802387890977,0.09397126561184317,-0.32225984616114056,0.5916486981865551,0.6732419688618,0.13785769272700407,0.10748388881499159,0.4137491033732831,0.2522463661341679,0.7543411526053772,0.13699929085796678,0.4817066727108124,-0.10526105805961421,0.5362242797415616,-0.07167078303705283,0.09903359702497938,-0.4164859185286152,0.8268044777586331,0.1662382605692551,0.49788008664961386,-0.1342180623905011,-0.12727770271059596,0.42629980060297906
