,Thal_PuM_L,OFCpost_R,Temporal_Pole_Mid_R,OFClat_L,Temporal_Mid_R,Cuneus_L,Parietal_Sup_R,Cerebellum_3_R,Thal_VA_R,Thal_VPL_L
Thal_PuM_L,1.0,0.3026255915789247,0.22245641825537127,0.05083385241318278,0.26758489006983915,0.0,-0.016762902736268136,0.05247949089890739,0.5692632218801648,0.9286722044609965
OFCpost_R,0.3026255915789247,1.0,0.801459005792873,0.5238214386909407,-0.04971117852575653,0.0,-0.506135552170653,-0.551158587499865,0.5354168937057842,0.23316059642116785
Temporal_Pole_Mid_R,0.22245641825537127,0.801459005792873,1.0,0.36045029179554067,0.3425468896790703,0.0,-0.48019073566636994,-0.4301008869458774,0.2768431815490131,0.1352557458717542
OFClat_L,0.05083385241318278,0.5238214386909407,0.36045029179554067,1.0,-0.3293824539288563,0.0,-0.36129165621575676,-0.5094026349580046,0.2950808457382602,-0.0218749085418776
Temporal_Mid_R,0.26758489006983915,-0.04971117852575653,0.3425468896790703,-0.3293824539288563,1.0,0.0,0.21501539750409668,0.3611539586982868,-0.19050777502532998,0.25130971007594005
Cuneus_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parietal_Sup_R,-0.016762902736268136,-0.506135552170653,-0.48019073566636994,-0.36129165621575676,0.21501539750409668,0.0,1.0,0.47012596481313096,-0.21405577858477962,0.0302694270539415
Cerebellum_3_R,0.05247949089890739,-0.551158587499865,-0.4301008869458774,-0.5094026349580046,0.3611539586982868,0.0,0.47012596481313096,1.0,-0.0859216347871227,0.16403428125254038
Thal_VA_R,0.5692632218801648,0.5354168937057842,0.2768431815490131,0.2950808457382602,-0.19050777502532998,0.0,-0.21405577858477962,-0.0859216347871227,1.0,0.5471067200045645
Thal_VPL_L,0.9286722044609965,0.23316059642116785,0.1352557458717542,-0.0218749085418776,0.25130971007594005,0.0,0.0302694270539415,0.16403428125254038,0.5471067200045645,1.0
