,ACC_sub_R,OFCpost_L,ACC_pre_R,Thal_MDl_R,Temporal_Inf_L,Cerebellum_Crus1_R,Thal_PuL_R,Cerebellum_9_L,Parietal_Inf_L,Thal_PuI_R,Cerebellum_6_R,Cerebellum_3_L,Thal_Re_R,Olfactory_R,Parietal_Sup_R,Cerebellum_10_L,Occipital_Mid_L,Putamen_L,Thal_VA_L,Frontal_Mid_2_R,Cingulate_Post_L,ACC_sup_R,Precuneus_R,Temporal_Mid_L,OFClat_L,Putamen_R,LC_R,Thal_VA_R,Thal_MDm_R,Frontal_Inf_Orb_2_R,Rectus_L,Angular_L,Cuneus_L,Precuneus_L,Postcentral_R,OFCant_L,Frontal_Med_Orb_L,VTA_L,Paracentral_Lobule_L,Supp_Motor_Area_R,Frontal_Inf_Tri_R,Cerebellum_3_R,Thal_IL_L,SN_pc_R,Cerebellum_7b_L,OFCant_R,Hippocampus_L,Cerebellum_9_R,SupraMarginal_R,Thal_VL_R,Pallidum_R,Cingulate_Mid_R,Heschl_L,Insula_L,Thal_MDl_L,Thal_MGN_L,Fusiform_R,Cerebellum_6_L,Hippocampus_R,Pallidum_L,Caudate_R,OFCmed_L,ParaHippocampal_R,Temporal_Sup_R,Fusiform_L,Thal_PuM_R,ACC_sub_L,Frontal_Inf_Oper_R,Thal_VPL_R,Frontal_Mid_2_L,Heschl_R,Parietal_Inf_R,Frontal_Med_Orb_R,Thal_AV_R,Thal_LGN_L,Frontal_Inf_Oper_L,Cerebellum_4_5_L,Cerebellum_Crus2_R,Frontal_Sup_2_R,Calcarine_L,OFClat_R,Cerebellum_4_5_R,Vermis_4_5,Thal_VPL_L,Thal_PuI_L,SN_pr_R,Red_N_R,Temporal_Inf_R,Frontal_Inf_Tri_L,Thal_AV_L,N_Acc_R,Cingulate_Mid_L,Amygdala_L,Insula_R,LC_L,Thal_VL_L,Postcentral_L,Frontal_Sup_Medial_L,Thal_PuL_L,Thal_LP_R,SN_pc_L,Temporal_Pole_Mid_L,Vermis_10,Thal_LP_L,Thal_LGN_R,Cerebellum_Crus2_L,Cerebellum_8_R,Vermis_1_2,Supp_Motor_Area_L,Rectus_R,Thal_MDm_L,Angular_R,ACC_sup_L,Cerebellum_10_R,Cingulate_Post_R,Olfactory_L,Parietal_Sup_L,Thal_PuA_R,Lingual_L,Cerebellum_8_L,Cerebellum_Crus1_L,Frontal_Inf_Orb_2_L,Vermis_9,SN_pr_L,Temporal_Pole_Mid_R,Temporal_Sup_L,Rolandic_Oper_R,Precentral_R,N_Acc_L,Precentral_L,Thal_PuM_L,Rolandic_Oper_L,OFCpost_R,Frontal_Sup_2_L,Lingual_R,Temporal_Mid_R,ParaHippocampal_L,Temporal_Pole_Sup_L,Raphe_D,Frontal_Sup_Medial_R,Calcarine_R,Temporal_Pole_Sup_R,Thal_PuA_L,Vermis_3,Amygdala_R
ACC_sub_R,1.0,0.48293426817287155,0.5064433159475459,0.2029797625514386,-0.2766929832382252,0.33194307846053617,-0.04281400259535711,-0.29588032739387876,-0.22974825552363748,0.06133274929987251,-0.2804253302785526,-0.43279329511008946,0.493491667509808,0.38134836947163314,-0.30007737776571347,-0.23495344023904613,0.0,0.4320634713652878,0.39094736291840676,0.6094102766659215,0.1234193426919041,0.5501489626096047,-0.4986369127562055,-0.1166588798233325,0.20762570892937257,0.30797150893586583,0.1051599365016093,0.6199756829863807,0.33482688672422933,0.6050754570055022,0.6243041547239062,-0.04930392345146113,0.0,-0.14196621463178727,0.10740937874232488,0.04624340451400244,0.4945203174693469,-0.04567263604714793,0.2667184555652214,0.5438891706749145,0.5680274642877944,-0.3266303992329181,0.5561945889513089,0.49145647710388096,-0.0031158594336209095,0.374717119011375,-0.238550408173054,-0.17719617351263608,-0.18473690825203848,0.4417024498229162,0.4169307240582017,0.46495393474904684,-0.5097144904224418,0.5921693720094611,0.15325418066960123,0.4048158346411758,-0.4034215254942685,0.1817629322366656,0.4123094335414473,0.09850354582152616,0.47500682212413364,0.5573436782805241,0.10595269892021968,-0.18828559952649324,-0.28772335669873333,0.49743989937589433,0.7227267790056698,0.5658446768955171,0.3611044213235569,0.48880931569752945,0.4106947492290594,-0.02834994909234592,0.4068835015310655,0.7266506575944738,0.17900837491275792,0.4998860467286222,-0.46391095611776684,0.13707944806202907,0.6200516307868797,-0.6046230787418715,-0.022726899923299924,-0.3597856716029342,-0.25833049131846525,0.3710342208830276,0.25049004764501115,0.4762312126687449,0.5104772997782435,-0.04662201105577244,0.4444517784315207,-0.3458666899667607,0.42033290907063126,0.3858157304805037,0.6134428174775223,0.5451597713706106,-0.36066294903392476,0.4987373779116219,-0.10542296125550345,0.5216566331805967,0.3062790796626092,0.36803158706923295,-0.12339261965408829,0.4421551094951394,0.06100069842473998,0.5317503637380993,0.624994635297635,0.13413881400242894,-0.14705692217054636,-0.5852104981229622,0.5673994481058295,0.4100118440521523,0.336192742560068,-0.2907765021411638,0.5234640341051074,-0.12069746161635585,-0.3067652391685474,0.32643422251079135,-0.27716944954354944,-0.043014269036475206,-0.4394252364361375,-0.12130282065605792,0.21686416509704967,0.4204165242670291,-0.12623766725715577,0.29607893320699413,0.560346644816257,-0.291089857430074,0.273869610713221,0.4495296685500065,0.23659335230698128,0.38179326861006097,0.46774336360418006,-0.10617698702610545,0.5672145466831858,0.6268040904846494,-0.46641298587440777,0.06136632811487809,-0.31091559956108455,0.44365311613079245,0.2342426516431458,0.5209321511473766,-0.7113466186396042,0.630810550357863,0.5542535454206385,-0.3241488366730273,0.35313983799009613
OFCpost_L,0.48293426817287155,1.0,0.25806398330154356,0.04963784486499965,-0.08514889056594523,0.2617334650895865,-0.28190494004319755,-0.7338078227837641,-0.29042238354195543,-0.10607426825268632,-0.6700174566265963,-0.8082059800159723,0.48046611513268567,0.25283788574854216,-0.5290755325000208,-0.3751922258297645,0.0,0.3681005595271488,0.40060943705243446,0.5053083904265426,-0.3538991993688904,0.23419017137016077,-0.7410061946328631,0.10795481418627909,0.4352815673386939,0.13989679987848988,0.14086922593394363,0.6622470612534366,0.2479405767345818,0.4567549931782942,0.6242667018523657,0.0616855528704069,0.0,-0.5960272600068623,-0.10050152616451664,-0.08787345783338645,0.8080869850653709,-0.1690156382228332,0.1881633922537708,0.4760248028113797,0.4955016869023859,-0.4643642289101806,0.35265512647695374,0.6750940139723869,0.19479750759930642,0.3077374445374572,-0.3380573479126901,-0.009050245366635944,-0.4537580996880024,0.2535317604361069,0.17602855429086456,0.35498250675196563,-0.46830845251152414,0.4736921691374636,-0.03216818731678256,0.4234835287202448,-0.7232527487730912,0.3693091652740368,0.23306096993608882,-0.1911748617848368,0.2932182846244192,0.6659818938271657,-0.26842518988469455,-0.6463839027819888,-0.2735266727657016,0.34310034763150615,0.45422731890912255,0.5865398635074728,0.15153086432168592,0.3256543220060705,0.16405361358082074,-0.2678903298366591,0.7436098507559004,0.5217234442377998,-0.3078537469083688,0.4149865130497514,-0.7251846475032794,-0.21473948056089273,0.4333226378933275,-0.4080737790313805,0.11040380934186599,-0.5386753158743866,-0.7714619585832668,0.26553896106854535,0.1852979151453036,-0.10286062658745554,0.7352848483931488,-0.502731295881675,0.4366610285890942,-0.18594295937147395,0.10538088569738667,0.2660888940935476,0.4881591781122389,0.2664175390857864,-0.8209417581917696,0.36487964280339735,-0.07181097886796806,0.35340119255389296,0.2936518222909105,0.2523654067600723,0.14044587280281445,0.7995482881133144,-0.27877309187756805,0.36794792860267367,0.6556920387045098,0.23182416966988195,-0.4559502447594039,-0.7308201164568408,0.49500015895603106,0.6152934474962616,0.11272729977461451,-0.5054042205304213,0.3311590608722698,0.4209445686718948,-0.7045901342637342,0.12891155708696134,-0.585316233212186,-0.3885906585073576,-0.6804429898442083,-0.2714948843848019,0.2788041117847195,0.7157983349606498,-0.24921492309425455,0.11971659265348197,0.30233909434285117,-0.23762325955385313,0.0011768077848495905,0.3872292437474784,0.21857729837204232,0.32503861587442673,0.2659220488884986,-0.08434238062319165,0.6467167832382483,0.4498615475016326,-0.650209833788526,-0.5499603606980777,-0.5707054937876628,0.7935571065286755,-0.17227270447565576,0.3832092088790865,-0.7483435412618922,0.5517641535002114,0.43483800624381036,-0.715712399834795,0.21084470120002305
ACC_pre_R,0.5064433159475459,0.25806398330154356,1.0,0.4766362904738289,-0.022890945413842508,0.2642849424452879,0.1139911708195165,-0.03340710883342865,-0.10844967096593076,0.1435082521488797,-0.08667492998969942,-0.1383913756257812,0.2720795259012367,0.8185803765738003,-0.1313844156765697,-0.13803523265482087,0.0,0.8617295207756318,0.28964137146379604,0.7757720334882247,0.1538684684043212,0.9373774864214603,-0.07575751694193367,-0.13090676868747297,0.12268571200263467,0.884607066217566,0.029349214991916537,0.4147796427330854,0.7128199099801306,0.4556466395469601,0.1892104428915746,0.03526853917947586,0.0,0.02717166258042164,0.20343566759781162,0.27826668071591565,0.33414662902756437,0.1640223531724763,0.19325728451052182,0.3465096384670594,0.8438618042572975,-0.17616155097947414,0.18318273090582324,0.4625400884175152,0.12938114458282346,0.39186664087139034,0.06537493425481045,-0.08610819544227202,0.051655631268985674,0.7951525508300724,0.5087799825316168,0.6988068575718792,-0.06722103652177823,0.7150735340504893,0.42168083582929367,0.32993614103039065,-0.0029375274182744313,0.01263541201485897,0.43559777896067714,0.6796434558380128,0.8966520706014771,0.5020414389793496,0.34425363239847995,0.16632025522703736,-0.008694589859496383,0.4767346566105113,0.6957736166754709,0.6940151703063488,0.3701064838280347,0.6112216458777525,0.5469590514191147,-0.023153752940764775,0.29028829366180453,0.555056137845704,0.24691757287938018,0.641606106328211,-0.13564273085018555,0.14682466990321236,0.8205131221720368,0.03876370057727757,0.07983674928798343,-0.06107553323551452,-0.05902702292790249,0.49803039257547344,0.29816386992150296,0.22276967031103162,0.5844349622431531,0.250378630233176,0.47215424156651997,0.03271128829371614,0.8075614925722748,0.6809190072488179,0.2644341350426804,0.8919491121231162,-0.06345439599656034,0.5593645577722055,0.2251753912583153,0.930000361819983,0.503484330985977,0.46717243393087754,0.19424230897982045,0.4157831713747975,0.04819771028005812,0.4772560910177864,0.4283037409575675,0.1472974883731116,0.023586728073898965,-0.19860198054968514,0.5820157108222729,-0.10315012908969577,0.5416655502163978,-0.12471119686341292,0.9263596316579903,-0.13226925331999376,-0.014078581630593114,0.7795825688725458,-0.11380112026475653,0.35064075600859435,-0.07139748791519127,-0.13690393134305615,0.151988103170247,0.1802637708479975,-0.016594814440561156,0.3963398590783448,0.4821452563427022,-0.007126040159676513,0.580766270113841,0.5229834957452864,0.516046949482652,0.35865840298683815,0.4168544141324135,0.31121800693057355,0.37328737648824245,0.7873586186158296,-0.14851717816143606,0.1950711956847411,-0.0075291604010994965,0.3596860627264871,0.3204782870855853,0.9309748752252622,-0.13590154202488577,0.5513180296419856,0.43006164608560093,-0.09057921080452942,0.3170958636212284
Thal_MDl_R,0.2029797625514386,0.04963784486499965,0.4766362904738289,1.0,0.4853197767649859,-0.2533934756778225,0.3296180713959282,0.11674053429713158,0.3004239858220491,0.7747637169904619,0.2094460237980872,0.2948141357801426,0.06158900476209572,0.5864497978590133,0.23066430718204248,0.3303235033355058,0.0,0.6719880532833791,0.5625730414586632,0.5003407793216438,0.15934624202677294,0.4974917846208341,0.26997887508292456,0.448393568920477,-0.2772490680875264,0.626126712614004,-0.08127216536648185,0.3263946948705121,0.8167267479599856,-0.06314665363352845,-0.1598939320126584,0.2619816772222678,0.0,0.05706107581373485,0.03273256871230474,0.08386178867418684,-0.023276879668062373,0.5620557836913966,-0.2990392831402316,0.13886082554075893,0.46211635301423304,0.3383772634898669,0.007484629076271571,0.20544945533293726,-0.03246684648161816,-0.06702060469815757,0.7226208504456508,0.29600780449862435,0.07807928757330324,0.646495532404374,0.5913092583146813,0.3634744485710697,0.4092498345945554,0.6448872458395509,0.8330961629515534,0.5397559986214882,0.37448935933136174,-0.34924622354621737,0.6470116333571775,0.7126094819027787,0.5096317873546858,-0.05133318436189781,0.575541546731413,0.5016225487716504,0.4456769979361293,0.607185416555355,0.21572106846272784,0.49540285415724156,0.7142654903307117,0.5778879536564441,0.6900110166109631,0.13327677073804473,-0.1188702366645543,0.18834711828376038,0.36870029567960944,0.5715542450514896,0.37605321064932523,-0.1627660710041348,0.41313495200508626,-0.0761853570065107,0.09840243299822182,0.38507987553388445,0.3975897869842312,0.760872696535271,0.6956570592036724,0.2503001503433164,0.2787363318342846,0.11967771094689426,0.6057593899829518,0.0945928422952065,0.4544390075720232,0.21455240839279163,0.38101534921819463,0.5343354346351196,0.2891718976661947,0.6188542882711316,-0.040067108818685845,0.4794286982962844,0.6889307720661475,0.1524544858605011,0.47609908524995936,0.2481820366328596,-0.0948257274651841,0.3516486063082212,0.14170301081513864,-0.06986847573255132,0.0001969146014257492,0.3250944531293143,0.2493933678447917,-0.4656463265054802,0.8126475125461825,0.2983468041381888,0.5277436548885627,0.024622232263241405,0.3592846760418383,0.6027430511058512,0.23868377573334415,0.6236832536436467,0.4697737059853323,0.34257655106102064,-0.3392701202369814,0.30091282243542017,-0.08667703887335253,0.6767784353471962,-0.07099229936040323,0.5649848461667187,0.5058923762795023,0.2584004229081277,0.41090233631320044,-0.04140349459452146,0.6650968632370209,0.475290176299178,-0.12176411330278213,0.4226763306686158,0.40702409849600146,0.29172320498001086,0.5637809511517551,0.3246524897276908,0.6223829634352951,0.4489136388584415,0.07708041723763136,0.035486630536735404,0.2671007319348535,0.41572929839448514,0.35362815964554484
Temporal_Inf_L,-0.2766929832382252,-0.08514889056594523,-0.022890945413842508,0.4853197767649859,1.0,-0.6005539123928539,0.25426645574816337,0.18299545452260546,0.49366007107170895,0.5605502215766665,0.30655377042172394,0.5068224525776271,-0.07129972287595954,0.1880173410937458,0.3854107576274371,0.5139725346388856,0.0,0.1859931981287966,0.4080977147784329,-0.1056023279012018,-0.12752421030801356,-0.03335244892447395,0.38267515899686494,0.7482893913137926,-0.3277624953476397,0.22671654094518895,-0.11637273423531395,0.03553385195199825,0.34600270059475047,-0.5292064308566,-0.4840171315441784,0.3508519675390225,0.0,-0.07645813063612682,-0.07873003888826437,-0.07868687779108802,-0.42953183553668384,0.2601300276465344,-0.6043518777788373,-0.37832349425552353,-0.1610135081527252,0.5524174147147392,-0.47311597301240926,-0.1130009197635417,0.09677276093438822,-0.6673857844991845,0.681242131900963,0.6239136435910437,0.08291823793616306,0.06032580753155479,-0.07811333417771354,-0.12326071394599473,0.7849786178465855,0.055525210295202944,0.6057752984404547,0.23647746782284454,0.44056626971458385,-0.4365855244755348,0.027313006372416744,0.5135580416014667,0.06317519599597815,-0.33163375849773186,0.35403723693321437,0.16422930476686462,0.8961259512691708,-0.028026716739126916,-0.382546699189679,-0.04585072232895554,0.0701975136441184,-0.09406386579935554,0.1587043072963766,0.021091483235610234,-0.36496761619658885,-0.3625874237419184,0.2619219255915526,0.12038926612098728,0.6519842133815738,-0.5123636772150658,-0.23866240737742647,0.010833294704887109,-0.1758508859265777,0.6340321147843664,0.42956052980137427,0.24710972041645252,0.2899778376103769,-0.12389310268700982,-0.034014892977699704,-0.38675647902477744,0.179866335402023,0.2076574933856722,-0.08390250832957083,-0.3089685875932356,-0.25085184707999025,-0.13867995672907857,0.37883688557887635,0.1832331718563415,0.04016613948630573,-0.08411903202637744,0.40889670872449996,-0.054895025214181215,0.5223205569920962,0.3356277898778959,-0.27825014295355793,-0.01150841610726741,-0.06702549282361663,-0.1260353346913766,-0.015577876163681073,0.49940226478612765,-0.37276228213991025,-0.48961595739496905,0.3634770366211766,0.5142797242087401,-0.008252847104030578,0.20894179076685782,0.3377103538203952,0.18143609069725322,0.2224640937556534,0.5740482472071073,0.6678576242345422,0.6339396471246296,-0.5014714532655357,0.3443385352862056,0.012922965499023838,0.1875942522146574,-0.7790299332432734,0.90854534738973,0.11500173515771268,-0.11213214443142909,0.03835350710824682,-0.5393063299224267,0.1006040805153694,0.5889865922534094,-0.6620903087977896,-0.24683240735031856,0.5654111895352777,-0.24434804027586438,0.7177786402147658,0.3039577560893207,0.5029493684441916,-0.12973114468469688,0.31987069884836855,-0.5439685041936553,-0.40751246832706994,0.3989543157517881,-0.2750866391305948
Cerebellum_Crus1_R,0.33194307846053617,0.2617334650895865,0.2642849424452879,-0.2533934756778225,-0.6005539123928539,1.0,-0.2400140178910673,-0.07856137131048546,-0.5827750580166762,-0.32581857017921984,-0.3111382937522576,-0.49269898616970564,0.13480079008016055,0.05928010809717386,-0.5430954268856527,-0.49419307740365387,0.0,0.06777874741487962,-0.2498273796138745,0.25358551675844343,0.28917195067669704,0.20974273413209152,-0.34294822826386745,-0.5586342200132087,0.3755136230675047,0.022916113723163472,-0.09114295570175089,0.02601757742253672,-0.08246950103459942,0.6194282704618751,0.35171419800033554,-0.2872064262619411,0.0,0.19338354023130233,-0.054450812924198774,0.004586026175211077,0.42382012220974963,-0.08394664583443652,0.6570073858000918,0.34568569237330876,0.28636594241498575,-0.5590492759288439,0.3099667338421194,0.13658377968402965,0.09371023178443655,0.3277224093075766,-0.426707031311677,-0.6184356304825503,-0.1569256363821393,0.1254267473629101,0.09648295678082237,0.2538163855972297,-0.45452612749677346,0.1368715826547643,-0.35661343420614894,-0.08854417485953962,-0.4962688143576318,0.5000688832708323,0.008148177104976083,-0.22794749199915365,0.10981677094528174,0.487537925343415,-0.34513984588561203,-0.29285094802841893,-0.5673244608021685,0.17002674169188758,0.35463978868155527,0.1400907798477031,0.00656043979338927,0.30432479613791436,-0.09663754573048476,-0.21142069808013997,0.44149653235113606,0.2737387655968688,-0.03634008912829964,0.11183765911756954,-0.5735222562383715,0.6389383280575325,0.3521628009891442,0.19877054835345465,0.24649265326857395,-0.5687077900663454,-0.39640222112705953,-0.1201767129257485,-0.05069947925457093,0.0015461295925386367,0.1767685180612436,0.11904751043451976,0.05006335425138858,-0.19680717818638435,0.1529198217449273,0.4820727173649198,0.22172635326827014,0.20264765563449116,-0.34517852879444594,-0.07935741835012687,0.23032840838435148,0.3012153657890366,-0.28365909214435475,0.16526842448732668,-0.30175699717747906,0.02372819329846004,0.20733689913152348,0.029201052584599613,0.24278583846362187,0.21118062832351314,0.21472234278912272,-0.47721373789264415,0.4890372217672656,0.36736820914082924,-0.16512153204401703,-0.6362151855984055,0.19815228505726765,-0.38008958538538457,-0.20709170436924426,0.01999055625724087,-0.328468278598112,-0.4035869995817945,-0.5481054270756696,-0.4528035497092117,0.4680472555982533,-0.1236635132827258,-0.07019285353590828,-0.004126403335301283,0.619989057437972,-0.5638338244093963,-0.14928049382768774,0.13699929085796678,0.05139847329737657,0.6184238043706425,-0.03458136625614862,-0.07097695280966379,0.560662208702756,0.39307918520805957,-0.48914754212090594,-0.052482629204362294,-0.6077342704186646,-0.08075623668310242,-0.3171735126566374,0.31158063698208005,-0.3479725154364068,0.5269432926667497,0.3146807386923572,-0.34723028872863404,0.15837205094709314
Thal_PuL_R,-0.04281400259535711,-0.28190494004319755,0.1139911708195165,0.3296180713959282,0.25426645574816337,-0.2400140178910673,1.0,0.21340076355307752,0.20576304971264023,0.43231114872875825,0.2724919856166449,0.4108498797391257,0.15201423916349638,0.2313498105722063,0.1990809674662762,0.3031264715919321,0.0,0.16720442860147,0.2761127668936611,-0.01696549940136684,-0.016238443325612778,0.08430065185013663,0.28222790828409655,0.03239970751835634,-0.18085639755021204,0.28513480948550846,0.0272287725813772,-0.03462992276558307,0.3284836581472581,-0.020899377497786413,-0.25827689996912145,0.11502316977995301,0.0,-0.03025729816398264,0.018578928988023116,0.35306223129195813,-0.272343438649639,-0.037075389184546635,-0.4026748928960011,-0.08353263804366622,0.08937106260792023,0.40841029266346035,-0.032080984069654955,0.15193337957324962,-0.024068434419990573,-0.058501513482513735,0.3424051807972513,0.0998866437388574,0.02792014178700784,0.17558830855912502,0.3081416098154712,0.07640153039686104,0.2946158747518299,0.17717755682136163,0.4077517426474875,0.2689351618466189,0.48585767653408485,-0.21567203252869935,0.2398010945750646,0.36676013193848445,0.09142003442500896,-0.22219042241533135,0.6302286160760666,0.4652239161225802,0.3790231070399637,0.1715464876176852,0.10454116116806854,0.049525255810609854,0.2694861748449548,0.052786741703612784,0.5166109251414698,0.04755702177979374,-0.21366486477908025,-0.04861624563794737,0.3657445737438634,0.16571191407857291,0.45535085759474786,0.012920420733297562,0.027154624733221604,0.024319124261891336,-0.24061208246171398,0.5407329152300413,0.32082292636673865,0.28870230423974386,0.2825339481937694,0.20414506885575223,0.022920918215518442,0.28605049952560135,0.1273404546702361,-0.07879591816354697,0.30088602125641917,-0.12220739744250679,-0.03311593593321705,0.1519266195794959,0.3034050463607814,0.37314119888517094,-0.13731819151186564,0.025974222236319705,0.36354104833065926,0.037475839382002364,0.3084199114671685,-0.007262234849008369,-0.16417989434325736,0.1913099434249305,-0.02748818823852509,-0.021202197126617018,-0.01250587997543806,0.31676859105821487,-0.12849450049944436,-0.2658499724753134,0.41818691573366484,0.31542329117669005,0.09413724933010875,-0.04132636071835093,0.2856780591217189,0.27363411387317316,0.3118981349880681,0.5707831279903953,0.4559653743860396,0.14516689690899665,-0.13944702212011595,-0.03793126069526669,0.14659800064858897,0.24989559628989017,-0.10758108241597963,0.3443755824039079,0.5396267401416941,-0.02638797449341071,0.30418540180503195,-0.2752886748454733,0.2662435123823334,0.10552185009846352,-0.2566288105407676,0.03302665523429529,0.3705464226552133,0.4364516243228985,0.48149538731358266,0.033381451947692195,0.5035580376228703,-0.008046819859392517,0.2488023639044488,0.02279681627015727,-0.15761083162518844,0.4306968921573422,0.11321704481582764
Cerebellum_9_L,-0.29588032739387876,-0.7338078227837641,-0.03340710883342865,0.11674053429713158,0.18299545452260546,-0.07856137131048546,0.21340076355307752,1.0,0.20945952895856781,0.2796148452899759,0.6765126205675459,0.7458081249359919,-0.20128567297860184,-0.06507392484582616,0.3325700709187683,0.2724015766692958,0.0,-0.0803526699110538,-0.09094917860611335,-0.21455673084129542,0.35344999634453655,-0.04045645131479657,0.5439256609069644,0.002970596556374302,-0.28443417221861955,-0.019714518659964462,-0.11207542798564542,-0.37589004075435933,0.011564357562734797,-0.20407769666669795,-0.5473534377538253,-0.05793622695237961,0.0,0.5848091042528774,-0.17723308934102722,0.08410169686091222,-0.5372883537692991,0.28856385329223966,-0.26136069243556975,-0.30532220577353814,-0.27841310957022947,0.3326729633428544,-0.16624213113597022,-0.41729460084434555,-0.2562424000634139,-0.2754147771960779,0.512056589083609,-0.06363442397063569,0.11920288568952872,-0.002564361382965389,0.06412766626346925,-0.22082988014550872,0.4363096290933185,-0.10488594289118347,0.2516917829579503,-0.2782653240644724,0.5482280772166725,-0.3138179324458083,0.0513379740725455,0.3303071851747024,-0.12907215704025538,-0.570406482674111,0.3273656618859676,0.5291729564129108,0.25978829682595805,0.00790784614841251,-0.2819651504155423,-0.3169165211692085,0.09126773116267589,0.06211350864163328,0.07967596592318722,0.19589266129128677,-0.4290257056032927,-0.3044946828338617,0.4593592971451977,-0.03113910439499894,0.6633237506798302,0.3514080702036853,-0.22574663376060003,0.44794405353967376,-0.04874592131529471,0.37865805669601804,0.6669653753609447,0.03497342212669401,0.028105739538960773,0.16965039500469262,-0.5198781942193634,0.43532184152567927,0.019228074062199778,-0.02090543018648507,0.04809694896354619,-0.18557955047673474,-0.18333698386080738,-0.07534437616528328,0.8282133654155425,-0.0919499999854155,0.08150862868710422,-0.12150224219096832,-0.0710062778650684,-0.12738337458072557,0.06691797798190142,-0.6038387017323573,0.2741505510555117,-0.15295925758266518,-0.45178093080960896,-0.12830994148224575,0.42988965243014227,0.588158310929433,-0.2907809960882363,-0.561908554309774,0.05615860551041493,0.42212562971697215,-0.06648872334795453,-0.488830253713208,0.5770012961788198,0.05247858377896854,0.5763815371859353,0.36527779208960753,0.5945005090285946,0.2762548672655781,-0.26986214160089916,-0.3670691314005332,0.054637909824264065,0.12766825661630063,-0.1980760441776239,0.37391503752117977,-0.02793570401048394,-0.40264555978522026,-0.012345793986582152,-0.13497634011266213,0.0495987825572866,0.22832004448854815,-0.46279983225926935,-0.16266084052540714,0.5357036719820395,0.4887864316966515,0.585011410179559,-0.5418810527987757,0.2885058678878872,-0.15088244665941558,0.5991739319725518,-0.27606562497913806,-0.16658260731256838,0.7541685026691058,0.008814052433618555
Parietal_Inf_L,-0.22974825552363748,-0.29042238354195543,-0.10844967096593076,0.3004239858220491,0.49366007107170895,-0.5827750580166762,0.20576304971264023,0.20945952895856781,1.0,0.31565802605945487,0.3167192541776529,0.4884388564751663,-0.12266113769108815,0.0719378977099863,0.6027483898842081,0.3804074261953916,0.0,0.046674256468127055,0.22276765170415438,-0.12132589559993101,-0.12672354735924626,-0.04933209202850932,0.40097745405142915,0.4495887033316513,-0.24377265521771713,0.10028732855983072,-8.56743379764991e-05,-0.00206300485964957,0.17136370560521727,-0.49328439474083446,-0.29509702669577487,0.24277894419171117,0.0,0.16978858766190846,0.02269421941736029,0.11624743445993357,-0.3656453508094871,0.21414803062071103,-0.48892938959337917,-0.23478865393846196,-0.1559611722592406,0.48361590593929304,-0.24629335887966292,-0.11746197525413565,-0.09810788502037492,-0.28307353113375894,0.4415907094515225,0.4982658785276653,0.11792191166546277,0.05217068967262088,-0.0018960312493672981,-0.13440352515849632,0.4002800073494442,-0.002113507586071868,0.4103961304077329,0.03084461567881955,0.45477445047627113,-0.44160014780537266,0.059071258819203505,0.29007425433743383,0.018140498243269156,-0.3952491777238701,0.3514062712277313,0.29329372058014763,0.4631467887766469,-0.05969886601206333,-0.20400347833304455,-0.06105436699559332,0.09889729784433633,-0.11111596728623646,0.1328918432535133,0.12891577434427212,-0.3534817331105449,-0.20756491738356514,0.1804827774913403,0.052375837319924276,0.5386575047462834,-0.3720113236656318,-0.18438316496858131,-0.09162742352651097,-0.1523603323875071,0.48860221691614497,0.39652480137240526,0.14793052414610622,0.07088468690188318,0.05494011321469786,-0.10630191008982971,-0.007129537405614998,0.046607918073670984,0.17079020272235693,-0.02874234026965358,-0.2998674344774436,-0.17304007834382196,-0.06011670467185892,0.4100173835788394,0.10870501278530893,-0.09241197178234076,-0.13196887743268687,0.2741238284419623,-0.021833138014816785,0.2814932103400425,-0.07894839247479697,-0.10777151364673393,0.0839455588269495,-0.14405724826920563,-0.08227862868792857,-0.09015902715356937,0.4731931626807309,-0.31286454684490256,-0.35085561535224336,0.25472786567996997,0.6313612804653848,-0.04258429999407708,0.17590862070803323,0.2593054913840895,0.13704731246917035,0.5457355502846837,0.3806341949517191,0.53893293147201,0.456467800224699,-0.37265586057529126,0.006940753922925997,0.14004630180230535,0.12553187839687538,-0.48882467894250475,0.4681966889288687,0.1776202508726123,-0.1342180623905011,0.087001472164644,-0.40723826404928043,0.06619744260873538,0.18314498068548007,-0.46447638259976903,-0.2008404730567812,0.4595661895867341,0.10000493692347609,0.5724778373872892,0.007196876756802623,0.3926202311799009,-0.16198708380130972,0.3550482640824244,-0.4135118788020194,-0.2381557631309095,0.3524700697421173,-0.09023699483809267
