,Thal_PuM_L,OFCpost_R,Temporal_Pole_Mid_R,OFClat_L,Temporal_Mid_R,Cuneus_L,Parietal_Sup_R,Cerebellum_3_R,LC_L,Thal_VA_R,Thal_VPL_L,Thal_PuA_R,Pallidum_R,Thal_VL_L,Amygdala_R,Temporal_Pole_Mid_L,N_Acc_L,Thal_MGN_R,Precentral_L,Raphe_M,Frontal_Inf_Orb_2_R,Insula_L,SupraMarginal_L,Thal_VA_L,Hippocampus_R,Vermis_10,Angular_L,Putamen_L,Paracentral_Lobule_R,Cerebellum_Crus1_L,Thal_LP_R,SN_pr_R,ACC_sub_L,Pallidum_L,OFCmed_R,Thal_LP_L,Thal_LGN_R,Thal_IL_L,Frontal_Med_Orb_L,Heschl_L,Frontal_Inf_Oper_R,Cerebellum_7b_L,OFCant_R,Cerebellum_4_5_R,Amygdala_L
Thal_PuM_L,1.0,0.3026255915789247,0.22245641825537127,0.05083385241318278,0.26758489006983915,0.0,-0.016762902736268136,0.05247949089890739,0.015926887418749723,0.5692632218801648,0.9286722044609965,0.20846241850715255,0.8233950388549092,0.7804696053127619,0.7617199777370011,0.28084417129223516,0.6083876692682179,0.6867988070780316,0.22752212272255123,0.39432366382565004,0.21100360982159785,0.8109428230275051,0.06583170200098665,0.7051010050070567,0.8835422186406157,-0.12229869838005547,0.1086925547812945,0.6635988671759904,0.16127920877511323,-0.16818757027363154,0.1529229763980386,0.5165507700492056,0.46294376559727346,0.37823348520605554,0.14360908753131651,0.4976158992577454,0.5087483681897045,0.5722056518112435,0.29904534050175663,-0.09467940822392598,0.6767376071996983,-0.03294299810600266,0.18837989228249852,-0.08587425304299849,0.842592172743237
OFCpost_R,0.3026255915789247,1.0,0.801459005792873,0.5238214386909407,-0.04971117852575653,0.0,-0.506135552170653,-0.551158587499865,-0.6428450630992452,0.5354168937057842,0.23316059642116785,-0.4646823010129818,0.35749151477143903,0.30988467538117054,0.47542226695656553,0.3147668190404431,0.22127624907310728,0.3948843779304973,0.5120020615296005,0.00760653645069436,0.726540339744914,0.4703271704637936,-0.1887079293181714,0.14387791875878705,0.31751243303765475,0.07294933527087061,-0.1928068495717369,0.329191230675494,-0.11413094908407331,0.5302448515029059,0.2817325511712637,0.08569175997203327,0.6572140874097561,-0.2588985987610369,0.6806460183799461,0.35826341271232504,0.4866218246219141,0.5997985866689328,0.8635050645668996,-0.8515116504180227,0.5811297290235378,0.06793610947432822,0.760801990242489,-0.691842858653082,0.5790648831743076
Temporal_Pole_Mid_R,0.22245641825537127,0.801459005792873,1.0,0.36045029179554067,0.3425468896790703,0.0,-0.48019073566636994,-0.4301008869458774,-0.39393819904752453,0.2768431815490131,0.1352557458717542,-0.24105253530039275,0.4013995679769906,0.18806010893178593,0.4377774709686873,0.037421698576427916,0.2254497842950492,0.3961443125253466,0.6138703401644715,-0.06488174373788816,0.7392487992805727,0.3671432118319818,-0.322494349142874,-0.043371181118409305,0.2976317693606751,0.23316407405685657,-0.2597051047900919,0.28959172394069393,-0.1364982953032045,0.4992994223735502,0.27094811279345193,0.18100069309764602,0.6516762404093565,-0.07029236135038719,0.48808227448980374,0.3189585222869559,0.26597674492677287,0.5109640282835534,0.5626980876678858,-0.6905288403300568,0.4254323443228923,-0.008383883333821793,0.7830710473929997,-0.5258156777743909,0.4455237187725076
OFClat_L,0.05083385241318278,0.5238214386909407,0.36045029179554067,1.0,-0.3293824539288563,0.0,-0.36129165621575676,-0.5094026349580046,-0.5200706431664303,0.2950808457382602,-0.0218749085418776,-0.4217716979871264,0.05947217335563956,0.08401728781085621,0.14382037322913563,0.27563420062066896,0.02040146801817433,0.1578164621227671,0.32811609815921616,-0.15965886389722703,0.373543350149687,0.18043175779444967,-0.07269719663435882,0.009289648250643497,0.0016580916585379507,-0.04662788026823469,-0.06073611295661941,0.09716565155387735,-0.17086720784372098,0.3065431729263209,0.16004015042195033,-0.078243405190398,0.22144766739683183,-0.26191371039275396,0.4205216929712846,0.13530406717626298,0.33095651683926125,0.2954308543134994,0.501547292821237,-0.44311966288368126,0.2193486405506517,0.12839960564684627,0.3100202302460284,-0.556886050839143,0.21773067551124692
Temporal_Mid_R,0.26758489006983915,-0.04971117852575653,0.3425468896790703,-0.3293824539288563,1.0,0.0,0.21501539750409668,0.3611539586982868,0.5555852186892468,-0.19050777502532998,0.25130971007594005,0.4635046380788496,0.37608795554692587,0.13369614485311143,0.36308310920152653,-0.5301425420896564,0.13945063735973853,0.2122749160250977,-0.009282586965571837,0.3285527555674326,0.061165669206966984,0.14386977871395104,-0.22092332948612453,-0.06504705112143479,0.35856877459766373,0.2873661637907508,-0.13837830348218594,0.10465426978182989,0.322584630062378,-0.12538718347796726,-0.035077205316612514,0.40141857781188345,0.21664705273554058,0.345400318610297,-0.3485714911310108,0.08283060533815119,-0.3165137094269792,0.11866639089115556,-0.25530196275875466,0.017483477906217054,0.005796385488834676,-0.3050442183353669,0.30168355400498986,0.3730974291035665,0.11806311527666184
Cuneus_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parietal_Sup_R,-0.016762902736268136,-0.506135552170653,-0.48019073566636994,-0.36129165621575676,0.21501539750409668,0.0,1.0,0.47012596481313096,0.5592960128550093,-0.21405577858477962,0.0302694270539415,0.3703423987121993,-0.02607774205463346,-0.037941651495864676,-0.08046183013707395,-0.3317650034830784,0.03194276044960588,-0.2307372646146863,-0.3958466857274277,0.13610311155731086,-0.5678606393025672,-0.14464636364258315,0.098357470031385,-0.018261568938813876,-0.008068567520951737,0.028470654683114428,0.22962685998336255,-0.044850333277707204,0.44005158292296004,-0.33062933484441737,-0.102374045676096,0.12435116561018693,-0.24773233822008664,0.2696687342387882,-0.5995666310664656,-0.05469755517798785,-0.3310753924374172,-0.26264729267977704,-0.4988809844450337,0.4265308007868384,-0.18079236368518775,-0.1614834222443306,-0.23945481213494973,0.4790780624601785,-0.23472094188448478
Cerebellum_3_R,0.05247949089890739,-0.551158587499865,-0.4301008869458774,-0.5094026349580046,0.3611539586982868,0.0,0.47012596481313096,1.0,0.5554892664414375,-0.0859216347871227,0.16403428125254038,0.5831087298372334,0.0695722951318479,0.04578860912482609,-0.04391545142937534,-0.13488065208608824,0.03521698174692961,-0.3317319739533607,-0.5046066152423512,0.47948952804680534,-0.5340288221484143,-0.11533951195444109,0.13486648610512356,0.2710319974081218,0.09272095621909447,-0.05146584155432339,0.08294943102615403,-0.04690780691122482,0.39132168834191927,-0.5449958866363493,-0.1324631742806801,0.10230432118153873,-0.39431450351161834,0.3655450234063847,-0.4977800575540978,-0.043853471306717344,-0.3196083914492716,-0.22995393037634126,-0.5918798067044707,0.5283230411683331,-0.23800457153479748,-0.10836133943262855,-0.26028038011058924,0.7973109132637801,-0.24845720265273644
LC_L,0.015926887418749723,-0.6428450630992452,-0.39393819904752453,-0.5200706431664303,0.5555852186892468,0.0,0.5592960128550093,0.5554892664414375,1.0,-0.43245820173928357,0.06999281981546819,0.609415630277371,-0.022808587100733274,-0.09562337953570461,-0.08475354476350637,-0.5786314875431149,-0.0809653569141852,-0.10970023236381951,-0.40013182563193767,0.11759880982308002,-0.4295062286993357,-0.15158394673022835,-0.18194028960727607,-0.08794366235147831,0.02492838270807919,0.2626009684624411,0.04667153250224792,-0.07375331220425235,0.16721883765915022,-0.43590779168047805,-0.15350752418752572,0.12902934843783115,-0.3412862177235538,0.47267957229361857,-0.6915433065796841,-0.169593690870837,-0.5489834946668862,-0.37085524732329156,-0.6935059839025393,0.5920961783821346,-0.36759210682285026,-0.2520223794771594,-0.3887280001790101,0.6696809898487615,-0.30602335059455216
Thal_VA_R,0.5692632218801648,0.5354168937057842,0.2768431815490131,0.2950808457382602,-0.19050777502532998,0.0,-0.21405577858477962,-0.0859216347871227,-0.43245820173928357,1.0,0.5471067200045645,-0.09978507363445505,0.5642349976925144,0.7289285438408806,0.45398760285748246,0.6263162519006243,0.41655174890800095,0.4085442687335445,0.2439957138310768,0.29198824722872596,0.3761994572811556,0.7188093712797538,0.07788688192513303,0.7763805890291195,0.554194935437997,-0.2045387548966926,0.05384864177656453,0.5737985956295452,0.16387458996578746,0.07007264933456964,0.5320436496982592,0.3683226384572834,0.5228434718552737,0.0956834158453721,0.3994029337855315,0.7072684532378768,0.7097280981480275,0.5830443998990374,0.5696997584764596,-0.3730725663329688,0.729307618073094,0.0729895394904685,0.3660349617793115,-0.26626380199353633,0.5890182472457511
