,Cerebellum_9_R,Calcarine_R,SupraMarginal_R,OFCpost_R,ACC_sub_R,Amygdala_R,Temporal_Sup_R,Thal_IL_L,Thal_MDl_R,SN_pc_L,Frontal_Inf_Tri_R,Insula_R,Thal_AV_L,Cerebellum_4_5_L,SN_pc_R,Cerebellum_3_L,Hippocampus_L,Vermis_10,Parietal_Sup_L,Cuneus_L,Thal_LP_R,Frontal_Med_Orb_R,Thal_PuL_L,Thal_PuA_R,Cerebellum_Crus2_L,Parietal_Inf_R,Precentral_L,Temporal_Mid_R,ACC_sup_R,Cerebellum_7b_R,Cerebellum_6_R,Occipital_Mid_L,Raphe_M,Amygdala_L,Vermis_4_5,Cingulate_Mid_L,Paracentral_Lobule_L,Lingual_L,Olfactory_R,Raphe_D,Vermis_1_2,Thal_PuM_L,Thal_LP_L,Caudate_R,Supp_Motor_Area_L,Fusiform_L,Cerebellum_8_L,Precuneus_L,ParaHippocampal_L,Red_N_L,Rectus_L,SN_pr_L,Cerebellum_10_L,OFCmed_L,Calcarine_L
Cerebellum_9_R,1.0,0.186110377577572,0.13666312661775984,-0.4013892975801832,-0.17719617351263608,-0.1906831672361245,0.1251058060017344,-0.3328677649009415,0.29600780449862435,0.337378091332847,-0.08590897379773964,-0.08787972039047856,0.2644978936799795,0.3813796746696959,-0.055654103355648174,0.26120551603026554,0.33502280578201843,-0.4236736262549394,0.1809723489293475,0.0,0.01785539667372952,-0.2591574058249268,0.2779368172290975,0.36966620287624063,-0.14423570893458637,-0.0587739562601213,-0.47322271936535015,-0.18692666983708897,-0.060840220200329205,-0.14441591860173852,0.07041445324951501,0.0,0.21204702390892924,-0.1925442635760781,0.2503949153882173,-0.23737418065436838,-0.4572365768471212,0.38346725171197804,0.07526116727359444,0.2899429567162101,0.3138714843298796,0.03013635353112063,-0.004481493621929066,0.020672038404795996,-0.2949282638184459,0.5448939184292646,0.5738447408044328,-0.22515643371783456,0.401764169086333,0.13738512836233785,-0.1729088206748076,0.0913456270922775,0.3070324523512474,-0.22798851535276862,-0.1480059638113383
Calcarine_R,0.186110377577572,1.0,0.45832351621870715,-0.6527291683515735,-0.7113466186396042,-0.1710095250929388,0.6099669243802539,-0.4296147736196526,0.07708041723763136,0.10660627942433594,-0.3097551900412805,-0.1842166763666865,0.3478573208674452,0.7350593019767578,-0.4910685621273788,0.7567347314146315,0.46100460680786415,0.1276403868120044,0.5585114947722329,0.0,-0.11238118154655566,-0.6035983607366905,-0.07127685120539282,0.39242861849983446,-0.20426222508663602,0.20105602218940877,-0.30785211847956717,0.3707277956277903,-0.1626381265739464,-0.2499542187282631,0.543130448802156,0.0,0.06430522288458296,-0.5823954618766638,0.592829478321984,-0.14420509426621045,-0.2675875961312766,0.7247853982623957,-0.029083160805384593,0.17072169108431856,0.8012148762859169,-0.28402277387103436,-0.28330511877881154,-0.09961682477140568,-0.43164227526856447,0.4215869892291798,0.2681202894095231,0.47183901972512154,0.6272763213950511,-0.5770428805709346,-0.7082046858569628,-0.05656337674294636,0.316093245186228,-0.5607097990636692,0.6861540217082588
SupraMarginal_R,0.13666312661775984,0.45832351621870715,1.0,-0.38312147340953895,-0.18473690825203848,-0.09629018754598037,0.5592506229555373,-0.24765824948715245,0.07807928757330324,-0.18520355758488435,-0.07666835858761596,0.03976545670301325,0.31596529558002406,0.31069218926124087,-0.45181140495881805,0.32199486151523776,0.15095900409623256,0.20644691677846744,0.10500861363445238,0.0,-0.0014553965133088968,-0.5863081874981683,-0.07092104455153916,0.25070537935850257,-0.2577350235950272,0.3010357459347893,-0.05731194563192315,0.29974581155478053,0.07658300698849695,-0.23936911247800988,0.22255128092125062,0.0,-0.23489487798695882,-0.3386807622426234,0.4381965440817004,0.2947476262705345,0.30225504081702875,0.3759597306935383,0.058405357245313844,0.11729879890086034,0.36782485216933125,-0.23935334238228992,-0.14452629786563265,0.11803769475944141,-0.036276994394029545,0.18320198910329383,0.06702900224498345,0.3948881241741482,0.24926368298668433,-0.31221911699700466,-0.3199116519683553,-0.1269709387536537,0.017663702474049674,-0.169349204330527,0.27092593295583295
OFCpost_R,-0.4013892975801832,-0.6527291683515735,-0.38312147340953895,1.0,0.5672145466831858,0.47542226695656553,-0.39008837092006055,0.5997985866689328,-0.12176411330278213,-0.10168279556186222,0.6053202367765469,0.500140713336082,-0.22089827630781866,-0.7978298852252405,0.6404398772603053,-0.74704204302679,-0.533894248720814,0.07294933527087061,-0.37764301925910626,0.0,0.2817325511712637,0.7257641597185992,0.07910823767847132,-0.4646823010129818,0.3324815368581077,-0.20198655033013982,0.5120020615296005,-0.04971117852575653,0.3853713085434754,0.4372699993474977,-0.5335080044556961,0.0,0.00760653645069436,0.5790648831743076,-0.7014486344079388,0.43708918251917583,0.40201784695431414,-0.8089800972727702,0.16371985162204533,-0.32392730827472593,-0.7332605316565055,0.3026255915789247,0.35826341271232504,0.31501392917242166,0.6477513678355072,-0.710065745983351,-0.515103018497933,-0.27855904744663174,-0.7072376092828088,0.3249804053380965,0.7798904430465874,0.14757701581452562,-0.5425829817043686,0.614322025578824,-0.2851697882154275
ACC_sub_R,-0.17719617351263608,-0.7113466186396042,-0.18473690825203848,0.5672145466831858,1.0,0.35313983799009613,-0.18828559952649324,0.5561945889513089,0.2029797625514386,-0.12339261965408829,0.5680274642877944,0.5451597713706106,-0.3458666899667607,-0.46391095611776684,0.49145647710388096,-0.43279329511008946,-0.238550408173054,0.06100069842473998,-0.27716944954354944,0.0,0.36803158706923295,0.4068835015310655,0.3062790796626092,-0.043014269036475206,0.13413881400242894,-0.02834994909234592,0.38179326861006097,0.06136632811487809,0.5501489626096047,0.024475600436758248,-0.2804253302785526,0.0,-0.059734206501908915,0.6134428174775223,-0.25833049131846525,0.3858157304805037,0.2667184555652214,-0.4394252364361375,0.38134836947163314,0.2342426516431458,-0.5852104981229622,0.46774336360418006,0.5317503637380993,0.47500682212413364,0.5673994481058295,-0.28772335669873333,-0.12130282065605792,-0.14196621463178727,-0.31091559956108455,0.6326806755009468,0.6243041547239062,0.29607893320699413,-0.23495344023904613,0.5573436782805241,-0.6046230787418715
Amygdala_R,-0.1906831672361245,-0.1710095250929388,-0.09629018754598037,0.47542226695656553,0.35313983799009613,1.0,0.21539651520209205,0.7692213766194225,0.35362815964554484,0.10575453692727496,0.5509457464711162,0.5702912203057516,-0.1947498071932369,-0.22991097194666363,0.5443976020085948,-0.19972499162261328,0.2323794751161509,0.004003239353361334,0.09093184907371495,0.0,0.2469011900647826,0.267828871313242,0.42492668988834664,-0.11443589040123374,0.014327557535945085,0.09651311082563739,0.494910679496421,0.36308310920152653,0.38826421118701226,0.2240429055547915,-0.12003470530049469,0.0,0.30269820157009975,0.7707780939014006,-0.20032648019171015,0.4873359156958764,0.1904564937685702,-0.21200235124948313,0.30409399581207597,0.14459678493594763,-0.2647568931007272,0.7617199777370011,0.4957061657608213,0.4350376431937934,0.7006491267548646,-0.25330073511485274,-0.19427163693997831,0.06410273328665414,-0.002391139887147363,0.40230826227756644,0.3444207668696586,0.6215374867685747,-0.14117189546293968,0.20022021003778454,-0.06612235463713219
Temporal_Sup_R,0.1251058060017344,0.6099669243802539,0.5592506229555373,-0.39008837092006055,-0.18828559952649324,0.21539651520209205,1.0,-0.1512545261265957,0.5016225487716504,0.13176881700828588,0.0567567522510002,0.2581166777168263,0.11820103827870848,0.6944715960317949,-0.2965422032155687,0.7198017195336158,0.602062728348392,0.206592461823748,0.5089371616661997,0.0,-0.07987067306891407,-0.5576104062104382,0.2795222891399414,0.671911828830493,-0.23278102590098584,0.3115052905146739,-0.18628608836810967,0.8306251402610954,0.21705342054743385,-0.3380627496398068,0.5804896668036191,0.0,0.2711624677861806,-0.06524230710151666,0.7618613228793282,0.07327642919176697,-0.23348367894507746,0.7163844936448328,0.2397126035333804,0.5245356091037042,0.6885852119873842,0.23261686368553036,0.0009631282869817285,0.18532241429784996,-0.10428508843195318,0.32619246868725804,0.2601711026061813,0.44630884097178186,0.686112462383704,-0.1412486790408169,-0.45976835075869027,0.29255000753054605,0.3868600582852876,-0.49802812569379235,0.3112366532062874
Thal_IL_L,-0.3328677649009415,-0.4296147736196526,-0.24765824948715245,0.5997985866689328,0.5561945889513089,0.7692213766194225,-0.1512545261265957,1.0,0.007484629076271571,-0.10631092522217306,0.43448047101357434,0.379521186980644,-0.34784743634359333,-0.5232109201556852,0.5996752957187476,-0.4626306809614945,-0.13815268260970512,-0.005187805741478932,-0.11689885609680424,0.0,0.309068116436124,0.4011588445113652,0.20095137775243452,-0.4367846829124562,0.02760227266048162,0.08344047440429521,0.5731690558047562,0.11866639089115556,0.24464712237018854,0.38692797340798857,-0.2832214568143724,0.0,0.19691924008085487,0.7430363588778071,-0.4709467235341543,0.41877329291188947,0.3505407401997236,-0.5251491602131344,0.06015791678500208,-0.06551156430238121,-0.5725836376118358,0.5722056518112435,0.47670033258475086,0.27166516703349664,0.6977805210489335,-0.44701713818300365,-0.27452937407782535,-0.05068978810024474,-0.33116068972921153,0.45869002624351785,0.6382402942288039,0.3688996963483006,-0.29340174789132994,0.3794910525438313,-0.24750624164187315
Thal_MDl_R,0.29600780449862435,0.07708041723763136,0.07807928757330324,-0.12176411330278213,0.2029797625514386,0.35362815964554484,0.5016225487716504,0.007484629076271571,1.0,0.47609908524995936,0.46211635301423304,0.5343354346351196,0.0945928422952065,0.37605321064932523,0.20544945533293726,0.2948141357801426,0.7226208504456508,-0.0948257274651841,0.23868377573334415,0.0,0.1524544858605011,-0.1188702366645543,0.6889307720661475,0.6236832536436467,-0.06986847573255132,0.13327677073804473,-0.04140349459452146,0.29172320498001086,0.4974917846208341,-0.2911524623802615,0.2094460237980872,0.0,0.3213273131911615,0.38101534921819463,0.3975897869842312,0.21455240839279163,-0.2990392831402316,0.4697737059853323,0.5864497978590133,0.6223829634352951,0.3250944531293143,0.6650968632370209,0.3516486063082212,0.5096317873546858,0.2493933678447917,0.4456769979361293,0.34257655106102064,0.05706107581373485,0.5637809511517551,0.4470185516496913,-0.1598939320126584,0.6767784353471962,0.3303235033355058,-0.05133318436189781,-0.0761853570065107
SN_pc_L,0.337378091332847,0.10660627942433594,-0.18520355758488435,-0.10168279556186222,-0.12339261965408829,0.10575453692727496,0.13176881700828588,-0.10631092522217306,0.47609908524995936,1.0,0.22868343192438942,0.25711955649215607,0.08595546211390533,0.2754024474400184,0.39913674333232607,0.18112796349256255,0.4607679037593308,-0.19873863291499308,0.12050011571099449,0.0,0.11455834121675473,0.058225301152914695,0.3927532290785912,0.3702012432602033,0.03681965553432219,-0.039895256647926196,-0.32732190173374315,-0.048147260723347116,0.21165330485006478,-0.05295809875403103,0.10796968126008832,0.0,0.4863942027444254,0.10324964361338472,0.07748731887058698,-0.10766541229087362,-0.5180824745354995,0.27477126438785254,0.3029774190894207,0.3984587561319136,0.18049958564408558,0.3697013514369096,0.19301841272550135,0.20717836442287815,-0.023152540027063014,0.37581307720761203,0.2509691739121079,-0.2872403077853124,0.3747403253287311,0.36177278940736163,-0.16647713275562762,0.4775418580906663,0.2685360136109792,-0.1454152494158054,-0.02474354374295762
