,Thal_PuM_L,OFCpost_R,Temporal_Pole_Mid_R,OFClat_L,Temporal_Mid_R,Cuneus_L,Parietal_Sup_R,Cerebellum_3_R,Thal_VA_R,Thal_VPL_L,Thal_PuA_R,Pallidum_R,Thal_VL_L,Amygdala_R,Temporal_Pole_Mid_L
Thal_PuM_L,1.0,0.3026255915789247,0.22245641825537127,0.05083385241318278,0.26758489006983915,0.0,-0.016762902736268136,0.05247949089890739,0.5692632218801648,0.9286722044609965,0.20846241850715255,0.8233950388549092,0.7804696053127619,0.7617199777370011,0.28084417129223516
OFCpost_R,0.3026255915789247,1.0,0.801459005792873,0.5238214386909407,-0.04971117852575653,0.0,-0.506135552170653,-0.551158587499865,0.5354168937057842,0.23316059642116785,-0.4646823010129818,0.35749151477143903,0.30988467538117054,0.47542226695656553,0.3147668190404431
Temporal_Pole_Mid_R,0.22245641825537127,0.801459005792873,1.0,0.36045029179554067,0.3425468896790703,0.0,-0.48019073566636994,-0.4301008869458774,0.2768431815490131,0.1352557458717542,-0.24105253530039275,0.4013995679769906,0.18806010893178593,0.4377774709686873,0.037421698576427916
OFClat_L,0.05083385241318278,0.5238214386909407,0.36045029179554067,1.0,-0.3293824539288563,0.0,-0.36129165621575676,-0.5094026349580046,0.2950808457382602,-0.0218749085418776,-0.4217716979871264,0.05947217335563956,0.08401728781085621,0.14382037322913563,0.27563420062066896
Temporal_Mid_R,0.26758489006983915,-0.04971117852575653,0.3425468896790703,-0.3293824539288563,1.0,0.0,0.21501539750409668,0.3611539586982868,-0.19050777502532998,0.25130971007594005,0.4635046380788496,0.37608795554692587,0.13369614485311143,0.36308310920152653,-0.5301425420896564
Cuneus_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parietal_Sup_R,-0.016762902736268136,-0.506135552170653,-0.48019073566636994,-0.36129165621575676,0.21501539750409668,0.0,1.0,0.47012596481313096,-0.21405577858477962,0.0302694270539415,0.3703423987121993,-0.02607774205463346,-0.037941651495864676,-0.08046183013707395,-0.3317650034830784
Cerebellum_3_R,0.05247949089890739,-0.551158587499865,-0.4301008869458774,-0.5094026349580046,0.3611539586982868,0.0,0.47012596481313096,1.0,-0.0859216347871227,0.16403428125254038,0.5831087298372334,0.0695722951318479,0.04578860912482609,-0.04391545142937534,-0.13488065208608824
Thal_VA_R,0.5692632218801648,0.5354168937057842,0.2768431815490131,0.2950808457382602,-0.19050777502532998,0.0,-0.21405577858477962,-0.0859216347871227,1.0,0.5471067200045645,-0.09978507363445505,0.5642349976925144,0.7289285438408806,0.45398760285748246,0.6263162519006243
Thal_VPL_L,0.9286722044609965,0.23316059642116785,0.1352557458717542,-0.0218749085418776,0.25130971007594005,0.0,0.0302694270539415,0.16403428125254038,0.5471067200045645,1.0,0.38721754454866003,0.7565595635896805,0.7952751950849627,0.6494568375919868,0.35900730014878707
Thal_PuA_R,0.20846241850715255,-0.4646823010129818,-0.24105253530039275,-0.4217716979871264,0.4635046380788496,0.0,0.3703423987121993,0.5831087298372334,-0.09978507363445505,0.38721754454866003,1.0,0.12619256367654907,0.2773950530516761,-0.11443589040123374,0.04893932274560602
Pallidum_R,0.8233950388549092,0.35749151477143903,0.4013995679769906,0.05947217335563956,0.37608795554692587,0.0,-0.02607774205463346,0.0695722951318479,0.5642349976925144,0.7565595635896805,0.12619256367654907,1.0,0.7736028014909092,0.8328856598456812,0.15373206279103968
Thal_VL_L,0.7804696053127619,0.30988467538117054,0.18806010893178593,0.08401728781085621,0.13369614485311143,0.0,-0.037941651495864676,0.04578860912482609,0.7289285438408806,0.7952751950849627,0.2773950530516761,0.7736028014909092,1.0,0.5872296934026161,0.4812499404646972
Amygdala_R,0.7617199777370011,0.47542226695656553,0.4377774709686873,0.14382037322913563,0.36308310920152653,0.0,-0.08046183013707395,-0.04391545142937534,0.45398760285748246,0.6494568375919868,-0.11443589040123374,0.8328856598456812,0.5872296934026161,1.0,0.06350328407504575
Temporal_Pole_Mid_L,0.28084417129223516,0.3147668190404431,0.037421698576427916,0.27563420062066896,-0.5301425420896564,0.0,-0.3317650034830784,-0.13488065208608824,0.6263162519006243,0.35900730014878707,0.04893932274560602,0.15373206279103968,0.4812499404646972,0.06350328407504575,1.0
