,Cerebellum_3_R,Red_N_L,Raphe_D,Angular_L,OFClat_R,Frontal_Inf_Tri_R,Rectus_L,Cuneus_L,Rolandic_Oper_R,Cerebellum_Crus1_L,Cingulate_Mid_R,Thal_PuL_L,Precentral_R,Hippocampus_L,Cerebellum_Crus2_L,Temporal_Pole_Mid_L,Thal_PuL_R,Caudate_R,Thal_IL_L,Frontal_Sup_Medial_R,ACC_sup_R,Angular_R,Cerebellum_7b_R,Thal_VPL_R,Frontal_Med_Orb_R,ParaHippocampal_R,Cerebellum_7b_L,Temporal_Mid_L,Frontal_Mid_2_L,Vermis_10,Heschl_R,ACC_sub_L,Cerebellum_8_L,Fusiform_R,Putamen_L,Insula_R,Thal_VPL_L,Lingual_R,Frontal_Inf_Oper_R,Precuneus_L,Thal_PuI_L,OFCpost_L,ACC_pre_R,Thal_PuA_R,Red_N_R,Cerebellum_3_L,OFCpost_R,Temporal_Sup_L,SN_pr_R,SupraMarginal_R,Cerebellum_10_L,Cerebellum_6_R,Pallidum_L,Cerebellum_Crus2_R,Thal_PuM_R,Thal_VA_R,LC_L,Occipital_Mid_L,SN_pr_L,Cingulate_Mid_L
Cerebellum_3_R,1.0,0.00016129459733574768,0.4462802124898234,0.08294943102615403,-0.18383938522886803,-0.2717748629769353,-0.28574466020473754,0.0,0.2668062741564306,-0.5449958866363493,-0.1591580020741664,0.29741297694777696,-0.12445989059707292,0.5743796029978517,-0.2565087214297423,-0.13488065208608824,0.40841029266346035,-0.022897161009667745,-0.22995393037634126,-0.2556616829265878,-0.09768109814389861,0.521263992663862,-0.3518311834009743,0.0056426571496660215,-0.5487733306277309,0.6093861859090017,-0.10836133943262855,0.5380628155148647,-0.20753847576246964,-0.05146584155432339,0.23253888189132566,-0.39431450351161834,0.5454001533649024,0.7432763366782468,-0.04690780691122482,-0.17412473245580137,0.16403428125254038,0.7854282014894778,-0.23800457153479748,0.14650665454275325,0.25565743518775946,-0.4643642289101806,-0.17616155097947414,0.5831087298372334,-0.31602355543692856,0.7086421423811878,-0.551158587499865,0.6020533452746906,0.10230432118153873,0.20502042308278487,0.6443221795191066,0.5686152625815329,0.3655450234063847,-0.20842038144154332,-0.09691493893083086,-0.0859216347871227,0.5554892664414375,0.0,0.11941261447478044,-0.34798225284991047
Red_N_L,0.00016129459733574768,1.0,0.47311264079362453,0.14732665923552046,-0.13407534439955776,0.48098687042173793,0.4232948229109992,0.0,0.3758546919547674,-0.07285929766454594,0.39666317082356706,0.6232499438336239,0.40216023228840747,0.11017878447203827,0.016134942869100048,0.6379523663424177,0.239988324208661,0.38066535652580497,0.45869002624351785,0.3378205363795659,0.3479791744686792,-0.06453674708921849,-0.03557891713899803,0.49907557254430746,0.33531786419591225,0.3127544256279471,0.06709338494485008,0.2846369954260538,0.4024382569394434,-0.2948213366717028,0.5896084210886029,0.5464796181435907,0.07199909315542054,-0.23359012774296437,0.5022556990338123,0.4274801804640745,0.6384315251011692,-0.25086282025508344,0.6091053987773167,-0.4728179835857082,0.5189228425942315,0.5818040907394686,0.2938089682439689,0.11059329020263367,0.7006315451936601,-0.31303820913948,0.3249804053380965,0.10573913629190583,0.3574461034651748,-0.31221911699700466,-0.00911076034202644,-0.2589017060365978,0.14866772176195484,-0.22659380624497474,0.5681133051777891,0.705275522454885,-0.38781445331352776,0.0,0.48484929008484995,0.12522322847777753
Raphe_D,0.4462802124898234,0.47311264079362453,1.0,0.24052648363159881,-0.143959537557552,0.21695349763824576,-0.2933689645709652,0.0,0.5400394372931407,-0.3219478305352188,0.18069420675290582,0.6029778954406092,0.09904173951466122,0.596624789803017,-0.10572272212710686,0.16393052972427663,0.5035580376228703,0.35752393640761065,-0.06551156430238121,0.16435703758308187,0.3647358512203143,0.4368579805292587,-0.5097545368377127,0.3933546852134469,-0.23341353549757982,0.7659564131805291,-0.09710168808902846,0.34898863828932536,0.2059506380166468,-0.05436203383811786,0.6066304887610552,0.28315383710820186,0.4539648013198237,0.5473555042481755,0.41997115125245377,0.3448515731099441,0.5424875196714303,0.4065269416796721,0.2187416990850898,0.09873109128448544,0.4150025207598386,-0.17227270447565576,0.3204782870855853,0.7394882635605984,0.13944406949509194,0.5296637646111642,-0.32392730827472593,0.5422742956722925,0.3321882149219895,0.11729879890086034,0.35758827958327666,0.40705618205976335,0.6343043343335671,-0.06695776760772175,0.3006463364391992,0.17079242134507425,0.4875622383815111,0.0,0.4838660535928676,-0.055306695939317065
Angular_L,0.08294943102615403,0.14732665923552046,0.24052648363159881,1.0,-0.02070460415576644,0.003448866209852199,-0.12308757072199801,0.0,0.06797864582151955,-0.2112512744310893,-0.03533486339978226,0.24622286759633824,0.022592800386829964,0.20512658576840861,0.016479883341831647,0.19525020393335615,0.11502316977995301,0.040728898379280065,-0.13543008743300244,-0.004249879791112412,-0.015355099798258665,0.2557503441676395,-0.15156614398930182,0.06707948512757747,-0.07354369594853603,0.10255406231231655,0.005621010257615097,0.3107005911950433,-0.01541821670417565,-0.264091184748495,0.09201480697040354,-0.023170884725366367,0.2894982832982617,0.11374373771680865,0.12894261013684308,0.022488755040307482,0.16184630280721912,0.13651354671174923,0.08165956929647296,-0.08924155699629113,0.12222884902176051,0.0616855528704069,0.03526853917947586,0.22332881520822123,0.04512125784757868,0.09155981308827062,-0.1928068495717369,0.2773899071565504,-0.06258964718459621,0.018364836180540505,0.18081087061545284,-0.036639295707969796,0.20047317051089641,-0.3584741462437182,0.02832577046045976,0.05384864177656453,0.04667153250224792,0.0,0.07329863314283282,-0.11021905429046669
OFClat_R,-0.18383938522886803,-0.13407534439955776,-0.143959537557552,-0.02070460415576644,1.0,0.1406234151591527,-0.024809610754580855,0.0,-0.08632020103442369,0.11417877260412729,-0.13819528384549432,-0.09693762765870596,-0.24556678066354165,-0.05569174145924619,0.1352706718219965,-0.10240348886084628,-0.24061208246171398,-0.010818728471185271,-0.14999331375123048,0.1290613874506301,0.079106486163137,-0.14887262891091319,0.022069246095144938,0.0407679307087647,0.25086129754523195,-0.16224013691614844,-0.0019343395121408083,-0.06158641524361401,0.07550585143137438,0.1376885708512696,-0.09209062697296133,0.04957022578422499,0.03540227997300829,0.0013647447902483687,0.0369513768602896,0.06923574392172117,-0.02646948922614479,-0.08838610091913295,0.09248360647363917,0.048619038458981585,0.07506710799142498,0.11040380934186599,0.07983674928798343,-0.08080844551013293,-0.0547096332835318,-0.07467322734685476,0.2564404480583687,-0.23164438998922257,-0.3425136385805613,-0.22417923664072842,-0.0914970074550674,-0.13122103491378354,-0.06462210377393342,0.1565159332431394,0.015104666698743682,-0.038632804807981334,0.01621320247827527,0.0,0.07011889548783866,0.0014309999554812064
Frontal_Inf_Tri_R,-0.2717748629769353,0.48098687042173793,0.21695349763824576,0.003448866209852199,0.1406234151591527,1.0,0.41633079103181514,0.0,0.6348994010116679,0.23546765362070232,0.8083108932236963,0.5408587864032726,0.6773492108745612,-0.009500019527985093,0.11951287950434127,0.4992423356400198,0.08937106260792023,0.8606061923306818,0.43448047101357434,0.9123870387411751,0.8649034731232926,-0.24954221180764183,0.1580900029301875,0.5307401797193034,0.4386449685031064,0.30331574715511195,0.13241175256034546,-0.15992583750136652,0.7449605422824562,-0.08577259854938157,0.6116852802198386,0.7933508253236171,-0.23980183372344166,-0.20430148191674394,0.8720761820929988,0.9176150402936608,0.5853113442673246,-0.3140441583283263,0.9182815251451787,-0.16937147711179917,0.37507650484828337,0.4955016869023859,0.8438618042572975,0.12825747437903573,0.7877946132184381,-0.39267718091324605,0.6053202367765469,-0.16791827254173117,0.3263324851948493,-0.07666835858761596,-0.27257560122587904,-0.315526747433827,0.45021157827983715,0.07003123469338839,0.648292178372106,0.6041277236233383,-0.31962534919593133,0.0,0.49144114092227026,0.7462720421792655
Rectus_L,-0.28574466020473754,0.4232948229109992,-0.2933689645709652,-0.12308757072199801,-0.024809610754580855,0.41633079103181514,1.0,0.0,0.014387320457570886,0.362511561853453,0.3404826730311749,0.07069097166185477,0.4294660031877468,-0.5310514491634355,0.14031345606876783,0.41443905502805684,-0.25827689996912145,0.2347367332391808,0.6382402942288039,0.35993298790925304,0.2635409549697635,-0.47921242737417263,0.4379373306698254,0.05815197269293576,0.5538955293148542,-0.20301536084466418,0.1024355324270811,-0.127107097135943,0.26928562736438544,-0.07195066558210002,0.12522674510926532,0.44682174788054124,-0.3355963862025065,-0.617058416351394,0.1895036022413766,0.28426327330482487,0.13281222611303817,-0.5506243267839401,0.4522631740781249,-0.31203071621514705,0.027457403382902836,0.6242667018523657,0.1892104428915746,-0.4365143113815968,0.5237044511108093,-0.6992736543882138,0.7798904430465874,-0.5428056182161859,0.21022835209310695,-0.3199116519683553,-0.3737079420897478,-0.4850285441932262,-0.29595243265904747,-0.0281647454965159,0.2985302685738885,0.6214305443482298,-0.6900594457586628,0.0,0.062128385843678975,0.3317285048118923
Cuneus_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolandic_Oper_R,0.2668062741564306,0.3758546919547674,0.5400394372931407,0.06797864582151955,-0.08632020103442369,0.6348994010116679,0.014387320457570886,0.0,1.0,-0.03504919885006389,0.6099689367147038,0.5772347650028176,0.4817066727108124,0.24296707968584833,-0.02577238452574227,0.20502571272462672,0.5396267401416941,0.6586937297353755,0.16107773468386394,0.5160784296458766,0.5993599328449282,0.22358646928952244,-0.18476545586386978,0.4669059254853375,-0.0787824435286362,0.7437891849405757,-0.030323721733569224,-0.014571446959555593,0.330985427788684,-0.08111735412557529,0.7086132976349835,0.5201042428291384,0.08211393906625043,0.39508326694968054,0.596491189733934,0.6712149910250585,0.4413329473742306,0.23250532637227686,0.536641971659158,-0.031552529413278387,0.29830058593522785,0.0011768077848495905,0.580766270113841,0.5284277652220727,0.3947531284479171,0.16928642533670207,0.09246765516794443,0.09293807623531804,0.4073581896568017,0.28032655391537964,0.10774606020474715,0.09400728411706616,0.5640417212749516,0.0020910203272735428,0.3117370781540902,0.345345274991154,0.12404223684606135,0.0,0.36743638105329673,0.37579555099766865
Cerebellum_Crus1_L,-0.5449958866363493,-0.07285929766454594,-0.3219478305352188,-0.2112512744310893,0.11417877260412729,0.23546765362070232,0.362511561853453,0.0,-0.03504919885006389,1.0,0.1386545551176605,-0.25150064993696947,0.09903359702497938,-0.565022968236554,0.3359386104596537,0.07218245862259591,-0.13944702212011595,0.017006479049022517,0.1323816417805944,0.19563438022325416,0.11471536148233903,-0.40227449668000215,0.26958154437853754,-0.1631345308323245,0.45914868158118216,-0.2888296678847788,0.1610025516635816,-0.5274082000755649,0.03557911267985978,0.11116601701742164,-0.105836708442667,0.3146856171291807,-0.5497678540241001,-0.41290138420832856,-0.018466591875928806,0.14488859082610678,-0.22383499531979428,-0.5201792357405811,0.13314691435566742,-0.12265397585335679,-0.28300839187866605,0.2788041117847195,0.151988103170247,-0.3389689639786047,0.2141027094560661,-0.4793364680858131,0.5302448515029059,-0.5604704428382535,-0.13963713369223132,-0.18313037607955027,-0.536636702634697,-0.2721322631727735,-0.2948404942009333,0.3012635263486841,-0.049367758090895546,0.07007264933456964,-0.43590779168047805,0.0,-0.1686678146802517,0.25915544658126966
