,Temporal_Pole_Mid_R,Cingulate_Post_L,Thal_VPL_R,Thal_MGN_L,Frontal_Inf_Tri_L,Vermis_6,ACC_sup_L,Thal_MDl_L,ACC_pre_R,ACC_sub_R,SupraMarginal_R,Postcentral_R,Hippocampus_L,Thal_VA_L,Pallidum_L
Temporal_Pole_Mid_R,1.0,0.17155030327714157,0.18775353534216124,0.0776902857492785,0.1880786706170642,0.0,0.4714606406246353,-0.2289955231349052,0.4821452563427022,0.560346644816257,-0.11564642620211082,0.12929179024563447,-0.47526991835536736,-0.043371181118409305,-0.07029236135038719
Cingulate_Post_L,0.17155030327714157,1.0,0.27709263889490454,-0.22544584722216995,0.0894867121331124,0.0,0.07551045923891517,0.10927811543023289,0.1538684684043212,0.1234193426919041,0.5617271406393207,0.3778306961698402,0.2775254411232232,-0.2439602677690496,0.19505804743621735
Thal_VPL_R,0.18775353534216124,0.27709263889490454,1.0,0.44777145240993,0.7618754520027972,0.0,0.4678552213022952,0.6700908919521742,0.3701064838280347,0.3611044213235569,-0.06450231280528552,0.04572833984362638,0.5101326055062171,0.563036518121316,0.31387247815862096
Thal_MGN_L,0.0776902857492785,-0.22544584722216995,0.44777145240993,1.0,0.5688152363422465,0.0,0.402029296566839,0.44628823115403227,0.32993614103039065,0.4048158346411758,-0.3690776791381091,-0.14641296814978,0.2789246305860897,0.6280074429229539,0.3087104134311035
Frontal_Inf_Tri_L,0.1880786706170642,0.0894867121331124,0.7618754520027972,0.5688152363422465,1.0,0.0,0.612858096699397,0.6243830883273871,0.47215424156651997,0.4444517784315207,-0.3204545204513818,-0.07257808628174033,0.421718017951461,0.7223802789292314,0.35276655917724176
Vermis_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACC_sup_L,0.4714606406246353,0.07551045923891517,0.4678552213022952,0.402029296566839,0.612858096699397,0.0,1.0,0.5003675031880325,0.9263596316579903,0.5234640341051074,-0.03689134410254209,0.18497398664262704,0.12942243197660877,0.4265520026104218,0.6781474582513963
Thal_MDl_L,-0.2289955231349052,0.10927811543023289,0.6700908919521742,0.44628823115403227,0.6243830883273871,0.0,0.5003675031880325,1.0,0.42168083582929367,0.15325418066960123,0.00986313798589569,0.0048187236812698535,0.7528028299359423,0.6718340567573032,0.731926228413738
ACC_pre_R,0.4821452563427022,0.1538684684043212,0.3701064838280347,0.32993614103039065,0.47215424156651997,0.0,0.9263596316579903,0.42168083582929367,1.0,0.5064433159475459,0.051655631268985674,0.20343566759781162,0.06537493425481045,0.28964137146379604,0.6796434558380128
ACC_sub_R,0.560346644816257,0.1234193426919041,0.3611044213235569,0.4048158346411758,0.4444517784315207,0.0,0.5234640341051074,0.15325418066960123,0.5064433159475459,1.0,-0.18473690825203848,0.10740937874232488,-0.238550408173054,0.39094736291840676,0.09850354582152616
SupraMarginal_R,-0.11564642620211082,0.5617271406393207,-0.06450231280528552,-0.3690776791381091,-0.3204545204513818,0.0,-0.03689134410254209,0.00986313798589569,0.051655631268985674,-0.18473690825203848,1.0,0.7741141859851475,0.15095900409623256,-0.43084135444038263,0.278290452483002
Postcentral_R,0.12929179024563447,0.3778306961698402,0.04572833984362638,-0.14641296814978,-0.07257808628174033,0.0,0.18497398664262704,0.0048187236812698535,0.20343566759781162,0.10740937874232488,0.7741141859851475,1.0,-0.04988685492761474,-0.14992868817110744,0.20084484542306397
Hippocampus_L,-0.47526991835536736,0.2775254411232232,0.5101326055062171,0.2789246305860897,0.421718017951461,0.0,0.12942243197660877,0.7528028299359423,0.06537493425481045,-0.238550408173054,0.15095900409623256,-0.04988685492761474,1.0,0.396394698536606,0.5780928347005547
Thal_VA_L,-0.043371181118409305,-0.2439602677690496,0.563036518121316,0.6280074429229539,0.7223802789292314,0.0,0.4265520026104218,0.6718340567573032,0.28964137146379604,0.39094736291840676,-0.43084135444038263,-0.14992868817110744,0.396394698536606,1.0,0.32611954651031
Pallidum_L,-0.07029236135038719,0.19505804743621735,0.31387247815862096,0.3087104134311035,0.35276655917724176,0.0,0.6781474582513963,0.731926228413738,0.6796434558380128,0.09850354582152616,0.278290452483002,0.20084484542306397,0.5780928347005547,0.32611954651031,1.0
