,Thal_PuA_R,Frontal_Inf_Orb_2_L,Supp_Motor_Area_L,Insula_L,OFClat_R,Thal_MGN_R,Thal_PuA_L,OFCant_R,Vermis_9,Thal_IL_R,Precentral_R,Thal_MDm_L,Lingual_R,Cingulate_Post_L,Temporal_Sup_R,Thal_VA_R,Red_N_R,Cerebellum_6_L,Red_N_L,OFCmed_R,Pallidum_R,Rectus_L,Paracentral_Lobule_L,Pallidum_L,ACC_pre_R
Thal_PuA_R,1.0,-0.06013121990354731,-0.2899777060714532,0.17576678156125844,-0.08080844551013293,-0.011016429651045658,-0.266914401459451,-0.2632822334830082,0.27680616410158143,-0.12098526833013433,-0.0230263067587048,0.5763155892149127,0.6854888764317097,0.055070150052221566,0.671911828830493,-0.09978507363445505,-0.12425874855787666,-0.4761313311578468,0.11059329020263367,-0.5052001666405767,0.12619256367654907,-0.4365143113815968,-0.558023865219289,0.8259905550720782,0.35064075600859435
Frontal_Inf_Orb_2_L,-0.06013121990354731,1.0,0.24417885542078932,0.506499594537207,-0.22320583428156612,0.3276357108454148,0.32467233581247357,0.006074102789116548,-0.243128472397041,0.4697337030689342,0.24522134569380694,0.25335820473252507,-0.3124701911670983,-0.22856372562634472,-0.39319676806295245,0.6188699020543759,0.560113253797324,0.04036432733291819,0.676782367926855,0.3634926396091747,0.22724152700028027,0.3232496895079284,-0.18414116694904473,0.11768228352429566,0.1802637708479975
Supp_Motor_Area_L,-0.2899777060714532,0.24417885542078932,1.0,0.7120286340792407,-0.0023383100585246445,0.6137392897475324,0.7276948921207002,0.4977785514880736,-0.22684133688394773,0.7649708097871244,0.7543411526053772,0.2570970041505337,-0.47730236580700247,0.3363869226833297,-0.10428508843195318,0.5479067060026174,0.6853874475000545,0.3692214766442318,0.38540907066786956,0.4163652678423998,0.6888962572573865,0.5336951580296792,0.625948639475319,0.08899338650819197,0.5820157108222729
Insula_L,0.17576678156125844,0.506499594537207,0.7120286340792407,1.0,0.03654462925171551,0.6321540561914111,0.7151619863035622,0.3458167082643348,-0.22079163474958188,0.8480020943075184,0.5208192603268585,0.7141990617415515,-0.18180505994266816,0.030752714469511774,0.09584921825645508,0.7188093712797538,0.7208868853796313,-0.002272945217956198,0.6351800829027062,0.24088559101161663,0.7829844987919028,0.3241827673121081,0.02051702172503567,0.4849738413972109,0.7150735340504893
OFClat_R,-0.08080844551013293,-0.22320583428156612,-0.0023383100585246445,0.03654462925171551,1.0,-0.21337026762221384,0.14336160456885924,0.07924937934323179,-0.04015125091358491,0.06932918017373091,-0.24556678066354165,0.08964888444841541,-0.08838610091913295,-0.2030205111295095,-0.06027196537618321,-0.038632804807981334,-0.0547096332835318,0.04382477975371793,-0.13407534439955776,0.03080118426456142,-0.1043668201601592,-0.024809610754580855,0.052690837014890565,-0.06462210377393342,0.07983674928798343
Thal_MGN_R,-0.011016429651045658,0.3276357108454148,0.6137392897475324,0.6321540561914111,-0.21337026762221384,1.0,0.6658192505082615,0.2473747509655541,-0.11380017525596677,0.6343143103159946,0.351380139816861,0.34044416303005587,-0.3172920082416051,0.27898613652550347,0.03777360380777523,0.4085442687335445,0.4035987187466629,0.12486798955359682,0.44475650005289163,0.3268150642889841,0.6004451847033583,0.28658605054705344,0.20532194126301598,0.18777581903077556,0.42744884637304753
Thal_PuA_L,-0.266914401459451,0.32467233581247357,0.7276948921207002,0.7151619863035622,0.14336160456885924,0.6658192505082615,1.0,0.5629111844144182,-0.2780169571766162,0.8576522013850331,0.4137491033732831,0.2809465787719645,-0.47538380751772774,-7.59623620605497e-05,-0.08620848529547899,0.5783494177179309,0.5486127702746632,0.12880322567079053,0.4287325183141439,0.4415234886864024,0.6578376365837403,0.5278106582150641,0.24681402717276069,0.013543880879898145,0.43006164608560093
OFCant_R,-0.2632822334830082,0.006074102789116548,0.4977785514880736,0.3458167082643348,0.07924937934323179,0.2473747509655541,0.5629111844144182,1.0,-0.012456651068571585,0.5125565588277203,0.4005748220412545,0.012500729427580804,-0.3866238422923588,-0.06785135614462771,0.002684466381533173,0.3660349617793115,0.40708401584738974,0.2024699097764289,0.16149717709383568,0.3836528070884525,0.3790886507337736,0.6477244566647691,0.3182268186005356,-0.08056980776017579,0.39186664087139034
Vermis_9,0.27680616410158143,-0.243128472397041,-0.22684133688394773,-0.22079163474958188,-0.04015125091358491,-0.11380017525596677,-0.2780169571766162,-0.012456651068571585,1.0,-0.2315416776490356,-0.032576463429272916,-0.010843387793454862,0.18906333781571316,-0.055717530548471395,0.18290914058173835,-0.20783228176287388,-0.10216650245165627,-0.08724897101561388,-0.13378297235605907,-0.24919909820396446,-0.19468386033837012,-0.16491521093667827,-0.10666283842592317,0.12940343490552614,-0.016594814440561156
Thal_IL_R,-0.12098526833013433,0.4697337030689342,0.7649708097871244,0.8480020943075184,0.06932918017373091,0.6343143103159946,0.8576522013850331,0.5125565588277203,-0.2315416776490356,1.0,0.5077800396043164,0.4242643902321379,-0.4328396353700957,-0.09862915529714764,-0.12465257488608228,0.6834016513173672,0.782550768893316,0.14006881971901888,0.554590225126936,0.4781649550433362,0.7557587008509135,0.5111799001642473,0.13608707460810457,0.19689394860645082,0.5555853347929164
