,Temporal_Pole_Sup_L,Temporal_Mid_L,SupraMarginal_L,Temporal_Sup_L,Thal_VL_R,Cingulate_Mid_L,Amygdala_R,Parietal_Sup_L,Hippocampus_L,Temporal_Sup_R
Temporal_Pole_Sup_L,1.0,0.374010274603714,0.3599245906319665,0.19924068667107606,0.43671345127497824,0.2469525578273835,0.29357818001205166,-0.35428585268812496,0.03812040360208255,-0.38002638276595535
Temporal_Mid_L,0.374010274603714,1.0,0.2720593991333365,0.6765981836226076,-0.022347726795722823,-0.35027474708755796,-0.06345227051373624,0.1295748874668466,0.5272719979373285,0.04698528105005528
SupraMarginal_L,0.3599245906319665,0.2720593991333365,1.0,0.24991751052744487,0.016161974862151856,-0.025118552351942054,-0.025986731610607744,-0.13811534079342236,0.0861181914641092,-0.038908379240246316
Temporal_Sup_L,0.19924068667107606,0.6765981836226076,0.24991751052744487,1.0,0.10532737817272043,-0.2273520379558076,-0.10031147443540464,0.2798742123074269,0.8250858815331786,0.3421777901601513
Thal_VL_R,0.43671345127497824,-0.022347726795722823,0.016161974862151856,0.10532737817272043,1.0,0.6909226357180956,0.6071994501586176,0.07304286596907973,0.31171233804063364,0.2343160740491563
Cingulate_Mid_L,0.2469525578273835,-0.35027474708755796,-0.025118552351942054,-0.2273520379558076,0.6909226357180956,1.0,0.4873359156958764,-0.28877478519836003,-0.07854928318374321,0.07327642919176697
Amygdala_R,0.29357818001205166,-0.06345227051373624,-0.025986731610607744,-0.10031147443540464,0.6071994501586176,0.4873359156958764,1.0,0.09093184907371495,0.2323794751161509,0.21539651520209205
Parietal_Sup_L,-0.35428585268812496,0.1295748874668466,-0.13811534079342236,0.2798742123074269,0.07304286596907973,-0.28877478519836003,0.09093184907371495,1.0,0.488408474893032,0.5089371616661997
Hippocampus_L,0.03812040360208255,0.5272719979373285,0.0861181914641092,0.8250858815331786,0.31171233804063364,-0.07854928318374321,0.2323794751161509,0.488408474893032,1.0,0.602062728348392
Temporal_Sup_R,-0.38002638276595535,0.04698528105005528,-0.038908379240246316,0.3421777901601513,0.2343160740491563,0.07327642919176697,0.21539651520209205,0.5089371616661997,0.602062728348392,1.0
