,Fusiform_L,ACC_pre_R,Cerebellum_8_R,Frontal_Mid_2_L,Temporal_Mid_R,Paracentral_Lobule_R,Vermis_8,Occipital_Mid_L,Precentral_R,Rectus_R
Fusiform_L,1.0,0.6554195741646439,0.4338383542225225,0.22051821064085814,0.5494174718859685,0.3489881174079429,0.5407222737307793,0.2966066343392676,0.6563455478587211,0.01852663799916771
ACC_pre_R,0.6554195741646439,1.0,0.18261647537509976,0.6226253977921876,0.5529931270518476,0.16427615169516965,0.19558056976716723,-0.11420287341882655,0.4383507548758083,0.25562423867247147
Cerebellum_8_R,0.4338383542225225,0.18261647537509976,1.0,0.42833162963089544,0.6376990117662589,-0.03402489999333015,0.574861701243819,0.3095058604930716,0.12221156476972941,-0.18393199763966256
Frontal_Mid_2_L,0.22051821064085814,0.6226253977921876,0.42833162963089544,1.0,0.5030760157471394,0.06535803229066262,0.21526933709498086,-0.16719329877271158,-0.06674739214096162,0.1470030849905528
Temporal_Mid_R,0.5494174718859685,0.5529931270518476,0.6376990117662589,0.5030760157471394,1.0,0.07226011699808287,0.3102138024268143,0.38192946508930564,0.14361624398325132,-0.028930884199022806
Paracentral_Lobule_R,0.3489881174079429,0.16427615169516965,-0.03402489999333015,0.06535803229066262,0.07226011699808287,1.0,0.12941833732290461,0.22691614893979986,0.4768751724833513,-0.0093715461567475
Vermis_8,0.5407222737307793,0.19558056976716723,0.574861701243819,0.21526933709498086,0.3102138024268143,0.12941833732290461,1.0,-0.03633285345692153,0.316547612969609,-0.019873900198496337
Occipital_Mid_L,0.2966066343392676,-0.11420287341882655,0.3095058604930716,-0.16719329877271158,0.38192946508930564,0.22691614893979986,-0.03633285345692153,1.0,0.01081879893135955,-0.3658698313086102
Precentral_R,0.6563455478587211,0.4383507548758083,0.12221156476972941,-0.06674739214096162,0.14361624398325132,0.4768751724833513,0.316547612969609,0.01081879893135955,1.0,-0.003252678686547431
Rectus_R,0.01852663799916771,0.25562423867247147,-0.18393199763966256,0.1470030849905528,-0.028930884199022806,-0.0093715461567475,-0.019873900198496337,-0.3658698313086102,-0.003252678686547431,1.0
