,Thal_MDl_L,ParaHippocampal_R,Thal_PuI_L,ACC_sup_R,Pallidum_L,Vermis_7,Thal_LP_L,Thal_VL_L,Rolandic_Oper_R,Caudate_R,Cerebellum_10_L,ACC_sub_R,ParaHippocampal_L,OFCmed_R,SN_pc_L,LC_L,Frontal_Inf_Orb_2_L,Precentral_L,Thal_MDl_R,SN_pc_R,Cerebellum_Crus2_L,OFCmed_L,Thal_AV_R,Cuneus_R,Caudate_L,Postcentral_R,Red_N_L,Thal_MGN_L,Vermis_8,Hippocampus_L,Temporal_Mid_R,Angular_L,Precentral_R,Cerebellum_3_R,Occipital_Mid_L,ACC_pre_L,Calcarine_L,Frontal_Sup_2_R,OFCant_R,ACC_pre_R,Frontal_Med_Orb_L,Occipital_Sup_R,Cerebellum_3_L,Occipital_Inf_R,Thal_LGN_R,Thal_PuA_L,Temporal_Inf_L,Cerebellum_7b_R,Frontal_Med_Orb_R,Thal_IL_R,Parietal_Sup_L,Heschl_R,Supp_Motor_Area_R,Temporal_Sup_L,Thal_MDm_R
Thal_MDl_L,1.0,0.8082061939030022,0.8638560166862359,0.7432201007720052,0.3908507969664939,0.2789314399671957,0.08062069773770776,0.9646401694449792,0.7638955856293148,0.9494397535054818,0.3930679538347518,0.8694514004645901,0.888704064520508,0.21133657163838393,0.44869779170042795,0.6531183193014442,0.389105755202375,0.3334545244776549,0.9582082053336214,0.5478776715928481,0.19375626960907855,-0.08361908393987344,0.9362108669618083,0.5307844148786475,0.9062429575900176,0.31279631274495684,0.7420862999243096,0.8921359148316388,0.1231321996663239,0.912675372755035,0.7158088879866079,0.44028854630539754,0.33037076655160974,0.613998839002584,0.3951479477756777,0.8400519806419307,0.6354721435676391,0.629044273723007,0.12456169564048726,0.7383241004528235,0.41363555442978284,0.47372096140053443,0.7968691374301483,0.3361866670756183,0.9175666128468805,0.9379811886307601,0.43938462850648263,0.14805251702626598,0.32062404773442843,0.9164168734515226,-0.10257306495160584,0.4317828197711766,0.4615331031442907,0.5242731884653338,0.9424092406124943
ParaHippocampal_R,0.8082061939030022,1.0,0.7465914444966633,0.8542529621354661,0.6361157306066368,0.3321638592202888,-0.042873413433326846,0.8802377611305477,0.892110126960149,0.8630921059457023,0.6451350469090675,0.907941070550136,0.8929581339146456,0.31416742095790096,0.7000725919050713,0.6736491221525003,0.5664123524961173,0.47376693318520324,0.8825109728898138,0.7445144604437001,0.25262664952363384,-0.009154839319765701,0.8108172161194875,0.558944763909374,0.8823848908400244,0.21357244038727818,0.8104951683127144,0.8214448871096156,0.3359522933929609,0.8903720505504747,0.7900204299833514,0.35552327176590326,0.2316343547932425,0.7623363733281543,0.25983007495080995,0.9047543006685121,0.7610264925656205,0.7173173466840117,0.13639643404271876,0.8051210297399085,0.5712133141424196,0.3489567047921375,0.8046376351142493,0.3182156433233837,0.8768964151406256,0.7201966413239521,0.5532322253769011,0.4702827253671515,0.5362376342745597,0.8973054666289725,-0.06652834316621624,0.49000934791808576,0.6475003076453824,0.7792781936379453,0.8185274344408527
Thal_PuI_L,0.8638560166862359,0.7465914444966633,1.0,0.6770945620403931,0.2643593134657372,0.2525751638067019,0.14810866666854458,0.9058894750544912,0.7175057597195689,0.8684578486771197,0.20736502752517952,0.835693981838968,0.8158448055294989,0.12783846179219402,0.2862169934441379,0.4919431188353941,0.2889057165299332,0.45370162237910244,0.8425755273825437,0.3763368283177403,0.13429204771081518,-0.1359354631273392,0.8645093897096828,0.4814464936916431,0.7955799130939272,0.148625409446813,0.5820124117870168,0.7863000109290135,0.10227501293064731,0.8765634649072407,0.6983040371135127,0.537298197593812,0.18511942342225587,0.5851286392889313,0.39127428006239745,0.7482937325582543,0.6137248849782935,0.5430372420078726,0.21886033322543147,0.6545996205738109,0.4505019347746457,0.40561975949940354,0.7701478783566337,0.30276512309356923,0.8259752538111649,0.8230279582236623,0.3124401829829742,0.15399589719931667,0.38614753865860074,0.8524838262248706,0.057754129455905134,0.3055172850942997,0.40275052721713506,0.49243744419007923,0.8433086324603468
ACC_sup_R,0.7432201007720052,0.8542529621354661,0.6770945620403931,1.0,0.6991928020272433,0.31924690990634036,-0.07940373701087011,0.8300913959035452,0.9184670534444052,0.8321267418352571,0.6919132250189238,0.8747581215381548,0.8572602765289503,0.15764058311432058,0.6162291498618947,0.6862308104595228,0.7072513209660788,0.21583593865215553,0.8284749149022425,0.6102544888872476,0.2523029425538094,-0.03367960506984656,0.7599808681354385,0.5849723415043682,0.8478705778152777,0.5435516219195424,0.6853459732062894,0.7917639409063959,0.38544439833912025,0.7871879497973971,0.684109876226402,0.13299061092487605,0.5786201738566807,0.7809289608681474,0.15465213692528668,0.8990364821698656,0.770109789780512,0.875212348763467,-0.10897571296913697,0.8205205938611098,0.45402325528225623,0.4687880494827585,0.7720406434584458,0.1018858773245365,0.8239012408460326,0.6684247838534848,0.726413667031497,0.2130283330902384,0.356365380625463,0.8615183068398312,-0.3121939304661137,0.7000314114639263,0.7523458200663982,0.7830368755756928,0.7869326147816903
Pallidum_L,0.3908507969664939,0.6361157306066368,0.2643593134657372,0.6991928020272433,1.0,0.07564418133982811,-0.2580284048308906,0.4941667902837872,0.7163119321931738,0.5080146769821726,0.7297026998066101,0.6643393371393859,0.6486980972217762,0.19261516097368542,0.6043078686838257,0.5213502534792059,0.8402693973546023,0.011164242955217637,0.5550587694723665,0.5865239822043609,0.1801165818433406,-0.060720862429237105,0.43635470650157293,0.4415559009036309,0.6290918234736139,0.5039550450122495,0.5711935392050732,0.5219753018853099,0.3939081289467251,0.4908134175638923,0.3694512914418186,-0.2002304569927203,0.5309240340751137,0.7522202582111707,-0.10431966053195717,0.7309731009563523,0.6215030694313247,0.7811919547815996,-0.1636072378784594,0.7159724688038455,0.5951682296047169,0.2960773391981582,0.5648220512111277,-0.19831649767504414,0.5702094961497177,0.31183611173651865,0.72118123068325,0.18798448209809257,0.5049903359781643,0.616022219689847,-0.3090932185336839,0.5593816142754576,0.7933767802685551,0.7839524185344723,0.4151896838599166
Vermis_7,0.2789314399671957,0.3321638592202888,0.2525751638067019,0.31924690990634036,0.07564418133982811,1.0,0.0448715830868482,0.2730988642560887,0.2605923128525074,0.28301546565311164,0.153970640488209,0.2988790792307597,0.3480863555812399,-0.31358657959869013,0.3855083161051301,0.42061543350150676,0.10406065003858242,-0.041216581521240137,0.2878409805699479,0.2716941833992878,0.6430673736159586,-0.15226547881199132,0.30082700828883147,0.28706314817140777,0.26846263977100954,0.15943107214517388,0.3907742261337027,0.24380955959116715,0.443132667224489,0.17329016474657694,0.3445383273269949,0.21719968737555717,0.13745532140588546,0.08201569375258892,0.36124260722570795,0.16309384011543254,0.33135701781989296,0.12627988095715995,-0.13962630225384606,0.040160658559326996,-0.0651219824611186,0.3015129045079556,0.28964351851409326,0.3440667375486336,0.23634674888783716,0.2417956176658105,0.42686597763741047,0.27225677580651036,-0.1758247441865983,0.23914262668708333,-0.17944422969666193,0.26358404679947023,0.1105277707406818,0.1989810723936769,0.3980698354924176
Thal_LP_L,0.08062069773770776,-0.042873413433326846,0.14810866666854458,-0.07940373701087011,-0.2580284048308906,0.0448715830868482,1.0,0.0386615429742902,-0.06530076580969836,0.06018334321036384,-0.1798411275531589,-0.05479724991658928,-0.02152820074564808,-0.18661403818320257,-0.13852396184679394,-0.06899452865126209,-0.23168904973664892,-0.030885997514716896,-0.0019064106894349274,-0.10304973141298605,-0.0322836304682232,-0.06510001820722736,0.05856411718159895,0.02895509446403974,-0.029642464516410793,-0.0007570261132429958,0.008814622004708922,-0.02059956786411597,-0.20438404134012536,0.045704815357494426,0.0443869824673247,0.2183345869872257,-0.031833222521828075,-0.10538937254413831,0.2468224818696108,-0.06527701300829175,-0.05363215244496261,-0.11469158854947964,-0.03350097011904992,-0.10550094046790696,-0.12608343604784167,0.1158284254413102,-0.04208248572926267,0.16639165753551624,-0.035000671540911056,0.10093849469045568,-0.1470723142594624,-0.16557373764406438,-0.1748035029796741,-0.015584200677707624,0.04296473254897651,-0.07760994651739775,-0.16006549037819978,-0.19429401506130217,0.08079801243377373
Thal_VL_L,0.9646401694449792,0.8802377611305477,0.9058894750544912,0.8300913959035452,0.4941667902837872,0.2730988642560887,0.0386615429742902,1.0,0.8616360853786244,0.9725589105568608,0.4726916249835672,0.9336241139538165,0.941909559309595,0.2422472991020439,0.5059658071186641,0.6601524877023499,0.48751408042184863,0.39886983484001104,0.9768582660594766,0.605876066715418,0.17516313127530617,-0.049267741360566546,0.9403002578941612,0.5244065751710111,0.9394651159153848,0.304869416005984,0.7504287078772813,0.9080370576145138,0.18348629347256726,0.9648270204695417,0.7466247562636068,0.3774020044640055,0.3474163795309785,0.712757909686006,0.290897085936516,0.9124291297284007,0.6909214816046843,0.7365104071924199,0.12003157913334732,0.839702904232715,0.49831820774635777,0.41319681454351886,0.8313275226150229,0.2687754667462381,0.9547195637925276,0.892261817542798,0.4904936937808942,0.21163113993299792,0.41977727825384964,0.9690289200022507,-0.09324837888179914,0.46018552388009754,0.5650576862831764,0.638365975582222,0.9176108361619888
Rolandic_Oper_R,0.7638955856293148,0.892110126960149,0.7175057597195689,0.9184670534444052,0.7163119321931738,0.2605923128525074,-0.06530076580969836,0.8616360853786244,1.0,0.868279500949236,0.7058174133300849,0.8881508139001578,0.9021970840515254,0.23547566389716387,0.638371584375261,0.6487405475240445,0.6788590431264628,0.3251114953989896,0.8448151683764797,0.7029940165106272,0.2771974575742784,-0.04672149613669772,0.7555079895233175,0.47654378329901714,0.8524683384738125,0.43666353298360167,0.766230167333966,0.7999803675442154,0.4010465181397838,0.8329095748442321,0.7679297185764674,0.08114514786808351,0.4855734210884911,0.8072527527136648,0.06692391133829997,0.9125975704800058,0.7515714274169962,0.8891670330705284,-0.06090532732995292,0.8770041165741594,0.508053992464228,0.33112529564402343,0.7587457321384851,0.15773631226213253,0.8658169095976577,0.679107707721509,0.6244256322547869,0.34079582685253523,0.43651449268716247,0.8736734710799036,-0.20278106063206391,0.5861080121006804,0.7597588802827087,0.7998360177350737,0.7362586997583946
Caudate_R,0.9494397535054818,0.8630921059457023,0.8684578486771197,0.8321267418352571,0.5080146769821726,0.28301546565311164,0.06018334321036384,0.9725589105568608,0.868279500949236,1.0,0.49871119984893286,0.9175269585666649,0.931578115858985,0.20466225315297962,0.5312173805978286,0.6692474329421162,0.5153712908893263,0.3082440900416448,0.9546672763203284,0.6510724375627323,0.1703249160867758,-0.08158442033652698,0.908995021446301,0.5259065229841702,0.9437072227505809,0.36934827095237005,0.7938378230561081,0.8962044339249664,0.1745925158220207,0.9327751536203784,0.7400322045504697,0.3387416764544576,0.39857944433779174,0.6893968719740299,0.29987222203214464,0.914507764494958,0.6506924082330027,0.742037107383677,0.05546599480488204,0.8264220660117612,0.49403394331559747,0.4503528790726458,0.8020423641836375,0.23625065629740233,0.9366249577861889,0.8643687584451485,0.5172611442288078,0.15995763375050043,0.3947317856895019,0.9494486319847101,-0.15037520849647576,0.5004080865633223,0.5550117352505308,0.6077515666496549,0.9025894281246122
