,ACC_pre_L,Thal_PuA_R,Hippocampus_L,OFCant_R,Thal_AV_R,SupraMarginal_R,Temporal_Pole_Sup_L,Thal_LP_L,Cerebellum_Crus1_R,Lingual_L,Cerebellum_10_L,Angular_R,LC_R,Thal_LP_R,Cerebellum_8_L,Thal_IL_L,Vermis_9,Cingulate_Post_R,Cerebellum_4_5_L,OFClat_R,ACC_sub_L,Frontal_Mid_2_L,OFCpost_R,Temporal_Mid_R,Frontal_Med_Orb_R,SN_pr_R,Occipital_Mid_R,Cerebellum_9_R,SN_pc_R,Cerebellum_4_5_R,Cerebellum_9_L,Red_N_R,Paracentral_Lobule_R,Thal_PuI_L,Amygdala_L,Cerebellum_6_L,Vermis_1_2,Occipital_Sup_R,Thal_VA_L,Rectus_L,Thal_PuL_R,Temporal_Inf_L,Cuneus_R,OFCmed_L,ACC_sup_L,Frontal_Sup_2_L,Thal_LGN_R,ParaHippocampal_L,Thal_LGN_L,VTA_R,Fusiform_R,Temporal_Pole_Sup_R,Thal_VPL_L,Cerebellum_10_R,Vermis_7,OFClat_L,Caudate_R,Cerebellum_Crus2_R,Angular_L,Temporal_Mid_L,Frontal_Inf_Tri_R,Calcarine_L,Postcentral_R,SN_pr_L,Supp_Motor_Area_L
ACC_pre_L,1.0,0.6338492988900225,0.9009987948206769,0.012036333159622917,0.844073806689501,0.4104219777827331,0.7300339758151094,-0.06527701300829175,0.09836507562989814,0.7561007001809654,0.653882945709577,0.29193167902420897,0.7222325842592585,0.37363364090758255,0.37618772858341815,0.9377704344961953,0.5438617583543396,0.9099235187159206,0.8625608588828002,-0.09129409505726646,0.9354944922111867,0.535462980618078,0.7193734485119997,0.7007315741498017,0.5614326039277411,0.45667160039210075,0.28142056211678784,0.5804952501075825,0.7090671670388148,0.8800518975864517,0.7764949576099811,0.7894087369510109,0.25507462428783584,0.7482937325582543,0.6518436973625271,0.9058605649655245,0.9096006952918375,0.4257133379093914,0.9589330572823692,0.38291807488401386,0.6066892580527375,0.6345651899910104,0.5685276862210373,-0.02054521214483965,0.889278731002138,0.7204221605911295,0.9148055958471834,0.934342033935742,0.8853938265422903,0.6363252262135456,0.7960085960447059,0.8203925233964333,0.8734684169022838,0.5361580434026917,0.16309384011543254,0.10060962494074208,0.914507764494958,0.14167642560663188,0.21027999790272375,0.7011852579495881,0.8783515910653643,0.7368154189184282,0.42682859310343985,0.45804121669041437,0.7559098533820412
Thal_PuA_R,0.6338492988900225,1.0,0.6518785153437001,0.019137199839408526,0.8040253391047092,0.47941124803621643,0.32650007175761536,0.06213845816666477,-0.014104997232112577,0.7187292248900632,0.2921127009934379,0.5863820023256417,0.46832221444140937,0.022690405859935325,0.08708366602796425,0.6659350323577495,0.6462900636593357,0.525915158337479,0.47028322291816643,-0.18407635122025728,0.684964369986774,0.0828044796828259,0.24421407777776233,0.5148736766826314,0.10013961240052016,0.21050761562748238,0.6593738767766377,0.4250935558725367,0.3736524469554468,0.4793289296797664,0.6240929431882406,0.5513249042052302,0.37302717566068455,0.6730802612249974,0.5752601284284863,0.6875074883217315,0.6141363348468637,0.740721939562828,0.6127428835144222,0.07281633653719802,0.9105925336135361,0.6214193995261831,0.7080265528294173,-0.2455980074572932,0.47636304995188095,0.255521544025792,0.6279372511855383,0.6865435177453862,0.6622667262300539,0.20169373235526475,0.5024081259146493,0.37829878916185783,0.7237023904953055,-0.0172611500488769,0.4137287784456099,0.09466438872785927,0.7125141769187598,0.05562798852442487,0.5225699744831975,0.6865339277074366,0.5097891061352359,0.6278325352245363,0.5000005831866315,0.18727638559071227,0.46110381213152435
Hippocampus_L,0.9009987948206769,0.6518785153437001,1.0,0.18022479040440956,0.9130511622611807,0.1831994987749334,0.502583194606095,0.045704815357494426,0.24647207574255323,0.7423944428504198,0.4583169192189442,0.17109734346197647,0.7282982641113876,0.20985511535063767,0.24495293713440422,0.9367394420739773,0.5280400049220111,0.7794852770231864,0.7663931236762503,0.13838341227873804,0.8454235825737721,0.5732234968564424,0.6100016416285101,0.7179388042209591,0.48635414027942353,0.403874873126603,0.17782761069781758,0.5989305477982501,0.6097757713673438,0.8269262010214767,0.6443108260017563,0.6856095624934541,0.1722976286241802,0.8765634649072407,0.7042534939919194,0.7984125225237267,0.8867027063993138,0.32511694396709906,0.8866828720376876,0.21769200111146694,0.6265261838328142,0.3935913141988142,0.48407444767007735,0.039413634938416535,0.6904362614942827,0.6973811879309417,0.9193670227668276,0.884762235065719,0.8848166820642823,0.6221124774953202,0.8100514429994906,0.747784075801961,0.9650418006437325,0.5032763388739504,0.17329016474657694,-0.029275672784981794,0.9327751536203784,0.14628342978956538,0.4021354361177602,0.5267932969613044,0.7430864503609353,0.6313858822500497,0.20447194213433506,0.3910394678922361,0.630860047197499
OFCant_R,0.012036333159622917,0.019137199839408526,0.18022479040440956,1.0,0.08733413296994352,-0.5358485053957285,-0.19009332061297826,-0.03350097011904992,0.38340459587657477,0.08922634748950029,-0.28997757591526746,-0.40471179923586603,0.18126704275735506,-0.02605581798744071,-0.24012633684317447,0.09117703802251353,0.14969372201628903,-0.08189940913704859,0.08617212670843907,0.7294119737860034,0.06618100548155496,0.26083996924489855,0.32521186283733,0.1234726235994859,0.3770312349422371,-0.11967937965520035,-0.3265774369939398,0.11369314543324187,0.04391574320982767,0.13569188766830287,-0.2109879759003418,-0.05459283375320358,-0.1472253076585436,0.21886033322543147,0.20368936485530334,-0.04745536765338588,0.0687240057032911,-0.1296056706978637,0.04429854878168754,0.12077141762779886,-0.033384814911837715,-0.31075448030456265,0.07405689077225684,0.01863978863110299,-0.015544752997859478,0.11739409700966628,0.1338280142395156,0.01574750266227468,0.0721516108695637,-0.019853952866277898,0.2066710211535429,0.028003292197748823,0.18100011082442957,-0.06361344842217824,-0.13962630225384606,0.3584966322937599,0.05546599480488204,0.1370195114558131,0.4754433454573009,-0.1294335060861232,-0.17271686814140666,0.05068156184260239,-0.561340183118482,-0.05282995462637323,-0.19702159974125247
Thal_AV_R,0.844073806689501,0.8040253391047092,0.9130511622611807,0.08733413296994352,1.0,0.34582190680072794,0.45463846293509363,0.05856411718159895,0.15300249944589484,0.8098219188821117,0.41640075045489927,0.38959871729210527,0.6478025507257882,0.08355762477373703,0.23461793569968628,0.8735967888885781,0.6095367768709372,0.7211530939699367,0.6904165556613718,-0.03058998680586529,0.8462644317050658,0.38882913936255203,0.47768325598063865,0.6910066936316577,0.3550471049549744,0.38255716807739604,0.4144098666504908,0.5538963265943863,0.5571080435094097,0.7457293631401826,0.7088736625730092,0.6893382759557934,0.2940344674832588,0.8645093897096828,0.6334381132403945,0.8177997088767408,0.8305892752978911,0.5363203194576143,0.8145665367940309,0.15620548110639487,0.7582040174629512,0.533188459855276,0.60811869514722,-0.09963398923473359,0.6245440478203975,0.5316370253321168,0.865778696829748,0.8853742895735058,0.8587702586953758,0.5174235607827586,0.7333078823594703,0.5836656754075119,0.9526137572722969,0.3482358841087915,0.30082700828883147,-0.04619166807643983,0.908995021446301,0.12416328774161382,0.4718436643272304,0.6689154940556117,0.6700871936760797,0.6755043803365709,0.34597894555768427,0.32309101523912953,0.5742124237544581
SupraMarginal_R,0.4104219777827331,0.47941124803621643,0.1831994987749334,-0.5358485053957285,0.34582190680072794,1.0,0.5807913623436592,0.023480993658187236,-0.5041356826173631,0.3784970856278958,0.4658764834164736,0.8358656691475369,0.06552249808121662,0.2160031375388617,0.3043938734088218,0.30302253313988964,0.21165277778737845,0.48992226126635563,0.3526431750305638,-0.7296480063200577,0.41040047834220666,-0.18544586200181296,0.13839989581876927,0.17936378449723325,-0.0993363956910905,0.3320002997554827,0.7713330518227121,0.051659373209598645,0.2584258369191518,0.28054431378790723,0.5892509854122239,0.4258164109704577,0.500528096160834,0.1583192531104028,0.1451900455220776,0.5066838337727374,0.29770292158895834,0.6785253037887714,0.35538446637289833,0.11991590612679782,0.5521663047604011,0.7743998357942294,0.46981654533126666,-0.32216393312679337,0.43536947245079993,0.064823327699907,0.2552440641542546,0.43013258387150544,0.28741351643070845,0.20173083208805495,0.07234850142296982,0.21242909883660804,0.2365577466540068,0.10450218726286736,0.17305823749077331,0.06763155570219065,0.3601052602869258,-0.14176793186319864,-0.22457281481833677,0.6434977166850347,0.5654385529208137,0.42991867789859106,0.9692383891233662,0.2573355270740562,0.5444293579916535
Temporal_Pole_Sup_L,0.7300339758151094,0.32650007175761536,0.502583194606095,-0.19009332061297826,0.45463846293509363,0.5807913623436592,1.0,-0.1700797613891194,-0.3190702771232717,0.4263126212061632,0.6434980152143062,0.3591342400285943,0.3808019314925687,0.4911707454754578,0.4301105071563426,0.6067482383643363,0.20164719617138085,0.7459052937442217,0.7359372265131199,-0.46722457496188474,0.6775566505062971,0.3886151466077132,0.7346916371263447,0.2542166551325615,0.5437760013152697,0.4924104556823147,0.22520222292672795,0.19514021737596385,0.4843888999665882,0.6745459172568425,0.6156934060169061,0.6330053806349566,0.35495207289146335,0.36131936169366613,0.3269822256661734,0.6796234884975249,0.5689371013455166,0.35150146854844144,0.7319333419722764,0.4934918960996347,0.32923329636570187,0.7291046226961423,0.43373542033649465,-0.03145056818145053,0.8325065942436236,0.5797566460729877,0.5781652929605564,0.6735422215206077,0.5332416534351102,0.5525164993376694,0.39358993633553846,0.6414769008851993,0.4436415111653145,0.3929951333046363,0.0022415452681612312,0.3267920704662996,0.5111502321185016,-0.05260435451805301,-0.22204321528793103,0.7181529697790252,0.7501855290728395,0.5747679777045348,0.5981037814400659,0.5078943815576853,0.6718566792792362
Thal_LP_L,-0.06527701300829175,0.06213845816666477,0.045704815357494426,-0.03350097011904992,0.05856411718159895,0.023480993658187236,-0.1700797613891194,1.0,0.01348703238980841,0.06019211621650653,-0.1798411275531589,0.1859998924296782,-0.05008590434629899,-0.09908802001129445,-0.19764441665786528,-0.01724498570104516,-0.050102568186204,-0.05303237857788862,-0.13172465280303827,0.00961185002175424,-0.06805217648896031,-0.22477546766190873,-0.17569327166689377,0.0443869824673247,-0.1748035029796741,-0.03849485427309967,0.20989995290254865,-0.08796484857350059,-0.10304973141298605,-0.06924758872460972,-0.08003740909329038,-0.06500674224646963,-0.040739898843426874,0.14810866666854458,-0.05972294472354669,-0.09792998800403835,-0.04480522888470967,0.1158284254413102,-0.10169125024831643,-0.15120859201298828,0.19873559705747484,-0.1470723142594624,0.02895509446403974,-0.06510001820722736,-0.21131086827321952,-0.18959627760188746,-0.035000671540911056,-0.02152820074564808,-0.043937037072999535,-0.06510891138867028,-0.004722979707017481,-0.14582089100441,0.06643983538469736,0.017638500102593012,0.0448715830868482,-0.12692033933016444,0.06018334321036384,-0.11167206736020449,0.2183345869872257,-0.13206624317901122,-0.12565886825904568,-0.05363215244496261,-0.0007570261132429958,-0.07401772211398083,-0.11983186734016521
Cerebellum_Crus1_R,0.09836507562989814,-0.014104997232112577,0.24647207574255323,0.38340459587657477,0.15300249944589484,-0.5041356826173631,-0.3190702771232717,0.01348703238980841,1.0,0.3873640599816743,0.009435246967623656,-0.5189106224445797,0.5060588520186456,0.04444003467871235,0.3894311271035406,0.20877911933719998,0.526413629400003,0.17649933704481485,0.1934025178751782,0.6219786192849425,0.09425807182669213,0.46286300671675085,0.0793664584340357,0.6311084769121741,0.053698900244439275,0.09611233659577369,-0.28775726025297166,0.7293435395799006,0.24936168389174937,0.24733543877037512,0.16851529186738975,0.13229279290073076,-0.30368781577364584,0.30459655690957743,0.4468645988517074,0.14729549735121514,0.30157845480681267,-0.21308367800839767,0.07254238259289997,-0.21969218922481595,-0.13779100608291478,-0.2206706532467781,-0.008622207208024903,-0.07141543429197937,0.06128184866085183,0.37492398303209823,0.19492082021542737,0.1605148309184639,0.1637226830360731,0.013593661446416756,0.6000449406566932,0.33785665833078976,0.26075453375958335,0.1843264038103165,0.2754845145397645,-0.2623779667900231,0.19068178533821672,0.8245215216903641,0.4258137923545734,-0.10742912073103725,0.004998129509407931,0.26991150852810813,-0.540187334343233,-0.0046442821006423265,0.1047229578540569
Lingual_L,0.7561007001809654,0.7187292248900632,0.7423944428504198,0.08922634748950029,0.8098219188821117,0.3784970856278958,0.4263126212061632,0.06019211621650653,0.3873640599816743,1.0,0.41975110543410593,0.3601073524262099,0.6851130984962077,0.2542319895472529,0.4810543093944871,0.7740265592697452,0.8065740760841665,0.7649048145365297,0.7281131405047252,-0.015651246977621946,0.7669510676842519,0.3530873135775197,0.43932302579486116,0.814815340956262,0.2703075219343463,0.42172136644802816,0.5028309072445747,0.7259534179485645,0.5734127043163719,0.7503595922346403,0.7922723980590497,0.6828229570402313,0.24845919080871362,0.757326482926824,0.6467069838401079,0.8509003292112248,0.7927510421208742,0.6261230969895126,0.7077277247246057,0.08717197376097852,0.6558436252023242,0.6243408810392901,0.7145320480663586,-0.33273525555437383,0.6715361162840906,0.5106605583053182,0.7377584934121567,0.8222805653813281,0.7312754942032221,0.373462725261182,0.8213189885941754,0.6087851117272928,0.8098029541591227,0.284704375265908,0.40960918212773767,0.024788726198130037,0.7868077445933881,0.46778741163906484,0.4936011156924329,0.7079770760979012,0.6285097173694512,0.8701110468830271,0.34928676678389353,0.3325742990289856,0.6127736449035359
