,Rolandic_Oper_L,Thal_MDm_R,ACC_sub_L,Pallidum_R,Precentral_R,Caudate_L,Red_N_R,Occipital_Sup_L,ACC_sup_L,OFCpost_L,Occipital_Mid_L,Precuneus_R,Thal_PuM_R,Thal_MDm_L,Temporal_Inf_L,Thal_LGN_R,Vermis_7,Heschl_L,Angular_L,Thal_PuI_R,Vermis_10,Insula_R,ACC_pre_R,Cerebellum_7b_L,Thal_PuL_L,OFCant_R,Paracentral_Lobule_L,Postcentral_R,Hippocampus_L,Thal_LP_R,SN_pr_L,Occipital_Mid_R,Vermis_1_2,Temporal_Pole_Sup_R,Parietal_Inf_L,Cingulate_Mid_L,Cerebellum_4_5_L,Thal_VPL_R,Thal_VL_R,Supp_Motor_Area_R,Temporal_Pole_Sup_L,Cerebellum_10_R,Cerebellum_6_R,Frontal_Inf_Orb_2_L,SN_pc_R,Vermis_4_5,Cingulate_Mid_R,Temporal_Inf_R,Frontal_Inf_Tri_R,Cerebellum_Crus2_L,Thal_PuA_R,Thal_IL_L,Frontal_Med_Orb_R,Thal_LGN_L,SN_pr_R,Temporal_Pole_Mid_R,Temporal_Pole_Mid_L,Frontal_Inf_Oper_L,Frontal_Sup_2_L,Amygdala_L
Rolandic_Oper_L,1.0,0.6764975574355662,0.8536631128003436,0.7907588506907505,0.6328461064926622,0.8407557303892936,0.7842534535531019,0.2028738158385553,0.9269622401127228,0.008595579172332701,0.009558750590210564,0.7686319926958679,0.3271877812882258,0.6655572140359214,0.7866044411640111,0.7844096718278009,0.1754562450360672,0.6673731470572418,-0.043125371748690584,0.7469933891530545,0.8565722541560852,0.916681121193575,0.8713854103572904,0.26279201229867705,-0.25969676004559566,-0.15232419171490677,0.545455438847212,0.5877523515809068,0.7116269155396546,0.4922342291955157,0.5031234419381387,0.27919196815740155,0.8013122965217027,0.7755090842123106,-0.22335786329933127,0.8280193459471128,0.8660822284613696,0.7612259908666593,0.800098611959189,0.8381009007366477,0.8714382362879942,0.465230882266857,0.7450624431538994,0.8284287880836831,0.6762989157137183,0.8724586772922056,0.9228648167875821,0.15119632117218917,0.8898429480157093,0.19443450135390647,0.5560539541479477,0.8162626017981044,0.4693279857269281,0.7609874132898745,0.502581034045461,0.07090053433095728,0.6874076830655931,0.8003984565447536,0.7097841021707879,0.5677607633092658
Thal_MDm_R,0.6764975574355662,1.0,0.8424604054778679,0.446185515221717,0.39495230454462266,0.9013524597529989,0.6807353948251882,0.4751700703296942,0.6268067595129189,0.08484964262053314,0.5399639834020418,0.6660687988980328,0.778231267087533,0.9707199535334837,0.5811525811145094,0.85030155691564,0.3980698354924176,0.41608881413259063,0.5213546864432089,0.9650797907695625,0.6343555365651369,0.7771777883999255,0.6505370788318756,0.22011835171907404,0.3961441531428549,0.10834843470328981,0.6314996801765681,0.3987565319744055,0.8511708736997727,0.15056565130647,0.2826934176588244,0.5224128002584099,0.8295700604962786,0.5798363250526936,0.12965142481646588,0.7655004718398852,0.6526736139684114,0.9389562707559802,0.9163998037828163,0.5181608411098443,0.409799639456242,0.21020700134880263,0.5876148167869258,0.4194631018660415,0.533100434299127,0.7457466374242534,0.7103427839875979,0.34736849010798515,0.6558858674369494,0.29449171890637965,0.9031249049790387,0.8711359628021854,0.2609432449884933,0.8481544341396778,0.3048340114653242,0.12753608842455955,0.36425500216608603,0.7933596205797961,0.4594429954463716,0.6975082063411631
ACC_sub_L,0.8536631128003436,0.8424604054778679,1.0,0.6423498397666335,0.45204879102430223,0.9433278842865375,0.7966789179014118,0.2900202953414515,0.8203618758960386,0.13608334629451957,0.24377160502124248,0.6880848798677336,0.5155271159950556,0.8428019631574076,0.6530901724378918,0.9172950893371512,0.2745085119886854,0.5339534987545129,0.24888519665711492,0.8812753589407979,0.786325233567681,0.854481229538764,0.8336899364194301,0.27589762783350213,0.0037579061493419226,0.06618100548155496,0.551534109457529,0.4208841244506854,0.8454235825737721,0.3215240025088824,0.4309910214341687,0.3488602263184421,0.8966484014121732,0.7248219666894876,-0.019955910140297625,0.8260798263095527,0.7973756733056102,0.9030142502203417,0.9245507608618739,0.6344760902718766,0.6775566505062971,0.42318886117824084,0.6806466640305981,0.6866245312978804,0.6935665228598703,0.8647200210251867,0.8391698074240611,0.30798823150467536,0.8102893239631778,0.20081951268358345,0.684964369986774,0.8955361629185987,0.5604454309231043,0.8876557421198651,0.38980867923151896,0.18567318490848878,0.6045104289557162,0.8222199019479672,0.6150503560348551,0.6120847362293443
Pallidum_R,0.7907588506907505,0.446185515221717,0.6423498397666335,1.0,0.4503046785959595,0.6148106782623983,0.6649755214718198,0.10599958254520932,0.7792975550970533,0.14683535759581925,-0.1357942766488994,0.6663036436015047,0.06685295514723374,0.4709512883451383,0.5301688416983875,0.6375299859505591,0.020243372482528516,0.7052013550699082,-0.10529994333352807,0.5315211424764557,0.786940552933853,0.7144866370834124,0.7459284522002306,0.2789300211922762,-0.34066985377555664,-0.08975437172427066,0.47269700806610454,0.41426568717473,0.5887250111024197,0.47528397039914827,0.43652273139402187,0.10749248665461493,0.6696225520498861,0.8129045475689466,-0.09104462152808196,0.7248012810868965,0.7866001649745146,0.5445947522430209,0.6198572299496025,0.7415504814769948,0.6970518799298417,0.6180943716407646,0.7378021475409254,0.7032168507630953,0.5997021307977534,0.7248220896108343,0.836683294045351,0.27687647063010706,0.8099804649175512,0.04120066710870134,0.2937600221621741,0.6458593083130046,0.4372026363005694,0.5945246450808733,0.41558839018010935,0.2342099226111611,0.5198171179682589,0.622932219732895,0.6837843055432878,0.5241484550513309
Precentral_R,0.6328461064926622,0.39495230454462266,0.45204879102430223,0.4503046785959595,1.0,0.4264722196307657,0.43812447914441316,0.30554585668643014,0.47021311441454916,-0.5019854886549645,0.01081879893135955,0.5428237213710737,0.4039181547712793,0.35286751647842246,0.7573009041493037,0.3326853457652405,0.13745532140588546,0.22924955167167868,-0.33164336127357763,0.46794118127145523,0.47855145057001125,0.7327541016325977,0.4383507548758083,-0.09593838847561222,-0.1856312507450847,-0.5567065271072461,0.5202878599540115,0.9769938649767663,0.24817115442352253,0.22976353648958284,0.290210972204777,0.6511851280939417,0.3536457807255371,0.28369325170295745,-0.6965912324426219,0.34332078564285573,0.4018704557089059,0.43287730035320454,0.3926828192642169,0.6280040236582574,0.6456741944634685,0.12877350636955587,0.30091457672753374,0.6678398170812159,0.2556939176582025,0.37950572968162705,0.61783752376632,-0.4466342208634375,0.6358258625515163,0.21787501324148512,0.4705623516041183,0.3694295627450656,-0.10236730306799406,0.35943098204158025,0.3162598339349415,-0.6022349461175344,0.257207150949023,0.33950635509064864,0.17473325412314283,0.17306487765888498
Caudate_L,0.8407557303892936,0.9013524597529989,0.9433278842865375,0.6148106782623983,0.4264722196307657,1.0,0.77158187289166,0.3508551253599101,0.8136256547876021,0.13675397299544065,0.32920744787397216,0.7202931233735942,0.5940442368373431,0.9067053330496898,0.6462902282189701,0.9296649422480991,0.26846263977100954,0.5178150760069562,0.3507677063828594,0.9281304071108437,0.7827996451912823,0.8622355606650052,0.8302088112381524,0.27309502888207715,0.07084470721031542,0.09581079740194046,0.6270357595716817,0.3957429230511875,0.8999083702516126,0.280461427993319,0.427714353129905,0.3547399451397546,0.8911875852475691,0.6915160444264269,0.05948677132245794,0.86604788376168,0.8126756306624342,0.9454343162275994,0.9569063338431387,0.6483573569242581,0.6386359932597699,0.4208396897012875,0.6582138767788055,0.6301747377693833,0.6965533558161396,0.8788073102467994,0.8299976916642564,0.3418833814709377,0.7964152884982882,0.2043216443161367,0.7306936375937756,0.9321071195379115,0.48258866225386965,0.9082001737762265,0.4182263620208543,0.19546922988465126,0.5342550235218644,0.8810554622403945,0.6413579561567672,0.6555814427546195
Red_N_R,0.7842534535531019,0.6807353948251882,0.7966789179014118,0.6649755214718198,0.43812447914441316,0.77158187289166,1.0,0.30238850512911813,0.736076921175127,0.030801462455646383,0.2031907490991324,0.6909136984778809,0.38078654438921405,0.671134023941362,0.6865131609226659,0.732525421384538,0.3079180409004714,0.4655419758484799,0.1176143374625896,0.7115087021027419,0.6790497897351991,0.7347950429563598,0.7011101152511287,0.30877856269774717,-0.037893126450385305,-0.05459283375320358,0.5274959882702747,0.4285584997034298,0.6856095624934541,0.3709584225875167,0.6317415954004346,0.324433836317004,0.7682008191579364,0.6489132098462065,-0.11323915140108089,0.6806417552070028,0.7048934206666323,0.7361910251196364,0.7630835193107789,0.6587517621193603,0.6330053806349566,0.4767721090514657,0.6980394518067291,0.6575207485516731,0.7585498269282913,0.7477748714835705,0.7745357931830206,0.28291461944891055,0.7362463528627347,0.33778032089668797,0.5513249042052302,0.7526458569805833,0.41535136097743364,0.6973596237929007,0.46089960772313054,0.11297380652675852,0.5333661192951128,0.7452630069181639,0.5562085202252923,0.5252784910493329
Occipital_Sup_L,0.2028738158385553,0.4751700703296942,0.2900202953414515,0.10599958254520932,0.30554585668643014,0.3508551253599101,0.30238850512911813,1.0,0.20266010503987278,-0.12989660956972393,0.7908529254181542,0.6123791137575789,0.6764264342128239,0.4034472263259825,0.467951490513131,0.18733224477927274,0.2966639245553678,0.057567256484838986,0.5780104294627118,0.43390769261404316,0.19247176516601494,0.34121239241040086,0.016668783270106034,0.0784364258556478,0.42195420288049224,-0.03337670625185178,0.578306839313796,0.38092263615005884,0.22329803829933617,-0.014199835712916305,0.09908067129809184,0.7295136979097172,0.216866265549607,0.10559719684378509,0.10493484619566046,0.31269376326354187,0.19111710161856793,0.36445634976213154,0.2793551824759047,0.3227968795393139,0.1691557352478655,-0.13988519784918133,0.27545093829881434,0.15865730290620272,0.08104198297038537,0.2756225267734897,0.2695136478875923,0.04959167335715032,0.14786485776934702,0.3509528182109038,0.5715700388089776,0.2626017879299486,-0.010701558563523707,0.18315023039150574,0.17785331484393394,-0.12056124843251124,0.2096382584444674,0.45088375274283965,0.077016934935886,0.3104019421150107
ACC_sup_L,0.9269622401127228,0.6268067595129189,0.8203618758960386,0.7792975550970533,0.47021311441454916,0.8136256547876021,0.736076921175127,0.20266010503987278,1.0,0.1270655643790205,0.06432247492868037,0.7720821197299855,0.27418242120031505,0.6258507333745894,0.7381266646598088,0.7528423713371178,0.13699786114308599,0.6680947126739476,0.05222003302616758,0.6973356754071897,0.8553930444703747,0.853971926077006,0.8146816058996682,0.3296249011896693,-0.2714138571815828,-0.015544752997859478,0.5006555075440615,0.4423888528516914,0.6904362614942827,0.534761775185545,0.4391870630821224,0.19223245884075332,0.7878719242850164,0.8098492833912841,-0.07825974401536052,0.8297535056110328,0.8811546285591966,0.6997501276182,0.7525083190463234,0.8100603663000413,0.8325065942436236,0.50091097684616,0.7841395260737882,0.8199697918109234,0.676194386010603,0.8623457846085107,0.8979983813745626,0.28913326113972043,0.8293632920911379,0.20278075396081052,0.47636304995188095,0.7856991281370573,0.5849496427995637,0.7261216406015072,0.48025229428376964,0.22328027834085534,0.7004791706683366,0.8110908075566523,0.721182227906219,0.6106562671834622
OFCpost_L,0.008595579172332701,0.08484964262053314,0.13608334629451957,0.14683535759581925,-0.5019854886549645,0.13675397299544065,0.030801462455646383,-0.12989660956972393,0.1270655643790205,1.0,-0.04781971154948294,0.05045363443025647,-0.24840197515547996,0.14348375671471414,-0.3803162474492126,0.21164335410993232,-0.3556610949877822,0.38779472384688396,0.2712367747900176,0.04811938272547471,0.13733397381710746,-0.1281018295359292,0.1807181837855233,0.1637552799970147,0.1552300120727426,0.6712451868510358,0.016217858922818608,-0.4954230119785724,0.2851898397165257,0.16556898588293878,0.22222014660975664,-0.4324187734506337,0.2222228424706349,0.29120147410366015,0.6792908906206149,0.28406146569881713,0.2738569109121983,0.11379395173021897,0.173119544690015,0.02290116668794098,-0.015273514032764389,0.15226307242573142,0.23814372959298025,-0.1133680610088165,0.13708466155554003,0.26861169180742045,0.06251371226797217,0.5497346001224017,0.013775121866861079,-0.344429545233238,-0.08358784234457028,0.22758933913964222,0.4796106537688184,0.13525677388672736,0.08043336090654958,0.759061344287095,0.2703767432114536,0.18953780423963817,0.37906531669860694,0.27096410258929055
