,Frontal_Inf_Oper_L,Thal_MDm_R,OFCant_L,Vermis_6,ParaHippocampal_R,Thal_VL_R,Vermis_1_2,Temporal_Mid_L,Cerebellum_9_L,ACC_sub_L,Frontal_Med_Orb_L,Vermis_3,Rectus_R,Thal_VL_L,Occipital_Mid_L,Temporal_Pole_Sup_L,Red_N_R,Pallidum_R,Frontal_Sup_Medial_L,Rolandic_Oper_R
Frontal_Inf_Oper_L,1.0,0.7933596205797961,0.232176819219877,0.5755691875164112,0.8568622655052636,0.8281183239866664,0.8206397859140022,0.7597688967386067,0.7786543862016356,0.8222199019479672,0.549395354470556,0.8605336366137958,0.0490280413632223,0.8163063415125794,0.3672563123755345,0.6218479864738321,0.7452630069181639,0.622932219732895,0.819469285237953,0.8419101221007718
Thal_MDm_R,0.7933596205797961,1.0,0.19983393985379297,0.6047914604537927,0.8185274344408527,0.9163998037828163,0.8295700604962786,0.6639652644586359,0.715136613204698,0.8424604054778679,0.39850279298595237,0.826450961358867,-0.13290038193192827,0.9176108361619888,0.5399639834020418,0.409799639456242,0.6807353948251882,0.446185515221717,0.61057061169401,0.7362586997583946
OFCant_L,0.232176819219877,0.19983393985379297,1.0,0.2700899288840188,0.16554447405399206,0.11788670575505257,0.06944352655524375,0.19246794106368023,-0.053656814385155446,0.19732002124134404,0.5021711367713435,0.09098612569105106,0.1664716531641406,0.09491897185014689,0.32426356206740603,0.1289893109097278,0.05829694300338207,-0.030486040250704675,0.05003008465546554,-0.030456742486771684
Vermis_6,0.5755691875164112,0.6047914604537927,0.2700899288840188,1.0,0.5666377969717923,0.597187208346869,0.5557716215187221,0.5541789406550199,0.5207683281489909,0.6004560606525793,0.46346828782996086,0.5663346239501521,0.025956641775457263,0.5635563643964349,0.3872393639357529,0.4960845963553645,0.5919884950285788,0.388315817142451,0.3954373939495691,0.5036875312871537
ParaHippocampal_R,0.8568622655052636,0.8185274344408527,0.16554447405399206,0.5666377969717923,1.0,0.8998679566439365,0.9065815602260305,0.6188896313762935,0.7613676729268767,0.8624617812760411,0.5712133141424196,0.900829045472892,0.10593820376899771,0.8802377611305477,0.25983007495080995,0.5713753762294796,0.7823527653422643,0.6939173642063979,0.8107676696689164,0.892110126960149
Thal_VL_R,0.8281183239866664,0.9163998037828163,0.11788670575505257,0.597187208346869,0.8998679566439365,1.0,0.9313571745171566,0.6427860544679116,0.7444354763881158,0.9245507608618739,0.5341600811126936,0.864666949557014,0.08075259708262691,0.9908295487638223,0.2622799319140073,0.5737998763056907,0.7630835193107789,0.6198572299496025,0.7823938990642958,0.87848961100004
Vermis_1_2,0.8206397859140022,0.8295700604962786,0.06944352655524375,0.5557716215187221,0.9065815602260305,0.9313571745171566,1.0,0.6007811053051718,0.7770191418264332,0.8966484014121732,0.5266519938687619,0.8589735339375633,0.053526064150407136,0.9128128932391468,0.19475970290693698,0.5689371013455166,0.7682008191579364,0.6696225520498861,0.7826301034155053,0.8903880627745543
Temporal_Mid_L,0.7597688967386067,0.6639652644586359,0.19246794106368023,0.5541789406550199,0.6188896313762935,0.6427860544679116,0.6007811053051718,1.0,0.7921187036492722,0.7388816564130639,0.5477175556687952,0.6404916359135315,-0.018912152251926582,0.6112603467396552,0.39951625171573835,0.7181529697790252,0.6786443556267003,0.48865034542574026,0.5749068350441233,0.6475101360728336
Cerebellum_9_L,0.7786543862016356,0.715136613204698,-0.053656814385155446,0.5207683281489909,0.7613676729268767,0.7444354763881158,0.7770191418264332,0.7921187036492722,1.0,0.7848104635494997,0.38958192012959536,0.7134303175419695,-0.03266524335171874,0.7217723432873887,0.24425968653896415,0.6156934060169061,0.7926181683075095,0.6282845405228388,0.6080894072423361,0.8325401950238057
ACC_sub_L,0.8222199019479672,0.8424604054778679,0.19732002124134404,0.6004560606525793,0.8624617812760411,0.9245507608618739,0.8966484014121732,0.7388816564130639,0.7848104635494997,1.0,0.6580250540108113,0.8039670304140846,0.1597988157315355,0.8971871408716048,0.24377160502124248,0.6775566505062971,0.7966789179014118,0.6423498397666335,0.7358335532937404,0.852971188223356
