,Thal_PuM_L,Cerebellum_3_L,ParaHippocampal_L,Frontal_Mid_2_R,Cerebellum_3_R,Cerebellum_4_5_L,Temporal_Pole_Sup_L,Thal_PuI_R,Amygdala_L,Vermis_7,Thal_PuL_R,SN_pc_R,Thal_MDl_R,VTA_L,SN_pc_L,Parietal_Sup_R,Thal_IL_R,Cerebellum_10_L,Calcarine_R,Parietal_Inf_L,OFCmed_L,Cerebellum_7b_R,Cingulate_Mid_L,Thal_LGN_L,Frontal_Med_Orb_L
SN_pc_R,0.21666272551344595,0.5677845180855701,0.6918113824492275,0.49682808393355365,0.5747603563530574,0.6918354340043907,0.4843888999665882,0.5836166956105676,0.4768177632024349,0.2716941833992878,0.2765073382341098,1.0,0.6457312697362004,0.6291574567661874,0.8576754209612927,-0.03653564715087218,0.6236737810910064,0.6606911194576499,0.6128181592106127,-0.028130388567789728,-0.060931918702988155,0.4680225356763216,0.5875193823157757,0.6591349182239533,0.4344689717274135
Thal_MDl_R,0.5195124679586257,0.8421774576433402,0.9522784354001221,0.5257157310617019,0.7341872126604582,0.7702942357573135,0.5587044020612076,0.9454842346217396,0.671433608543124,0.2878409805699479,0.7309802997471229,0.6457312697362004,1.0,0.56316043045733,0.553441568682512,0.06744216377085077,0.9661118274487543,0.5129473439389253,0.7024266656404845,0.10136964503212087,-0.05983736078470169,0.19182024058559982,0.8533360044634287,0.9333159618690139,0.513974416546548
VTA_L,0.17552693583790396,0.5610026654079308,0.6424439754645841,0.43059671841112496,0.5500627319493313,0.5833144631513723,0.5832845094489852,0.47934928604716354,0.2968106718999036,0.03116537460635623,0.3696289931809035,0.6291574567661874,0.56316043045733,1.0,0.5025442216695084,0.06698288640402013,0.5661160829478861,0.37965804802013925,0.48759832510129025,-0.02097635604791261,-0.36616095753366096,0.1979328091558432,0.512330129183985,0.42407599238210014,0.5216724507051154
SN_pc_L,0.25035811521290996,0.563677562213707,0.6353106539060551,0.49985840511034396,0.5276368693491206,0.6582237611589199,0.5101435313801519,0.5603111744373039,0.5422607532446789,0.3855083161051301,0.2632175092273748,0.8576754209612927,0.553441568682512,0.5025442216695084,1.0,0.009993332994991801,0.5449900272324092,0.6529461478035588,0.6774554819138182,-0.07786415665283974,-0.1314988507413409,0.5017515708515784,0.5608581686016787,0.5690204746900657,0.4243146925702403
Parietal_Sup_R,0.002529831904264837,0.119505433307787,0.05761918807444759,0.16137485181430575,0.1033667375749909,0.03335993986622856,0.3024834981352768,0.11273566633118609,-0.17029199159517244,-0.0966508085111562,0.31083149043305236,-0.03653564715087218,0.06744216377085077,0.06698288640402013,0.009993332994991801,1.0,0.05828058864765481,0.0662188847097275,0.06332022700776141,-0.36206729522404707,-0.10472880409463454,-0.43817881434802813,0.0023295867525921863,0.036025909423245024,0.1412445769064395
Thal_IL_R,0.44946693421643247,0.8302743627019474,0.9472309316984138,0.5594802315960326,0.7658862123573323,0.8023688084415869,0.6173902918947858,0.9275350966046529,0.6876833039940241,0.23914262668708333,0.6768615301668208,0.6236737810910064,0.9661118274487543,0.5661160829478861,0.5449900272324092,0.05828058864765481,1.0,0.5216144939733394,0.7232939073304939,0.11648267275793164,-0.0591041324952983,0.20245964162326385,0.8786080310291259,0.898055004790271,0.5901823959052992
Cerebellum_10_L,0.06671941623638412,0.4198105142177548,0.5975318962789494,0.6756700988237888,0.635897370722102,0.6945069804987318,0.6434980152143062,0.4851233869828285,0.42481729437877225,0.153970640488209,0.19903643291146048,0.6606911194576499,0.5129473439389253,0.37965804802013925,0.6529461478035588,0.0662188847097275,0.5216144939733394,1.0,0.5069126252369455,-0.33184720889703945,0.08690567049428835,0.30281195096202684,0.5563948095615427,0.557601007962503,0.31116237861567847
Calcarine_R,0.38163574024351893,0.8171508353240232,0.729207385759121,0.5505510704879876,0.7936285208814926,0.8170953633490337,0.6045672697212875,0.7112363910471055,0.6594787999553997,0.3155162706024818,0.49979213272194606,0.6128181592106127,0.7024266656404845,0.48759832510129025,0.6774554819138182,0.06332022700776141,0.7232939073304939,0.5069126252369455,1.0,0.1759757535685009,-0.16843297473427252,0.38659044450285757,0.8259928332068478,0.6506324648004511,0.5145458047659951
Parietal_Inf_L,0.2120371465505773,0.13449236249242563,-0.028635618527118645,-0.4204891059819448,0.04342968598538461,0.06634486086457271,-0.3452788834358224,0.05630549421142677,0.32620063635444524,-0.13054653860176965,-0.061471578068863296,-0.028130388567789728,0.10136964503212087,-0.02097635604791261,-0.07786415665283974,-0.36206729522404707,0.11648267275793164,-0.33184720889703945,0.1759757535685009,1.0,0.08556757815220638,0.4452557847275565,0.27452991626379647,0.056944370334134346,0.0812480866633667
OFCmed_L,-0.36063824254214616,-0.20414664902154397,-0.14617228653402067,0.033094787781333374,0.005699421645398501,-0.0031071866911273503,-0.03145056818145053,-0.16220361974364123,-0.09897639930423281,-0.15226547881199132,-0.2917192692272288,-0.060931918702988155,-0.05983736078470169,-0.36616095753366096,-0.1314988507413409,-0.10472880409463454,-0.0591041324952983,0.08690567049428835,-0.16843297473427252,0.08556757815220638,1.0,0.04209738636344773,-0.006242032946951148,0.1012720688724358,-0.11467659719470842
Cerebellum_7b_R,0.13564010480457447,0.2562415748913553,0.231777552025585,0.06934556666355278,0.28168494840521674,0.43061288462370617,0.015595452664140799,0.12086723846824167,0.45541603703030614,0.27225677580651036,-0.24747559554195595,0.4680225356763216,0.19182024058559982,0.1979328091558432,0.5017515708515784,-0.43817881434802813,0.20245964162326385,0.30281195096202684,0.38659044450285757,0.4452557847275565,0.04209738636344773,1.0,0.3369310718279442,0.24125621390055774,0.11656707976839611
Cingulate_Mid_L,0.32776861292066906,0.8278476375171254,0.83547309706586,0.6308947096752378,0.8515966469437535,0.870017471126008,0.6526365403381357,0.8082002262407463,0.7386350993605497,0.12384058752178567,0.5322406085694801,0.5875193823157757,0.8533360044634287,0.512330129183985,0.5608581686016787,0.0023295867525921863,0.8786080310291259,0.5563948095615427,0.8259928332068478,0.27452991626379647,-0.006242032946951148,0.3369310718279442,1.0,0.7976974315364629,0.5643005105465126
Thal_LGN_L,0.4346235702538018,0.7680497398110463,0.8930517149211863,0.527520002829741,0.6856184115480571,0.74456149920422,0.5332416534351102,0.8709024859924643,0.6208105240509102,0.27920049368598177,0.6160208373579097,0.6591349182239533,0.9333159618690139,0.42407599238210014,0.5690204746900657,0.036025909423245024,0.898055004790271,0.557601007962503,0.6506324648004511,0.056944370334134346,0.1012720688724358,0.24125621390055774,0.7976974315364629,1.0,0.4802796565611546
Frontal_Med_Orb_L,0.043537699982775124,0.5744027082311665,0.5921921427622528,0.3008645875101688,0.5267470762479575,0.5524553485539503,0.6656567529541131,0.48552661335589115,0.2750386540089238,-0.0651219824611186,0.26854059100121774,0.4344689717274135,0.513974416546548,0.5216724507051154,0.4243146925702403,0.1412445769064395,0.5901823959052992,0.31116237861567847,0.5145458047659951,0.0812480866633667,-0.11467659719470842,0.11656707976839611,0.5643005105465126,0.4802796565611546,1.0
