,Thal_PuA_R,VTA_L,Parietal_Inf_L,Cerebellum_9_L,Cerebellum_7b_R,Thal_PuI_R,Frontal_Inf_Orb_2_L,Rectus_R,ACC_pre_L,OFCmed_R,Heschl_R,Thal_AV_L,Frontal_Med_Orb_R,N_Acc_L,Cerebellum_6_L,Temporal_Sup_R,Parietal_Sup_L,Insula_R,Frontal_Inf_Oper_L,Thal_VPL_L,ParaHippocampal_L,Supp_Motor_Area_R,SupraMarginal_L,Frontal_Sup_Medial_L,Thal_LGN_R,Thal_MDl_R,Thal_PuM_R,Thal_LP_L,Vermis_6,Cerebellum_3_R,Thal_VL_L,Parietal_Sup_R,Fusiform_R,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,VTA_R,Thal_LP_R,Parietal_Inf_R,Vermis_10,Occipital_Sup_L,Caudate_R,Temporal_Pole_Sup_R,Thal_VA_L,Red_N_L,LC_L,Thal_PuA_L,Cerebellum_Crus2_L,Frontal_Inf_Tri_L,Temporal_Pole_Mid_L,Postcentral_R
Thal_PuA_R,1.0,0.3029380514223392,0.024202181948849773,0.6240929431882406,-0.04734047138009036,0.8668591772884784,0.37665325483572687,-0.24683953548626927,0.6338492988900225,-0.02013633798584317,0.6213939682975163,0.49181781542371183,0.10013961240052016,0.2173784515085352,0.6875074883217315,0.5721993693947753,-0.29605490337774226,0.6933222709611288,0.6342447153691687,0.7237023904953055,0.6865435177453862,0.4483484021793965,0.053585896072925764,0.38826593974857265,0.6279372511855383,0.7663621585036099,0.8660538142008678,0.06213845816666477,0.5537987277526107,0.4716998343986252,0.7327882616891637,0.21380268935253283,0.5024081259146493,0.5097891061352359,-0.014104997232112577,0.20169373235526475,0.022690405859935325,0.462740233099913,0.4908329613161872,0.5715700388089776,0.7125141769187598,0.37829878916185783,0.6127428835144222,0.5748490987321123,0.6673379516016273,0.7595383609210647,0.2858524903013228,0.34705498582392275,0.2949877779579094,0.5000005831866315
VTA_L,0.3029380514223392,1.0,-0.02097635604791261,0.5122522498136114,0.1979328091558432,0.47934928604716354,0.49442105541308023,0.009862293566589516,0.5887670559622029,0.029585941322933993,0.2713449029177363,0.4180259819274243,0.3939844781911935,0.2584294547510468,0.592604602669405,0.5465868372059912,-0.080867515458689,0.5270515096737772,0.6315837419328426,0.5209802007035788,0.6424439754645841,0.5444542050539202,0.12650949552235827,0.5462697290616051,0.5043547897242494,0.56316043045733,0.24114740766484907,0.0005901619388117587,0.47149048544822064,0.5500627319493313,0.5335341156565893,0.06698288640402013,0.5426910721457782,0.5370312752492782,0.12452539207769601,0.39571027238361867,0.343907575320244,0.12313136218232625,0.449567712790522,0.2275874859791001,0.5449750747894281,0.42846027002100817,0.5946631632956968,0.6467433395287706,0.4376441145428747,0.39557597295878066,0.26154663950478774,0.5399485792517709,0.4462815727969776,0.2890018735678076
Parietal_Inf_L,0.024202181948849773,-0.02097635604791261,1.0,-0.2545516604106344,0.4452557847275565,0.05630549421142677,-0.39373269745900935,0.0010235930703100344,0.015627533138383772,0.3855068289396844,-0.3547799474106518,0.2383121435599209,0.267548489686312,-0.19115510477226735,-0.019297663295141838,-0.25750711017677774,0.7228852322065038,-0.2528521369425964,0.19625841291819301,0.23823394419814997,-0.028635618527118645,-0.11932862359673493,0.9104560856840757,0.27574698166062556,0.10612141646392126,0.10136964503212087,-0.0006773717852107282,0.09428269299639112,0.021533085048069004,0.04342968598538461,0.1620558714688398,-0.36206729522404707,0.36575488067936135,-0.21720292556680726,0.6384253235143886,0.08033156546361726,-0.061955829066553746,-0.5318262294163912,0.037689297728910214,0.10493484619566046,0.08600509987882834,0.1411879078328585,-0.017358451800732262,-0.018411641899127022,-0.17243623011094691,0.18068285653138103,-0.2102745108850884,0.11916307222148723,0.0052071799063042965,-0.6773017254480018
Cerebellum_9_L,0.6240929431882406,0.5122522498136114,-0.2545516604106344,1.0,0.2605485680154319,0.7592753921059747,0.7114369723406249,-0.03266524335171874,0.7764949576099811,-0.05059356365714413,0.6234177951678177,0.43454174230526266,0.2323248790708445,0.4525001558465242,0.8722745684639288,0.8648881076582916,-0.357682906158562,0.8480895792284174,0.7786543862016356,0.669290068740608,0.8241258961112736,0.7207784831976779,-0.04026412399310377,0.6080894072423361,0.7034997083316433,0.7491218282312108,0.4864223012382437,-0.08003740909329038,0.5207683281489909,0.6649531216976694,0.7217723432873887,0.05112508118945647,0.6917917892059603,0.7988575279297512,0.16851529186738975,0.3996094523075484,0.31813811057945685,0.3802226328297855,0.7227200959102281,0.346293771206732,0.7340457340036272,0.669007078300277,0.740353475915437,0.7843941526648923,0.8069616449000968,0.5600884117527888,0.5882137175604003,0.6585368704211096,0.423207619651363,0.5686204359078948
Cerebellum_7b_R,-0.04734047138009036,0.1979328091558432,0.4452557847275565,0.2605485680154319,1.0,0.12086723846824167,0.09251873616056401,-0.06732404074467548,0.21316662884361848,0.19560796748227316,-0.008766198896997634,0.06758404908942385,0.24568460873763287,0.08050597186169457,0.2435572600207151,0.22065392838378983,0.343773150617371,0.106856586388183,0.4233468500488547,0.21135153643359414,0.231777552025585,0.23372562854583834,0.6513424089002574,0.47567512996574957,0.23124216273727868,0.19182024058559982,-0.17418544128602825,-0.16557373764406438,0.07098715456631255,0.28168494840521674,0.21163113993299792,-0.43817881434802813,0.5517638777727271,0.1745055360999062,0.7417377805116564,0.2805206391531238,0.25677630294123177,-0.44895194949770706,0.2870865363396681,-0.07360539451916262,0.15995763375050043,0.4371182130157959,0.17466935881545842,0.34291335749328145,0.23882921228587892,0.08778115978692216,0.34744415130566353,0.4230811994857558,0.12674874269977215,-0.3501714771716913
Thal_PuI_R,0.8668591772884784,0.47934928604716354,0.05630549421142677,0.7592753921059747,0.12086723846824167,1.0,0.5348902952638116,-0.02971921968500181,0.8859924595400344,0.10544382763644396,0.5843620043338591,0.6908607544374307,0.33924729401596376,0.20997914906557166,0.8479993081241486,0.7239622886255289,-0.23842499327658823,0.831802791211789,0.8106960253096999,0.9373783254023567,0.9182386873279853,0.5784764537498213,0.11879691684229789,0.667140463216158,0.8739659178732213,0.9454842346217396,0.7359119831897489,0.058813402241271094,0.6179915832411428,0.6799287414801656,0.9490300517438426,0.11273566633118609,0.7329389399306857,0.7491590232774552,0.1186515025164174,0.49375057080342616,0.16509043499882164,0.37164318446098926,0.7218509025225929,0.43390769261404316,0.9386701861281306,0.6430626434379106,0.8597023552789932,0.7525505285704341,0.7435911801332512,0.8579749178602367,0.2497669289134793,0.5958144800949978,0.3979821488477324,0.4586397775339977
Frontal_Inf_Orb_2_L,0.37665325483572687,0.49442105541308023,-0.39373269745900935,0.7114369723406249,0.09251873616056401,0.5348902952638116,1.0,0.2690722994968344,0.7181990405832849,-0.05315537520275545,0.5926349003340406,0.34921625437637277,0.4502323727047451,0.5561782758191892,0.7264583117644072,0.7793134372946435,-0.4417588760492772,0.8064005054188439,0.618033085363773,0.4239906265729366,0.6493164253833326,0.7608081961037698,-0.15001602827958993,0.5450244322814958,0.5435156417271781,0.5363612540545749,0.24858745642440055,-0.23168904973664892,0.47518295725319726,0.6504998371593036,0.48751408042184863,0.25766947258907574,0.39726508758673545,0.7869038812769297,-0.2513255741955015,0.522631653317488,0.41036082830734066,0.43152773659427207,0.7248207757210617,0.15865730290620272,0.5153712908893263,0.5956997605138736,0.6710368127573586,0.5369813316066924,0.6324797747291968,0.2512686837921693,0.1853296580081817,0.7063320025888757,0.5522870831248762,0.6298683484886127
Rectus_R,-0.24683953548626927,0.009862293566589516,0.0010235930703100344,-0.03266524335171874,-0.06732404074467548,-0.02971921968500181,0.2690722994968344,1.0,0.19374096512272568,0.24537567952677278,-0.02650251296573299,0.1685853876854541,0.49761453754429286,0.18038053559950196,0.09769391190450928,0.10391394194010206,0.060919410983933,0.09154591598018512,0.0490280413632223,0.012360344078269659,0.09849831148477733,0.1053962613132498,-0.011313823236966723,0.15862878961534024,0.16849154994138926,0.037244737436472594,-0.28799789407466575,-0.0917354852655339,0.025956641775457263,0.19019428585438708,0.05317416632021972,0.054209728262065555,0.09405912824632078,0.22226880223368917,-0.14612257460584294,0.15741531243135437,0.17699585710110857,-0.06709795761572042,0.23025419099029196,-0.16771394114290394,0.07622235973195181,0.2853129794574031,0.21485005264436274,0.009045316113764032,-0.09060832443107085,-0.09533998494876471,-0.4381734171114541,0.21390525326325366,0.28071812581888334,-0.03858920648918938
ACC_pre_L,0.6338492988900225,0.5887670559622029,0.015627533138383772,0.7764949576099811,0.21316662884361848,0.8859924595400344,0.7181990405832849,0.19374096512272568,1.0,0.27862101770036435,0.5729212986750006,0.7068014193909372,0.5614326039277411,0.3183386418192726,0.9058605649655245,0.8192476977378431,-0.21827389960416108,0.8852887570541914,0.8453602887341307,0.8734684169022838,0.934342033935742,0.7251788951982068,0.15659196096725952,0.819538199073525,0.9148055958471834,0.9207652091780846,0.44760144636756793,-0.06527701300829175,0.5690695346916923,0.8172748436802046,0.9124291297284007,0.08459043624000337,0.7960085960447059,0.8783515910653643,0.09836507562989814,0.6363252262135456,0.37363364090758255,0.2411848122806328,0.8745560617160613,0.25300944966922345,0.914507764494958,0.8203925233964333,0.9589330572823692,0.7688431624569119,0.6942121216088439,0.7257424305868366,0.1174327373860292,0.7921633242205827,0.6021357718486363,0.42682859310343985
OFCmed_R,-0.02013633798584317,0.029585941322933993,0.3855068289396844,-0.05059356365714413,0.19560796748227316,0.10544382763644396,-0.05315537520275545,0.24537567952677278,0.27862101770036435,1.0,-0.0024118278516551492,0.23535258633991368,0.3661208766879274,-0.18969034815354238,0.1334467711631719,0.08018994548587584,0.2516627398048744,0.030316451974866224,0.07561853486227893,0.23003445571355488,0.11525451132608074,0.19486818709503662,0.3705333054819302,0.36042122566525453,0.2913648508314515,0.21987387774743802,-0.2817543953818791,-0.18661403818320257,0.03992191048246301,0.26396738051773333,0.2422472991020439,-0.24871572157802513,0.3400085389307292,0.17360906445921798,0.20814187133184736,0.221363729260288,0.3104506529555878,-0.40082824512288684,0.3402349090653385,-0.27592538382222953,0.20466225315297962,0.4197649157380153,0.2954211586256678,0.07477254436955227,-0.10224268460827228,0.24490031215211505,-0.4211074356314155,0.30306242217662466,0.3470602187416575,-0.24101304119047476
