,Cuneus_R,Red_N_R,Heschl_R,Vermis_10,SupraMarginal_L,Cerebellum_4_5_R,Rectus_R,Putamen_R,Temporal_Pole_Mid_R,Pallidum_R,Heschl_L,Calcarine_R,Frontal_Inf_Oper_R,Occipital_Inf_L,Putamen_L,Frontal_Med_Orb_R,Precuneus_L,Frontal_Sup_2_L,Thal_MDl_R,Fusiform_R,ACC_pre_L,Cingulate_Post_L,Thal_LGN_L,ACC_sup_L,Supp_Motor_Area_R,Cerebellum_8_L,Thal_PuM_R,Cerebellum_8_R,OFCmed_R,Temporal_Pole_Sup_R,LC_L,Cerebellum_3_L,Vermis_6,Temporal_Sup_R,Thal_PuA_R,Thal_VL_R,OFCant_L,Cerebellum_10_L,Thal_LGN_R,ParaHippocampal_R,SupraMarginal_R,Frontal_Inf_Oper_L,Red_N_L,Olfactory_L,Hippocampus_R,Frontal_Inf_Tri_R,Lingual_R,ACC_sub_L,Thal_VPL_L,Cerebellum_9_L,Temporal_Pole_Mid_L,Frontal_Med_Orb_L,Raphe_D,Cerebellum_Crus2_R,Paracentral_Lobule_L,SN_pc_L,Paracentral_Lobule_R,SN_pr_L,Cerebellum_4_5_L,Lingual_L,SN_pr_R,Cerebellum_6_L,Thal_MDl_L,Amygdala_R,Cingulate_Post_R,Thal_PuM_L,Thal_PuL_L,ACC_sup_R,Frontal_Mid_2_L,Postcentral_R,Postcentral_L,Thal_IL_L,Frontal_Sup_2_R,Cerebellum_Crus1_R,Vermis_7,Thal_MDm_R,Thal_VA_R,Frontal_Inf_Tri_L,Temporal_Inf_R,Pallidum_L,Angular_R,Cerebellum_9_R,Supp_Motor_Area_L,Vermis_9,Olfactory_R,ACC_sub_R,Vermis_1_2,Vermis_3,Frontal_Mid_2_R,OFCpost_L
Cuneus_R,1.0,0.5358034856221464,0.5817595278522515,0.5229927835761059,0.21265224669095295,0.5951721614545544,0.0038138164144094155,0.6644730569284005,-0.013453559516591036,0.4063240318995695,0.31786516522455377,0.8537965053522137,0.5818390805155802,0.61680951947106,0.5160921725166072,0.26824585783222143,0.8440457329098232,0.2655141575202843,0.5702828840127889,0.5283137997768266,0.5685276862210373,0.6304642411464773,0.4974892445108178,0.5803711092992514,0.5720602410082728,0.12048549767393954,0.6904089040592754,0.3669712689841716,0.004593829675211484,0.3739391642361272,0.5710566865256748,0.7218497887915253,0.6185927448065056,0.5747484135319938,0.7080265528294173,0.5501316760364368,0.3451187430268345,0.2774608203649616,0.482151257677772,0.558944763909374,0.46981654533126666,0.6527293669233748,0.5277504569565161,0.2675699056128927,0.5243989020343063,0.469398497813868,0.7279747555609355,0.5710656902869112,0.5265100689285248,0.5480308184909932,0.36976860560788166,0.4392881310847805,-0.15241801633315533,0.17605289938872315,0.6694599551843821,0.5143570892883713,0.4748498228238874,0.21995066218667,0.5674062960952306,0.7145320480663586,0.3103355092884435,0.7064727968424389,0.5307844148786475,0.6769283901154433,0.525052498448229,0.45943947034124416,0.2496051352656335,0.5849723415043682,0.11926474624221742,0.4495311221556885,0.06420010044175055,0.512920333878189,0.474986245842699,-0.008622207208024903,0.28706314817140777,0.6717741711365296,0.4184178396796848,0.31981807842841314,0.10451724411153611,0.4415559009036309,0.5081758240678693,0.32777017112545065,0.4804816561862246,0.5735234889754327,0.23567968581903978,0.5979261921566968,0.4906869094904788,0.5890947713665043,0.34498513370154055,-0.01891294299575327
Red_N_R,0.5358034856221464,1.0,0.5100368892844894,0.6790497897351991,0.07034314062700713,0.7138974479314002,0.10558830863609531,0.7600552427860975,0.11297380652675852,0.6649755214718198,0.4655419758484799,0.6734447313143513,0.7536438734818002,0.3362715831414507,0.723690147772646,0.41535136097743364,0.5807293888190995,0.5562085202252923,0.7623410495840276,0.7210576459790061,0.7894087369510109,0.7495391516806665,0.6973596237929007,0.736076921175127,0.6587517621193603,0.553794251459194,0.38078654438921405,0.5168206728834362,0.17062513480103847,0.6489132098462065,0.6848940438118696,0.7235692621453661,0.5919884950285788,0.7467468383095757,0.5513249042052302,0.7630835193107789,0.05829694300338207,0.6033097297632594,0.732525421384538,0.7823527653422643,0.4258164109704577,0.7452630069181639,0.8959376813294425,0.2546936996190808,0.7642379049318445,0.7362463528627347,0.8036929021065643,0.7966789179014118,0.6806164991818647,0.7926181683075095,0.5333661192951128,0.5495478897846073,0.3040697256034701,0.2924654994169979,0.5274959882702747,0.6582193874590898,0.1335971654836879,0.6317415954004346,0.7048934206666323,0.6828229570402313,0.46089960772313054,0.819767207192311,0.6678150926498464,0.7054520468634045,0.7848757505936217,0.31199025226249466,-0.037893126450385305,0.7080007838468207,0.3733417116815875,0.4285584997034298,0.0014427748775643733,0.7526458569805833,0.713468171413885,0.13229279290073076,0.3079180409004714,0.6807353948251882,0.7660231112623069,0.6555850779590561,0.28291461944891055,0.7417869892294056,0.2974673604636639,0.5650151642530096,0.6673399799563136,0.506540582759578,0.27574643252786063,0.7968797998483577,0.7682008191579364,0.6725596360703312,0.5764149169454811,0.030801462455646383
Heschl_R,0.5817595278522515,0.5100368892844894,1.0,0.5904098213400437,-0.20791752933322197,0.5106727682137733,-0.02650251296573299,0.7374502532153431,-0.22655461519412431,0.5833442878265485,0.4939268060510724,0.6136532164975212,0.7185470463962811,0.3652154991046507,0.6826743830301392,0.012231538359597212,0.6800737861192948,0.3624851400508615,0.5205980979732869,0.3446107152596468,0.5729212986750006,0.5428625349651108,0.5048507449088795,0.6087462403962224,0.7280954423642826,0.2676541748653302,0.44591570197928154,0.28021434555084657,-0.0024118278516551492,0.4955314513084208,0.5195551055808624,0.5724364221787492,0.4249497826237442,0.7517516912349806,0.6213939682975163,0.5092413575500055,-0.08766593798781246,0.5946637685256513,0.4658476209347938,0.49000934791808576,0.7187803208230052,0.5517046359331941,0.4972296441168737,0.37108188112357937,0.5804605098344148,0.6640870526659238,0.5636275783964155,0.5562313307966784,0.37229637773447344,0.6234177951678177,0.41089181006126646,0.17944621111196057,-0.11307890840032422,0.04664114514221386,0.5597760022174166,0.46622515725040026,0.4815131942825345,0.23726832413174231,0.5770182976203759,0.4876292466291516,0.3042541146221461,0.6318910550181603,0.4317828197711766,0.526577274969059,0.6292303546120014,0.26577136114030453,-0.08055159677535263,0.7000314114639263,0.15197735249435418,0.7727482003452175,-0.2442534867744866,0.4741793544849968,0.7018145261990212,-0.23433043622721408,0.26358404679947023,0.568263333231691,0.45795632283159193,0.4065510294752708,-0.08501178534155479,0.5593816142754576,0.5282436006584542,0.3142947060827774,0.6920680999396768,0.4411251483560608,0.4117399461641242,0.5156724744647978,0.5011323612285663,0.5162559744655533,0.6774693657813785,-0.2534658926012762
Vermis_10,0.5229927835761059,0.6790497897351991,0.5904098213400437,1.0,0.20718742170748417,0.8755810471502127,0.23025419099029196,0.8221408979633829,0.2624934216390589,0.786940552933853,0.666855315548481,0.7317661585365867,0.7567567150653428,0.04428590200477627,0.799578131005985,0.5452529306330817,0.5663930231488699,0.7757977724552292,0.7615208288152563,0.701764086067015,0.8745560617160613,0.8296909750277692,0.7535774932841995,0.8553930444703747,0.8237433790793447,0.4096041690398821,0.3038411823291535,0.33631855913552827,0.3402349090653385,0.8397520922375388,0.5969293101465919,0.7361970356644584,0.5317005961150977,0.7815609519172735,0.4908329613161872,0.7970563699642724,0.02178533551357788,0.6788686289905251,0.7842048352255623,0.8122229118270979,0.411980361923965,0.7712563464131097,0.5996060166101709,0.496029329825674,0.8889308508632322,0.8138491432602186,0.7391627795029097,0.786325233567681,0.7181443161315019,0.7227200959102281,0.6083095105881936,0.5906049273346086,0.04605097952194148,0.1604291976385883,0.5786442337000117,0.6246623857646263,0.41321849915604747,0.4132154623482775,0.869613700266517,0.6192438057318951,0.5002803424986141,0.8317085930659694,0.6582739124841696,0.6713898087059411,0.8583785451360794,0.18521120886802625,-0.2472385623030396,0.8396297897221935,0.6292832574200882,0.4291906149654135,0.18564790062548436,0.7886745978124738,0.8680745960539766,0.0402824896696829,0.09445189193626573,0.6343555365651369,0.7990033675304885,0.7953926124492803,0.285429332760181,0.756778578746778,0.206563150359188,0.5520872601289268,0.8132684651120035,0.4458014094185404,0.5933408456680821,0.7969391524686139,0.8374853592425137,0.7909427337346909,0.7345827044982415,0.13733397381710746
SupraMarginal_L,0.21265224669095295,0.07034314062700713,-0.20791752933322197,0.20718742170748417,1.0,0.35783464989308295,-0.011313823236966723,0.05436446906244705,0.7498172172987507,0.08802719916907806,0.3438276470342265,0.37118984948881306,-0.1648718612000889,-0.0160141353569007,-0.052357560916603825,0.34384073095774365,0.06344958629852657,0.5026239704721429,0.18951137989552652,0.4973287530161204,0.15659196096725952,0.3809759326533674,0.1507237653397696,0.1653609208514391,0.12624925451506466,0.04747397013316357,-0.033975094223115745,0.38448466936552145,0.3705333054819302,0.3092179500724576,0.011568981040861025,0.26705565295093,0.11091805478149663,-0.0430590559803389,0.053585896072925764,0.19156033816743556,0.30823354032972283,-0.0953369925099333,0.1905657046867411,0.36545546897926756,-0.5657432624134084,0.3900449583675951,0.15111508123959508,0.056788616349695446,0.08041855301643051,-0.05996622072384207,0.29300704498014224,0.11174687609896283,0.2756234033114351,-0.04026412399310377,0.16106764040204727,0.17581684819341584,0.2416165581797447,0.5628563829948633,0.1262178215994829,0.16280248365021838,-0.03787269904827894,0.07613405405893288,0.2765306180890451,0.27838320159915586,0.17604270429684168,0.15178203078749408,0.1771238057884202,0.2829635871534813,0.12573395657627842,0.16163864390351043,0.20255900484088746,0.059680709980406046,0.6447330074000877,-0.5882166776616369,0.9135800915016365,0.19977889785600655,-0.06797912748910721,0.7117775295479605,-0.03854496194045004,0.17784406913514686,0.2309585677465245,0.3495715865790961,0.7502582827499441,-0.017589015786287694,-0.5421296751728857,0.48489039420105373,0.1150410593786355,0.3872915759801191,0.053974018840820495,0.19389316945812385,0.24343554077122945,0.42032525973039364,-0.20880882739612128,0.6504550831270511
Cerebellum_4_5_R,0.5951721614545544,0.7138974479314002,0.5106727682137733,0.8755810471502127,0.35783464989308295,1.0,0.2131461035846191,0.7909076675716612,0.3916365695300482,0.7729628587093965,0.7026213234565759,0.8277857560174077,0.7177533361232772,0.15049084130013513,0.7641568730909766,0.5562529276948546,0.567318014651516,0.7865793990826948,0.804909503356958,0.842581399693904,0.8800518975864517,0.8867356108686246,0.7590750057137241,0.8520917923115031,0.7597705452718359,0.4186238632483587,0.2948589717479882,0.41660362593768774,0.35296718774944297,0.8071229602525969,0.5885549137217512,0.8000917719085917,0.5868367122463208,0.7614757848399137,0.4793289296797664,0.8272217501545479,0.1280279929551093,0.623985697866678,0.8132034495952468,0.8569143156425657,0.28054431378790723,0.8600855503172044,0.6895614721300679,0.4923414673022622,0.8553026414327676,0.7871462664423445,0.8434442050107275,0.8041776450201665,0.7753909237888665,0.7055870083734591,0.5786202060371117,0.5850154097250508,0.1946001472670696,0.309003928094077,0.6037521891321709,0.619438322225749,0.2533218803417666,0.49599678633600097,0.9638651676740206,0.7503595922346403,0.5083135011071133,0.8579894585558755,0.7172517647648282,0.7231917297338983,0.8656741846338114,0.262201615019362,-0.1254915157757428,0.795090007730201,0.6656581999745569,0.2846950925907011,0.3421640246959694,0.8390741381398515,0.8134201047530413,0.24733543877037512,0.08389775202987752,0.6896328030463488,0.8604743423667365,0.7941394144459607,0.47008065545735994,0.7207466789795339,0.1272806291956446,0.6495023198349857,0.7580659270205534,0.5505269454110917,0.4763719032423576,0.8232897808790552,0.8498885311123321,0.8181941747040888,0.6388835476208146,0.32517832005310154
Rectus_R,0.0038138164144094155,0.10558830863609531,-0.02650251296573299,0.23025419099029196,-0.011313823236966723,0.2131461035846191,1.0,0.23830836842658992,0.218265187258593,0.3610656629166542,0.2678358819000541,0.11185199770517683,0.07164413424745181,-0.40329933307504073,0.337954431474532,0.49761453754429286,-0.030009781256784555,0.16790818675437305,0.037244737436472594,0.09405912824632078,0.19374096512272568,0.13217241590783493,0.07846066070443775,0.24454973858723286,0.1053962613132498,-0.059144419881386814,-0.28799789407466575,-0.18393199763966256,0.24537567952677278,0.2853129794574031,-0.09060832443107085,0.030586875021469784,0.025956641775457263,0.10391394194010206,-0.24683953548626927,0.08075259708262691,0.1664716531641406,0.1650497792246621,0.16849154994138926,0.10593820376899771,-0.044461899683501054,0.0490280413632223,0.009045316113764032,0.34940883457523275,0.20370945432788684,0.22226880223368917,0.0265381574994221,0.1597988157315355,0.012360344078269659,-0.03266524335171874,0.28071812581888334,0.38286120791840006,0.060569625575073054,-0.1904726131836489,0.03306774226525404,-0.010116467457232317,-0.0093715461567475,0.009458967670173176,0.19783762367967642,-0.10427150267380429,-0.13937230979396786,0.09769391190450928,-0.04616074039743365,0.013976332478043613,0.16857492083585707,-0.3948312206577549,-0.43099053796750225,0.14537380248615753,0.1470030849905528,-0.03858920648918938,0.04729529374583487,0.11844694305733988,0.20543917091905106,-0.14612257460584294,-0.2817415467707043,-0.13290038193192827,0.1859454664403933,0.21390525326325366,-0.015272904121316567,0.24542465272026415,-0.10732106056816021,-0.1427406106850113,0.07886610126205232,-0.21812349101881193,0.3091126716650073,0.16596199386093907,0.053526064150407136,0.008448212057510925,0.21268548862828185,0.25264561750277387
Putamen_R,0.6644730569284005,0.7600552427860975,0.7374502532153431,0.8221408979633829,0.05436446906244705,0.7909076675716612,0.23830836842658992,1.0,0.0507335798191717,0.8122742204306144,0.6059144883063667,0.8024042330598941,0.7915826676977971,0.2909397834017105,0.9172111255972327,0.4643262115359708,0.7085449531553917,0.6194697023858198,0.6795899512281033,0.6311741679822487,0.7949174015034758,0.7839243083447699,0.6491999243182534,0.8528029958831482,0.8240096732721726,0.4745829892701936,0.39113714617597983,0.42814366092532213,0.07499032968813707,0.7156012214554865,0.6675694703001893,0.7393818610308809,0.5593373973145367,0.834800434207943,0.5332891628829506,0.687331294537615,0.12810218790430797,0.6931343444259878,0.6738176301906397,0.7397112545781331,0.5748610686132447,0.791347179924758,0.6821904736262276,0.44884291205921883,0.7858012314242987,0.7949477418929846,0.7767758782566291,0.7748628409105119,0.563809687885837,0.7811246944681312,0.6202887587739525,0.5901052221726417,0.03682809468495831,0.19431811134080249,0.5962438247610268,0.6889988189968121,0.4423940077066255,0.4301430460696526,0.8171598741861908,0.6449139236367778,0.4791258637854201,0.8501724521774925,0.530551244046545,0.7360680886735662,0.8203907090813408,0.1782120002328893,-0.25039883577458255,0.812891771252228,0.4394853676267721,0.5610798903871961,-0.054416665285941745,0.6733367239101334,0.8190370774212555,-0.05553091423742937,0.24239965396115118,0.6066871383274194,0.6973095198603272,0.7021303174974711,0.13176864225756707,0.8154162668822974,0.344241661532727,0.4635768141130423,0.7637513135349593,0.47613699596495035,0.5721823436503114,0.7668240321415339,0.6923380458552963,0.6656577256015863,0.7366615826487553,-0.05708358942092803
Temporal_Pole_Mid_R,-0.013453559516591036,0.11297380652675852,-0.22655461519412431,0.2624934216390589,0.7498172172987507,0.3916365695300482,0.218265187258593,0.0507335798191717,1.0,0.2342099226111611,0.4463552347800902,0.23016171997496196,-0.14995725079727493,-0.2993138327716601,0.0739083878302286,0.5674990242164227,-0.058257949951023784,0.48659734979535635,0.21775491668287947,0.54628889547812,0.25660098738608794,0.3489611470733638,0.22652299018069544,0.22328027834085534,0.05482850143144451,0.04739289684495427,-0.2483377631930162,0.22773413031821382,0.6407124932824096,0.4764397256094179,-0.10870297346987738,0.16560602707210118,0.02650096554811656,-0.014950074274888741,-0.09189479100936374,0.2483989908497612,0.24639778156953476,0.04861349054805698,0.3025892805943873,0.44167556507664985,-0.6174467949686653,0.27784022171523703,0.14520025409945495,0.16404793271726328,0.18029684167377322,0.05450648436615155,0.23717962869215609,0.18567318490848878,0.29086186660067564,-0.051517751988772315,0.3928404588336388,0.33910195072463933,0.39412576847634667,0.39141525427269247,-0.021842432862958096,0.0733831114448144,-0.3008084985552759,0.12072432863405085,0.29424390497913344,0.16294280480435822,0.03098012849493868,0.134805279744048,0.20555028564868508,0.20880589800683494,0.20857002899207316,0.02384610395424311,0.06336936738796597,0.12827410657786104,0.547884501081175,-0.6027187476613969,0.8310633909319511,0.3134772472938569,0.007576401634816841,0.6522070000973906,-0.15584368042642965,0.12753608842455955,0.3849594942524227,0.33315764475421605,0.778932811412997,0.08446849526099469,-0.5676690023087717,0.4615793979008226,0.08727664201112918,0.21131190622677698,0.13418024249750765,0.2766802352738339,0.33944965137400834,0.4015261286758939,-0.19752990566991227,0.759061344287095
Pallidum_R,0.4063240318995695,0.6649755214718198,0.5833442878265485,0.786940552933853,0.08802719916907806,0.7729628587093965,0.3610656629166542,0.8122742204306144,0.2342099226111611,1.0,0.7052013550699082,0.6257568184818219,0.6963108595626197,-0.014429487571984352,0.8560569511770275,0.4372026363005694,0.4824799824500104,0.6837843055432878,0.57886829940055,0.6453913061009254,0.7377262504663518,0.6825037452941359,0.5945246450808733,0.7792975550970533,0.7415504814769948,0.4514212992857449,0.06685295514723374,0.39150471445287316,0.3209488368542655,0.8129045475689466,0.4437657796172478,0.5527673213333177,0.388315817142451,0.7842998828280177,0.2937600221621741,0.6198572299496025,-0.030486040250704675,0.732112040034343,0.6375299859505591,0.6939173642063979,0.4041435395306665,0.622932219732895,0.56780315458654,0.3972717910681332,0.7369102333128067,0.8099804649175512,0.6524359740534234,0.6423498397666335,0.5049056896748951,0.6282845405228388,0.5198171179682589,0.46232089624492073,0.22302392406296598,0.20068501265985736,0.47269700806610454,0.5545920607841358,0.21518483918949957,0.43652273139402187,0.7866001649745146,0.48705657358547205,0.41558839018010935,0.7080204311076747,0.46066520122781457,0.5788856210278127,0.7969203814469358,0.02337949538775011,-0.34066985377555664,0.7565659586789014,0.5298677226354982,0.41426568717473,0.07375241708128834,0.6458593083130046,0.8049399367644023,0.07404817107616145,0.020243372482528516,0.446185515221717,0.7507788716019542,0.7331666427980816,0.27687647063010706,0.7919583148126617,0.1451177671579839,0.4970461303331759,0.7625616398500131,0.3195800094225109,0.5579566674271543,0.6530979868657615,0.6696225520498861,0.5978306346864436,0.7397443218178913,0.14683535759581925
