,Frontal_Mid_2_L,Thal_PuL_L,Parietal_Sup_R,Cerebellum_Crus2_R,Thal_VA_L,Caudate_L,Occipital_Inf_R,LC_R,Cerebellum_7b_R,Vermis_3,Thal_LGN_L,VTA_R,Caudate_R,Rectus_L,Supp_Motor_Area_L,Olfactory_L,Frontal_Inf_Orb_2_L,Supp_Motor_Area_R,ACC_sub_L,Thal_VA_R,Cerebellum_3_R,Frontal_Med_Orb_L,Frontal_Sup_Medial_L,Thal_PuA_L,ACC_pre_L,Thal_MDl_L,Olfactory_R,OFCant_L,Occipital_Sup_L,Parietal_Sup_L,Frontal_Inf_Orb_2_R,Calcarine_R,Frontal_Sup_2_R,Cerebellum_Crus1_R,Temporal_Mid_R,Lingual_R,Cerebellum_7b_L,Vermis_6,Frontal_Sup_2_L,ACC_sup_L,Thal_MGN_L,Putamen_R,Vermis_8,Thal_PuI_L,Calcarine_L,Frontal_Inf_Tri_L,Frontal_Inf_Oper_L,Thal_MGN_R,Occipital_Mid_R,Thal_VL_L,Cerebellum_10_L,Cingulate_Mid_R,OFCmed_L,Cerebellum_4_5_L,SN_pr_L,Thal_PuA_R,Pallidum_L,Vermis_4_5,Insula_L,Thal_PuM_R,SupraMarginal_L,Hippocampus_R,Temporal_Pole_Sup_R,ACC_sup_R,Heschl_L,SupraMarginal_R,Parietal_Inf_L,ACC_sub_R,Rolandic_Oper_L,Cerebellum_Crus2_L,Temporal_Sup_L,OFClat_L,OFClat_R,Hippocampus_L,Thal_PuI_R,Thal_LP_R,OFCpost_L,Occipital_Inf_L,Temporal_Pole_Mid_R,Rolandic_Oper_R,Temporal_Mid_L,Thal_MDl_R,Thal_VL_R,Fusiform_R,Temporal_Sup_R,Precentral_L,Cerebellum_8_L,Cerebellum_8_R,SN_pc_L,Vermis_1_2,Paracentral_Lobule_R,Cingulate_Post_R,N_Acc_R,Precuneus_R,Thal_AV_L,Cerebellum_4_5_R,LC_L,Thal_PuM_L,Cuneus_R,Thal_MDm_L
Frontal_Mid_2_L,1.0,-0.2721311167123582,-0.3092083233339133,0.4725588245624682,0.5185550541314586,0.4731546752783763,0.1795652776553358,0.5410126179831443,0.5897863699704621,0.6025961399018738,0.4553309312232133,0.5271889821037853,0.4084865181781636,0.15485460565531148,0.5986887402888795,0.35566164940600875,0.35471174005416317,0.571698980896915,0.4350721883511859,0.6364484818698997,0.6029190807081166,0.2938075777978769,0.8616885268171054,0.27475312202896235,0.535462980618078,0.34629783817846604,0.4340370534411466,-0.0563404508084793,-0.06940759979063842,0.285705915918635,0.607187753959796,0.48182467717368077,0.5286023315348566,0.46286300671675085,0.5030760157471394,0.48345559526236875,0.4964565207307591,0.16368068041715153,0.9387404564280847,0.558774667649817,0.4225305145687817,0.4394853676267721,0.21526933709498086,0.41566418815219275,0.4378913373708644,0.8474516155357156,0.5948348012443813,0.5514637751956156,-0.42886250998525743,0.4945935610843107,0.3694808530566336,0.5299839233525707,0.19079010784822373,0.6541895537608179,0.32879031812378795,0.0828044796828259,0.45490967067877514,0.63072106380951,0.6679429917116897,-0.1667147883798365,0.6447330074000877,0.5119476083826443,0.690112942591831,0.4671681132918145,0.6921809868065016,-0.18544586200181296,0.4349023595685618,0.4806166837864701,0.5111524063817369,0.03176896298083819,0.7018417254468808,-0.16239650977553455,0.2505949056932469,0.5732234968564424,0.32805565139846243,0.2879660069481421,0.4444173831686447,-0.17951851065222005,0.547884501081175,0.5783798837191904,0.3164860821608495,0.4659564635080888,0.4896405678643842,0.5977661063942757,0.40084279713091886,0.7808318043939316,0.42775174861162074,0.42833162963089544,0.375000361689866,0.5464242606890057,0.06535803229066262,0.5576375776464315,0.2336229609697108,0.35540067444738904,0.34378847480926755,0.6656581999745569,0.21323280997602395,-0.08079152511216298,0.11926474624221742,0.3414322770547425
Thal_PuL_L,-0.2721311167123582,1.0,-0.01563631288899926,0.08726151919584248,-0.05329267346054015,0.07084470721031542,0.39749048252404606,0.1576521478291854,-0.12568426436717725,0.13195445630984756,0.042777285729399345,-0.3274103681418826,0.1512683496637055,-0.37895483956971765,-0.21369099107776204,-0.10323899866871285,-0.42480775757755185,-0.22492706845816077,0.0037579061493419226,-0.0795937051866542,-0.17116861485613957,-0.18294843769861416,-0.1628684553304988,0.4982654308517294,-0.08101111729917458,0.3360137061950362,-0.4651776229893041,0.2107658248733632,0.42195420288049224,0.16499615322510014,-0.355499607358583,0.020132665013990983,-0.3008009037795373,0.24784105022745279,0.17229795060834255,0.11708544610522882,-0.05207028628450497,0.12572349402617133,-0.25316771891156653,-0.2714138571815828,0.051898867727655014,-0.25039883577458255,-0.14691201744584728,0.31743021557952456,0.12380667526165774,-0.2757639884379336,0.02618088561776194,-0.11036237079444419,0.3734996065658316,0.18038405117845094,-0.4014078060285263,-0.1792053328200127,-0.2828412305685109,-0.2021390928858702,-0.0021817046553240377,0.5008491929922924,-0.3542630655564017,-0.10376799457279488,-0.04186946336255983,0.5018653698527201,0.20255900484088746,-0.06877495584814167,-0.17932842833658336,-0.09891428439660495,-0.14340945202670752,-0.12158494192369147,0.3753127444219268,0.07825831301799341,-0.25969676004559566,0.15199444294512707,-0.21231075037223462,0.10416633963747328,0.2690247434719543,0.11731610563489558,0.24088928407174437,-0.2369876031586999,0.1552300120727426,0.4618046044070736,0.06336936738796597,-0.15056775153532323,-0.020851435972628646,0.17116425760393744,0.13217968551271705,0.12518340319586657,-0.13558096854794324,0.11709263887799352,-0.21069792572458843,0.14716979608393552,-0.25297021912779644,0.06786054092788063,-0.15465358983286437,-0.1616468061401453,-0.20196364425540278,0.02233117285417595,0.21556287892496212,-0.1254915157757428,0.006364703415913408,0.6110642983373481,0.2496051352656335,0.3450628669448132
Parietal_Sup_R,-0.3092083233339133,-0.01563631288899926,1.0,-0.4161150823115175,0.1016019969832287,0.13449122517228207,-0.31477372204690257,-0.17177313017432053,-0.43817881434802813,-0.06969402059245525,0.036025909423245024,-0.057890547568431636,0.054242580244095735,0.18636862367067206,0.03193814022998637,0.10536058992765919,0.25766947258907574,0.12850134616637504,0.10868952487229219,-0.04018471048423495,0.1033667375749909,0.1412445769064395,-0.12134905731918155,0.007989102847941775,0.08459043624000337,0.04031765357626011,0.05648195516816363,0.16184996375073976,0.269507472539892,-0.35134297961408395,-0.07409081442703945,0.06332022700776141,0.1457200411107067,-0.543044064322934,-0.21745899868776414,-0.014951960495436909,-0.269741771291753,0.17043774660899796,-0.18616247671547534,0.12064452799395775,0.07975195328544073,0.18282603968097091,-0.043900218374051274,-0.010034358399072582,0.043969166821124,-0.11910114935575034,0.04621589978206379,-0.19651577398203365,0.4343825799298598,0.003796581972381927,0.0662188847097275,0.094681809860068,-0.10472880409463454,0.03335993986622856,0.059437313143081545,0.21380268935253283,0.1563772802609528,-0.0007719010337837328,-0.08024766357729846,0.3124983978711163,-0.39667363494162755,0.10422396493639872,-0.17844425676851638,0.05868977757670075,-0.12968899931879244,0.46115380985011406,-0.36206729522404707,0.0441201082993267,0.17704289969066936,-0.08705929360293514,-0.0035687315090335635,0.3706286866806316,-0.41103656047266895,-0.05159093167480309,0.11273566633118609,-0.03407930290581724,-0.2266857032070209,0.17956614374899743,-0.4001070203559371,-0.027163811938752985,0.23902552133176858,0.06744216377085077,0.03557788044376174,-0.18705466485243782,0.12130037572612722,-0.44861229528688346,-0.15405786053593465,-0.2316465125900922,0.009993332994991801,-0.04166990517287568,0.2963876025725808,0.060908157422235425,-0.16184624251369994,0.25439389502972876,0.0974693536550803,-0.0075865896248086245,0.08954705822930929,0.002529831904264837,0.23290383574259377,0.042233601147396695
Cerebellum_Crus2_R,0.4725588245624682,0.08726151919584248,-0.4161150823115175,1.0,0.10481502433075367,0.14992120978430395,0.6436392836271533,0.4287712112049713,0.7489066539303403,0.4145991266890467,0.12870936452346943,0.07632266525771852,0.1279210390140257,-0.18836205484574178,0.35580967890255955,-0.08488019710262966,0.02737152719406438,0.31025076083643655,0.13467783673059452,0.3005276510953989,0.20951698119394563,-0.05416502084131371,0.4033116670503822,0.1375232119861848,0.14167642560663188,0.1306043611854514,0.182795086882872,-0.023420771934363496,0.19904595029016908,0.25811876393044697,0.2340051360931838,0.43712913644157075,0.12033001415217005,0.8245215216903641,0.6230325284198278,0.4793644487644437,0.743602964947994,0.03797050848801355,0.4589965362341432,0.26129526926757707,0.0883448414915947,0.19431811134080249,0.5401783108176152,0.1675215495818924,0.4833715597712032,0.3287753631275437,0.4449492146811138,0.31054384861096607,-0.09156407490552854,0.17316519607154257,0.23852708987797996,0.27190683276610295,-0.23595553740525338,0.31987578758236473,0.13171510955383314,0.05562798852442487,0.182268879517948,0.2609472494854601,0.33179462577709856,-0.049174807884710126,0.5628563829948633,0.06454565292626371,0.3974097436363764,0.22336524993651546,0.35985664428805814,-0.14176793186319864,0.3413791796451837,0.21696956038787668,0.14922987609296426,0.6890519344075674,0.4625769747657059,-0.22926744168579638,0.24497161474518162,0.14628342978956538,0.12926891810724844,0.2463552729707264,0.21476922634976206,0.3461316948661196,0.39141525427269247,0.33004063925638133,0.21193159820524493,0.15249095243379565,0.14955664268105473,0.5428558483374797,0.31791063799089436,0.5219577452746895,0.6600634154727806,0.840721145802013,0.38490772536052714,0.3129475556889794,-0.11094307646966216,0.34250442983256896,0.2856768832384505,0.22364975614036328,0.025786163894629056,0.309003928094077,0.24601762966286103,0.29129545509436033,0.17605289938872315,0.18914436902385032
Thal_VA_L,0.5185550541314586,-0.05329267346054015,0.1016019969832287,0.10481502433075367,1.0,0.9376021936589741,0.03742209714886198,0.7430371673228099,0.17466935881545842,0.7960117639931129,0.8962248216749052,0.5796146018057743,0.9021279362569921,0.3815702920177138,0.6862762501383696,0.5446628404095285,0.6710368127573586,0.6746719033019216,0.9379675318355443,0.9002730398820922,0.8064312882738633,0.626519880215587,0.8018486907547243,0.7621934846932992,0.9589330572823692,0.8438814937534721,0.46497578753405283,0.15379565966511521,0.1764828029923538,-0.20899963336413052,0.7397435413817733,0.7060751692052111,0.8348404252944169,0.07254238259289997,0.6124543502460069,0.8123128973662569,0.24979812039783614,0.5702765233202912,0.6974847493927228,0.8659018056089204,0.9025324649901797,0.7578871157092701,0.2558636613903864,0.7412306957494158,0.69166799060354,0.7848150197853706,0.8007019497581024,0.7450245577012992,0.22539173512100694,0.914663962408282,0.6271654137531568,0.8705751986688818,0.013815261636338772,0.8357110630045606,0.4743790087461347,0.6127428835144222,0.7386958106527322,0.9168001943445587,0.8725689049068304,0.39575829001650337,0.11076837424866588,0.932392090038933,0.7899934145690393,0.8734788193871398,0.6327167080232711,0.35538446637289833,-0.017358451800732262,0.9464705064704715,0.898755147777552,0.10279423157792118,0.7320494310296672,0.16209776519857322,-0.09646765319240246,0.8866828720376876,0.8597023552789932,0.3737664314121433,0.19058360934168683,0.20237095112073084,0.2532525038910582,0.8898853770646435,0.6582611677336128,0.9344106723570357,0.9445163442956773,0.7666679521013009,0.7639111753786866,0.265614782849916,0.3696053830996699,0.2704642508271328,0.5611732476586561,0.9101782208930684,0.18061491498982543,0.8720058847774834,0.09046374679028521,0.681524756600405,0.7505458672452558,0.8485596978584482,0.6400110979046207,0.2819858784911308,0.5159240808703771,0.8343835276980396
Caudate_L,0.4731546752783763,0.07084470721031542,0.13449122517228207,0.14992120978430395,0.9376021936589741,1.0,0.20201934537532576,0.7090500447500526,0.20644719416494026,0.8446244138624327,0.9082001737762265,0.5369597661288699,0.9437072227505809,0.3035695816816328,0.6616530206301348,0.48230814401451766,0.6301747377693833,0.6483573569242581,0.9433278842865375,0.8058064233709925,0.7622645433198532,0.5936436588210752,0.7751201605023039,0.7906232161371839,0.942705374786308,0.9062429575900176,0.37316462063714545,0.23548242605950226,0.3508551253599101,-0.18669447205397835,0.641783034632164,0.7596023143391973,0.7670373766654617,0.12628923364619613,0.6843806419104786,0.8461726238435443,0.27309502888207715,0.6318871914504779,0.6413579561567672,0.8136256547876021,0.8959515407253963,0.7577563385510795,0.22525041920418568,0.7955799130939272,0.7279297579171464,0.7218969584253445,0.8810554622403945,0.6949247009520376,0.3547399451397546,0.9394651159153848,0.5550616442300227,0.8299976916642564,-0.12513817727438492,0.8126756306624342,0.427714353129905,0.7306936375937756,0.6290918234736139,0.8788073102467994,0.8634860788369131,0.5940442368373431,0.18091010893187268,0.897360968401416,0.6915160444264269,0.8478705778152777,0.5178150760069562,0.39328461366036815,0.05948677132245794,0.9384360671639281,0.8407557303892936,0.2043216443161367,0.7395372867969144,0.1292202932771204,-0.06468947519852526,0.8999083702516126,0.9281304071108437,0.280461427993319,0.13675397299544065,0.3843634456267078,0.19546922988465126,0.8524683384738125,0.7366303893123471,0.9650511480563866,0.9569063338431387,0.7800767435472533,0.7394934989428202,0.30903809009506783,0.3225802798914594,0.3095882677563911,0.6296007516064969,0.8911875852475691,0.2918099083484538,0.8447905730573153,0.0528329404826953,0.7202931233735942,0.7416507706612239,0.8378777916624423,0.7345072684855131,0.46976640440069084,0.6218699242385735,0.9067053330496898
Occipital_Inf_R,0.1795652776553358,0.39749048252404606,-0.31477372204690257,0.6436392836271533,0.03742209714886198,0.20201934537532576,1.0,0.3145150197870902,0.5399725756548025,0.3920051568985281,0.21697664298828853,-0.015006359164547924,0.23625065629740233,-0.30775906426299515,0.05160332143330436,-0.17054100793192387,-0.25422271991047957,-0.07094563159511534,0.11770282051418496,0.1198425783677465,0.005182684326875276,-0.15503670634194627,0.18489846302762905,0.3171377397877828,0.10242364154101688,0.3361866670756183,-0.10470446456448446,0.09266308148979961,0.2394246225529947,0.40188066306105813,-0.010721275009887482,0.2717086234225574,-0.12769769365736378,0.792346108852051,0.6300640467492413,0.34523437027728215,0.4476449565587616,0.1011162483997602,0.13486151414583705,0.020405458406299298,0.15741986725432086,-0.09387818674317508,0.08284047719690597,0.30276512309356923,0.30451415325684994,0.05782176052640176,0.3297665227075152,0.3110792229965368,0.059858486880233985,0.2687754667462381,-0.03272192478348811,0.05077315696191818,-0.19099109500893852,0.13788576408603287,-0.1358207486959283,0.2372560633466801,-0.19831649767504414,0.11085777571474396,0.26405283617833597,0.24226543476561904,0.5323489501480432,-0.013138057100339762,0.09668709246212874,0.1018858773245365,0.034226099859508335,-0.2673342822814161,0.5063080914079254,0.15795264010448035,-0.08430476241876832,0.48076566238612534,0.11043530506286818,-0.2597187365546813,0.46802940765338436,0.23971038023287028,0.2743152427499049,-0.10262816377683104,0.22990982665618473,0.445067243622657,0.36475485998915136,0.15773631226213253,0.00031669760538308384,0.23038899150179656,0.2155244002150184,0.5050406308314946,0.07347205665672424,0.5138786263456975,0.1591457831646104,0.43505136558356516,0.23549119739453783,0.2506841872436723,-0.07438114015636106,0.1206102327284494,0.09670880717765996,0.016558387993312045,0.10829974600304709,0.19266361443654328,0.2672109576254339,0.5974585306876573,0.19759127501709198,0.38470097475028037
LC_R,0.5410126179831443,0.1576521478291854,-0.17177313017432053,0.4287712112049713,0.7430371673228099,0.7090500447500526,0.3145150197870902,1.0,0.3801012004205231,0.7199679810827775,0.6760155791725764,0.26579270045400083,0.7575616368696986,0.19606205561345424,0.5241455245726874,0.43700261897949294,0.3537477888223644,0.45533810220890475,0.7260353867550275,0.7416222442961028,0.5980523158007865,0.3869958592727726,0.705301351955736,0.6899219542669393,0.7222325842592585,0.7142165881019339,0.3012447416666131,0.08932188326579228,0.19900967128370345,0.04440694947453275,0.5844502929410965,0.5881098621524553,0.5624950908518321,0.5060588520186456,0.7458301964146714,0.7407339957991818,0.551984040940807,0.34786587855506623,0.6529865859419747,0.5958591023780399,0.6800611034332873,0.5484559708047493,0.3851579077275551,0.7620171859650314,0.6337627347971084,0.6658014447453507,0.7239303170519992,0.7286979919609334,0.10635925519490202,0.7815238943433314,0.41438060742274596,0.6872887375604226,-0.10419493635970861,0.6514847442875061,0.34759958551313164,0.46832221444140937,0.4353339431723038,0.7338328177935448,0.7849784463411444,0.2507811265693004,0.35609618575934554,0.6882203286687815,0.7563822490191658,0.6639295321053998,0.6762355779264673,0.06552249808121662,0.2632737803574451,0.7999763139089076,0.6075927450598149,0.27611677332901147,0.605262097122359,0.037202711916710936,0.18581926421594755,0.7282982641113876,0.6722636458481277,0.2616481351413668,0.31936780787594554,0.23141296558979577,0.4524031709266631,0.7696614286069461,0.4452882605923363,0.7563088162141932,0.7691188572718862,0.8272060874796084,0.6271694223568862,0.4793621253371286,0.4997994194767904,0.4874340099346341,0.3744669376116463,0.7851572832370937,-0.057489892780791835,0.7039813634052456,0.21928795473193266,0.46808483657454897,0.6255983849985224,0.6819063146031263,0.4982762450153285,0.39143068635956607,0.34844262362421297,0.70975003256108
Cerebellum_7b_R,0.5897863699704621,-0.12568426436717725,-0.43817881434802813,0.7489066539303403,0.17466935881545842,0.20644719416494026,0.5399725756548025,0.3801012004205231,1.0,0.39811148760440324,0.24125621390055774,0.2805206391531238,0.15995763375050043,0.014053192006876202,0.2869086510079706,-0.02856833156655022,0.09251873616056401,0.23372562854583834,0.20394514794986893,0.28513520705377643,0.28168494840521674,0.11656707976839611,0.47567512996574957,0.08778115978692216,0.21316662884361848,0.14805251702626598,0.2713091231723422,0.07948054689324724,-0.07360539451916262,0.343773150617371,0.4431369702149338,0.38659044450285757,0.15222344349112893,0.7417377805116564,0.5410713735332897,0.3816712664244689,0.6934157391554023,0.07098715456631255,0.5207366602323114,0.29900130155740573,0.17143702330655625,0.2252678198594121,0.39789039329272,0.15399589719931667,0.3683297731476051,0.4230811994857558,0.4233468500488547,0.45158745722864707,-0.3429226453378638,0.21163113993299792,0.30281195096202684,0.2701590767887188,0.04209738636344773,0.43061288462370617,0.08788723072394852,-0.04734047138009036,0.18798448209809257,0.3349861851647059,0.3809251659602141,-0.17418544128602825,0.6513424089002574,0.14698395413606238,0.4371182130157959,0.2130283330902384,0.3418031168068095,-0.31828420098748095,0.4452557847275565,0.23096578142151114,0.18730146970296785,0.34744415130566353,0.4475049794797552,-0.1832982892575377,0.4185851625869339,0.26068124164872913,0.12086723846824167,0.25677630294123177,0.41395894923066096,-0.0010717302265875368,0.555208624580796,0.34079582685253523,0.08809173752459458,0.19182024058559982,0.20859045302067303,0.5517638777727271,0.22065392838378983,0.6526203259258335,0.4345076250753619,0.5343419464527825,0.5017515708515784,0.3526307934726861,-0.005493280957944381,0.32590890544095624,0.2771106380708953,0.1332712091597189,0.06758404908942385,0.42315746311953856,0.23882921228587892,0.13564010480457447,0.0937870849701034,0.15877803283596342
Vermis_3,0.6025961399018738,0.13195445630984756,-0.06969402059245525,0.4145991266890467,0.7960117639931129,0.8446244138624327,0.3920051568985281,0.7199679810827775,0.39811148760440324,1.0,0.7905758679776053,0.5934356157247171,0.8365549108537301,0.16121758906298775,0.739560699066731,0.4343662653141033,0.4874327291478105,0.697651335213036,0.8039670304140846,0.8056209570798737,0.7382560478242463,0.4856901731872151,0.8301447490694881,0.7339005129497058,0.844334754539232,0.8058760101618528,0.4450416507404003,0.09098612569105106,0.42213762532428256,-0.02480914579412379,0.6242874897629118,0.7911724612520034,0.704955219253554,0.3767284170270151,0.8398681999914108,0.8352479554480333,0.39858183348070036,0.5663346239501521,0.7561466143092536,0.7330259119958219,0.7620440859833039,0.6656577256015863,0.2388070819380938,0.7897075316618407,0.7751073234091773,0.7270647726304766,0.8605336366137958,0.6993379905282276,0.2805370535301215,0.8692479288752811,0.5267526690650062,0.8008933810377892,-0.10555962146944058,0.7869832830382865,0.34065311740383936,0.6794519863169218,0.5350572407226821,0.876581050516689,0.8771897741963804,0.49231609935571846,0.42032525973039364,0.8138260172708686,0.7864414077894086,0.8121339120442447,0.6468684715873463,0.25722038020417654,0.2901686241295935,0.8520465506624159,0.7330980681052703,0.2652322718065415,0.765114794402938,-0.030281383042521082,0.07619588948260153,0.8651329880741815,0.8535140428857049,0.27631276614957595,0.2926639169147728,0.34219775875200625,0.4015261286758939,0.8390302267116557,0.6404916359135315,0.8421617195633802,0.864666949557014,0.8267466270292111,0.7167351991971698,0.5276286388893024,0.41625372288380796,0.5294331515863276,0.5862409275659763,0.8589735339375633,0.24353684378947693,0.8284456157373905,0.1825043418195337,0.6968769718077572,0.6274079588545779,0.8181941747040888,0.5992335525374792,0.5484713890441919,0.5890947713665043,0.848303809927048
