,Paracentral_Lobule_L,Thal_VPL_R,Amygdala_L,Cerebellum_Crus2_R,Thal_PuA_L,Cerebellum_3_R,Paracentral_Lobule_R,Cerebellum_Crus1_R,Thal_MDm_L,ACC_sup_L,Red_N_L,Vermis_4_5,Temporal_Inf_R,Caudate_L,ACC_pre_R,Supp_Motor_Area_L,Frontal_Med_Orb_L,Occipital_Mid_R,SN_pc_L,Temporal_Pole_Sup_L,Heschl_R,Parietal_Sup_L,Pallidum_L,Temporal_Sup_L,Cerebellum_7b_R,Insula_R,Calcarine_L,ParaHippocampal_L,Cerebellum_Crus1_L,Thal_MGN_R,OFCmed_R,Rectus_L,Vermis_8,Postcentral_L,Angular_L,Rolandic_Oper_L,Cerebellum_10_R,Cerebellum_8_R,Cuneus_R,Putamen_R,Occipital_Inf_R,ACC_sub_R,Thal_PuA_R,Frontal_Inf_Oper_L,Pallidum_R,Raphe_D,N_Acc_L,SN_pr_R,Vermis_9,Cerebellum_9_R,Thal_VL_R,Frontal_Sup_2_R,Olfactory_L,Frontal_Inf_Tri_L,Angular_R,Rolandic_Oper_R,Precuneus_R,Cerebellum_9_L,SN_pc_R,Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,Vermis_3,Thal_VPL_L,Cerebellum_7b_L,ACC_sup_R,SupraMarginal_L,Precuneus_L,Thal_IL_L,Cingulate_Post_L,VTA_L,Frontal_Med_Orb_R,Putamen_L,Cuneus_L,Vermis_7,Postcentral_R
Paracentral_Lobule_L,1.0,0.6359623936160324,0.44668527011020637,0.12056741767736265,0.5032182615417952,0.6309913742694375,0.39837203071887206,-0.0020410945176229877,0.6276122747161501,0.5006555075440615,0.5302160832637481,0.5531100824320969,0.1268017280713979,0.6270357595716817,0.48435097094590024,0.6346727290361683,0.3432276823601396,0.5369825939136823,0.3543911791505327,0.4771068482029357,0.5597760022174166,-0.1687279390486508,0.3877777918554803,0.5777519053000656,-0.01051885377454422,0.6542173943700239,0.6455481026815906,0.5915200384277757,0.36542602606185376,0.24197660722904196,0.007492803805418412,0.1178384180986313,0.18625691800477448,0.09110399491699402,0.35366128030737726,0.545455438847212,0.21014405768450922,0.37126989334880783,0.6694599551843821,0.5962438247610268,0.09133196768267074,0.5879748388319483,0.5675568357439918,0.6727832240102608,0.47269700806610454,0.05613725893190676,0.3603327297222691,0.41331334491260024,0.4766975555108388,0.3693724222983354,0.59575098528517,0.61263069498636,0.3169949441600516,0.3989811980751869,0.5376645998379004,0.5838419354049428,0.7834568772336737,0.5437640350514044,0.3562484479973403,0.6675159859752954,0.5925406135508158,0.6023090786845019,0.5917203050781996,0.22439877701212552,0.5758948933572579,0.1262178215994829,0.7026856485765082,0.5839611946278858,0.612149115364159,0.5201048622937126,0.17129598740494437,0.5627411689239209,0.4435046907971807,0.0742654509810602,0.5364043581387997
Thal_VPL_R,0.6359623936160324,1.0,0.6518881614260928,0.11252613371446571,0.8938015239830357,0.7088270993293961,0.22230252623696747,0.13414021955793706,0.9580849834834922,0.6997501276182,0.747945397237492,0.8412267806036277,0.3305608574325663,0.9454343162275994,0.8135688591877767,0.6201041841937116,0.5234784054303887,0.40885594967997896,0.5037872138820383,0.5497605662636684,0.49404453209995014,-0.17332761173535513,0.5182235119920034,0.6284921243395051,0.11392146289500901,0.8240003974799176,0.6978970815269094,0.9489955997893584,0.3867803211629784,0.6619045833609009,0.16928877606324078,0.179567926300939,0.17764420753655422,0.1817591808431276,0.37624392652539945,0.7612259908666593,0.3526156085013737,0.2896139712696501,0.573035846628748,0.6472323157546161,0.20918857869364693,0.9344461960013614,0.7851460748285406,0.8121870405819023,0.5445947522430209,-0.010868210850990653,0.1951292833543138,0.3760500861008064,0.597790895702909,0.5630395363811684,0.9832965316695521,0.735987052860816,0.4531583563348288,0.6516450263816408,0.4036101706438731,0.8345986482049176,0.6532881368908899,0.7355669784141525,0.5756632017192588,0.8329278160490708,0.7874940227043445,0.8422850005975385,0.975936876698802,0.23319519944289158,0.8221598908027088,0.13809848055826,0.5330558968962789,0.9571574504411156,0.8485623119023101,0.5716889472633103,0.39810197410911907,0.5677450203490497,0.3683709346326308,0.2717397189684493,0.39696344597739047
Amygdala_L,0.44668527011020637,0.6518881614260928,1.0,0.5049272046917604,0.6135134628052529,0.5838409229860337,0.23608384609895913,0.4468645988517074,0.6943330499850793,0.6106562671834622,0.5701854473579319,0.674973265569972,0.5955186657906492,0.6555814427546195,0.5490572206441217,0.6708099796116365,0.2750386540089238,0.15127889367474567,0.5422607532446789,0.3269822256661734,0.45467116727046203,0.03261858644356289,0.44837231997952176,0.6660944123440514,0.45541603703030614,0.5895994966873109,0.6435909811794747,0.6516166806906918,0.33051176979436986,0.6082066918930921,0.21899570521151035,0.10760056226104234,0.25114341984587163,0.43303564811740347,0.4004753957836651,0.5677607633092658,0.32551470603378174,0.5834767413506701,0.46593850339860937,0.541303811589141,0.38480317086241056,0.6787282084808792,0.5752601284284863,0.7323128208896884,0.5241484550513309,0.08157766707741539,0.292497172317903,0.39490459400256284,0.6350179477239658,0.7435725139110718,0.6830972532274928,0.5647730810610392,0.35988355882657486,0.639513018856178,0.024337496664824702,0.7081850877915834,0.5592608787299242,0.6144162694717586,0.4768177632024349,0.57287828926751,0.6804153981973381,0.8180194158037045,0.6763155133621809,0.3895791236317771,0.7271146475019893,0.4646494313772342,0.4904733467768792,0.6915426586360129,0.7501430125554466,0.2968106718999036,0.2398724108024191,0.43943724539095147,0.5523275859541283,0.34700716141683113,0.15633590168400135
Cerebellum_Crus2_R,0.12056741767736265,0.11252613371446571,0.5049272046917604,1.0,0.1375232119861848,0.20951698119394563,-0.11094307646966216,0.8245215216903641,0.18914436902385032,0.26129526926757707,0.3967762850683487,0.2609472494854601,0.7352566747486945,0.14992120978430395,0.04325634510197314,0.35580967890255955,-0.05416502084131371,-0.09156407490552854,0.38490772536052714,-0.05260435451805301,0.04664114514221386,0.25811876393044697,0.182268879517948,0.4625769747657059,0.7489066539303403,0.12420798880581815,0.4833715597712032,0.21787067054525536,0.46792186043749007,0.31054384861096607,0.05885036881988183,-0.18836205484574178,0.5401783108176152,0.3773650475356517,0.23905240793934562,0.14922987609296426,0.1667389896438206,0.840721145802013,0.17605289938872315,0.19431811134080249,0.6436392836271533,0.21696956038787668,0.05562798852442487,0.4449492146811138,0.20068501265985736,0.48121227662529814,0.2280799466771717,0.3274404187868449,0.6146228801550089,0.7479625163696006,0.14955664268105473,0.12033001415217005,-0.08488019710262966,0.3287753631275437,-0.33095386938356725,0.33004063925638133,0.22364975614036328,0.39220218031605336,0.34619375505549144,0.11214148477767363,0.292247020953733,0.4145991266890467,0.17306917469376434,0.743602964947994,0.22336524993651546,0.5628563829948633,0.2635542255499207,0.18848892507258813,0.4005969428491792,0.2447720434158969,-0.028869395669953387,0.13348728088837067,0.45936300387934853,0.37625195810761547,-0.18253905038970758
Thal_PuA_L,0.5032182615417952,0.8938015239830357,0.6135134628052529,0.1375232119861848,1.0,0.531687477606336,0.06943492817874172,0.2434757703628207,0.9066983033072675,0.4871612225847442,0.6239941412412088,0.6699489072919188,0.3956411578885632,0.7906232161371839,0.6405488317958752,0.45344781599732137,0.3114264323282147,0.3997830256390902,0.2892556874028957,0.2791224180248347,0.3691535966944006,-0.07600312805416608,0.31183611173651865,0.40895755232586195,0.08778115978692216,0.6201393727497321,0.5907673206684184,0.7907779317780836,0.25373604891883056,0.6082153834016004,0.24490031215211505,-0.012415767876740024,0.08711653862335056,0.2421944128729342,0.43220819879106426,0.5388148771339548,0.20196970746580345,0.2763822916723574,0.4559764709095805,0.4009038303731723,0.3171377397877828,0.7936229682061051,0.7595383609210647,0.6281637365898809,0.39883428945325616,0.036283927800960035,0.026502967728994964,0.17501246360873365,0.5820395160202589,0.5522125001527689,0.872114503798685,0.5319444602940288,0.3360130145771108,0.46155939910625376,0.3537788709578932,0.679107707721509,0.4829506145879104,0.5600884117527888,0.4024371527101618,0.66025622634702,0.5977475179270562,0.7339005129497058,0.8958108692062521,0.17838331413835432,0.6684247838534848,0.1600954446707099,0.4443655212830051,0.844062841468317,0.683437023342829,0.39557597295878066,0.22381275129519856,0.3303996187119466,0.2256238657661243,0.2417956176658105,0.2660902308682129
Cerebellum_3_R,0.6309913742694375,0.7088270993293961,0.5838409229860337,0.20951698119394563,0.531687477606336,1.0,0.35873614305974766,0.06696182508927395,0.6359965496427452,0.8245016788566001,0.6168460458290004,0.8592711065564874,0.27754182357719726,0.7622645433198532,0.7927905774213102,0.7572766890870174,0.5267470762479575,0.21145595740551942,0.5276368693491206,0.7501972755314158,0.616910769238796,-0.18647570945992353,0.7522202582111707,0.806035786074752,0.28168494840521674,0.8006774571972153,0.7765839147675728,0.7646894691239919,0.3376047006791902,0.558081359040612,0.26396738051773333,0.33263336416224265,0.3006619009061241,0.1820157283803514,0.11107712345074039,0.8446114028077676,0.4961930584256087,0.3675769883183206,0.5892214921025617,0.8040375779472065,0.005182684326875276,0.7630918902342914,0.4716998343986252,0.7725365273964718,0.796802297448263,0.19213572389856834,0.45507057773917486,0.4846069597904184,0.44809326057359233,0.5241152195307706,0.7474542342429302,0.8482864234467733,0.4901807278020438,0.7463811706699348,0.2398893316807457,0.8072527527136648,0.7897701391410372,0.6649531216976694,0.5747603563530574,0.7179950617333781,0.7737502772380673,0.7382560478242463,0.6678775783240981,0.32014623027691963,0.7809289608681474,0.20965802472002895,0.6162722900859676,0.762988225344582,0.8226809736211701,0.5500627319493313,0.46253880669991077,0.7869809462848074,0.5890166534225011,0.08201569375258892,0.43129777668141833
Paracentral_Lobule_R,0.39837203071887206,0.22230252623696747,0.23608384609895913,-0.11094307646966216,0.06943492817874172,0.35873614305974766,1.0,-0.30368781577364584,0.18861499607881616,0.2967583720854684,0.1976011666094212,0.20591842648400072,-0.23656376714457616,0.2918099083484538,0.16427615169516965,0.2631024450119991,0.15121009744898953,0.37772222759984964,0.38746303781560143,0.35495207289146335,0.4815131942825345,-0.3361876339632598,0.2117587395369568,0.3392158126680601,-0.005493280957944381,0.4449045612469235,0.30632810332114213,0.24431010293295466,0.2621713329815028,0.04892048836106874,-0.24348129529389234,0.2439257672286064,0.12941833732290461,-0.16166732332069939,0.18301339770404187,0.3337450287292105,0.087605833842166,-0.03402489999333015,0.4748498228238874,0.4423940077066255,-0.07438114015636106,0.18030176254248292,0.37302717566068455,0.30605965198362167,0.21518483918949957,-0.4685262713806471,0.25798549876163923,0.26151942423798996,0.2174580829167347,0.027420789148939646,0.219453081234925,0.3589115090211823,0.1027390715467097,0.1491669219766087,0.4299237054260348,0.20451017516472283,0.4795186577788103,0.28000266963136305,0.19500258286324273,0.36599520440041794,0.26397440775152514,0.24353684378947693,0.1626673283885303,0.030072932379508796,0.34266104842397743,-0.03787269904827894,0.4534552816519993,0.11083796409121033,0.2636500674595492,0.0013465242956576537,0.03860088363505186,0.3534791181740271,0.3073478336564417,0.1558499129589883,0.47428275741861103
Cerebellum_Crus1_R,-0.0020410945176229877,0.13414021955793706,0.4468645988517074,0.8245215216903641,0.2434757703628207,0.06696182508927395,-0.30368781577364584,1.0,0.244617809629128,0.06128184866085183,0.30310223866743813,0.17505281326262134,0.9239543938823677,0.12628923364619613,0.031018099466954815,0.1047229578540569,-0.08728556810832534,-0.28775726025297166,0.1682805250741793,-0.3190702771232717,-0.23433043622721408,0.5497006165739795,-0.09571809168808854,0.20478391391904424,0.7417377805116564,-0.09494097420650341,0.26991150852810813,0.1605148309184639,0.09524242035415005,0.43438454680146593,0.20814187133184736,-0.21969218922481595,0.2322534187559719,0.6678802690798802,0.4258137923545734,-0.07203191249769683,0.1843264038103165,0.5913183098897993,-0.008622207208024903,-0.05553091423742937,0.792346108852051,0.18779171671331582,-0.014104997232112577,0.3229887389035117,0.07404817107616145,0.4310086179722675,-0.06731482498910411,0.09611233659577369,0.526413629400003,0.7293435395799006,0.18347317301725782,-0.0940770819233615,-0.08572221987031413,0.25198725937078353,-0.5189106224445797,0.23683898280097715,-0.033447400455921615,0.16851529186738975,0.24936168389174937,-0.07022434042085768,0.18185578794450633,0.3767284170270151,0.26075453375958335,0.6738822310929505,0.08419804465627569,0.7117775295479605,-0.04909223319012074,0.20877911933719998,0.2921684279158942,0.12452539207769601,0.053698900244439275,-0.07977294619075827,0.14873326729089362,0.2754845145397645,-0.540187334343233
Thal_MDm_L,0.6276122747161501,0.9580849834834922,0.6943330499850793,0.18914436902385032,0.9066983033072675,0.6359965496427452,0.18861499607881616,0.244617809629128,1.0,0.6258507333745894,0.7498972047078446,0.7728207259787093,0.42710523943409623,0.9067053330496898,0.708132775714611,0.5811970492264075,0.39930248808836416,0.44960250177070565,0.480516820130559,0.38490104186625185,0.49813172060868444,-0.11482462585381648,0.4026796317399558,0.5626335346952699,0.15877803283596342,0.7507744891398905,0.6861166607249252,0.8813263582491575,0.3681371785514544,0.6526419367652737,0.17297282271826672,0.09535270018144652,0.1316464389864669,0.25351242525235657,0.4853041811348781,0.6655572140359214,0.30191501732193593,0.32212987759667844,0.5995927502026495,0.5593310013518958,0.38470097475028037,0.8764296452250819,0.8336942465449265,0.790669649391986,0.4709512883451383,-0.027730792072909304,0.11261624913358802,0.3098268612386522,0.6760314115696336,0.6247189236124226,0.9428385158448866,0.6392585056353591,0.3740714461283646,0.5582716268809861,0.3849594072083379,0.7753911166551398,0.6107686731283267,0.7033541474856781,0.5531511021192759,0.78139593907983,0.733875965866199,0.848303809927048,0.9534695134851494,0.22613280818364362,0.7889330562594409,0.20198887608916258,0.5313604271733247,0.9135137586328147,0.8009834314545501,0.4701087455507435,0.2851857389050603,0.4786468073539553,0.33748050084616743,0.3121711573635249,0.3482569131146836
ACC_sup_L,0.5006555075440615,0.6997501276182,0.6106562671834622,0.26129526926757707,0.4871612225847442,0.8245016788566001,0.2967583720854684,0.06128184866085183,0.6258507333745894,1.0,0.673828277206336,0.8623457846085107,0.28913326113972043,0.8136256547876021,0.8146816058996682,0.7773722831958225,0.6402895931485009,0.19223245884075332,0.682329391890372,0.8325065942436236,0.6087462403962224,-0.24663226496401092,0.8681958917846956,0.8897075682745568,0.29900130155740573,0.853971926077006,0.7737596682617077,0.801656808962269,0.493840052507786,0.642650735987268,0.2214616867102003,0.4790969339967267,0.4108901537352529,0.08274232558476213,0.05222003302616758,0.9269622401127228,0.50091097684616,0.4088791352342393,0.5803711092992514,0.8528029958831482,0.020405458406299298,0.8285332146775128,0.47636304995188095,0.8110908075566523,0.7792975550970533,0.11518240718021797,0.4984735663740279,0.48025229428376964,0.531688821654291,0.5557357340747074,0.7525083190463234,0.8371467464822112,0.4936920568065326,0.8063229989730765,0.19582455046549152,0.8468207771623302,0.7720821197299855,0.7681793214399626,0.676194386010603,0.7455534015410772,0.7700970260647161,0.7330259119958219,0.645669674359199,0.3296249011896693,0.8717161904802979,0.1653609208514391,0.6080824516812604,0.7856991281370573,0.8522399929175191,0.5448230363456846,0.5849496427995637,0.8243835687617306,0.659449873117491,0.13699786114308599,0.4423888528516914
