,LC_L,Thal_MGN_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Thal_AV_R
LC_L,1.0,-0.1369818681588133,0.39065480349767245,-0.17673387358452722,0.02687356242712922,-0.27326753791229696,-0.07708764639002744,-0.047648962380793865,0.056981032965355706,-0.23881643523251117
Thal_MGN_R,-0.1369818681588133,1.0,0.0043300920818901195,0.4347342242294645,0.21999424901592587,0.496816353479734,0.014911214834046687,0.12865504482968756,0.2133299966693598,0.4725023311502321
OFCpost_R,0.39065480349767245,0.0043300920818901195,1.0,-0.2490412959668214,-0.020451073744689782,-0.10828820315319562,-0.11017694511750317,-0.09052087321173424,0.021174383534622733,-0.2605331203715495
Temporal_Sup_R,-0.17673387358452722,0.4347342242294645,-0.2490412959668214,1.0,0.16183977213909329,0.8114873289556308,0.17068214831957412,0.027480237015037413,-0.16645846483481924,0.6289884268510407
OFClat_L,0.02687356242712922,0.21999424901592587,-0.020451073744689782,0.16183977213909329,1.0,0.10605731479060836,0.08770697362672278,-0.1711091854150815,0.24937685386165037,0.2943477082778576
Heschl_R,-0.27326753791229696,0.496816353479734,-0.10828820315319562,0.8114873289556308,0.10605731479060836,1.0,-0.18888025573368233,-0.0025801929506100237,-0.21351894065967425,0.5569749833840464
Cuneus_L,-0.07708764639002744,0.014911214834046687,-0.11017694511750317,0.17068214831957412,0.08770697362672278,-0.18888025573368233,1.0,0.22878489346845907,0.09836772839838741,0.013430605893377395
Occipital_Inf_R,-0.047648962380793865,0.12865504482968756,-0.09052087321173424,0.027480237015037413,-0.1711091854150815,-0.0025801929506100237,0.22878489346845907,1.0,0.03618057174752126,0.019490965382223044
Temporal_Inf_R,0.056981032965355706,0.2133299966693598,0.021174383534622733,-0.16645846483481924,0.24937685386165037,-0.21351894065967425,0.09836772839838741,0.03618057174752126,1.0,0.05097346917361686
Thal_AV_R,-0.23881643523251117,0.4725023311502321,-0.2605331203715495,0.6289884268510407,0.2943477082778576,0.5569749833840464,0.013430605893377395,0.019490965382223044,0.05097346917361686,1.0
