,OFClat_L,Cingulate_Mid_L,OFCant_L,Rectus_R,ACC_pre_R,Cerebellum_4_5_R,Angular_R,Rolandic_Oper_R,Occipital_Mid_L,Frontal_Inf_Tri_L,Cerebellum_9_R,Lingual_L,ACC_sup_R,Frontal_Inf_Tri_R,Rectus_L,OFCpost_R,Frontal_Sup_Medial_R,Parietal_Sup_L,Cingulate_Post_L,ACC_sup_L,Occipital_Mid_R,Putamen_L,Rolandic_Oper_L,Frontal_Mid_2_L,Thal_PuM_R
OFClat_L,1.0,0.18805908852411854,-0.0761783115033824,0.30168512568134775,0.14877160505097575,0.16145643767542026,-0.00040644559256884595,0.1673306671516692,0.019037468924856655,0.02959591288538838,-0.20576242096372577,-0.012912491241708292,-0.08504427534018037,0.14241753173067073,0.18342310572068452,-0.020451073744689782,0.2471517824721256,0.12186209586860554,0.16056505356472642,0.20328556801473407,0.03143528259170215,0.11780452413183247,0.11327664341209552,0.09819963951499455,0.17981410221470637
Cingulate_Mid_L,0.18805908852411854,1.0,0.01713239123884223,0.13079423425695422,0.22740100179726458,0.18141272513816492,0.1954587350787726,0.12301377082513315,0.07733850132280275,0.5148225941187765,-0.01413784854579866,0.2830242023723509,0.11971561967568954,0.25661782588230775,0.0731775960311545,0.08337717479376569,0.5896939571661404,0.5294123236128593,0.7207156109855699,0.3156471882041676,-0.02039633880965407,0.4963731426332362,0.46648716917749217,0.6176488715547053,0.3937293514658862
OFCant_L,-0.0761783115033824,0.01713239123884223,1.0,0.07120121270165233,0.009617207895952764,-0.11587351284648431,-0.09303995639886134,-0.09178478684525905,0.013097222784767345,-0.08905382665560593,0.20936028451012684,-0.031008220309266043,0.07588914446489639,-0.06855427593640336,-0.01741639018602298,0.06535545144248833,-0.038878671082032835,-0.0469072030264861,0.032491433133184165,0.035827514702224394,-0.02912231961615823,0.12877842007535562,0.07721536883234725,0.005108887410229933,0.007122732302711871
Rectus_R,0.30168512568134775,0.13079423425695422,0.07120121270165233,1.0,0.2844743336402326,0.25211439407725683,-0.2575105801161552,0.2831616888704158,0.11136410554796398,0.11341600145536518,-0.17016029567307153,-0.2582805282010623,0.04796851611353444,0.1556685646040792,0.008398138266992143,-0.05398688523437681,0.20396764923597405,-0.08499956411765763,0.03423805216016392,0.2620089708089544,0.05787753920302577,0.23248929242415614,0.3075065484578165,-0.08285352894671559,0.31095003583778197
ACC_pre_R,0.14877160505097575,0.22740100179726458,0.009617207895952764,0.2844743336402326,1.0,0.21968969409013214,-0.16918524937079452,0.30156927304439063,-0.01338851733899902,-0.035643742418760976,-0.32121585632060895,-0.2152970860634761,-0.10715520680547366,0.18900538168891665,-0.01921452459655541,-0.07241199449301161,0.36316607404280044,-0.031073617412678903,0.4007985018174279,0.3193980995575743,-0.020531714737370203,0.3149672023858252,0.3120734811802845,0.1020452239427393,0.3539124212844083
Cerebellum_4_5_R,0.16145643767542026,0.18141272513816492,-0.11587351284648431,0.25211439407725683,0.21968969409013214,1.0,-0.25951512950176525,0.8076274689176753,-0.27230353438747706,0.2575574509810092,-0.285745689000871,-0.19341838746089146,0.17650034572063378,0.729952036492271,-0.03605267071253186,-0.3573226844207177,0.5843367670325247,-0.14772312224055575,-0.19957707586985665,0.5911485355841345,0.025124652579683177,0.43519282836387263,0.4404630175153925,0.18547350965207118,0.719573421075722
Angular_R,-0.00040644559256884595,0.1954587350787726,-0.09303995639886134,-0.2575105801161552,-0.16918524937079452,-0.25951512950176525,1.0,-0.6367945767122413,0.30564050293174283,0.06400178630467052,0.12749285994998769,0.673348512959417,-0.4444388368362614,-0.3251365986463261,0.016302148534712763,-0.04342599722846679,-0.17609113526051712,0.7393615820341939,0.42179125028098946,-0.48463716044570504,0.18686505606760334,-0.4290068014352179,-0.4806014922760267,0.13663335916302427,-0.5411695146192008
Rolandic_Oper_R,0.1673306671516692,0.12301377082513315,-0.09178478684525905,0.2831616888704158,0.30156927304439063,0.8076274689176753,-0.6367945767122413,1.0,-0.39752816785742207,0.1810977399561665,-0.26873398146832345,-0.45231539944736265,0.43535656575171827,0.8306722576228456,0.004434920277988311,-0.20417592525256636,0.6461382485311058,-0.41666066400688434,-0.3057495624462305,0.7377282729647647,-0.09379136736980012,0.5982359541383021,0.5592123185243991,0.1914972432127215,0.8510545199472566
Occipital_Mid_L,0.019037468924856655,0.07733850132280275,0.013097222784767345,0.11136410554796398,-0.01338851733899902,-0.27230353438747706,0.30564050293174283,-0.39752816785742207,1.0,0.03644963497836232,0.05106681900920123,0.1051081536372874,-0.18842536039392535,-0.41059091080998006,-0.10404252744677131,0.12084347170681604,-0.15339739638488475,0.4206690989769502,0.28457330618202564,-0.3085278870341843,0.14205269437915036,-0.15947540811490002,-0.06309049043662888,0.01935323417048631,-0.2253427525242382
Frontal_Inf_Tri_L,0.02959591288538838,0.5148225941187765,-0.08905382665560593,0.11341600145536518,-0.035643742418760976,0.2575574509810092,0.06400178630467052,0.1810977399561665,0.03644963497836232,1.0,0.040068909441637296,0.21047732220286136,0.26618833969084826,0.36598059031756713,-0.21901413365067915,-0.16817519456842134,0.5936322563222538,0.21582188380841977,0.13843344872480465,0.48805032800921555,-0.09540318387604373,0.5047453417794094,0.5182099716537657,0.5777020251461114,0.3539845947782034
