,Pallidum_R,Frontal_Med_Orb_L,Vermis_3,Insula_R,Parietal_Sup_R,Vermis_4_5,ACC_sub_R,Temporal_Mid_R,Temporal_Pole_Sup_L,Paracentral_Lobule_L,Cingulate_Mid_L,Occipital_Mid_L,OFCmed_L,Rectus_L,Parietal_Sup_L,Frontal_Sup_Medial_R,Lingual_L,Rolandic_Oper_L,Thal_VL_R,N_Acc_L,OFCmed_R,Temporal_Inf_R,Thal_MGN_L,Vermis_8,Putamen_R,OFClat_L,Thal_PuL_L,Insula_L,Thal_VL_L,Cuneus_R,Vermis_9,Frontal_Med_Orb_R,Cerebellum_6_R,Amygdala_L,Raphe_D,Heschl_R,Vermis_7,Precuneus_R,Thal_PuA_R,Temporal_Mid_L,Frontal_Sup_2_R,Calcarine_R,Calcarine_L,Thal_MGN_R,Thal_PuI_R,Cerebellum_3_R,Pallidum_L,ACC_sub_L,Frontal_Mid_2_L,Thal_PuM_L,Heschl_L,Frontal_Inf_Oper_L,Cerebellum_6_L,Thal_MDl_L,OFCpost_L,Thal_LP_R,Cerebellum_Crus2_R,ACC_pre_L,Thal_MDm_L,Angular_L,Cingulate_Post_L,ParaHippocampal_L,Vermis_10,Rolandic_Oper_R,Hippocampus_L,Cingulate_Post_R,Cerebellum_Crus2_L,Amygdala_R,Angular_R,Supp_Motor_Area_R,Fusiform_L,Olfactory_R,LC_L,OFCpost_R,SN_pr_R
Pallidum_R,1.0,-0.19293722807192829,0.4754766328634051,0.7946668616365513,-0.4659067494389944,-0.17822830801454936,-0.17978762221043448,0.05839482819167379,-0.07148370627958776,0.2737707591772116,0.21347432869106991,-0.344179482775105,0.06974487299336415,0.028694405432189703,-0.3319481885339523,0.5697092194399522,-0.4050717083595547,0.6455793885890796,0.8631833599368589,0.19344643691028618,-0.10350120593247811,-0.055612642963441795,0.1556265069595469,0.21967828134889314,0.9232445519862456,0.15557184889154627,0.5561610938941173,0.5246129817833693,0.45891846082781546,-0.5864704526494713,0.41429646793468894,-0.21477155531087685,-0.3447989384791353,-0.05562537950147623,0.2944866953489114,0.8289759151181506,-0.2037140115643351,-0.32842387421931657,0.7032119920442679,0.09133169493822495,0.6971490817705724,0.06082557478496961,0.13308728588369959,0.5442471680960066,0.7384069877389348,0.622219220717931,0.6815941622642925,-0.07197010779918925,0.2921808582785464,0.33058075272257714,0.019613737561784434,0.46456917059938274,-0.09525760398815597,-0.61119502529362,-0.049038297453688526,0.5801952403164714,0.15203901649669108,-0.4786704562133535,0.14574285591203368,-0.6111666346712802,-0.14251743950373622,0.4969869602246523,0.31549056003319015,0.7544927768838678,0.7149081375441944,0.026408322486638634,0.07420092962480612,-0.18627993732192022,-0.5291000247763981,0.20630619387076132,0.26292620065100275,-0.43526856643901995,-0.12676459885541122,-0.05733137528268976,0.470160446061548
Frontal_Med_Orb_L,-0.19293722807192829,1.0,-0.0785677106715804,-0.22600206751775687,0.15823921785598016,-0.02230294491959885,0.05501513877760312,-0.039091544570758245,0.20813486014323143,-0.017907316252308358,0.04456271828857684,0.15863937009048648,-0.015834686824287056,-0.09382325669765716,0.0959313243020967,-0.10272167372167432,0.11078808886382165,-0.19981288118423793,-0.19124946808786256,-0.1345929395441787,0.09221426010969143,-0.0008096613048387644,-0.008954048742118307,-0.02420555381873646,-0.24135993694448252,-0.0532784785489168,-0.1612171301724396,-0.09158625046897068,-0.006690263045783979,0.11808836586442453,-0.24177562541145758,-0.006962424200016294,0.20580761100279324,0.09683619046641717,-0.09502338552903374,-0.2793049286479417,-0.007660420619128502,0.17178761172871082,-0.11184427099874827,-0.09908329858438862,-0.06001765717808148,-0.07712019618788109,-0.1714117937906106,-0.15743669003402339,-0.18847788511613628,-0.20909996153628999,-0.12466106261912027,0.08176775396784605,0.09023900734772684,-0.008818653592241798,0.14205203895109386,-0.11309974920329106,-0.005977216492328428,0.1975322540203471,-0.16122969607895926,-0.05365045566829273,-0.02547480629433716,0.15279267549759218,0.07418004949075414,0.1861577028173264,0.1025906572093534,-0.11013921650169642,-0.13513596904985675,-0.19777298444867003,-0.1382307516210618,0.16361308004625758,-0.06768958901628909,0.03571025625344618,0.11350231563237538,0.09156224708995281,-0.03838014488198947,0.082924132275098,0.13071853405008124,0.1397018888036544,-0.0993304659278784
Vermis_3,0.4754766328634051,-0.0785677106715804,1.0,0.5815127338063434,-0.16769417378156293,0.20771953459101863,-0.09559354459067196,-0.0027996293474377688,-0.07617635010781008,0.5034965150987836,0.5859110998191794,-0.04836464119360209,0.05154430654900651,0.007404143617593081,0.05351351928432448,0.7079124238902529,-0.197789706049788,0.7354553978768529,0.7329876288253345,-0.07222711451633884,0.07517493804572263,-0.0726857181584366,0.38422155981837997,0.20603487664960046,0.5445552053171026,0.19631481028097014,0.7267765144834735,0.7051808857637957,0.849241918173239,-0.408733406828757,0.3363631498425847,-0.04712572386841707,-0.011919578480723284,0.11789646139851183,0.4866146099162976,0.5631336845093157,0.019515579464432182,0.1195365361777561,0.7158908367834546,0.6348478695464982,0.7356145400795255,0.3546142617050812,0.42310295153562777,0.4530048694434775,0.6072908734189049,0.7346492128089079,0.3787086780119084,-0.16798566079090368,0.41758345756469983,0.7301060253686256,0.49238883581309206,0.5766928543609295,-0.27383690500029917,0.0019550016703790717,0.3414898733089645,0.7235015941495372,0.29063735449102907,-0.13950614671648304,0.5174000821747242,-0.39274897166190054,0.1995743493210602,0.7552947611195846,0.32615037918378026,0.6527742675080755,0.8146799091222178,0.27928380644824036,-0.007040802798617606,0.07913808150700029,-0.3770220996473826,0.5738063961551845,0.763113840055821,0.04767117729359763,-0.2648471653050853,-0.09559536353384587,0.07631216925669829
Insula_R,0.7946668616365513,-0.22600206751775687,0.5815127338063434,1.0,-0.4457483684447709,0.22586452554838082,-0.17551608866052032,0.3172577840237082,-0.031549365380956595,0.2844153850564154,0.28955217862933974,-0.3937079222475057,0.1291570202457447,0.053974032049096864,-0.24221662352672316,0.7607937443917981,-0.20503379280519807,0.5848371466841096,0.8441078386733716,0.0027461407490004548,-0.16933410517911637,-0.09905744252832187,0.09906145013758401,0.10787725624272386,0.8516543804111167,0.17058539386293875,0.6222795404440638,0.5157705759377759,0.5176681054197809,-0.42802953771139346,0.49275743510288095,-0.27024350874821934,-0.30369771272839247,-0.14285896400438788,0.3900915651301144,0.8482100557959295,-0.1479571351351964,-0.1876274106560354,0.7842668452902481,0.2202054577860937,0.7640429745860937,0.457492421041817,0.4916742684101164,0.5679427381300289,0.7084173761384842,0.8019374305390181,0.46993686952047703,-0.07007116926570073,0.3907607261543923,0.2825515053141758,-0.027946271816679358,0.44656170562566727,-0.0016025101899271267,-0.36346405370497836,-0.012450430545078621,0.6372300197801531,0.16127437930935862,-0.5107074935539273,0.24252079065507215,-0.49838195158595305,-0.14570585035969555,0.547075639244764,0.5265393828855125,0.8771280385564094,0.6265028610285908,0.12438124461665104,0.15566962047081534,-0.08770739208797776,-0.3681715244312848,0.21751625380324202,0.4052973282849759,-0.31016579728306204,-0.21342953025878122,-0.2126652728694848,0.5013718498116793
Parietal_Sup_R,-0.4659067494389944,0.15823921785598016,-0.16769417378156293,-0.4457483684447709,1.0,0.28771674663158303,0.19059589451788542,0.2927285135193311,0.09490373581137818,0.27459224778909413,0.4101244474688265,0.44408573094482723,0.11770840460381533,0.1359721084298235,0.8986691254616709,-0.09315356140770803,0.5674625928658238,-0.22659063387269404,-0.43899977602269324,0.03155593581489573,0.19928839962839257,0.23569748931036222,0.24774534906946255,-0.008573633120952454,-0.510860482217987,0.07293579588660792,-0.12023735475734139,0.044592239089500406,-0.026327194256203026,0.7371828791295013,-0.5724025257673653,0.3308698965176865,0.4339260734678121,0.08878531688788084,-0.00356611016899106,-0.6131873154032232,0.28900719752756443,0.885822520079155,-0.42558920301561665,-0.14355297063195968,-0.5005848888840135,-0.0223779698434675,-0.16969903004861986,-0.18943798942571774,-0.2558808207369516,-0.46197018115147603,-0.04940184179472548,-0.11669768437692109,0.2896006298921693,0.07289375022334751,0.3315322353443394,-0.08712253719369686,0.23446936244174107,0.5723109735131379,-0.004536358601175811,-0.21710886618472666,-0.13635103993733336,0.47213016870636876,0.4342115598875105,0.7123522530902113,0.6543394056439042,-0.11125157630037906,-0.4578170500331765,-0.6451957292212648,-0.19042714595531268,0.5901179455134116,0.0469705181061855,0.16187942306722283,0.7984140832630683,0.4131450602421764,-0.13263568485698787,0.21510753958509518,0.202183578806607,0.1559207615498149,0.0031849934298000377
Vermis_4_5,-0.17822830801454936,-0.02230294491959885,0.20771953459101863,0.22586452554838082,0.28771674663158303,1.0,0.07503089763893338,0.6043341495350356,-0.0029894910556486046,0.23752623692763178,0.32432277910841845,0.002121238551331194,0.051641430888541534,0.1512528965609845,0.36699976939397994,0.2965040671587587,0.7017899060907404,-0.03802224019107756,0.04649979269208363,-0.1381170814823713,-0.08360216567026316,0.041936335210705375,0.24251497696090282,0.016764151205921066,-0.051428579241186746,0.02277488647797223,0.18502766805067192,0.07586316501998992,0.22557466390351308,0.43062572346631006,-0.07295843790434647,0.17067321913275652,0.42397016383973934,-0.14521111981641288,0.2168620769870968,-0.039835656494523954,0.26266584239276236,0.44159241739152594,0.07413991988168644,0.13780943399194723,0.02756554164584282,0.6265377306606559,0.6334814843431493,0.1428410895771689,0.05834974442742247,0.12359469829602349,-0.17068824517833756,-0.14833001522397793,0.3142145194773453,0.07295334745862209,0.0814420658956421,0.03002780991645766,0.4614087615950922,0.49902347014973053,0.0434989721937935,0.131469636704454,-0.11283716729211082,0.004477263262949558,0.4066403713172456,0.2646367023742953,0.2171051746332708,0.15530682403683735,0.07630287012897832,0.03296398484099607,-0.05561668163985447,0.3711656634290584,0.07077318520410633,0.13533864034223483,0.44456461548762544,0.30994234241920154,0.2005433859812877,0.14324217420778093,0.09936552772009352,-0.05589667679648822,0.19052062801451494
ACC_sub_R,-0.17978762221043448,0.05501513877760312,-0.09559354459067196,-0.17551608866052032,0.19059589451788542,0.07503089763893338,1.0,-0.03627599327129574,0.022396834266762495,-0.016423734048192924,0.04230950646745211,0.11112600086642835,0.2052938298100995,-0.009688509103661326,0.20508869555646905,-0.08354153436008681,0.10073998925162511,-0.10969770900267539,-0.202789966185087,-0.07268254217624104,0.060435743094940375,-0.13026317456468012,0.025844849226662706,0.040085484777094164,-0.18353951646717812,0.023873066351496657,-0.19196364678192784,-0.15248273956584862,-0.05513656161089781,0.13139032874252882,-0.13996328235512018,0.18416060578505236,0.2000566624632081,-0.0795090559352109,-0.017224542226220482,-0.20394838211433886,0.10730583138921622,0.11467027681947241,-0.15300274771825328,-0.037426356202893585,-0.12852968237307352,0.051169754113238736,-0.004319772371168447,-0.10185177042902532,-0.13070378807137237,-0.14940366215696443,-0.1790936923235107,0.19153304424511297,-0.0071435336288617835,-0.06903032140851487,0.007700554544834843,-0.052176519977300315,0.06382251706663715,0.13122976947404932,0.10604825546526966,-0.10959344160996355,0.052939479292063385,0.11656735821706352,-0.05495458284798159,0.16095418000758568,0.13533828562801076,-0.0199110164627172,-0.021030477938853934,-0.1199328572328957,-0.1455448463877904,0.022423758908812614,0.10346099097284094,0.10288856559943874,0.15636199600925693,0.049975913038243676,-0.052789563575936234,0.1526223873041692,0.03981355601028907,0.013554272244354921,-0.012043158226825192
Temporal_Mid_R,0.05839482819167379,-0.039091544570758245,-0.0027996293474377688,0.3172577840237082,0.2927285135193311,0.6043341495350356,-0.03627599327129574,1.0,0.04517904550311101,0.05506690643723017,0.21056080604679273,-0.07340392799708972,0.07682304123832528,0.1448073197634309,0.3362693400461772,0.2466295835067803,0.4914871893324011,-0.11874656965063524,0.06349910612583505,0.03387612389457591,-0.19278216859170158,0.12138761109778545,0.08644804291855149,0.055954425198257204,0.09772839894798713,-0.0335230588110786,0.15110558231377683,0.031173542021285933,0.02026652557714739,0.5191674033449472,-0.06413158011710948,0.13623460816949018,0.09272822865054813,-0.2569034410231477,0.11572956509935288,0.09013500324804104,0.09903452190570433,0.41831504173257045,0.02062794575535229,-0.11822608712544544,-0.051745918167819926,0.4340814812337613,0.3956890885834276,0.1085291675824402,0.11167831226637857,0.08804709763502723,0.019744611944871,-0.16715664233975133,0.2801375134374022,-0.09335498566547346,-0.053466183271058676,-0.10908094916691528,0.3944699696649537,0.20393392163234186,-0.26394315397624396,0.023229737842339237,-0.06382911127212146,-0.09199796727338382,0.24822744358730242,0.3328854057498402,0.11461513964582416,-0.003787036153253743,0.15618766139322948,0.04496040348705722,-0.07700002973205222,0.3620008943521108,0.122488918037183,-0.01843703618681977,0.545457473127643,0.20158904280216386,-0.03826021569256331,-0.11500220912225252,0.11067712911703616,-0.1224945827261406,0.3896910262133817
Temporal_Pole_Sup_L,-0.07148370627958776,0.20813486014323143,-0.07617635010781008,-0.031549365380956595,0.09490373581137818,-0.0029894910556486046,0.022396834266762495,0.04517904550311101,1.0,-0.042062756290051184,0.09410160323550876,0.0747376304874969,0.13944225151777198,-0.020951628711233156,0.1356056868166246,-0.05055569707734379,-0.04909913583369253,-0.038019002418605716,-0.13548225945586706,-0.05940712344456586,0.03420883324746676,-0.07543506032668788,-0.23190315156432334,-0.14418231153267208,-0.15670428158454142,-0.01625981717128958,-0.04122562499732193,-0.12336158070277019,0.060182032551453206,0.04471808336044912,-0.03255071681390354,0.05377346711390312,-0.002457866260959832,-0.0006532100601676984,-0.1622006541116606,-0.08311196265445524,-0.10058335138061764,0.13881744746827007,-0.031974482616190625,0.22150120512642693,-0.03514096571496514,0.3445636866202317,-0.15830516255565974,-0.04017430816446587,-0.07953365154656085,-0.025707129329449935,-0.027349357201989333,0.010305587191777136,-0.13372511663890427,-0.04312228933872781,0.07075016090931358,0.05994452562620015,-0.05535418668789248,0.11923597820403646,-0.192507847075452,-0.017429261826486825,0.0034399548248416094,0.1588413272751887,-0.04339533510958998,0.1403791935298831,0.3037267082175749,0.030881466597750862,0.046778779838877335,-0.04871190228340894,-0.04558172684879881,0.18380159069010504,0.006309430778793762,0.38923536722619884,0.1299307934667224,-0.009437025880017538,0.10282027569053571,-0.27615160399757077,-0.18513919454718114,0.11013592561764678,-0.037239169992836975
Paracentral_Lobule_L,0.2737707591772116,-0.017907316252308358,0.5034965150987836,0.2844153850564154,0.27459224778909413,0.23752623692763178,-0.016423734048192924,0.05506690643723017,-0.042062756290051184,1.0,0.7744310090868658,0.15155019041713666,0.17210123580074632,0.09475986768061752,0.32183475899974107,0.6104233992526656,0.2227104045721018,0.47362066024396104,0.45377200465179446,-0.036713295500829864,0.20631758214951063,0.2604107045956738,0.5044264684231216,0.09491276304716334,0.26340929819451675,0.18304665652189483,0.5132771028466551,0.6039952699874712,0.6258850084969084,-0.018747865767143646,-0.040378741333879205,0.16666129654163656,0.21385564325164713,0.08774181027997428,0.4961409446636192,0.14718552476927402,0.0623902223071169,0.4678796197252681,0.37808640744059646,0.20660681760519808,0.4416646761108907,0.11003776172718646,0.10573550630647226,0.4219241723843878,0.46613950083398425,0.22929451913643273,0.3691867481404203,-0.04742911825533319,0.6617942999941683,0.6276884787338876,0.49503087549269875,0.5032224622381907,0.15510243438113128,0.19975618618977917,0.17308635300397643,0.5099789713958666,-0.032028244822350976,0.11659626603276553,0.672778950145978,-0.03969315981984362,0.5451404319244911,0.49965530864564556,-0.13647542000567225,0.1773762242597823,0.5250280368645924,0.6621737484891382,0.020897034398828375,0.10081501462708506,0.033777564105606034,0.7434051590037137,0.2983208898164933,0.08133209012662071,-0.04960595064887931,0.05276446893369215,0.33772792155246784
