,Angular_R,Frontal_Inf_Oper_R,Occipital_Mid_R,Heschl_R,OFCmed_L,VTA_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Temporal_Sup_L,Pallidum_L,Precuneus_L,SupraMarginal_R,Lingual_R,Frontal_Inf_Oper_L,SN_pc_L,Paracentral_Lobule_L,Putamen_R,Thal_AV_R,Cingulate_Mid_R,Thal_AV_L,Temporal_Mid_R,Temporal_Pole_Sup_L,Thal_VL_R,Thal_PuL_R,Thal_MDm_L,Frontal_Inf_Orb_2_R,Frontal_Inf_Tri_R,Postcentral_R,ParaHippocampal_R,Olfactory_L
Angular_R,1.0,-0.20431522234070829,0.18686505606760334,-0.6104237020943244,0.0015730659810929146,-0.34880704804350515,-0.29411832826370893,-0.17609113526051712,-0.23670652284379698,-0.23233176131505517,0.761929844847249,0.04086520826613847,0.20713460583106816,-0.3271883095713252,-0.17102431256310277,0.033777564105606034,-0.5342651351341153,-0.29506244687079336,-0.024539334689574824,-0.303389811024947,0.545457473127643,0.1299307934667224,-0.5215672045414647,0.02137904428920703,0.2729856425722549,-0.4292578015320834,-0.3251365986463261,-0.17257510217941252,-0.1205732984399121,0.14950589441227988
Frontal_Inf_Oper_R,-0.20431522234070829,1.0,0.01952962549994884,0.7148855608265325,0.1508427529682775,0.5601144466099406,0.7567053474559087,0.7485941011276953,0.2724198028742255,0.34882084839978494,0.012142911897527042,0.7613658887974689,0.4026677414183903,0.41053328780816556,0.46266729749131796,0.3536535488702132,0.7091784341908277,0.613124623883892,0.5882148902395652,0.4051464315318255,0.3989619418274776,0.06724007572677483,0.7352368547923899,0.388681224293387,0.35818868226742145,0.47786080414433757,0.8297924534218807,0.6942793551343703,0.5799450511582589,-0.07640155923040415
Occipital_Mid_R,0.18686505606760334,0.01952962549994884,1.0,-0.0644890587100754,-0.13348216734407686,-0.1845114343761506,-0.10188939478486628,0.010278830285151483,0.07242987071422206,-0.14713378279951536,0.16392876091466543,0.05581363245232274,0.12534502953850923,-0.04215106045786255,0.1389515175960816,-0.10832316268660448,-0.1268152359738191,-0.08993686397203045,-0.046720546471009164,-0.1448625756692386,0.023371368934900744,0.13410052885761692,-0.1367157747009971,-0.054746237749328186,0.04599495945474611,-0.0019506432246266798,-0.13139901444724503,-0.01145416680177845,-0.15443091221190633,-0.05402519182555303
Heschl_R,-0.6104237020943244,0.7148855608265325,-0.0644890587100754,1.0,0.05812371352559927,0.7086802037186495,0.6101010073355665,0.5264659189850042,0.24878612556332266,0.3951346823740112,-0.38617957713526174,0.5504176989352437,0.046669999849105,0.36034109108527385,0.4465513890114843,0.14718552476927402,0.8692421981803479,0.5569749833840464,0.33188045952393924,0.543109371543357,0.09013500324804104,-0.08311196265445524,0.8112217672775807,0.21178542782477153,0.062972644583732,0.5561892933842917,0.8073109285869757,0.48869672690148724,0.6203451479861679,-0.15321635970756867
OFCmed_L,0.0015730659810929146,0.1508427529682775,-0.13348216734407686,0.05812371352559927,1.0,0.14458295150269088,0.1266005246372176,0.13425186486000917,-0.05031546524694947,-0.07370670988207544,0.16351796605522692,0.2377288063413665,0.15867712245143775,-0.06274683311870348,0.05384350074042873,0.17210123580074632,0.027024446880926117,0.14333346371088715,0.18981360810077136,0.09556725365980866,0.07682304123832528,0.13944225151777198,0.04596187345217871,0.1009356638378272,0.15257073812913755,-0.12600770088575242,0.10100141372513208,0.2728270225239894,0.04785683018229907,0.1998124324033484
VTA_R,-0.34880704804350515,0.5601144466099406,-0.1845114343761506,0.7086802037186495,0.14458295150269088,1.0,0.5729781150547032,0.5528605944839685,0.0790710190062224,0.49883701084702564,-0.20901143835068026,0.6672627741292383,0.0062025456994382255,0.35536334708204304,0.4396330124498237,0.20108959627939915,0.7789877894539977,0.7475931537909923,0.3304661253308088,0.3744933390797858,0.17224095957370364,-0.12315909913448819,0.7775891596167411,0.06696618036180799,0.15237794371927735,0.5685236997045738,0.799188918334366,0.45780395905061305,0.6553011088772052,-0.13043122041238364
Frontal_Sup_Medial_L,-0.29411832826370893,0.7567053474559087,-0.10188939478486628,0.6101010073355665,0.1266005246372176,0.5729781150547032,1.0,0.9044731682022955,0.4153377066857596,0.5270802638492752,0.07387151475341903,0.5852828251974418,0.29376004918068155,0.7062076791245863,0.5080929119015904,0.6234308775763152,0.7455121982344634,0.6910867074057953,0.7275495494037691,0.517166756122603,0.18251204127915938,-0.050298500714824966,0.805693815022021,0.4653127223298804,0.4823849197280015,0.45145518334185614,0.785891342670073,0.7914944757728517,0.5944969689953062,-0.14288031899925224
Frontal_Sup_Medial_R,-0.17609113526051712,0.7485941011276953,0.010278830285151483,0.5264659189850042,0.13425186486000917,0.5528605944839685,0.9044731682022955,1.0,0.3482270347835767,0.48065316489869847,0.17945135427437037,0.6927337450309246,0.367090004714026,0.6080881827197402,0.5570066588882292,0.6104233992526656,0.6290567160545125,0.7252867132680328,0.7243430345259512,0.3683073999021393,0.2466295835067803,-0.05055569707734379,0.7328218148701663,0.35239466996109353,0.5244311717418916,0.44995391294935155,0.7561512828081403,0.8206949614119189,0.5371314168737003,-0.14908224063555237
Temporal_Sup_L,-0.23670652284379698,0.2724198028742255,0.07242987071422206,0.24878612556332266,-0.05031546524694947,0.0790710190062224,0.4153377066857596,0.3482270347835767,1.0,0.3069581727210224,0.26195213993140004,0.16319405126938305,0.22419418003070582,0.6727752293526642,0.34606455574856476,0.38142144068893746,0.2245993405014321,0.3557560984691871,0.586967436941439,0.16488033052006562,-0.14031631454873406,0.23762300991716126,0.3797146638073845,0.23685055544061845,0.26864342649155704,0.21065590753704408,0.08136447464487011,0.42895242783782067,0.20437650822553985,-0.01813023706100486
Pallidum_L,-0.23233176131505517,0.34882084839978494,-0.14713378279951536,0.3951346823740112,-0.07370670988207544,0.49883701084702564,0.5270802638492752,0.48065316489869847,0.3069581727210224,1.0,-0.007835393682467214,0.27678079040007986,-0.10144802418773685,0.5703147630107653,0.14638514020055965,0.3691867481404203,0.5928840610819697,0.5465535659404587,0.4885910340555857,0.48074991306155307,0.019744611944871,-0.027349357201989333,0.6268659440364688,0.3066532169183616,0.24372387304517318,0.3919890687120739,0.4569026952319949,0.42056537562149454,0.3964743504329437,0.0778315674005788
