,Cuneus_L,Olfactory_R,Pallidum_R,Cingulate_Mid_L,Red_N_R,Thal_LP_R,ACC_pre_L,Temporal_Pole_Mid_L,OFCpost_L,Thal_MDl_R,Cerebellum_Crus2_R,VTA_L,Frontal_Inf_Tri_L,Cerebellum_6_R,Cingulate_Post_R,Caudate_R,Postcentral_L,Occipital_Inf_R,Cerebellum_9_L,SN_pc_L,ACC_sup_L,Thal_MGN_R,Precentral_R,Cerebellum_8_R,Lingual_R,Thal_PuM_L,Calcarine_L,Frontal_Inf_Oper_R,Frontal_Sup_2_R,Occipital_Inf_L,SN_pr_L,Cerebellum_4_5_R,Olfactory_L,Thal_IL_L,Precentral_L,Thal_LP_L,OFClat_L,Thal_VPL_L,Frontal_Sup_2_L,Fusiform_L,Supp_Motor_Area_L,Temporal_Inf_L,Cerebellum_8_L,Insula_L,Hippocampus_R,Cerebellum_6_L,Frontal_Inf_Orb_2_L,Cerebellum_4_5_L,Rectus_R,Precuneus_R,Vermis_10,Frontal_Inf_Orb_2_R,Postcentral_R,Temporal_Pole_Mid_R,Thal_VA_L,Hippocampus_L,ParaHippocampal_R,Parietal_Sup_L,Cuneus_R,Frontal_Inf_Oper_L,Thal_VL_L,Amygdala_R,Vermis_1_2,Parietal_Inf_R,Occipital_Sup_R,Cerebellum_Crus1_L,OFCmed_L,Thal_VPL_R,Thal_PuM_R,Thal_AV_L,Vermis_7,OFCpost_R,Temporal_Pole_Sup_L,Occipital_Sup_L,Cerebellum_9_R,Temporal_Sup_R,Thal_PuI_L,Heschl_R,Thal_PuL_L,Temporal_Pole_Sup_R,ACC_sup_R,Pallidum_L,ACC_sub_R,Raphe_M,Thal_MDm_L,Paracentral_Lobule_R,Insula_R,Thal_PuA_R,Thal_MGN_L,Temporal_Inf_R
Cuneus_L,1.0,0.09613232900095828,-0.24243504475540228,0.24763246872753913,0.11815182687179601,-0.005589210744412871,0.24345204441231033,0.1413066434002798,0.08104367050282658,-0.11950027448141629,0.0005896756230725828,0.4211653254871092,0.06285075154769526,0.182029373522187,0.43993147362307145,-0.21369389307249329,0.25967203804974365,0.22878489346845907,0.006298767687228228,0.26771467141696487,-0.06241777630028587,0.014911214834046687,0.18817474445857876,-0.14589302050457162,0.5127846090056639,-0.016695429233786713,0.26688334383341766,0.17625576523929654,-0.11268558081115602,0.1363762930715536,0.323488613759324,0.27596226162190146,-0.01411083051421862,0.11698729744008633,0.20853758748291643,0.1509270380162211,0.08770697362672278,0.15219420550421014,0.17746710490399725,0.17972490230152707,0.2556292279240424,-0.09521720410460312,0.06997449196122964,-0.09467093035784124,-0.07473144113532557,0.2808746222555116,-0.0801489128686745,0.3355815602432789,-0.00764349479509525,0.5425740134428072,0.15678550748908968,-0.12351524179922677,0.22586535840096028,0.22534637407821007,-0.13217881759727168,-0.14661332896686982,-0.02773270385113983,0.4877275663919889,0.49266784439293604,-0.12124144238692358,0.1667042771281824,0.293568367840641,0.01657296265831164,0.5797468346238764,0.26730843099627777,0.3337723117339053,0.15624496097641744,0.03143167217247403,-0.03588907355035101,-0.03357484557512482,0.05756744741361355,-0.11017694511750317,0.3505784360246036,0.4258711919113476,-0.04558832765838865,0.17068214831957412,-0.17525449377951582,-0.18888025573368233,0.07380969987851416,0.4034617263010415,-0.33507566961307544,-0.16091523899018967,0.09387214196721824,-0.0006285736608748543,0.3109475821477976,0.23802684329254278,0.06267698164050002,-0.003191378590926845,-0.04971801190715317,0.09836772839838741
Olfactory_R,0.09613232900095828,1.0,-0.43526856643901995,0.05874735971889907,-0.01466259379691665,-0.13369015995309325,0.32923808976132724,-0.056809082162346376,0.3793415227053717,-0.18267143331217686,-0.0920954565883035,0.035007333785594986,0.02336722443272099,0.34487759168167803,0.04774671863659208,-6.623048649364471e-05,-0.047158520426127816,0.06126821412255851,-0.002673167829799841,0.11234936638581443,-0.1819335811128036,-0.21921808175059096,-0.17755329496330544,-0.2010825529437001,0.0407226603884965,0.0950665030317542,0.048974065035327696,-0.26494180204746487,-0.12709883944707356,0.11503536961281213,0.36264488776704545,-0.09811032501269847,-0.19122880274084733,0.20332136363116626,-0.016946585620465467,0.1177573765093661,0.09743975272527136,-0.0762524200875611,-0.030641319665832587,0.03497783115836272,0.1590752099712689,0.12376693946600459,0.0007673873308790116,-0.03841331043870811,-0.33917501394935506,0.09671569435012758,0.17850217329441423,-0.15683625340120588,-0.005421712634397042,0.19519435432416668,-0.09649197213264864,-0.24765831724692522,-0.06880990900839475,0.2444433061147093,-0.3312798730826822,-0.16610131643666093,-0.20275223349068547,0.18099061841460665,0.17906308237512766,-0.10391455525704912,0.070704867203254,0.013190192484630452,-0.20249008165691101,0.1628408651821782,0.09487617769973619,0.19589139695909757,-0.10891080558654728,-0.18221751537816666,-0.23473879472245907,-0.3907534090279461,0.0020689519106620704,-0.08299267090925497,-0.27615160399757077,0.3043306116210684,0.05551709869841601,-0.3262537234516504,-0.161018941987232,-0.3627833655156458,-0.15822489448802365,0.23696840651837878,-0.47447808345533554,-0.3392995157669525,0.1526223873041692,-0.18218798032571387,0.24230219537227832,-0.03405081408023062,-0.31016579728306204,-0.14488863088856754,0.06121240419715813,0.1791961198836286
Pallidum_R,-0.24243504475540228,-0.43526856643901995,1.0,0.21347432869106991,0.5772081561458872,0.5801952403164714,-0.4786704562133535,-0.16509724513636714,-0.049038297453688526,0.8168651160194784,0.15203901649669108,0.29191622795908,0.27387044154140117,-0.3447989384791353,0.026408322486638634,0.6424159019891452,0.40891216573464984,-0.03972048777341921,0.09248835635039268,0.3208096953465152,0.6865663812129743,0.5442471680960066,0.5496989961762911,0.48763683930388674,-0.07749272706677422,0.33058075272257714,0.13308728588369959,0.6454715286185336,0.6971490817705724,-0.024412123762755176,-0.02031565607189175,0.48265961807998564,-0.09242244162274899,0.016320904633242976,0.24758075136206276,0.34430129345022914,0.15557184889154627,0.6188654306539697,0.47211678821578584,0.26292620065100275,0.3091239764962008,0.1349220760615184,0.14434489055268238,0.5246129817833693,0.8245856764698005,-0.09525760398815597,0.19876519431437453,0.5452697404657314,0.26047563709361843,-0.32842387421931657,0.31549056003319015,0.5355441202145355,0.5057582704540432,-0.2848615365010987,0.7299668408353044,0.7149081375441944,0.6716036490841879,-0.3319481885339523,-0.5864704526494713,0.46456917059938274,0.45891846082781546,-0.18627993732192022,0.6576103571976877,-0.2977964054065626,-0.585231276053948,-0.4779679345863631,0.06974487299336415,0.7952586747655342,0.7869853464762826,0.5905435632661354,-0.2037140115643351,-0.05733137528268976,-0.07148370627958776,-0.5313392746009483,-0.25882562268343223,0.706032665731232,0.5667041201519216,0.8289759151181506,0.5561610938941173,-0.14004449873452107,0.5470361450225211,0.6815941622642925,-0.17978762221043448,0.5136830341936099,0.14574285591203368,0.39860983740733735,0.7946668616365513,0.7032119920442679,0.1556265069595469,-0.055612642963441795
Cingulate_Mid_L,0.24763246872753913,0.05874735971889907,0.21347432869106991,1.0,0.4482303302341359,0.5280451298284644,0.1368948988358609,-0.25564512098867365,0.10078757251733245,0.31467872706473565,-0.03203532191199568,0.3430372415431509,0.5148225941187765,0.1643519827597014,0.7934555994747953,0.29195208984283044,0.7964035850567198,0.008847730133825928,0.03162005934187996,0.37828211930278904,0.3156471882041676,0.38132540038886314,0.6199289762982043,0.1812096786099713,0.3552728123635667,0.6349057262171965,0.20061356575483644,0.3865956701030752,0.37906403100108627,0.17002923696527433,0.430049013170101,0.18141272513816492,-0.06465435250842635,0.4842151949210972,0.8214401409643461,0.4565444241355244,0.18805908852411854,0.5940864993794008,0.7977428528761016,0.33058670714483457,0.8340518375727076,0.268796603636403,0.11334838286497126,0.6473333836882051,0.36261436616393966,0.12091031729840973,0.37041459925953313,0.4090440275543519,0.13079423425695422,0.630240341911789,-0.10775682507582941,0.043237005368823335,0.698198768392008,0.1070667353417222,0.4426558368064364,0.525973885473923,0.3920104640398179,0.5294123236128593,0.1097279615728208,0.48061586738783524,0.6358401396699458,0.1665374044620431,0.18817433775763107,0.486152334828445,0.04710310962566958,0.05271510941699668,0.15409110269075946,0.41156631178741593,0.3937293514658862,0.2734527972669333,0.07020915615283628,0.08337717479376569,0.09410160323550876,0.0651332936313323,-0.01413784854579866,0.1850969998043477,0.38262822973090393,0.09572066734888315,0.5341013591722674,0.134420997039393,0.11971561967568954,0.3669198818096462,0.04230950646745211,0.007970874861606055,0.7067548126224682,0.6514957711020103,0.28955217862933974,0.3066220658688307,0.4673978813316881,0.279174703149396
Red_N_R,0.11815182687179601,-0.01466259379691665,0.5772081561458872,0.4482303302341359,1.0,0.6420090162173413,0.03120802052165591,-0.08416896722399829,0.15951412518098473,0.67200013839447,-0.007361032371187272,0.44842746161980074,0.32098960864227327,0.049135121185560876,0.3917269656700978,0.5874994541139619,0.569651563162422,-0.06139464698922253,0.14847579072777942,0.5242561015021685,0.5420999574613232,0.46814430558644987,0.5579398915953309,0.3074945309903024,0.11345683318217023,0.4358197109996751,0.35913413108776293,0.46209914925369466,0.5072723555609168,0.04220082958805999,0.44601377020797045,0.558334706293358,-0.10044059503121082,0.18970275150198682,0.4582057357759932,0.6215776284373392,0.36521352472374546,0.6970991600097362,0.607148228136908,0.3199005350076762,0.5987146714200355,0.11665886994441162,0.2516722405180108,0.5975047032911214,0.6155940133132831,0.08704256157078703,0.31898120924201023,0.6173539044467115,0.14478927131439098,0.1547583941766118,0.19035562597049824,0.39838616187196296,0.6062075889141261,0.061842139894225656,0.5273932045949423,0.6197542190774842,0.5814864730893468,0.1458173033469053,-0.19723248922667067,0.4202293331241983,0.6193773311548049,-0.07752458165723257,0.5684068932430586,0.16108117395440832,-0.36410220100959784,-0.3199979294807268,0.16673884634142536,0.6956490405306298,0.6208603456247866,0.21575975112961474,-0.16487303433395528,-0.22244476628821003,-0.15537447082294095,-0.22167347774440177,-0.25180094994895413,0.5259034912517404,0.40640873407933104,0.42922403734943493,0.5653673265868889,0.21204341722887754,0.06032887951524728,0.5011705446020507,-0.11100805900045582,0.42643552666786216,0.5470178641877015,0.5053231889313778,0.608438535727845,0.6247459593890003,0.23644492700818256,0.12757678995375243
Thal_LP_R,-0.005589210744412871,-0.13369015995309325,0.5801952403164714,0.5280451298284644,0.6420090162173413,1.0,-0.1350036263748973,-0.10857086244034093,0.1432374323747522,0.6516592431308512,0.08683385205252249,0.3621818033815346,0.36036484578022293,-0.04120602728726014,0.3583839366313439,0.5570124242668392,0.6414863265880337,-0.042536771434485914,0.025545698166809537,0.5255905511160671,0.6248670980667744,0.5149032441796383,0.7136002808829299,0.34115016515574614,0.27426868492176254,0.5871599555901785,0.3191749702476284,0.5570578253157914,0.7222030888689476,0.02942216733681664,0.265790780395101,0.5586432721617034,-0.1208620343508693,0.21655687165964,0.5227384756409119,0.6502275335357183,0.2052481928763283,0.7320217825593426,0.6568668626169272,0.481538406916361,0.6386101977691184,0.3356122982420955,0.2024129306346945,0.6509887711470161,0.5530484622806551,-0.03439620297820146,0.2736208304569038,0.5722407249692535,0.19372312316228496,0.04281789719414387,0.22445445140386433,0.4675482795389216,0.7205715271349712,-0.09437050563734821,0.6085616353120379,0.6543762588571297,0.4974121795113012,-0.03718679414836574,-0.437118679784505,0.5319414782674827,0.6978817440341596,0.07614864358062925,0.61564226310954,-0.015628612095010052,-0.48120855777969285,-0.18050531172390244,0.165945679128683,0.6948594940880479,0.7305039175264856,0.35818639218196874,-0.054141688691296354,-0.04182591434273973,-0.017429261826486825,-0.3082772719186232,-0.158357473133862,0.5101227147249648,0.5810947139930323,0.5406608224799918,0.6805664725195294,0.05572375608483518,0.29885227951869064,0.43392504202139154,-0.10959344160996355,0.5104113890920909,0.471559577264084,0.6310085904448773,0.6372300197801531,0.7153571102347301,0.2792914091837329,0.009945100997206194
ACC_pre_L,0.24345204441231033,0.32923808976132724,-0.4786704562133535,0.1368948988358609,0.03120802052165591,-0.1350036263748973,1.0,0.11473629527477373,0.208148162419669,-0.2868063490751917,-0.16544143796783664,-0.18511420173907517,-0.2863800271601307,0.43735748817259085,0.2786964731541737,-0.48245835229636774,0.02461531942611592,-0.030317488191353593,-0.14858490172399086,-0.0001728496786878326,-0.3530190433922329,-0.247938929170828,-0.10115970964236269,-0.1946660035471216,0.0893611664405308,0.011236163417150346,-0.30102006230523204,-0.3773201042471559,-0.3765757808864185,0.04334482954505358,0.3085911540856774,-0.32066140434534735,0.13056941827495927,0.11618687785839976,0.193788675213314,-0.11776149845417433,0.09950376119873416,-0.1672670701884468,-0.0315314826760558,-0.12351120173857452,0.1604533844178082,-0.11608812066608798,-0.0321956580271717,-0.10191434029825754,-0.41175735129782176,0.10787347343078899,0.017913521249949518,-0.3369644776239769,-0.13348619915564755,0.4403904592401626,-0.41302844092356883,-0.2896353777715585,-0.04574292559479995,0.3213143163190753,-0.21294750606067478,-0.24421712166311876,-0.363696612933744,0.3880415383629736,0.3563202826576039,-0.1865982648514482,-0.0053356307325239044,0.25793045632072054,-0.40351496766596856,0.35046914303566057,0.28817679074154173,0.2335737861030212,0.03596946450667705,-0.3275646519165461,-0.3486723728462555,-0.3266395854740811,0.03325215467202983,0.058005918019324136,0.1588413272751887,0.20304640501385834,0.15460103952700807,-0.4253852554199291,-0.20341268466600615,-0.566036280905197,-0.18035604498753044,0.32166709988405734,-0.5170151203629489,-0.21722232019291474,0.11656735821706352,-0.38425654322789116,0.2635393374805307,-0.004688052358627314,-0.5107074935539273,-0.29705803710613227,-0.029372861038968467,0.12789961475675235
Temporal_Pole_Mid_L,0.1413066434002798,-0.056809082162346376,-0.16509724513636714,-0.25564512098867365,-0.08416896722399829,-0.10857086244034093,0.11473629527477373,1.0,0.2114610761650265,-0.11876962262076847,0.25415697500947626,-0.04089326008502488,-0.2629734319258802,0.1518305000261604,-0.2738401255113497,-0.2098084449166526,-0.13426559823913972,-0.10791827598454726,-0.09127603883250122,0.24638456924422292,-0.0478574796829381,-0.11330541246713798,-0.1625965973839762,0.037773956607150064,0.17914816967267622,-0.12168843820967883,-0.05611016418156787,-0.09632309228241344,-0.0488345725073353,0.0825760922423221,-0.03234225006649723,0.1720756386959744,-0.1451119518277771,-0.1958046690444417,-0.1885091069325624,-0.024579794966665285,0.09330355929992881,-0.06156355551454972,-0.21369382571090415,0.23317465122836997,-0.17540355810214206,0.04039418684377059,-0.18557809413877033,-0.30722748399864935,-0.24379929424877966,-0.2103523448905379,-0.21550636722997737,0.001752710245541771,0.22023416623306247,-0.1645416863905577,0.19267971048206123,0.19412272173200007,-0.15697430917937205,0.30162631548019536,-0.28087133890985544,-0.16222382660936907,-0.14953193359764966,-0.14714173177971607,-0.06834659440240888,-0.10338863417339339,-0.05398169035082453,0.3392804670948623,0.03796879611785267,-0.06461117641598788,-0.16899468126198766,0.010404177004506772,0.060770993203289464,-0.1066307225486016,-0.03064271036894056,-0.22501560662582967,-0.14209071366420375,-0.22861670218507932,0.21156261346570662,0.03985713464169132,-0.26184548037568195,0.05314118049406379,-0.08292195708758392,-0.029976857422073972,-0.04828783694759833,0.4212126692570607,-0.2802667296574245,-0.27711755041793584,0.07995833148683602,0.18309071088160112,-0.2409022204281796,-0.001811438819406222,-0.0743446604451647,0.012582777807900564,-0.25934468286401385,-0.19998724664675138
OFCpost_L,0.08104367050282658,0.3793415227053717,-0.049038297453688526,0.10078757251733245,0.15951412518098473,0.1432374323747522,0.208148162419669,0.2114610761650265,1.0,0.11449678079743832,0.1592556751571916,0.310703260491774,-0.06459885798066661,0.29923757287585045,-0.02259079550430983,0.06611815950207617,0.1659292881547564,-0.0015316667321132417,-0.1733828870667702,0.6106079233954927,0.05228424827220968,0.16719744316120713,0.12951048498823156,0.16810509876007398,0.08688326731606305,0.26664643649634184,0.05640858595974318,-0.10907543229557153,0.18187366558124854,0.07788370016652078,0.45928745757018535,0.18175820104681456,-0.468942702276677,0.20711798072078635,0.07520097589139593,0.17258789995008475,0.2722998633047168,0.19384306717730965,0.09797048742422093,0.4040606072525401,0.3301861212450615,0.4054036510538523,-0.08828416428263877,0.12353614242806699,-0.0302597023606242,-0.16669024643618002,0.15272594385786128,0.06645540128392771,0.4608789784097827,0.01996930309131366,0.05282956498101116,0.12811575086726062,0.2166652578641284,0.2821949053303781,0.011235703512993033,0.20643018924158682,0.0029626449829793086,0.08376917542883106,-0.21121117241936974,0.05655899920532261,0.3369300321061378,0.30260139127746527,0.2185284793474336,0.056615080170624936,-0.2259354894997555,0.02696172404829198,-7.896752232957744e-05,0.12678958704435234,0.15342076118699222,-0.0550609092762418,0.17274595469160361,-0.18843888396511033,-0.192507847075452,0.10735920490212146,-0.18724751643556964,-0.07301311663969101,0.23494440518543272,0.047732012559700436,0.17275948447953218,0.4966481687122331,-0.399971590443353,-0.0654008733735171,0.10604825546526966,0.2099274849628911,0.1296198522613255,0.3249001403800903,-0.012450430545078621,0.18978881271987058,0.16453693659418026,-0.027423211946005343
Thal_MDl_R,-0.11950027448141629,-0.18267143331217686,0.8168651160194784,0.31467872706473565,0.67200013839447,0.6516592431308512,-0.2868063490751917,-0.11876962262076847,0.11449678079743832,1.0,0.11580122786239748,0.3258081837230863,0.27038831350722825,-0.12940767917310675,0.15043003939804978,0.6660006565552051,0.5238222093773943,-0.09928959690114755,0.09070344257152266,0.44387434515523094,0.6871328152238751,0.5409730507243963,0.6382036315948455,0.45282717171196657,0.12710470258135195,0.47189291734992034,0.19595724579157617,0.6160446919733582,0.741628582421967,-0.01435079357008374,0.11967598677151187,0.5572570166023132,-0.16626189843228717,0.13801446443950394,0.37675638029735964,0.5128219564736615,0.33454756333672225,0.704013626302196,0.5692432665349914,0.4007368704109023,0.47188455223062725,0.31159404644495003,0.13696916872796921,0.6188456149399683,0.7115668492279573,-0.068317609966744,0.24388419363761057,0.5396455179574775,0.2635369738018655,-0.1806119910136516,0.23229717500868843,0.5634003704894754,0.6212623084555814,-0.19159546014985765,0.7585447280650238,0.7578476755741057,0.5326680080022324,-0.26811145540103876,-0.5576604641010706,0.5287798527320814,0.6511319162548117,-0.09559799051277858,0.6609672507337249,-0.19887216486167222,-0.6096227917492908,-0.35393371702307536,0.07568718570038768,0.7956585302643364,0.8090584842498367,0.5203980658686329,-0.17008363477642072,-0.06434548653925189,-0.1341485734706239,-0.47629603892554645,-0.21203401833167465,0.6197060578514666,0.6349706458777303,0.6917736302805706,0.6316638176719686,-0.033446805760258734,0.4012799436196853,0.641270863604529,-0.1701955654866649,0.5282872900527905,0.3496140578285079,0.5115195445516239,0.7367748883399854,0.8072748926553341,0.23026889932938407,0.013663031509176412
