,Temporal_Sup_R,Cingulate_Post_L,Angular_L,N_Acc_R,Fusiform_R,Vermis_3,Frontal_Inf_Oper_R,Thal_MGN_R,OFCant_R,Thal_VL_L,Heschl_R,Occipital_Sup_L,Red_N_R,Angular_R,Thal_LGN_R,Amygdala_L,Frontal_Inf_Tri_R,Amygdala_R,Occipital_Inf_R,OFCant_L
Temporal_Sup_R,1.0,-0.1821764698489219,-0.44776823718852143,0.02454529840769206,0.7031197696034158,0.44635414181637856,0.8055166126548642,0.4347342242294645,0.05121897998367977,0.39945042713100176,0.8114873289556308,-0.30727274054926795,0.5259034912517404,-0.26672188518973317,-0.28677403807046414,-0.12387894254195575,0.8420526662765089,-0.07766583957534977,0.027480237015037413,-0.08037106955897813
Cingulate_Post_L,-0.1821764698489219,1.0,0.31226762646782985,0.2083757119659765,0.040083990571531475,0.1995743493210602,-0.02632524871623433,0.12305109843952525,0.013452678399643495,0.3387303277161044,-0.29386270807808124,0.1702415429420132,0.11447339512888036,0.42179125028098946,0.5009891009406472,0.01416477733261197,-0.1884893201385828,0.4060744153242305,-0.01914299370726251,0.032491433133184165
Angular_L,-0.44776823718852143,0.31226762646782985,1.0,0.06973917651222586,-0.10048282011219455,-0.39274897166190054,-0.3359330702370711,-0.2465623347384452,-0.18828399164064025,-0.2742846425342389,-0.6664219902210629,0.6534682869159103,-0.23486007960065655,0.8438459376902866,0.33821727560008064,0.10636766399239775,-0.48499112245755044,0.1675417923039615,0.14301844246380332,-0.11755729101727702
N_Acc_R,0.02454529840769206,0.2083757119659765,0.06973917651222586,1.0,-0.0403121603362428,-0.1376390979075432,0.06746011819643508,-0.0015026005490703133,0.10048227864936958,-0.06566399870615011,-0.037595472699204706,0.06022536418408021,-0.33333601482086256,-0.04855188404983015,0.05219015654349134,0.0659512684100059,-0.1027233603874993,0.2629281288810651,0.020468096286652356,0.00416722526813212
Fusiform_R,0.7031197696034158,0.040083990571531475,-0.10048282011219455,-0.0403121603362428,1.0,0.3017068225159556,0.5637319552351999,0.3560943532662472,-0.07001173025643376,0.38807089794110533,0.3660063877821358,0.00774139759393058,0.6086494442813499,0.14992226469751513,-0.0954946265556776,-0.09607068293515393,0.6595255908113735,0.13307709910734616,0.09474235219550423,-0.15658414456064743
Vermis_3,0.44635414181637856,0.1995743493210602,-0.39274897166190054,-0.1376390979075432,0.3017068225159556,1.0,0.5672758021297853,0.4530048694434775,0.2388880821336739,0.849241918173239,0.5631336845093157,-0.13777929989877946,0.5513736562573007,-0.3770220996473826,0.00409560792530774,0.11789646139851183,0.5043700372083981,0.07913808150700029,-0.06251587803975805,0.04678981629496353
Frontal_Inf_Oper_R,0.8055166126548642,-0.02632524871623433,-0.3359330702370711,0.06746011819643508,0.5637319552351999,0.5672758021297853,1.0,0.4310353406749221,0.0643012825994751,0.5525898905825509,0.7148855608265325,-0.2550431414955651,0.46209914925369466,-0.20431522234070829,-0.10263183225399125,-0.10526498370857046,0.8297924534218807,-0.03291154048152656,0.11149471756764195,-0.023391157980797866
Thal_MGN_R,0.4347342242294645,0.12305109843952525,-0.2465623347384452,-0.0015026005490703133,0.3560943532662472,0.4530048694434775,0.4310353406749221,1.0,0.24118159132035047,0.441467866184598,0.496816353479734,-0.10384659401191815,0.46814430558644987,-0.23325303601616695,0.2364545348454458,0.06754830107992518,0.501028942246639,-0.00569389180382919,0.12865504482968756,-0.04133084926234525
OFCant_R,0.05121897998367977,0.013452678399643495,-0.18828399164064025,0.10048227864936958,-0.07001173025643376,0.2388880821336739,0.0643012825994751,0.24118159132035047,1.0,0.20993142344431584,0.23275551986588044,-0.010033922533068344,0.01066530351740617,-0.32849151484977634,0.1664884437532038,0.14330191206668022,0.026232560532418854,0.14246179041109175,-0.09659356539105465,0.0876294857782141
Thal_VL_L,0.39945042713100176,0.3387303277161044,-0.2742846425342389,-0.06566399870615011,0.38807089794110533,0.849241918173239,0.5525898905825509,0.441467866184598,0.20993142344431584,1.0,0.45829478939481466,-0.11752235449698184,0.6193773311548049,-0.2304901999003644,0.11281230526871991,0.1854347257951334,0.47914794248204695,0.16894287935963925,-0.08622087362367127,0.03827351303220579
