,Rolandic_Oper_R,Cuneus_R,Vermis_8,Parietal_Sup_L,Thal_MDm_L,Amygdala_R,Raphe_D,Cerebellum_8_R,Thal_MGN_L,Thal_PuI_R,ACC_pre_R,Parietal_Inf_L,Cerebellum_Crus1_R,Vermis_10,SN_pr_R,Pallidum_R,Cerebellum_6_L,SupraMarginal_R,Occipital_Inf_L,Thal_PuA_L,Occipital_Mid_R,Vermis_9,Frontal_Inf_Oper_L,Occipital_Inf_R,Thal_IL_R,Olfactory_L,Frontal_Inf_Tri_L,Precuneus_L,Cingulate_Mid_R,Vermis_7,Temporal_Sup_L,Vermis_6,Frontal_Inf_Tri_R,Fusiform_L,Heschl_R,Thal_AV_L,OFCmed_R,Cuneus_L,Thal_PuL_L,ACC_sub_L
Rolandic_Oper_R,1.0,-0.692146417285243,0.15288585561209758,-0.41666066400688434,0.08340156909737548,-0.11397209938592463,0.30327879835123095,0.42395031548243456,0.021622657610733155,0.6595488244453375,0.30156927304439063,-0.4420269377445372,-0.081388736461102,0.6029689699083521,0.2998077816320859,0.7544927768838678,-0.18333706927026266,0.6890200411019627,0.03624947686574078,0.4799994836782966,-0.09379136736980012,0.5944476700650102,0.39309765001686464,-0.03713642521704252,0.5309802616437557,-0.1817371067330718,0.1810977399561665,-0.35598106902582316,0.37867630006000663,-0.1496969581905902,0.2691994980314246,-0.5099316222959944,0.8306722576228456,0.4870874670721124,0.8756137101400914,0.38705085341777634,-0.12547824992607365,-0.08303872581911072,0.5513568920689413,-0.04395913308410621
Cuneus_R,-0.692146417285243,1.0,-0.05619677337869092,0.6550805165090412,0.1909750460197503,0.08886175813040781,-0.035100491833545126,-0.307666663434789,0.006306077447273431,-0.3644723283506183,-0.31996182795739586,0.6509673332767313,0.30804975294723297,-0.2749448503678309,0.007435153076649646,-0.5864704526494713,0.32066584957171207,-0.08090370153304181,0.09677325761769771,-0.3558106949142652,0.18733301622300003,-0.505935246203433,-0.3523080845562474,0.12760467783516327,-0.24266563411793637,0.18461191241340605,0.05714897598495419,0.6704258286954924,-0.09390482094677688,0.16984702989486533,-0.23207963500127485,0.6514358875767102,-0.3934197484183823,-0.3000794203611206,-0.6161411422824619,-0.3123836735180357,-0.03846152285573201,0.49266784439293604,-0.318989283054293,-0.07805475427957678
Vermis_8,0.15288585561209758,-0.05619677337869092,1.0,0.020496977964613316,0.11237646458040727,-0.2933725118955335,0.1547338903243302,0.34750374452433125,0.14046496256127375,0.2747219789155452,0.04309803416224478,-0.056355409892826065,0.004499039447028582,-0.056575977167630014,0.040140618770351584,0.21967828134889314,-0.007229923705198122,0.10657594598574638,-0.06363817027997679,0.029967880182299175,0.07129326829300478,-0.07505604096961002,0.11889574824543399,0.0009772615420142502,0.16149680217834894,0.020380195435353504,-0.02228951268052647,-0.00945849264217447,0.14859658204519124,0.01818098998416524,0.07732373409683538,0.07112445919808848,0.17352690077288052,0.058200150393119515,0.12459766804395553,0.14208038019177732,-0.0958937009657255,-0.08694756701569178,0.001684731080779974,-0.10371909002495265
Parietal_Sup_L,-0.41666066400688434,0.6550805165090412,0.020496977964613316,1.0,0.4999913443896055,0.16500350308514794,0.15156208227120718,-0.08528350719745108,0.25628529617610285,-0.06834284469287087,-0.031073617412678903,0.9140491920707827,0.16475983809976205,-0.25520559697549283,0.09778315461584054,-0.3319481885339523,0.17265138758232557,0.12524200770653032,0.10706579695620624,0.07235809749037372,0.17508204891172982,-0.44146315228671407,-0.012603340737121247,-0.023219364347606325,-0.07413875734294996,0.1898182429420896,0.21582188380841977,0.9194692276532986,0.3231097637720716,0.24738181688355734,0.23407114461929385,0.36620912328930355,-0.2700099106867297,0.06643836349954829,-0.42615565512508297,-0.19438942419878755,0.21319658119681958,0.4877275663919889,0.03711364379196363,-0.11036045784659876
Thal_MDm_L,0.08340156909737548,0.1909750460197503,0.11237646458040727,0.4999913443896055,1.0,0.1539242199509198,0.4096342831828074,0.14544426139366184,0.4238317838971063,0.3899493332735828,0.1760768997974928,0.4255676236240189,0.20139064245090618,-0.14185648733348466,0.328218704292797,0.14574285591203368,0.2268024897380355,0.40757605216712645,0.18316768329498562,0.4648855729492378,0.04599495945474611,-0.09448470274142468,0.2949419283243317,-0.051513432706418325,0.37497367273242216,-9.154697519254998e-05,0.3652013908743449,0.5807897945334756,0.6821867629052116,0.022344182440969928,0.26864342649155704,0.14201928499965152,0.2615179061306812,0.28039253473379055,0.062972644583732,0.1712607490193323,0.24173119167822846,0.3109475821477976,0.48310106982262185,-0.18095744884652037
Amygdala_R,-0.11397209938592463,0.08886175813040781,-0.2933725118955335,0.16500350308514794,0.1539242199509198,1.0,-0.04345234163930115,-0.059500685856182144,-0.07800333401013253,-0.12324197342062307,0.42421749059551744,0.2232044628946382,0.12522369306541842,-0.03999340892146421,-0.07418992596474792,-0.18627993732192022,-0.05354418568653902,0.03880780520831993,0.10913774172829692,0.22312585272017102,0.1176277871772299,-0.014867640595473634,-0.011123776487778245,-0.1515862677827434,-0.14837279766505648,-0.08389570671692034,-0.08856455872085822,0.2966290335227393,0.08216007652821225,0.12606036665848647,0.14370469643149106,0.11248107767489013,-0.2266039788590849,0.2636690055924139,-0.18253828117177737,-0.10557042036361305,0.2339063669618466,0.293568367840641,0.09066324771178304,0.038374559209286424
Raphe_D,0.30327879835123095,-0.035100491833545126,0.1547338903243302,0.15156208227120718,0.4096342831828074,-0.04345234163930115,1.0,0.20053941703324873,0.38111430002637525,0.5464616554766117,-0.017480268345388558,0.158312695164273,0.015167367654477393,0.1646372400837801,0.09914318376126122,0.2944866953489114,-0.08273856120588759,0.3544830558027195,0.19950314704537264,0.4014032884753733,0.07593504758469094,0.10836158861398335,0.35453618806198556,0.05777356808599058,0.4131742615959593,-0.11403065824757311,0.5593920126882439,0.17998488994163545,0.5938855352767565,0.09268597421389801,0.39605873516765777,-0.14298281092666107,0.37079245128031174,0.34586983407433797,0.3098784935306921,0.11310713423088231,-0.07154061577845189,0.007861186143779795,0.40389006080458567,0.02150719782200064
Cerebellum_8_R,0.42395031548243456,-0.307666663434789,0.34750374452433125,-0.08528350719745108,0.14544426139366184,-0.059500685856182144,0.20053941703324873,1.0,0.24976084912287128,0.4581302316106807,0.3032317971924698,-0.11159757757935918,0.054703255337303046,0.21258960428093715,0.03367634900461081,0.48763683930388674,-0.13086950036524034,0.28247807064545705,-0.07288551157789883,0.24767003900838194,0.0043881671515411174,0.13053098633957794,0.3552239494642869,-0.12569420001764264,0.397720027107733,-0.1351972801710731,0.004278172464035877,-0.08353520936896934,0.32285141814953355,0.11442181006165186,0.24054800731083584,-0.14908387528141268,0.38803007954362556,0.3317260369718395,0.43860776867915663,0.4357976844908499,-0.045797903886428834,-0.14589302050457162,0.35304127334769664,-0.08207656789766896
Thal_MGN_L,0.021622657610733155,0.006306077447273431,0.14046496256127375,0.25628529617610285,0.4238317838971063,-0.07800333401013253,0.38111430002637525,0.24976084912287128,1.0,0.24874201572033344,0.032547988464415784,0.24098671233391308,0.07044288707099826,-0.2732392387711324,0.10187266727444412,0.1556265069595469,0.16529064755877007,0.04158848181165234,0.03662019694883287,0.2838294739199585,-0.09048952158845681,-0.21588737186323761,0.21782994681511364,-0.04002237285159023,0.38933283633045485,-0.06506212186143684,0.38419753903869697,0.29435549904659725,0.41859028278990384,0.15653025735114698,0.19405106025522048,0.06456124073419678,0.16547822205151827,0.11873563513693787,0.05391714014733752,0.2729820604880881,0.010375438473855943,-0.04971801190715317,0.4044200001631593,-0.12072167610133998
Thal_PuI_R,0.6595488244453375,-0.3644723283506183,0.2747219789155452,-0.06834284469287087,0.3899493332735828,-0.12324197342062307,0.5464616554766117,0.4581302316106807,0.24874201572033344,1.0,0.25907456153782243,-0.111646109152174,-0.05361759937866423,0.3673753485491032,0.35279535735264145,0.7384069877389348,-0.11096987422139636,0.5481334492710653,0.05879339043636205,0.5097231268583178,-0.0629288120400547,0.36012157085564667,0.47014903134842023,0.04112340353227492,0.6962082985433139,-0.1746845168281456,0.36015756321871534,-0.0262051970628594,0.5900685378068065,-0.007877044688162868,0.3687030078284774,-0.3902095174766169,0.6753048487852612,0.43366402888008576,0.7418492733891286,0.5534769485653176,-0.1373824693653294,0.006645547747936842,0.6245455611983765,-0.07994362312437195
